,Concept_ID,bn,ab
0,Auge::N,চক্ষু,ала
1,Ohr::N,কর্ণ,алымҳа
2,Nase::N,নাক,аҧынҵа
3,Mund::N,মুখ,аҧышə
4,Zahn::N,দাঁত,ахаҧыц
5,Zunge::N,জিহবা,абз
6,Lippe::N,অধর,ақьышə
7,Wange::N,গণ্ড,аӡамҩа
8,Gesicht::N,মুখমণ্ডল,аҿы
9,Stirn::N,কপাল,алахь
10,Haar::N,চুল,ахəыц
11,Schnurrbart::N,গোঁফ,аҧаҵа
12,Bart::N,শ্মশ্রু,ажакьа
13,Kinn::N,চিবুক,ацламкəыгə
14,Kiefer[Anatomie]::N,চোয়াল,ацламҳəа
15,Kehle::N,কণ্ঠ,ахəда
16,Hals::N,গল,ахəда
17,Genick::N,ঘাড়,ахəдаџьал
18,Kopf::N,মাথা,ахы
19,Rücken::N,পৃষ্ঠ,азқəа
20,Bauch::N,উদর,амгəа
21,Nabel::N,নাভি,аҷапан
22,Busen::N,স্তন,агəыҧҳəы
23,Brust::N,বুক,агəышҧы
24,Schulter::N,স্কন্ধ,ажəҩахыр
25,Arm::N,বাহু,амахəар
26,Ellenbogen::N,কনুই,амашьхəылҵ
27,Hand::N,হাত,анапы
28,Handfläche::N,করতল,анапсаргəыҵа
29,Finger::N,আঙ্গুল,анацəа
30,Fingernagel::N,হাতের নখ,анапхыц
31,Nagel[Anatomie]::N,নখ,ашьапхыц
32,Zeh::N,আঙ্গুল,ашьацəа
33,Fuß::N,পা,ашьапсыргəыҵа
34,Ferse::N,গোড়ালি,ашьхəа
35,Knie::N,হাঁটু,ашьамхы
36,Oberschenkel::N,ঊরু,ауаҭəа
37,Bein::N,পা,ашьапы
38,Körper::N,দেহ,ацəеижь
39,Haut::N,ত্বক,ацəа
40,Blut::N,রক্ত,ашьа
41,Ader::N,শিরা,ада
42,Sehne::N,কণ্ডরা,адаш
43,Knochen::N,অস্থি,абаҩ
44,Gehirn::N,মস্তিষ্ক,ахшлыбаҩ
45,Gehirn::N,মস্তিষ্ক,ахшыбаҩ
46,Herz::N,হৃৎপিণ্ড,агəы
47,Magen::N,পাকস্থলী,аца
48,Magen::N,পাকস্থলী,ацар
49,Leber::N,যকৃৎ,агəаҵəа
50,Atem::N,শ্বাস,аҧсыҧлагаҩгара
51,Hunger::N,ক্ষুধা,амла
52,Träne::N,অশ্রু,алабжыш
53,Geschmack::N,স্বাদ,агьама
54,Geruch::N,গন্ধ,афҩы
55,Schlaf::N,ঘুম,ацəа
56,Traum::N,স্বপ্ন,аҧхыӡ
57,Himmel::N,আকাশ,ажəҩан
58,Sonne::N,সূর্য,амра
59,Mond::N,চন্দ্র,амза
60,Stern::N,নক্ষত্র,аеҵəа
61,Luft::N,বায়ু,аҳаир
62,Wind::N,বাতাস,аҧша
63,Welle::N,ঢেউ,ацəқəырҧа
64,Welle::N,তরঙ্গ,ацəқəырҧа
65,Wasser::N,জল,аӡы
66,Stein::N,ঢিল,ахаҳə
67,Stein::N,প্রস্তর,ахаҳə
68,Boden::N,ভূতল,адгьыл
69,Erde::N,ভূমি,адгьыл
70,Staub::N,ধুলা,асаба
71,Rauch::N,ধোঁয়া,алҩа
72,Funke::N,স্ফুলিঙ্গ,акəиц
73,Funke::N,স্ফুলিঙ্গ,ацҧхь
74,Feuer::N,অগ্নি,амца
75,Licht::N,আলো,алашара
76,Schatten::N,ছায়া,ашəшьыра
77,Wetter::N,আবহাওয়া,амш
78,Nebel::N,কুহেলিকা,анаҟəа
79,Wolke::N,মেঘ,аҧсҭҳəа
80,Regen::N,বৃষ্টি,ақəа
81,Schnee::N,তুষার,асы
82,Eis::N,বরফ,аҵаа
83,Frost::N,তুষার,аҵаа
84,Kälte::N,শৈত্য,ахьҭа
85,Hitze::N,তাপ,ашоура
86,Raureif::N,তুহিন,аҵааҧшқа
87,Regenbogen::N,রামধনু,ацəаҟəа
88,Donner::N,বজ্রধ্বনি,адыд
89,Strömung::N,স্রোত,аиасра
90,Strömung::N,স্রোত,амҩасра
91,Tropfen::N,ফোঁটা,ацəыкəбар
92,Schaum::N,ফেনা,ашəах
93,Schmutz::N,ধুলা,алымт
94,See::N,হ্রদ,аӡиа
