,Concept_ID,ba,te
0,Auge::N,күҙ,కన్ను
1,Ohr::N,ҡолаҡ,చెవి
2,Nase::N,танау,ముక్కు
3,Mund::N,ауыҙ,నోరు
4,Zahn::N,теш,పల్లు
5,Zunge::N,тел,నాలుక
6,Lippe::N,ирен,పెదవి
7,Wange::N,яцаҡтар,చెంప
8,Gesicht::N,бит,ముఖము
9,Stirn::N,маңлай,నుదురు
10,Haar::N,сәс,వెండ్రుక
11,Schnurrbart::N,мылтыҡ,మీసము
12,Bart::N,һаҡал,గడ్డము
13,Kinn::N,эйэк,గడ్డము
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,దౌడ
15,Kehle::N,тамаҡ,గొంతు
16,Hals::N,муйын,మెడ
17,Genick::N,соңҡа,మూపు
18,Kopf::N,баш,తల
19,Rücken::N,арҡа,వెన్ను
20,Bauch::N,ҡорһаҡ,కడుపు
21,Nabel::N,кендек,బొడ్డు
22,Busen::N,күкрәк,స్తనము
23,Brust::N,түш,ఱొమ్ము
24,Schulter::N,яурын,భుజము
25,Arm::N,ҡул,చేయి
26,Ellenbogen::N,терһәк,మోచేయి
27,Hand::N,ҡул,చేయి
28,Hand::N,ҡул суғы,చేయి
29,Handfläche::N,ус төбө,అరచేయు
30,Finger::N,бармаҡ,చేతిప్రేలు
31,Fingernagel::N,тырнаҡ,గోరు
32,Nagel[Anatomie]::N,тырнаҡ,గోరు
33,Zeh::N,бармаҡ,కాలిప్రేలు
34,Fuß::N,табан,అడుగు
35,Ferse::N,үксә,మడమ
36,Knie::N,тубыҡ,మోకాలు
37,Oberschenkel::N,сандыр,తొడ
38,Bein::N,аяҡ,కాలు
39,Körper::N,тән,కాయము
40,Haut::N,тире,చర్మము
41,Blut::N,ҡан,రక్తము
42,Ader::N,тамыр,సిర
43,Sehne::N,һеңер,స్నాయువు
44,Sehne::N,тарамыш,స్నాయువు
45,Knochen::N,һойәк,ఎముక
46,Gehirn::N,мейе,మెదడు
47,Herz::N,йорәк,హృదయము
48,Magen::N,ашҡаҙан,కడుపు
49,Leber::N,бауыр,కాలేయము
50,Atem::N,һулыш,ఉపిరి
51,Hunger::N,аслыҡ,ఆకలి
52,Träne::N,күҙ иәше,కన్నీటిచుక్క
53,Geschmack::N,тәм,రుచి
54,Geruch::N,еҫ,వాసన
55,Schlaf::N,йоҡлау,నిద్ర
56,Traum::N,төш,కల
57,Himmel::N,күк,ఆకాశము
58,Sonne::N,ҡояш,సూర్యుడు
59,Mond::N,ай,చంద్రుడు
60,Stern::N,йондоҙ,నక్షత్రము
61,Luft::N,һауа,గాలి
62,Wind::N,ел,వీచుచున్నగాలి
63,Welle::N,тулҡын,అల
64,Wasser::N,һыу,నీరు
