,Concept_ID,mhr,ro
0,Auge::N,шинча́,ochi
1,Ohr::N,пы́лыш,ureche
2,Nase::N,нер,nas
3,Mund::N,умша́,gură
4,Zahn::N,пӱй,dinte
5,Zunge::N,йы́лме,limbă
6,Lippe::N,тӱ́рвӧ,buză
7,Wange::N,шӱ́ргӧ,bucă
8,Wange::N,шӱ́ргӧ,obraz
9,Gesicht::N,чури́й,față
10,Gesicht::N,чури́й,figură
11,Stirn::N,саҥга́,frunte
12,Haar::N,ӱп,păr
13,Schnurrbart::N,ӧ́рыш,mustață
14,Bart::N,понда́ш,barbă
15,Kinn::N,оҥыла́ш,bărbie
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,falcă
17,Kiefer[Anatomie]::N,пӱйората́,falcă
18,Kehle::N,лога́р,beregată
19,Hals::N,шӱй,gât
20,Genick::N,шӱйло́дыш,ceafă
21,Kopf::N,вуй,cap
22,Rücken::N,туп,dos
23,Rücken::N,туп,spate
24,Rücken::N,туп,spinare
25,Bauch::N,мӱ́шкыр,burtă
26,Bauch::N,мӱ́шкыр,pântece
27,Nabel::N,кы́лымде,buric
28,Busen::N,чы́зе,sân
29,Brust::N,оҥ,piept
30,Schulter::N,ва́че,umăr
31,Schulter::N,ва́че,spate
32,Arm::N,кид,braț
33,Ellenbogen::N,кынерву́й,cot
34,Hand::N,кид,mână
35,Hand::N,копа́,mână
36,Handfläche::N,со́во,palmă
37,Finger::N,парня́,deget
38,Fingernagel::N,кидкӱ́ч,unghie
39,Fingernagel::N,парнягӱ́ч,unghie
40,Nagel[Anatomie]::N,кӱч,unghie
41,Zeh::N,йолварня́,deget de la picior
42,Fuß::N,йол,picior
43,Fuß::N,йолкопа́,picior
44,Ferse::N,тага́н,călcâi
45,Knie::N,пулву́й,genunchi
46,Oberschenkel::N,э́рде,coapsă
47,Bein::N,йол,picior
48,Körper::N,кап,corp
49,Haut::N,кова́ште,piele
50,Blut::N,вӱр,sânge
51,Ader::N,шӧн,vână
52,Ader::N,шӧн,arteră
53,Sehne::N,шӧн,tendon
54,Sehne::N,кӱсе́н,tendon
55,Knochen::N,лу,os
