,Concept_ID,myv,kk
0,Auge::N,сельме,көз
1,Ohr::N,пиле,құлақ
2,Nase::N,судо,мұрын
3,Mund::N,курго,ауыз
4,Zahn::N,пей,тіс
5,Zunge::N,кель,тіл
6,Lippe::N,турва,ерін
7,Wange::N,чамабока,ұрт
8,Wange::N,чамаумарь,ұрт
9,Gesicht::N,чама,бет-аузы
10,Stirn::N,коня,маңдай
11,Haar::N,черь,қыл
12,Schnurrbart::N,ус,мұрт
13,Schnurrbart::N,муюк,мұрт
14,Bart::N,сакал,сақал
15,Kinn::N,уло,иек
16,Kiefer[Anatomie]::N,пейпакар,жақ
17,Kiefer[Anatomie]::N,пейловажа,жақ
18,Kehle::N,кирьгапарь,алқым
19,Hals::N,кирьга,мойын
20,Genick::N,човонь,желке
21,Kopf::N,пря,кәллә
22,Rücken::N,копорь,арқа
23,Bauch::N,пеке,қарын
24,Nabel::N,почо,кіндік
25,Busen::N,поте,омырау
26,Brust::N,меште,кеуде
27,Schulter::N,лавтов,иық
28,Arm::N,кедь,қол
29,Ellenbogen::N,кенерепакарь,шынтақ
30,Hand::N,кедь,қол
31,Handfläche::N,кедькуншка,алақан
32,Handfläche::N,кедьлапушка,алақан
33,Finger::N,сур,саусақ
34,Fingernagel::N,кенже,тырнақ
35,Nagel[Anatomie]::N,кенже,тырнақ
36,Zeh::N,пильге сур,тырнақ
37,Zeh::N,пильге сур,тұяқ
38,Fuß::N,пильге,аяқ-басы
39,Ferse::N,кочкаря,өкше
40,Ferse::N,кочкаря,өкшелік
41,Knie::N,эле,тізе
42,Knie::N,эзне,тізе
43,Knie::N,кумажа,тізе
44,Oberschenkel::N,качо,жамбас
45,Bein::N,пильге,аяқ
46,Körper::N,рунго,дене
47,Haut::N,киське,тері
48,Blut::N,верь,қан
49,Ader::N,сан,көктамыр
50,Ader::N,сан,күретамыр
51,Sehne::N,коське сан,сіңір
52,Knochen::N,пакарь,жілік
53,Gehirn::N,удем,ми
54,Herz::N,седей,жүрек
55,Magen::N,пеке,асқазан
56,Leber::N,максо,бауыр
57,Atem::N,лексема,леп
58,Atem::N,оймень таргсема,леп
59,Hunger::N,вачочи,ашаршылық
60,Träne::N,селведь,жас
61,Geschmack::N,тансть,дәм
62,Geschmack::N,тансть,татым
63,Geschmack::N,тансть,талғам
64,Geruch::N,чине,иіс
65,Schlaf::N,удома,ұйқы
66,Schlaf::N,удома,ұйықтау
67,Traum::N,он,түс
68,Himmel::N,менель,аспан
69,Himmel::N,менель,көқ
70,Himmel::N,менель,таңдай
71,Sonne::N,чи,күн
72,Mond::N,ков,ай
73,Stern::N,теште,жұлдыз
74,Luft::N,кошт,әуе
75,Wind::N,варма,жел
76,Welle::N,толкун,толқын
77,Wasser::N,ведь,су
78,Stein::N,кев,тас
79,Boden::N,мода,қыртыс
80,Erde::N,мастор,топырақ
81,Staub::N,пуль,шаң
82,Rauch::N,качамо,түтін
83,Funke::N,сятко,ұшқын
84,Feuer::N,тол,алау
85,Licht::N,валдо,шұғыла
86,Schatten::N,сулей,көлеңке
87,Schatten::N,сулейкс,көлеңке
88,Wetter::N,ушо,ауа райы
89,Nebel::N,сув,тұман
90,Wolke::N,пель,бұлт
91,Regen::N,пиземс,жаңбыр
92,Schnee::N,лов,қар
93,Eis::N,эй,мұз
94,Frost::N,кельме,суық
95,Kälte::N,якшамо,ызғар
96,Kälte::N,якшамо,суықтық
97,Hitze::N,пси,аптап
98,Raureif::N,лекш,қырау
99,Regenbogen::N,пурьгинечирьке,кемпірқосақ
100,Regenbogen::N,пурьгинеёнкс,кемпірқосақ
101,Donner::N,пурьгине,күн күркіреу
102,Strömung::N,чудема,ағын
103,Strömung::N,чудевкс,ағын
104,Tropfen::N,петнявкс,тамшы
105,Schaum::N,чов,көбік
106,Schmutz::N,рудаз,кір
107,See::N,эрьке,көл
108,Sumpf::N,чей,саз
109,Moor::N,чей,саз
110,Wiese::N,луга,шалғын
111,Wald::N,вирь,орман
112,Hügel::N,губорь,төбе
113,Hügel::N,губорь,белес
114,Hügel::N,губорь,белес-белес
115,Hügel::N,пандыне,төбе
116,Hügel::N,пандыне,белес
117,Hügel::N,пандыне,белес-белес
118,Anhöhe::N,губорь,дөң
119,Anhöhe::N,губорь,адыр
120,Anhöhe::N,губорь,қырат
121,Anhöhe::N,пандыне,дөң
122,Anhöhe::N,пандыне,адыр
123,Anhöhe::N,пандыне,қырат
124,Berg::N,пандо,тау
125,Gipfel::N,пря,төбе
126,Höhle::N,пещера,үңгір
127,Abhang::N,пандочама,бауыр
128,Quelle::N,ушодкс,қайнар
129,Bach::N,чудикерькс,жылға
130,Fluss::N,лей,өзен
131,Ufer::N,чире,жиек
132,Küste::N,лейчире,жиегі
133,Küste::N,лейчире,жағалау
134,Festland::N,мода,құрылық
135,Meer::N,моря,теңіз
136,Bucht::N,усия,шығанақ
137,Insel::N,усия,арал
138,Blume::N,цеця,гүл
139,Gras::N,тикше,от
140,Wurzel::N,юр,түбір
141,Wurzel::N,ундокс,түбір
142,Baum::N,чувто,ағаш
143,Baum::N,чувто,дарақ
144,Stamm::N,рунго,сояу
145,Stamm::N,рунго,оқпан
146,Rinde::N,суд,қабық
147,Rinde::N,керь,қабық
148,Ast::N,морго,бұтақ
149,Zweig::N,тарад,шыбық
150,Blatt::N,лопа,жапырақ
151,Birke::N,килей,қайың
152,Kiefer[Baum]::N,пиче,қарағай
153,Weide[Baum]::N,каль,тал
154,Tanne::N,куз,шырша
155,Horn::N,сюро,мүйіз
156,Feder::N,толга,қаламұш
157,Fell::N,пона,тері
158,Flügel::N,сёлмо,қанат
159,Klaue::N,кенже,тырнақ
160,Kralle::N,кенже,аяқ
161,Schwanz::N,пуло,құйрық
162,Ei::N,ал,жұмыртқа
163,Nest::N,пизэ,ұя
164,Bau::N,варя,жатақ
165,Bau::N,пизе,жатақ
166,Tier::N,ракша,айуан
167,Tier::N,ракша,жануар
168,Herde::N,стада,пада
169,Kuh::N,скал,сиыр
170,Bulle::N,бука,өгіз
171,Pferd::N,лишме,жылқы
172,Schaf::N,реве,қой
173,Schwein::N,туво,шошқа
174,Hund::N,пине,ит
175,Hund::N,киска,ит
176,Katze::N,псака,мысық
177,Bär::N,овто,аю
178,Eichhörnchen::N,ур,тиін
179,Elch::N,сярдо,бұғы
180,Fuchs::N,ривезь,түлкі
181,Hase::N,нумоло,қоян
182,Maus::N,чеерь,қаптесер
183,Wolf::N,верьгиз,бөрі
184,Wolf::N,верьгиз,қасқыр
185,Vogel::N,нармунь,құс
186,Schwarm::N,полк,топ
187,Schwarm::N,полк,үйір
188,Schwarm::N,стада,топ
189,Schwarm::N,стада,үйір
190,Huhn::N,сараз,тауық
191,Huhn::N,сараз,мекиен
192,Hahn::N,атякш,әтеш
193,Hahn::N,атякш,қораз
194,Gans::N,гала,қаз
195,Gans::N,мацей,қаз
196,Adler::N,куцькан,бүркіт
197,Adler::N,тумоатякш,бүркіт
198,Ente::N,яксярго,үйрек
199,Eule::N,корж,жапалақ
200,Kranich::N,карго,тырна
201,Krähe::N,варака,қарға
202,Kuckuck::N,куко,көкек
203,Schwan::N,локсей,аққу
204,Fisch::N,кал,балық
205,Barsch::N,окунь,алабұға
206,Hecht::N,щука,шортан
207,Schlange[Tier]::N,гуй,жылан
208,Wurm::N,сукс,шұбалшаң
209,Spinne::N,шанжав,өрмекші
210,Ameise::N,коткудав,қүмырска
211,Laus::N,сий,бит
212,Mücke::N,сеське,маса
213,Fliege::N,карво,шыбын
214,Schmetterling::N,нимиляв,көбелек
215,Beere::N,умарь,жидек
216,Apfel::N,умарь,алма
217,Pilz::N,панго,қозықұйрық
218,Pilz::N,панго,саңыраукулақ
219,Zwiebel::N,чурька,жуа
220,Saat::N,видьметь,тұқым
221,Korn::N,сюро,дән
222,Heu::N,тикше,шөп
223,Schale::N,кедь,қабық
224,Schale::N,кедь,қабығы
225,Schale::N,ваткавкс,қабық
226,Schale::N,ваткавкс,қабығы
227,Grube::N,латко,ор
228,Falle::N,тувор,дұзақ
229,Falle::N,тувор,қақпан
230,Falle::N,кундамка,дұзақ
231,Falle::N,кундамка,қақпан
232,Schlinge::N,килькш,ілмек
233,Spur::N,челькс,із
234,Spur::N,пильгеки,із
235,Asche::N,кулов,күл
236,Dreck::N,рудаз,былғаныш
237,Eisen::N,кшни,темір
238,Gold::N,сырне,алтын
239,Silber::N,сия,күміс
240,Kohle::N,сэдь,көмір
241,Kohle::N,уголия,көмір
242,Glas::N,сулика,шыны
243,Lehm::N,сёвонь,балшық
244,Sand::N,човар,құм
245,Mensch::N,ломань,адам
246,Mann::N,аля,еркек
247,Mann::N,аля,ер адам
248,Mann::N,цёраломань,еркек
249,Mann::N,цёраломань,ер адам
250,Frau::N,ава,бике
251,Frau::N,ава,қатын
252,Kind::N,эйкакш,бала
253,Kind::N,эйкакш,перзент
254,Junge::N,цёрыне,бала
255,Junge::N,цёрыне,ер бала
256,Mädchen::N,тейтерне,қыз
257,Familie::N,семия,жанұя
258,Großvater::N,покштя,ата
259,Großmutter::N,баба,әже
260,Großmutter::N,баба,әжей
261,Eltern::N,тетят-ават,ата-аналар
262,Vater::N,тетя,әке
263,Mutter::N,ава,ана
264,Sohn::N,цёра,ұл
265,Tochter::N,тейтерь,қызым
266,Bruder::N,леля,бауырым
267,Bruder::N,ялакс,бауырым
268,Schwester::N,сазор,әпке
269,Onkel::N,леля,көке
270,Tante::N,патя,тәте
271,Ehemann::N,мирде,ер
272,Ehefrau::N,ни,зайып
273,Freude::N,кеняркс,қуаныш
274,Freude::N,кеняркс,сүйініш
275,Freude::N,кеняркс,шат-думан
276,Freude::N,кеняркс,қуаныштылық
277,Gelächter::N,ракамо,күлу
278,Gelächter::N,пейдема,күлу
279,Glück::N,уцяска,бақыт
280,Glück::N,уцяска,бақыттылық
281,Kummer::N,рискс,аза
282,Kummer::N,рискс,қайғы
283,Kummer::N,рискс,қасырет
284,Kummer::N,мелявкс,аза
285,Kummer::N,мелявкс,қайғы
286,Kummer::N,мелявкс,қасырет
287,Wunsch::N,мель,мүдде
288,Wunsch::N,бажамо,мүдде
289,Lust::N,бажамо,тәбет
290,Lust::N,бажамо,ынтызар
291,Lust::N,бажамо,құштарлық
292,Geist::N,ойме,рух
293,Gedanke::N,мель,ой
294,Gedächtnis::N,мель,ес
295,Gedächtnis::N,мель,жады
296,Gedächtnis::N,мель,ақыл-ес
297,Verstand::N,прев,ақыл
298,Verstand::N,прев,парасат
299,Sinn::N,толк,мән
300,Sinn::N,толк,маныз
301,Sinn::N,толк,мағына
302,Sinn::N,толк,мән-мағына
303,Sinn::N,смысла,мән
304,Sinn::N,смысла,маныз
305,Sinn::N,смысла,мағына
306,Sinn::N,смысла,мән-мағына
307,Grund::N,тувтал,себеп
308,Wahrheit::N,видечи,рас
309,Gespräch::N,кортнема,әңгіме
310,Märchen::N,ёвкс,ертеп
311,Märchen::N,ёвкс,ертек
312,Erzählung::N,ёвтнема,әңгіме
313,Nachricht::N,куля,хабар
314,Neuigkeit::N,куля,жаңалық
315,Name::N,лем,ат
316,Name::N,лем,атау
317,Rätsel::N,содамоёвкс,жұмбақ
318,Rede::N,кортамо,сөз
319,Sprache::N,кель,тіл
320,Stimme::N,ваигель,үн
321,Stimme::N,ваигель,әуен
322,Stimme::N,ваигель,дауыс
323,Wort::N,вал,сөз
324,Zeichen::N,теште,ишара
325,Ruf::N,тердема,айғай
326,Lärm::N,шалнома,айғай-шу
327,Lärm::N,шалнома,айғай-ұйғай
328,Laut::N,вайгель,дыбыс
329,Laut::N,вайгель,дауыс
330,Ton::N,гайнема,әуен
331,Lied::N,моро,ән
332,Lied::N,моро,жыр
333,Lied::N,моро,ән-жыр
334,Ruhe::N,оймамо,тыныштық
335,Leute::N,ломанть,кісілер
336,Volk::N,народ,халық
337,Arbeit::N,тев,еңбек
338,Gast::N,инже,қонақ
339,Gast::N,инже,мейман
340,Geschenk::N,казне,қадия
341,Spiel::N,налксема,ойын
342,Gesellschaft::N,община,қауым
343,Gesellschaft::N,община,жұртшылық
344,Hilfe::N,лездамо,жэрдем
345,Freund::N,оя,дос
346,Freund::N,ялга,дос
347,Kamerad::N,оя,дос-жар
348,Kamerad::N,ялга,дос-жар
349,Angelegenheit::N,тев,жұмыс
350,Anzahl::N,ламоксчи,сан
351,Anzahl::N,ламоксчи,саны
352,Art::N,вид,түр
353,Stück::N,пакш,тілім
354,Stück::N,пелькс,тілім
355,Teil::N,часть,үлес
356,Teil::N,часть,бөлшек
357,Teil::N,пелькс,үлес
358,Teil::N,пелькс,бөлшек
359,Hälfte::N,пель,жарты
360,Hälfte::N,пелькс,жарты
361,Kreis::N,кирькс,шеңбер
362,Kreuz::N,крёст,крест
363,Linie::N,кикс,сызық
364,Strich::N,межа,сызық
365,Abstand::N,ютко,ара
366,Abstand::N,ютко,аралық
367,Entfernung::N,ютко,аралық
368,Gegend::N,тарка,өңір
369,Gegend::N,пертьпелькс,өңір
370,Platz::N,васолкс,орны
371,Ort::N,тарка,орын
372,Seite::N,ён,жақ
373,Seite::N,ён,бүйір
374,Seite::N,чире,жақ
375,Seite::N,чире,бүйір
376,Mitte::N,куншка,ортасы
377,Gegenstand::N,предмет,зат
378,Gegenstand::N,предмет,нәрсе
379,Sache::N,тев,бұйым
380,Sache::N,веща,бұйым
381,Rand::N,пе,шет
382,Rand::N,пе,шеті
383,Rand::N,чире,шет
384,Rand::N,чире,шеті
385,Kante::N,ирдез,қыр
386,Kante::N,ирдез,қыры
387,Ecke::N,ужо,қыры
388,Ecke::N,ужо,бұрыш
389,Spitze::N,пряне,ұшы
390,Spitze::N,пе,ұшы
391,Ende::N,пе,аяқ
392,Ende::N,пе,соңы
393,Loch::N,варя,тесік
394,Winkel::N,ужо,мүйіс
395,Muster::N,сёрма,мәнер
396,Größe::N,сэрь,ауқым
397,Größe::N,сэрь,көлемдік
398,Größe::N,покшолма,ауқым
399,Größe::N,покшолма,көлемдік
400,Länge::N,кувалмо,бой
401,Länge::N,кувалмо,ұзындық
402,Höhe::N,сэрь,жоғарылық
403,Höhe::N,сэрь,биіктік
404,Höhe::N,пандо,жоғарылық
405,Höhe::N,пандо,биіктік
406,Gewicht::N,сталмо,салмақ
407,Menge::N,лововкс,мөлшер
408,Haufen::N,мар,үйме
409,Haufen::N,мар,үйінді
410,Haufen::N,валявкс,үйме
411,Haufen::N,валявкс,үйінді
412,Reihe::N,ряд,сап
413,Boot::N,венч,қайық
414,Ruder::N,милё,ескек
415,Schlitten::N,нурдт,шана
416,Ski::N,сокс,шаңғы
417,Lagerfeuer::N,толбандя,алау
418,Last::N,сталмо,ауырлық
419,Last::N,сталмо,ауыр зат
420,Last::N,кандома,ауырлық
421,Last::N,кандома,ауыр зат
422,Gang::N,молема,жүріс
423,Gang::N,якамо,жүріс
424,Schritt::N,эскелькс,адым
425,Norden::N,якшамо ёнкс,солтүстік
426,Norden::N,якшамо ёнкс,терістік
427,Süden::N,лембе ёнкс,оңтүстік
428,Westen::N,чивалгома,батыс
429,Osten::N,чилисема,күншығыс
430,Holz::N,чувто,ағаш
431,Holz::N,чувто,сүрек
432,Brett::N,лаз,тақта
433,Platte::N,плита,тақта
434,Stütze::N,неже,тіреу
435,Stange::N,олга,қада
436,Stock::N,мандо,сойыл
437,Stab::N,олога,сырық
438,Rohr::N,турба,құбыр
439,Haus::N,кудо,үй
440,Heim::N,кудо,үйлі
441,Heim::N,кудо,шаңырақ
442,Ofen::N,каштомо,ошақ
443,Ofen::N,каштомо,пеш
444,Fußboden::N,киякс,еден
445,Tisch::N,столь,үстел
446,Stuhl::N,стул,орындық
447,Wiege::N,лавсь,бесік
448,Wiege::N,нурямот,бесік
449,Bett::N,ацамо,кереует
450,Regal::N,лався,сөре
451,Regal::N,лавсяланго,сөре
452,Kiste::N,горобия,жәшік
453,Kiste::N,сундук,жәшік
454,Fenster::N,вальма,терезе
455,Tür::N,кенкш,есік
456,Tor::N,ортат,дарбаза
457,Zaun::N,пирявт,дуал
458,Zaun::N,пирвякс,дуал
459,Dach::N,кудопря,шатыр
460,Leiter::N,кузтема,саты
461,Leiter::N,кузтема,басқыш
462,Besen::N,тенсть,сыпырғыш
463,Spaten::N,койме,күрек
464,Schaufel::N,кече,қалақ
465,Schaufel::N,келей койме,қалақ
466,Gabel::N,сянгине,аша
467,Gabel::N,сянгине,шанышқы
468,Löffel::N,пенч,қасық
469,Messer::N,пеель,пышақ
470,Nagel::N,эске,мық
471,Nagel::N,эске,шеге
472,Netz::N,алтыма,керегекөз
473,Haken::N,кечказ,ілмек
474,Griff::N,кедне,сап
475,Griff::N,кедне,тұтқа
476,Schloss::N,замок,құлып
477,Schloss::N,замок,бекіткіш
478,Schloss::N,панжома,құлып
479,Schloss::N,панжома,бекіткіш
480,Bild::N,картина,сурет
481,Figur::N,рунго,тұлға
482,Puppe::N,няка,қуыршақ
483,Beutel::N,кескав,қапшық
484,Bündel::N,керькс,байлам
485,Tasche::N,юдма,дорба
486,Eimer::N,ведра,шелек
487,Deckel::N,велькс,жапқыш
488,Geschirr::N,кедьге,ыдыс
489,Sack::N,кескав,қап
490,Tasse::N,чакш,шыныаяқ
491,Topf::N,кастрюля,кәстрөл
492,Kessel::N,котёл,қазан
493,Essen::N,ярсамо,ас
494,Nahrung::N,ярсамопель,ас
495,Nahrung::N,ярсамопель,тамақ
496,Speise::N,ярсамопель,тағам
