,Concept_ID,hr,udm
0,Auge::N,oko,син
1,Ohr::N,uho,пель
2,Nase::N,nos,ныр
3,Mund::N,usta,ым
4,Zahn::N,zub,пинь
5,Zunge::N,jezik,кыл
6,Lippe::N,usna,ымдур
7,Wange::N,obraz,бам
8,Gesicht::N,lice,ымныр
9,Stirn::N,čelo,кымес
10,Haar::N,kosa,йырси
11,Schnurrbart::N,brkovi,мыйык
12,Bart::N,brada,туш
13,Kinn::N,brada,ангес
14,Kinn::N,podbradak,ангес
15,Kiefer[Anatomie]::N,čeljust,ан
16,Kiefer[Anatomie]::N,čeljust,анлы
17,Kehle::N,grlo,гульым
18,Hals::N,vrat,чырты
19,Genick::N,zatiljak,йырбер
20,Kopf::N,glava,йыр
21,Rücken::N,leđa,мыш
22,Rücken::N,hrbat,мыш
23,Bauch::N,trbuh,кӧт
24,Nabel::N,pupak,гогы
25,Busen::N,sisa,ноны
26,Busen::N,njedra,ноны
27,Brust::N,prsa,мӧля
28,Schulter::N,rame,пельпум
29,Schulter::N,pleći,пельпум
30,Arm::N,ruka,суй
31,Ellenbogen::N,lakat,гырпум
32,Hand::N,ruka,ки
33,Handfläche::N,dlan,ки пыдэс
34,Handfläche::N,dlan,кырым пыдэс
35,Finger::N,prst,чиньы
36,Fingernagel::N,nokat,гижы
37,Fingernagel::N,nokat,гиждӥнь
38,Nagel[Anatomie]::N,nokat,гижы
39,Zeh::N,nozni prst,пыдчиньы
40,Fuß::N,noga,пыд
41,Fuß::N,stopalo,пыд
42,Ferse::N,peta,пыдбер
43,Knie::N,koljeno,пыдес
44,Oberschenkel::N,bedro,макес
45,Bein::N,noga,пыд
46,Körper::N,tijelo,мугор
47,Körper::N,tijelo,вылтыр
48,Haut::N,put,ку
49,Haut::N,koža,ку
50,Blut::N,krv,вир
51,Ader::N,žila,вирсэр
52,Sehne::N,tetiva,вуж
53,Knochen::N,kost,лы
54,Herz::N,srce,сюлэм
55,Magen::N,stomak,ӝуш
56,Magen::N,želudac,ӝуш
57,Leber::N,jetra,мус
58,Atem::N,dah,лул
59,Atem::N,dah,шокан
60,Hunger::N,glad,кӧтсюман
61,Träne::N,suza,синкыли
62,Geschmack::N,ukus,шӧм
63,Geruch::N,njuh,зын
64,Geruch::N,miris,зын
65,Schlaf::N,san,вӧт
66,Traum::N,san,уйвӧт
67,Himmel::N,nebo,ин
68,Sonne::N,sunce,шунды
69,Mond::N,mjesec,толэзь
70,Stern::N,zvijezda,кизили
71,Luft::N,zrak,омыр
72,Wind::N,vjetar,тӧл
73,Welle::N,val,тулкым
74,Welle::N,talas,тулкым
75,Wasser::N,voda,ву
76,Stein::N,kamen,из
77,Boden::N,tlo,музъем
78,Boden::N,zemlja,музъем
79,Erde::N,zemlja,му
80,Staub::N,prah,пыль
81,Staub::N,prašina,пыль
82,Rauch::N,dim,ӵын
83,Funke::N,iskra,гизьы
84,Funke::N,varnica,гизьы
85,Feuer::N,vatra,тыл
86,Licht::N,svjetlo,тыл
87,Schatten::N,hlad,вужер
88,Schatten::N,sjena,вужер
89,Wetter::N,vrijeme,куазь
90,Nebel::N,magla,бус
91,Wolke::N,oblak,пилем
92,Regen::N,kiša,зор
93,Schnee::N,snijeg,лымы
94,Eis::N,led,йӧ
95,Frost::N,mraz,кезьыт
96,Kälte::N,studen,кезьыт
97,Kälte::N,hladnoća,кезьыт
98,Hitze::N,vrućina,пӧсь
99,Raureif::N,inje,гӧр
100,Regenbogen::N,duga,вуюись
101,Donner::N,grom,гудыри
102,Donner::N,grmljavina,гудыри
103,Strömung::N,struja,бызён
104,Strömung::N,strujanje,бызён
105,Tropfen::N,kap,шапык
106,Tropfen::N,kaplja,шапык
107,Schaum::N,pjena,шукы
108,Schmutz::N,nečistoća,нӧд
109,Schmutz::N,nečistoća,дэри
110,Schmutz::N,prljavština,нӧд
111,Schmutz::N,prljavština,дэри
112,See::N,jezero,ты
113,Sumpf::N,bara,нюр
114,Moor::N,močvara,нюр
115,Wiese::N,livada,возь
116,Wiese::N,livada,возьвыл
117,Wald::N,šuma,сик
118,Wald::N,šuma,нюлэс
119,Hügel::N,brijeg,выр
120,Hügel::N,brijeg,вырйыл
121,Hügel::N,brežuljak,выр
122,Hügel::N,brežuljak,вырйыл
123,Anhöhe::N,uzvišica,выр
124,Anhöhe::N,uzvišica,вырйыл
125,Berg::N,brdo,гурезь
126,Gipfel::N,vrh,йыл
127,Höhle::N,pećina,гу
