,Concept_ID,ro,sk
0,Auge::N,ochi,oko
1,Ohr::N,ureche,ucho
2,Nase::N,nas,nos
3,Mund::N,gură,ústa
4,Zahn::N,dinte,zub
5,Zunge::N,limbă,jazyk
6,Lippe::N,buză,pera
7,Wange::N,bucă,líce
8,Wange::N,obraz,líce
9,Gesicht::N,față,tvár
10,Gesicht::N,față,obličaj
11,Gesicht::N,figură,tvár
12,Gesicht::N,figură,obličaj
13,Stirn::N,frunte,čelo
14,Haar::N,păr,vlas
15,Schnurrbart::N,mustață,fúzy
16,Bart::N,barbă,brada
17,Kinn::N,bărbie,brada
18,Kiefer[Anatomie]::N,falcă,čeľusť
19,Kehle::N,beregată,hrdlo
20,Hals::N,gât,krk
21,Genick::N,ceafă,väzy
22,Kopf::N,cap,hlava
23,Rücken::N,dos,chrbát
24,Rücken::N,spate,chrbát
25,Rücken::N,spinare,chrbát
26,Bauch::N,burtă,brucho
27,Bauch::N,pântece,brucho
28,Nabel::N,buric,pupok
29,Busen::N,sân,prsia
30,Brust::N,piept,hruď
31,Schulter::N,umăr,plece
32,Schulter::N,spate,plece
33,Arm::N,braț,rameno
34,Ellenbogen::N,cot,lakeť
35,Hand::N,mână,ruka
36,Handfläche::N,palmă,dlaň
37,Finger::N,deget,prst
38,Fingernagel::N,unghie,necht
39,Nagel[Anatomie]::N,unghie,necht
40,Zeh::N,deget de la picior,prst na nohe
41,Fuß::N,picior,noha
42,Ferse::N,călcâi,päta
43,Knie::N,genunchi,koleno
44,Oberschenkel::N,coapsă,stehno
45,Bein::N,picior,noha
46,Körper::N,corp,telo
47,Haut::N,piele,koža
48,Blut::N,sânge,krv
49,Ader::N,vână,žila
50,Ader::N,arteră,žila
51,Sehne::N,tendon,šľacha
52,Knochen::N,os,kosť
53,Gehirn::N,creier,mozog
54,Herz::N,inimă,srdce
55,Magen::N,stomac,žalúdok
56,Leber::N,ficat,pečeň
57,Atem::N,răsuflare,dych
58,Atem::N,respirație,dych
59,Hunger::N,foame,hlad
60,Träne::N,lacrimă,slza
61,Geschmack::N,gust,chuť
62,Geruch::N,miros,pach
63,Schlaf::N,somn,spánok
64,Traum::N,vis,sen
65,Himmel::N,cer,nebo
66,Sonne::N,soare,slnko
67,Mond::N,lună,mesiac
68,Stern::N,stea,hviezda
69,Luft::N,aer,vzduch
70,Wind::N,vânt,vietor
71,Welle::N,val,vlna
72,Welle::N,undă,vlna
73,Wasser::N,apă,voda
74,Stein::N,piatră,kameň
75,Boden::N,sol,zem
76,Boden::N,sol,pôda
77,Boden::N,pământ,zem
78,Boden::N,pământ,pôda
79,Erde::N,pământ,zem
80,Staub::N,praf,prach
81,Rauch::N,fum,dym
82,Funke::N,scânteie,iskra
83,Feuer::N,foc,oheň
84,Licht::N,lumină,svetlo
85,Schatten::N,umbră,tieň
86,Wetter::N,timp,počasie
87,Wetter::N,vreme,počasie
88,Nebel::N,ceață,hmla
89,Nebel::N,negură,hmla
90,Wolke::N,nor,oblak
91,Wolke::N,nor,mračno
92,Regen::N,ploaie,dážď
93,Schnee::N,zăpadă,sneh
94,Eis::N,gheață,ľad
95,Frost::N,ger,mráz
96,Kälte::N,frig,zima
97,Kälte::N,frig,chlad
98,Hitze::N,arșiță,horúčava
99,Hitze::N,căldură,horúčava
100,Raureif::N,chiciură,srieň
101,Raureif::N,chiciură,inovať
102,Regenbogen::N,curcubeu,dúha
103,Donner::N,tunet,hrom
104,Strömung::N,curent,prúdenie
105,Tropfen::N,picătură,kvapka
106,Schaum::N,spumă,pena
107,Schmutz::N,murdărie,špina
108,Schmutz::N,murdărie,nečistota
109,See::N,lac,jazero
110,Sumpf::N,mlaștină,bahno
111,Moor::N,bărăgan,močiar
112,Wiese::N,fânaț,lúka
113,Wiese::N,livadă,lúka
114,Wald::N,codru,les
115,Wald::N,codru,hora
116,Wald::N,pădure,les
117,Wald::N,pădure,hora
118,Hügel::N,deal,vŕšok
119,Hügel::N,movilă,vŕšok
120,Anhöhe::N,deal,výšina
121,Anhöhe::N,deal,vyvýšenina
122,Anhöhe::N,ridicătură,výšina
123,Anhöhe::N,ridicătură,vyvýšenina
124,Berg::N,munte,hora
125,Gipfel::N,pisc,vrchol
126,Höhle::N,peșteră,jaskyňa
127,Abhang::N,pantă,úbočie
128,Abhang::N,versant,úbočie
129,Quelle::N,izvor,prameň
130,Bach::N,gârlă,potok
131,Fluss::N,râu,rieka
132,Fluss::N,fluviu,rieka
133,Ufer::N,mal,breh
134,Ufer::N,țărm,breh
135,Küste::N,coastă,pobrežie
136,Festland::N,uscat,pevnina
137,Meer::N,mare,more
138,Bucht::N,golf,záliv
139,Bucht::N,golf,zátoka
140,Insel::N,insulă,ostrov
141,Blume::N,floare,kvet
142,Blume::N,floare,kvetina
143,Gras::N,iarbă,tráva
144,Wurzel::N,rădăcină,koreň
145,Baum::N,copac,strom
146,Baum::N,arbore,strom
147,Stamm::N,tulpină,kmeň
148,Rinde::N,scoarță,kôra
149,Ast::N,cracă,konár
150,Ast::N,creangă,konár
151,Zweig::N,ramură,vetva
152,Zweig::N,creangă,vetva
153,Blatt::N,frunză,list
154,Birke::N,mesteacăn,breza
155,Kiefer[Baum]::N,pin,sosna
156,Kiefer[Baum]::N,pin,borovica
157,Weide[Baum]::N,salcie,vŕba
158,Weide[Baum]::N,răchită,vŕba
159,Tanne::N,brad,jedľa
160,Horn::N,corn,roh
161,Feder::N,pană,pero
162,Fell::N,piele,koža
163,Fell::N,piele,kožušina
164,Flügel::N,aripă,krídlo
165,Klaue::N,gheară,paznecht
166,Kralle::N,labă,pazúr
167,Kralle::N,gheară,pazúr
168,Schwanz::N,coadă,chvost
169,Ei::N,ou,vajce
170,Ei::N,ou,vajíčko
171,Nest::N,cuib,hniezdo
172,Bau::N,bârlog,nora
173,Bau::N,vizuină,nora
174,Tier::N,animal,zviera
175,Herde::N,turmă,stádo
176,Herde::N,cireadă,stádo
177,Kuh::N,vacă,krava
178,Bulle::N,taur,býk
179,Pferd::N,cal,kôň
180,Schaf::N,oaie,ovca
181,Schwein::N,porc,sviňa
182,Hund::N,câine,pes
183,Katze::N,pisică,mačka
184,Bär::N,urs,medveď
185,Eichhörnchen::N,veveriță,veverička
186,Elch::N,elan,los
187,Fuchs::N,vulpe,líška
188,Hase::N,iepure,zajac
189,Maus::N,șoarece,myš
190,Wolf::N,lup,vlk
191,Vogel::N,pasăre,vták
192,Schwarm::N,cârd,roj
193,Huhn::N,găină,kurča
194,Huhn::N,găină,sliepka
195,Hahn::N,cocoș,kohút
196,Gans::N,gâscă,hus
197,Adler::N,vultur,orol
198,Ente::N,rață,kačka
199,Ente::N,rață,kačica
200,Eule::N,bufniță,sova
201,Kranich::N,cocor,žeriav
202,Krähe::N,cioară,vrana
203,Kuckuck::N,cuc,kukučka
204,Schwan::N,lebădă,labuť
205,Fisch::N,pește,ryba
206,Barsch::N,biban,ostriež
207,Hecht::N,știucă,šťuka
208,Schlange[Tier]::N,șarpe,had
209,Wurm::N,vierme,červ
210,Spinne::N,păianjen,pavúk
211,Ameise::N,furnică,mravec
212,Laus::N,păduche,voš
213,Mücke::N,țânțar,komár
214,Fliege::N,muscă,mucha
215,Schmetterling::N,fluture,motýľ
216,Beere::N,boabă,bobuľa
217,Apfel::N,măr,jablko
218,Pilz::N,burete,hríb
219,Pilz::N,ciupercă,hríb
220,Zwiebel::N,ceapă,cibuľa
221,Saat::N,semănătură,osivo
222,Korn::N,grâu,zrno
223,Heu::N,fân,seno
224,Schale::N,coajă,šupa
225,Schale::N,coajă,škrupina
226,Grube::N,groapă,jama
227,Falle::N,cursă,pasca
228,Falle::N,cursă,klepec
229,Falle::N,capcană,pasca
230,Falle::N,capcană,klepec
231,Schlinge::N,laț,slučka
232,Spur::N,dâră,stopa
233,Asche::N,cenușă,popol
234,Dreck::N,noroi,kal
235,Dreck::N,noroi,blato
236,Dreck::N,murdărie,kal
237,Dreck::N,murdărie,blato
238,Eisen::N,fier,železo
239,Gold::N,aur,zlato
240,Silber::N,argint,striebro
241,Kohle::N,cărbune,uhlie
242,Glas::N,sticlă,sklo
243,Lehm::N,lut,íl
244,Lehm::N,lut,hlina
245,Lehm::N,humă,íl
246,Lehm::N,humă,hlina
247,Sand::N,nisip,piesok
248,Mensch::N,om,človek
249,Mensch::N,persoană,človek
250,Mann::N,om,muž
251,Mann::N,om,chlap
252,Mann::N,bărbat,muž
253,Mann::N,bărbat,chlap
254,Frau::N,femeie,žena
255,Kind::N,copil,dieťa
256,Junge::N,băiat,chlapec
257,Junge::N,flăcău,chlapec
258,Mädchen::N,fată,dievka
259,Familie::N,familie,rodina
260,Großvater::N,bunic,dedo
261,Großvater::N,bunic,starý otec
262,Großvater::N,tată mare,dedo
263,Großvater::N,tată mare,starý otec
264,Großmutter::N,bunică,babička
265,Großmutter::N,bunică,stará mať
266,Großmutter::N,mamă mare,babička
267,Großmutter::N,mamă mare,stará mať
268,Eltern::N,părinți,rodičia
269,Vater::N,tată,otec
270,Vater::N,părinte,otec
271,Mutter::N,mamă,mať
272,Mutter::N,mamă,matka
273,Sohn::N,fiu,syn
274,Sohn::N,fecior,syn
275,Tochter::N,fiică,dcéra
276,Bruder::N,frate,brat
277,Schwester::N,soră,sestra
278,Onkel::N,unchi,ujo
279,Onkel::N,unchi,strýko
280,Tante::N,mătușă,teta
281,Tante::N,mătușă,tetka
282,Ehemann::N,soț,muž
283,Ehemann::N,soț,manžel
284,Ehemann::N,bărbat,muž
285,Ehemann::N,bărbat,manžel
286,Ehefrau::N,soție,žena
287,Ehefrau::N,soție,manželka
288,Freude::N,bucurie,radosť
289,Gelächter::N,râset,smiech
290,Glück::N,fericire,šťastie
291,Kummer::N,mâhnire,žiaľ
292,Kummer::N,mâhnire,zármutok
293,Wunsch::N,dorință,prianie
294,Wunsch::N,deziderat,prianie
295,Lust::N,poftă,chuť
296,Lust::N,înclinare,chuť
297,Geist::N,duh,duch
298,Geist::N,minte,duch
299,Geist::N,suflet,duch
300,Gedanke::N,gând,myšlienka
301,Gedanke::N,cuget,myšlienka
302,Gedächtnis::N,memorie,pamäť
303,Verstand::N,minte,rozum
304,Verstand::N,intelect,rozum
305,Sinn::N,sens,zmysel
306,Sinn::N,înțeles,zmysel
307,Grund::N,cauză,dôvod
308,Grund::N,cauză,príčina
309,Grund::N,pricină,dôvod
310,Grund::N,pricină,príčina
311,Wahrheit::N,adevăr,pravda
312,Gespräch::N,convorbire,reč
313,Gespräch::N,convorbire,rozhovor
314,Gespräch::N,conversație,reč
315,Gespräch::N,conversație,rozhovor
316,Märchen::N,basm,rozprávka
317,Märchen::N,poveste,rozprávka
318,Erzählung::N,poveste,poviedka
319,Nachricht::N,veste,správa
320,Neuigkeit::N,noutate,novinka
321,Neuigkeit::N,actualitate,novinka
322,Name::N,nume,meno
323,Rätsel::N,ghicitoare,záhada
324,Rätsel::N,ghicitoare,hádanka
325,Rede::N,discurs,reč
326,Sprache::N,limbă,reč
327,Sprache::N,limbă,jazyk
328,Sprache::N,limbaj,reč
329,Sprache::N,limbaj,jazyk
330,Stimme::N,glas,hlas
331,Wort::N,cuvânt,slovo
332,Zeichen::N,semn,znak
333,Zeichen::N,semnal,znak
334,Ruf::N,chemare,volanie
335,Ruf::N,chemare,zavolanie
336,Lärm::N,zgomot,hluk
337,Lärm::N,zgomot,hurhaj
338,Lärm::N,tărăboi,hluk
339,Lärm::N,tărăboi,hurhaj
340,Laut::N,sunet,zvuk
341,Ton::N,ton,tón
342,Ton::N,ton,zvuk
343,Lied::N,cântec,pieseň
344,Ruhe::N,odihnă,pokoj
345,Ruhe::N,liniște,pokoj
346,Leute::N,lume,ľudia
347,Leute::N,oameni,ľudia
348,Volk::N,popor,ľud
349,Volk::N,popor,národ
350,Volk::N,națiune,ľud
351,Volk::N,națiune,národ
352,Arbeit::N,lucru,práca
353,Arbeit::N,lucru,robota
354,Gast::N,musafir,hosť
355,Geschenk::N,dar,dar
356,Geschenk::N,cadou,dar
357,Spiel::N,joc,hra
358,Gesellschaft::N,societate,spoločnosť
359,Hilfe::N,ajutor,pomoc
360,Freund::N,amic,priateľ
361,Freund::N,prieten,priateľ
362,Kamerad::N,tovarăș,kamarát
363,Angelegenheit::N,afacere,vec
364,Angelegenheit::N,afacere,záležitosť
365,Anzahl::N,număr,počet
366,Anzahl::N,număr,množstvo
367,Anzahl::N,cantitate,počet
368,Anzahl::N,cantitate,množstvo
369,Art::N,fel,druh
370,Art::N,specie,druh
