,Concept_ID,ta,is
0,Auge::N,கண்,auga
1,Ohr::N,காது,eyra
2,Nase::N,மூக்கு,nef
3,Mund::N,வாய்,munnur
4,Zahn::N,பல்,tönn
5,Zunge::N,நாக்கு,tunga
6,Lippe::N,உதடு,vör
7,Wange::N,கன்னம்,kinn
8,Wange::N,கன்னம்,vangi
9,Gesicht::N,முகம்,andlit
10,Stirn::N,முன்னெற்றி,enni
11,Haar::N,முடி,hár
12,Schnurrbart::N,மீசை,yfirskegg
13,Bart::N,தாடி,skegg
14,Kinn::N,கீழதாடை,haka
15,Kiefer[Anatomie]::N,தாடை,kjálki
16,Kiefer[Anatomie]::N,தாடை,skoltur
17,Kehle::N,தொண்டை,kverk
18,Hals::N,கழுத்து,háls
19,Genick::N,கழுத்து,hnakki
20,Kopf::N,தலை,höfuð
21,Rücken::N,முதுகு,hryggur
22,Bauch::N,வயிறு,kviður
23,Nabel::N,தொப்புள்,nafli
24,Busen::N,மார்பகம்,barmur
25,Brust::N, மார்பு,brjóst
26,Schulter::N,தோள்பட்டை,öxl
27,Arm::N,கரம்,armur
28,Ellenbogen::N,முழங்கை,olnbogi
29,Hand::N,கை,hönd
30,Handfläche::N,உள்ளங்கை,lófi
31,Finger::N,விரல்,fingur
32,Fingernagel::N,விரல் நகம்,fingurnögl
33,Nagel[Anatomie]::N,நகம்,nögl
34,Zeh::N,கால்விரல்,tá
35,Fuß::N,கால்,fótur
36,Ferse::N,குதிகால்,hæll
37,Knie::N,முழங்கால்,kné
38,Oberschenkel::N,தொடை,læri
39,Bein::N,கால்,fótleggur
40,Körper::N,உடல்,búkur
41,Körper::N,உடல்,líkami
42,Haut::N,சருமம்,húð
43,Haut::N,சருமம்,skinn
44,Blut::N,இரத்தம்,blóð
45,Ader::N,நாளம்,æð
46,Sehne::N,தசைநார்,sin
47,Knochen::N,எலுமபு,bein
48,Gehirn::N,மூனை,heili
49,Herz::N,இதயம,hjarta
50,Magen::N,வயிறு,magi
51,Leber::N,கல்லீரல்,lifur
52,Atem::N,மூச்சு,andi
53,Atem::N,மூச்சு,andardráttur
54,Hunger::N,பசி,hungur
55,Träne::N,கண்ணீர்,tár
56,Geschmack::N,நறுமணம்,smekkur
57,Geruch::N,துர்நாற்றம்,lykt
58,Schlaf::N,தூக்கம்,svefn
59,Traum::N,கனவு,draumur
60,Himmel::N,வானம்,himinn
61,Sonne::N,சூரியன்,sól
62,Mond::N,சந்திரன்,tungl
63,Stern::N,நட்சத்திரம்,stjarna
64,Luft::N,காறறு,loft
65,Wind::N,காற்று,vindur
66,Welle::N,அலை,alda
67,Welle::N,அலை,bylgja
68,Wasser::N,நீர்,vatn
69,Stein::N,கல்,steinn
70,Boden::N,தரை,botn
71,Erde::N,மண்,jörð
72,Staub::N,தூசி,ryk
73,Staub::N,தூசி,duft
74,Rauch::N,புகை,reykur
75,Funke::N,தீப்பொறி,neisti
76,Feuer::N,தீ,eldur
77,Licht::N,வெளிச்சம்,ljós
78,Schatten::N,நிழல்,skuggi
79,Wetter::N,வானிலை,veður
80,Nebel::N,பனிமூட்டம்,þoka
81,Wolke::N,மேகம்,ský
82,Regen::N,மழை,regn
83,Schnee::N,உறைபனி,snjór
84,Eis::N,பனிக்கட்டி,ís
85,Frost::N,உறைபனி,frost
86,Kälte::N,குளிர்ந்த,kuldi
87,Hitze::N,சூடு,hiti
88,Raureif::N,உறைபனி வெண்திரை,hrím
89,Regenbogen::N,வானவில்,regnbogi
90,Donner::N,இடி,þruma
91,Strömung::N,நீரோட்டம்,straumur
92,Tropfen::N,துளி,dropi
93,Schaum::N,நுரை,froða
94,Schmutz::N,அழுக்கு,óhreinindi
95,See::N,ஏரி,stöðuvatn
96,Sumpf::N,சதுப்பு நிலம்,fen
97,Moor::N,முட்புதற்காடு,mýri
98,Wiese::N,பசும் புல்தரை,engi
99,Wald::N,காடு,skógur
100,Hügel::N,குன்று,hæð
101,Hügel::N,குன்று,hóll
102,Anhöhe::N,பதுக்கை,hæð
103,Anhöhe::N,பதுக்கை,hóll
104,Berg::N,மலை,fell
105,Berg::N,மலை,fjall
106,Gipfel::N,உச்சி மாநாடு,tindur
107,Höhle::N,குகை,hellir
108,Abhang::N,சரிவு,hlíð
109,Abhang::N,சரிவு,brekka
110,Quelle::N,மூலம்,lind
111,Quelle::N,மூலம்,uppspretta
112,Bach::N,ஓடை,lækur
113,Fluss::N,ஆறு,á
114,Fluss::N,ஆறு,fljót
115,Ufer::N,நீர்க்கரை,árbakki
116,Ufer::N,நீர்க்கரை,sjávarbakki
117,Küste::N,கடற்கரை,strönd
118,Festland::N,நிலம்,meginland
119,Meer::N,கடல்,haf
120,Meer::N,கடல்,sjór
121,Bucht::N,சிறுகுடா,vík
122,Insel::N,தீவு,eyja
123,Blume::N,பூ,blóm
124,Gras::N,புல்தரை,gras
125,Wurzel::N,வேர்,rót
126,Baum::N,மரம்,tré
127,Stamm::N,அடிமரம்,stofn
128,Rinde::N,பட்டை,börkur
129,Rinde::N,மரப்பட்டை,börkur
130,Ast::N,கினை,grein
131,Zweig::N,குச்சி,angi
132,Zweig::N,குச்சி,kvistur
133,Blatt::N,இலை,blað
134,Birke::N,பிர்ச் மரம்,birki
135,Kiefer[Baum]::N,தேவதாரு மரம்,fura
136,Weide[Baum]::N,மர வகைகளுள் ஒன்று,víðir
137,Tanne::N,சாதிக்கய்,greni
138,Horn::N,கொம்பு,horn
139,Feder::N,இறகு,fjöður
140,Fell::N,மென்முடி,skinn
141,Flügel::N,இறக்கை,vængur
142,Klaue::N,நகம்,kló
143,Kralle::N,நகம்,kló
144,Schwanz::N,வால்,rófa
145,Schwanz::N,வால்,skott
146,Ei::N,முட்டை,egg
147,Nest::N,கூடு,hreiður
148,Bau::N,குகை,greni
149,Bau::N,குகை,bæli
150,Tier::N,விலங்கு,dýr
151,Herde::N,கூட்டம்,hjörð
152,Kuh::N,பசு,kýr
153,Bulle::N,காளை,boli
154,Pferd::N,குதிரை,hestur
155,Schaf::N,செம்மறிஆடு,kind
156,Schwein::N,பன்றி,svín
157,Hund::N,நாய்,hundur
158,Katze::N,பூனை,köttur
159,Bär::N,கரடி,björn
160,Eichhörnchen::N,அணில்,íkorni
161,Elch::N,கடம்பை,elgur
