,Concept_ID,ru,pt
0,Auge::N,глаз,olho
1,Ohr::N,ухо,orelha
2,Nase::N,нос,nariz
3,Mund::N,рот,boca
4,Zahn::N,зуб,dente
5,Zunge::N,язык,língua
6,Lippe::N,губа,lábio
7,Wange::N,щека,face
8,Gesicht::N,лицо,cara
9,Gesicht::N,лицо,rosto
10,Stirn::N,лоб,testa
11,Haar::N,волос,cabelo
12,Haar::N,волосы,cabelo
13,Schnurrbart::N,ус,bigode
14,Schnurrbart::N,усы,bigode
15,Bart::N,борода,barba
16,Kinn::N,подбородок,queixo
17,Kiefer[Anatomie]::N,челюсть,maxila
18,Kiefer[Anatomie]::N,челюсть,mandíbula
19,Kehle::N,горло,garganta
20,Hals::N,шея,colo
21,Hals::N,шея,pescoço
22,Genick::N,затылок,nuca
23,Kopf::N,голова,cabeça
24,Rücken::N,спина,dorso
25,Rücken::N,спина,costas
26,Bauch::N,живот,ventre
27,Bauch::N,живот,barriga
28,Nabel::N,пупок,umbigo
29,Busen::N,женская грудь,seio
30,Brust::N,грудь,peito
31,Schulter::N,плечо,ombro
32,Arm::N,рука,braço
33,Ellenbogen::N,локоть,cotovelo
34,Hand::N,кисть,mão
35,Handfläche::N,ладонь,palma
36,Handfläche::N,ладонь,palma da mão
37,Finger::N,палец,dedo
38,Fingernagel::N,ноготь,unha
39,Nagel[Anatomie]::N,ноготь,unha
40,Zeh::N,палец,dedo do pé
41,Fuß::N,ступня,pé
42,Ferse::N,пята,calcanhar
43,Ferse::N,пятка,calcanhar
44,Knie::N,колено,joelho
45,Oberschenkel::N,бедро,coxa
46,Bein::N,нога,perna
47,Körper::N,тело,corpo
48,Haut::N,кожа,pele
49,Blut::N,кровь,sangue
50,Ader::N,вена,veia
51,Ader::N,сосуд,veia
52,Sehne::N,жила,tendão
53,Sehne::N,тетива,tendão
54,Sehne::N,сухожилие,tendão
55,Knochen::N,кость,osso
56,Gehirn::N,мозг,cérebro
57,Herz::N,сердце,coração
58,Magen::N,желудок,estômago
59,Leber::N,печень,fígado
60,Atem::N,дух,fôlego
61,Atem::N,дыхание,fôlego
62,Hunger::N,голод,fome
63,Träne::N,слеза,lágrima
64,Geschmack::N,вкус,gosto
65,Geruch::N,запах,odor
66,Geruch::N,запах,cheiro
67,Schlaf::N,сон,sono
68,Traum::N,сновидение,sonho
69,Himmel::N,небо,céu
70,Sonne::N,солнце,sol
71,Mond::N,луна,lua
72,Stern::N,звезда,estrela
73,Luft::N,воздух,ar
74,Wind::N,ветер,vento
75,Welle::N,волна,onda
76,Wasser::N,вода,água
77,Stein::N,камень,pedra
78,Boden::N,почва,solo
79,Erde::N,земля,terra
80,Staub::N,пыль,pó
81,Rauch::N,дым,fumo
82,Funke::N,искра,faísca
83,Funke::N,искра,centelha
84,Feuer::N,огонь,fogo
85,Licht::N,свет,luz
86,Schatten::N,тень,sombra
87,Wetter::N,погода,tempo
88,Nebel::N,туман,nevoeiro
89,Wolke::N,облако,nuvem
90,Regen::N,дождь,chuva
91,Schnee::N,снег,neve
92,Eis::N,лед,gelo
93,Frost::N,мороз,gelo
94,Frost::N,мороз,geada
