,Concept_ID,myv,cy
0,Auge::N,сельме,llygad
1,Ohr::N,пиле,clust
2,Nase::N,судо,trwyn
3,Mund::N,курго,ceg
4,Zahn::N,пей,dant
5,Zunge::N,кель,tafod
6,Lippe::N,турва,gwefus
7,Wange::N,чамабока,boch
8,Wange::N,чамаумарь,boch
9,Gesicht::N,чама,wyneb
10,Stirn::N,коня,talcen
11,Haar::N,черь,blew
12,Schnurrbart::N,ус,mwstas
13,Schnurrbart::N,муюк,mwstas
14,Bart::N,сакал,barf
15,Kinn::N,уло,gên
16,Kiefer[Anatomie]::N,пейпакар,gên
17,Kiefer[Anatomie]::N,пейловажа,gên
18,Kehle::N,кирьгапарь,gwddf
19,Hals::N,кирьга,gwddf
20,Genick::N,човонь,gwar
21,Genick::N,човонь,gwegil
22,Kopf::N,пря,pen
23,Rücken::N,копорь,cefn
24,Bauch::N,пеке,bol
25,Nabel::N,почо,bogail
26,Busen::N,поте,bron
27,Brust::N,меште,brest
28,Schulter::N,лавтов,ysgwydd
29,Arm::N,кедь,braich
30,Ellenbogen::N,кенерепакарь,penelin
31,Hand::N,кедь,llaw
32,Handfläche::N,кедькуншка,palf
33,Handfläche::N,кедьлапушка,palf
34,Finger::N,сур,bys
35,Fingernagel::N,кенже,ewin
36,Nagel[Anatomie]::N,кенже,ewin
37,Zeh::N,пильге сур,bys troed
38,Fuß::N,пильге,troed
39,Ferse::N,кочкаря,sawdl
40,Knie::N,эле,glin
41,Knie::N,эзне,glin
42,Knie::N,кумажа,glin
43,Oberschenkel::N,качо,clun
44,Bein::N,пильге,coes
45,Körper::N,рунго,corff
46,Haut::N,киське,croen
47,Blut::N,верь,gwaed
48,Ader::N,сан,gwythïen
49,Sehne::N,коське сан,gewyn
50,Knochen::N,пакарь,asgwrn
51,Gehirn::N,удем,ymennydd
52,Herz::N,седей,calon
53,Magen::N,пеке,cylla
54,Magen::N,пеке,stumog
55,Leber::N,максо,iau
56,Atem::N,лексема,anadl
57,Atem::N,оймень таргсема,anadl
58,Hunger::N,вачочи,newyn
59,Träne::N,селведь,deigryn
60,Geschmack::N,тансть,cyflas
61,Geruch::N,чине,aroglau
62,Schlaf::N,удома,cwsg
63,Traum::N,он,breuddwyd
64,Himmel::N,менель,awyr
65,Sonne::N,чи,haul
66,Mond::N,ков,lleuad
67,Stern::N,теште,seren
68,Luft::N,кошт,awyr
69,Wind::N,варма,gwynt
