,Concept_ID,sah,he
0,Auge::N,харах,עין
1,Ohr::N,кулгаах,אזן
2,Nase::N,мурун,אף
3,Nase::N,мурун,חטם
4,Mund::N,айах,פה
5,Zahn::N,тиис,שן
6,Zunge::N,тыл,לשון
7,Lippe::N,уос,שפה
8,Wange::N,иэдэс,לחי
9,Gesicht::N,сирэй,פנים
10,Stirn::N,сүүс,מצח
11,Haar::N,баттах,שערה
12,Schnurrbart::N,уос бытыга,שפם
13,Bart::N,сэҥийэ бытыга,זקן
14,Kinn::N,сэҥийэ,סנטר
15,Kiefer[Anatomie]::N,сыҥаах,לסת
16,Kehle::N,тамах,גרון
17,Kehle::N,күөмэй,גרון
18,Hals::N,моой,צואר
19,Genick::N,кэтэх,ערף
20,Kopf::N,бас,ראש
21,Rücken::N,көҕүс,גב
22,Bauch::N,ис,בטן
23,Nabel::N,киин,טבור
24,Busen::N,эмиий,שד
25,Brust::N,түөс,חזה
26,Schulter::N,сарын,כתף
27,Arm::N,илии,זרוע
28,Ellenbogen::N,тоҕонох,מרפק
29,Hand::N,илии,יד
30,Handfläche::N,ытыс,כף יד
31,Finger::N,тарбах,אצבע
32,Fingernagel::N,тыҥырах,צפרן
33,Nagel[Anatomie]::N,тыҥырах,צפרן
34,Zeh::N,тарбах,אצבע
35,Fuß::N,уллуҥах,רגל
36,Ferse::N,тилэх,עקב
37,Knie::N,тобук,ברך
38,Knie::N,дьилбэк,ברך
39,Oberschenkel::N,уллук,ירך
40,Oberschenkel::N,өттүк,ירך
41,Bein::N,атах,רגל
42,Körper::N,бэйэ,גוף
43,Haut::N,тирии,עור
44,Blut::N,хаан,דם
45,Ader::N,вена,וריד
46,Ader::N,күөх_тымыр,וריד
47,Sehne::N,иҥиир,גיד
48,Knochen::N,уҥуох,עצם
49,Knochen::N,уҥгуох,עצם
50,Gehirn::N,мэйии,מוח
51,Herz::N,сүрэх,לב
52,Magen::N,куртах,קבה
53,Leber::N,быар,כבד
54,Atem::N,тыын,נשימה
55,Hunger::N,аас,רעב
56,Träne::N,харах уута,דמעה
57,Geschmack::N,амтан,טעם
58,Geruch::N,сыт,ריח
59,Schlaf::N,утуйуу,שנה
60,Traum::N,түүл,חלום
61,Himmel::N,халлаан,שמים
62,Sonne::N,күн,שמש
63,Mond::N,ый,ירח
64,Stern::N,сулус,כוכב
65,Luft::N,салгын,אויר
66,Wind::N,тыал,רוח
67,Welle::N,долгун,גל
68,Welle::N,балхаан,גל
69,Wasser::N,уу,מים
70,Stein::N,таас,אבן
71,Boden::N,сир,קרקע
72,Erde::N,буор,אדמה
73,Staub::N,быыл,אבק
74,Rauch::N,буруо,עשן
75,Funke::N,кыым,ניצוץ
76,Feuer::N,уот,אש
77,Licht::N,уот,אור
78,Schatten::N,күлүк,צל
79,Wetter::N,күн-дьыл,מזג אויר
80,Nebel::N,туман,ערפל
81,Wolke::N,былыт,ענן
82,Regen::N,самыыр,גשם
83,Schnee::N,хаар,שלג
84,Eis::N,муус,קרח
85,Frost::N,тымныы,צנה
86,Kälte::N,тымныы,קר
87,Hitze::N,куйаас,חם
88,Raureif::N,кырыа,כפור
89,Regenbogen::N,кустук,קשת
90,Donner::N,этиҥ,רעם
91,Strömung::N,сүүрүк,זרימה
92,Tropfen::N,таммах,טפה
93,Tropfen::N,хааппыла,טפה
94,Schaum::N,күүгэн,קצף
95,Schmutz::N,кир,לכלוך
96,See::N,күөл,אגם
97,Sumpf::N,бадараан,בצה
98,Moor::N,дьэбэрэ,בצה
99,Wiese::N,ходуһа,מרעה
100,Wald::N,ойуур,יער
101,Hügel::N,булгунньах,תל
102,Anhöhe::N,үрдэл,מעלה
103,Berg::N,хайа,הר
104,Gipfel::N,чыпчаал,פסגה
105,Höhle::N,хайа_хаспаҕа,מערה
106,Höhle::N,көҥүс,מערה
107,Abhang::N,эниэ,מדרון
108,Abhang::N,эниэ,שפוע
109,Quelle::N,дьүүктэ,מעין
110,Bach::N,үрүйэ,נחל
111,Fluss::N,өрүс,נהר
112,Ufer::N,биэрэк,גדה
113,Küste::N,кытыл,חוף
114,Festland::N,кураанах сир,יבשה
115,Meer::N,муора,ים
116,Bucht::N,хомо,מפרץ
117,Bucht::N,бухта,מפרץ
118,Insel::N,арыы,אי
119,Blume::N,сибэкки,פרח
120,Gras::N,от,דשא
121,Wurzel::N,силис,שרש
122,Baum::N,мас,עץ
123,Stamm::N,умнас,גזע
124,Rinde::N,хатырык,קלפת עץ
125,Ast::N,мутук,ענף
126,Zweig::N,лабаа,ענף
127,Blatt::N,сэбирдэх,עלה
128,Birke::N,хатыҥ,שדר
129,Kiefer[Baum]::N,бэс,ארן
130,Weide[Baum]::N,үөт,ערבה
131,Weide[Baum]::N,талах,ערבה
132,Tanne::N,харыйа,אשוח
133,Horn::N,муос,קרן
134,Feder::N,куорсун,נוצה
135,Fell::N,тирии,פרוה
136,Flügel::N,кынат,כנף
137,Klaue::N,тыҥырах,טלף
138,Kralle::N,баппаҕай,טפר
139,Schwanz::N,кутурук,זנב
140,Ei::N,сымыыт,ביצה
141,Nest::N,уйа,קן
142,Bau::N,хороон,מחלה
143,Tier::N,кыыл,חיה
144,Tier::N,харамай,חיה
145,Herde::N,үөр,עדר
146,Kuh::N,ынах,פרה
147,Bulle::N,оҕус,פר
148,Pferd::N,сылгы,סוס
149,Schaf::N,овца,כבשה
150,Schwein::N,сибиинньэ,חזיר
151,Hund::N,ыт,כלב
152,Katze::N,куоска,חתול
153,Bär::N,эһэ,דב
154,Eichhörnchen::N,тииҥ,סנאי
155,Elch::N,тайах,דישון
156,Fuchs::N,саһыл,שועל
157,Hase::N,куобах,ארנב
158,Maus::N,кутуйах,עכבר
159,Wolf::N,бөрө,זאב
160,Vogel::N,көтөр,צפור
161,Schwarm::N,бөлөх,נחיל
162,Schwarm::N,бөлөх,להקה
163,Huhn::N,куурусса,תרנגלת
164,Hahn::N,бөтүүк,תרנגול
165,Gans::N,хаас,אוז
166,Adler::N,хотой,עיט
167,Ente::N,кус,ברוז
168,Eule::N,мэкчиргэ,ינשוף
169,Kranich::N,туруйа,עגור
170,Kranich::N,туруйа,כרוכיה
171,Krähe::N,тураах,עורב
172,Kuckuck::N,кэҕэ,קוקיה
173,Schwan::N,куба,ברבור
174,Fisch::N,балык,דג
175,Barsch::N,алыһар,אוקונוס
176,Hecht::N,сордон,זאב הים
177,Schlange[Tier]::N,моҕой,נחש
178,Schlange[Tier]::N,эриэн үөн,נחש
179,Wurm::N,үөн,תולעת
180,Spinne::N,ооҕуй,עכביש
181,Ameise::N,кымырдаҕас,נמלה
182,Laus::N,быт,כנה
183,Mücke::N,кумаар,יתוש
184,Fliege::N,сахсырҕа,זבוב
185,Schmetterling::N,лыах,פרפר
186,Schmetterling::N,үрүмэччи,פרפר
187,Beere::N,отон,ענבה
188,Apfel::N,яблоко,תפוח
189,Pilz::N,тэллэй,פטריה
190,Zwiebel::N,луук,בצל
191,Saat::N,сиэмэ,זרעים
192,Korn::N,сиэмэ,גרעין
193,Heu::N,от,חציר
194,Schale::N,хах,קלפה
195,Grube::N,дьаама,בור
196,Grube::N,дьаама,שוחה
197,Falle::N,сохсо,מלכדת
198,Schlinge::N,уктаа,לולאה
199,Spur::N,суол,עקבה
200,Asche::N,күл,אפר
201,Dreck::N,бадараан,זהמה
202,Eisen::N,тимир,ברזל
203,Gold::N,көмүс,זהב
204,Gold::N,кыһыл көмүс,זהב
205,Silber::N,көмүс,כסף
206,Silber::N,үрүҥ көмүс,כסף
207,Kohle::N,чох,פחם
208,Glas::N,өстүөкүлэ,זכוכית
209,Lehm::N,туой,חרסית
210,Sand::N,кумах,חול
211,Mensch::N,киһи,אדם
212,Mann::N,эр,איש
213,Mann::N,эр,גבר
214,Frau::N,дьахтар,אשה
215,Frau::N,дьахтар,גברת
216,Kind::N,оҕо,ילד
217,Junge::N,уол,ילד
218,Mädchen::N,кыыс оҕо,נערה
219,Familie::N,кэргэн,משפחה
220,Großvater::N,эһэ,סבא
221,Großmutter::N,эбэ,סבתא
222,Eltern::N,аҕа-ийэ,הורים
223,Vater::N,аҕа,אב
224,Mutter::N,ийэ,אם
225,Sohn::N,уол,בן
226,Tochter::N,кыыс,בת
227,Bruder::N,убай,אח
228,Bruder::N,быраат,אח
229,Schwester::N,аҕас,אחות
230,Schwester::N,балыс,אחות
231,Onkel::N,таай,דוד
232,Onkel::N,абаҕа,דוד
233,Tante::N,эдьиий,דודה
234,Ehemann::N,эр,איש
235,Ehemann::N,эр,בעל
236,Ehefrau::N,ойох,אשה
237,Freude::N,үөрүү,שמחה
238,Gelächter::N,күлүү,צחוק
239,Glück::N,дьол,אשר
240,Glück::N,соргу,אשר
241,Kummer::N,кутурҕан,יגון
242,Kummer::N,кутурҕан,עגמה
243,Wunsch::N,баҕарыы,אחול
244,Wunsch::N,баҕарыы,משאלה
245,Lust::N,баҕа,חשק
246,Lust::N,баҕа,תשוקה
247,Geist::N,тыын,רוח
248,Gedanke::N,санаа,מחשבה
249,Gedächtnis::N,өй,זכרון
250,Verstand::N,өй,שכל
251,Sinn::N,суолта,מובן
252,Sinn::N,суолта,משמעות
253,Grund::N,төрүөт,סבה
254,Wahrheit::N,кырдьык,אמת
255,Gespräch::N,бэсиэдэ,דיון
256,Gespräch::N,кэпсэтии,דיון
257,Märchen::N,остуоруйа,אגדה
258,Erzählung::N,кэпсээн,ספור
259,Nachricht::N,биллэриллии,ידיעה
260,Neuigkeit::N,сонун,חדשה
261,Name::N,аат,שם
262,Rätsel::N,таабырын,תעלומה
263,Rede::N,этии,נאום
264,Sprache::N,тыл,לשון
265,Stimme::N,куолас,קול
266,Wort::N,тыл,מלה
267,Zeichen::N,бэлиэ,סימן
268,Ruf::N,ыҥырыы,קריאה
269,Lärm::N,айдаан,רעש
270,Laut::N,тыас,הגה
271,Ton::N,дорҕоон,צליל
272,Lied::N,ырыа,שיר
273,Ruhe::N,уу чуумпу,שלוה
274,Leute::N,дьон,אנשים
275,Volk::N,дьон,עם
276,Volk::N,норуот,עם
277,Arbeit::N,үлэ,עבודה
278,Gast::N,ыалдьыт,אורח
279,Geschenk::N,бэлэх,מתנה
280,Spiel::N,оонньуу,משחק
281,Gesellschaft::N,общество,חברה
282,Hilfe::N,көмө,עזרה
283,Freund::N,доҕор,חבר
284,Freund::N,доҕор,ידיד
285,Kamerad::N,атас,רע
286,Angelegenheit::N,дьыала,ענין
287,Anzahl::N,ахсаан,מספר
288,Art::N,биис,סוג
289,Stück::N,кырбас,חתיכה
290,Teil::N,ирээт,פרק
291,Hälfte::N,аҥар,חצי
292,Kreis::N,төгүрүк,מעגל
293,Kreis::N,төгүрүмтэ,מעגל
294,Kreuz::N,кириэс,צלב
295,Linie::N,сурааһын,קו
296,Strich::N,сурааһын,קו קצר
297,Abstand::N,арыт,מרחק
298,Entfernung::N,ыраах,מרחק
299,Gegend::N,сир,נוף
300,Platz::N,арыт,שטח
301,Ort::N,сир,אתר
302,Ort::N,сир,מקום
303,Seite::N,өрүт,צד
304,Seite::N,сирэй,צד
305,Mitte::N,орто,אמצע
306,Gegenstand::N,предмет,אוביקט
307,Sache::N,мал,דבר
308,Rand::N,кытыы,פרור
309,Rand::N,ойоҕос,פרור
310,Kante::N,кырыы,קצה
311,Ecke::N,муннук,פנה
312,Spitze::N,чыпчаал,קצה
313,Ende::N,төбө,סוף
314,Loch::N,тэһэҕэс,חר
315,Loch::N,дьөлөҕөс,חר
316,Winkel::N,муннук,פנה
317,Muster::N,оһуор,תבנית
318,Größe::N,кээмэй,גדל
319,Länge::N,уста,ארך
320,Höhe::N,үрдүк,קומה
321,Höhe::N,үрдүк,גבה
322,Gewicht::N,ыйааһын,משקל
323,Menge::N,ахсаан,כמות
324,Haufen::N,чөмчөх,ערמה
325,Reihe::N,кэккэ,רצף
326,Boot::N,оҥочо,סירה
327,Ruder::N,эрдии,משוט
328,Schlitten::N,сыарҕа,מזחלת
329,Ski::N,хайыһар,מגלשים
330,Lagerfeuer::N,кутаа,מדורה
331,Last::N,ыарахан,משא
332,Gang::N,хаамыы,הליכה
333,Schritt::N,хардыы,צעד
334,Norden::N,хоту,צפון
335,Süden::N,соҕуруу,דרום
336,Westen::N,арҕаа,מערב
337,Osten::N,илин,מזרח
338,Holz::N,мас,עץ
339,Brett::N,дуоска,קרש
340,Brett::N,хаптаһын,קרש
341,Platte::N,билиитэ,לוח
342,Stütze::N,тулааһын,משען
343,Stange::N,ураҕас,מוט
344,Stock::N,мас,מקל
345,Stock::N,баалкы,מקל
346,Stab::N,ураҕас,מוט
347,Rohr::N,турба,צנור
348,Haus::N,дьиэ,בית
349,Heim::N,дьиэ,בית
350,Ofen::N,оһох,תנור
351,Fußboden::N,муоста,רצפה
352,Tisch::N,остуол,שלחן
353,Stuhl::N,устуул,כסא
354,Wiege::N,биһик,ערש
355,Bett::N,кырабаат,מטה
356,Regal::N,долбуур,מדף
357,Kiste::N,дьааһык,תבה
358,Kiste::N,дьааһык,ארגז
359,Fenster::N,түннүк,חלון
360,Tür::N,аан,דלת
361,Tor::N,аан,שער
362,Zaun::N,соппулуот,גדר
363,Dach::N,кырыыса,גג
364,Leiter::N,кирилиэс,סלם
365,Besen::N,миинньик,מטאטא
366,Spaten::N,күрдьэх,את
367,Schaufel::N,күрдьэх,את
368,Gabel::N,биилкэ,מזלג
369,Löffel::N,луоска,כף
370,Messer::N,быһах,סכין
371,Nagel::N,тоһоҕо,מסמר
372,Netz::N,илим,רשת
373,Haken::N,көхө,וו
374,Haken::N,көхө,קרס
375,Griff::N,ук,ידית
376,Griff::N,тутаах,ידית
377,Schloss::N,күлүүс,מנעול
378,Bild::N,хартыына,תמונה
379,Figur::N,фигура,פסל
380,Puppe::N,куукула,בבה
381,Beutel::N,мөһөөччук,שק
382,Bündel::N,баайыы,צרור
383,Tasche::N,суумка,שקית
384,Eimer::N,биэдэрэ,דלי
385,Deckel::N,хаппах,מכסה
386,Geschirr::N,иһит,כלים
387,Sack::N,куул,שק
388,Tasse::N,сэлиэнэй,ספל
389,Topf::N,көстүрүүҥкэ,סיר
390,Kessel::N,хочуол,קנקן
391,Essen::N,аһылык,אכל
392,Essen::N,аһылык,ארוחה
393,Nahrung::N,ас,הזנה
394,Nahrung::N,ас,תזונה
395,Speise::N,аһылык,מאכל
396,Speise::N,аһылык,ארוחה
397,Fleisch::N,эт,בשר
398,Getreide::N,злактар,דגן
399,Brei::N,хааһы,מחית
400,Brot::N,килиэп,לחם
401,Scheibe::N,куһуок,עגול
402,Scheibe::N,куһуок,פרוסה
403,Fett::N,сыа,שמן
404,Butter::N,арыы,חמאה
405,Öl::N,арыы,שמן
406,Salz::N,туус,מלח
407,Suppe::N,мин,מרק
408,Honig::N,мүөт,דבש
409,Milch::N,үүт,חלב
410,Tee::N,чэй,תה
411,Leder::N,тирии,עור
412,Wolle::N,түү,צמר
413,Stoff::N,таҥас,בד
414,Stoff::N,таҥас,אריג
415,Nadel::N,иннэ,מחט
416,Faden::N,сап,חוט
417,Knopf::N,тимэх,כפתור
418,Knoten::N,түмүк,קשר
419,Farbe::N,кырааска,צבע
420,Kleidung::N,таҥас,בגדים
421,Hemd::N,ырбаахы,חלצה
422,Kragen::N,саҕа,צוארון
423,Ärmel::N,сиэх,שרוול
424,Hose::N,ыстаан,מכנסים
425,Hose::N,бүрүүкэ,מכנסים
426,Gürtel::N,кур,חגורה
427,Mütze::N,бэргэһэ,כובע
428,Schuh::N,бачыыҥка,נעל
429,Stiefel::N,саппыкы,מגף
430,Ring::N,биһилэх,טבעת
431,Band::N,лиэнтэ,סרט
432,Kamm::N,тараах,מסרק
433,Spiegel::N,сиэркилэ,מראה
434,Riemen::N,кур,רצועה
435,Schnur::N,быа,חבל
436,Leine::N,тэһиин,מושכות
437,Decke::N,суорҕан,שמיכה
438,Kissen::N,сыттык,כרית
439,Tuch::N,былаат,צעיף
440,Handtuch::N,соттор,מגבת
441,Kraft::N,сыра,כוח
442,Stärke::N,күүс,און
443,Gesundheit::N,доруобуйа,בריאות
444,Krankheit::N,ыарыы,מחלה
445,Schmerz::N,ыарыы,כאב
446,Wunde::N,баас,פציעה
447,Fieber::N,түрүлгэн,חם
448,Fieber::N,лихорадка,חם
449,Fieber::N,температура,חם
450,Arznei::N,эмп,תרופה
451,Brücke::N,күргэ,גשר
452,Brunnen::N,холуодьас,באר
453,Weide::N,мэччирэҥ,אחו
454,Weide::N,мэччирэҥ,מרעה
455,Pfad::N,ыллык,שביל
456,Pfad::N,ыллык,מדרכה
457,Weg::N,суол,דרך
458,Straße::N,суол,כביש
459,Dorf::N,дэриэбинэ,כפר
460,Stadt::N,куорат,עיר
461,Brief::N,сурук,מכתב
462,Buch::N,кинигэ,ספר
463,Buchstabe::N,буква,אות
464,Zeitung::N,хаһыат,עתון
465,Leben::N,тыын,חיים
466,Tod::N,өлүү,מות
467,Grab::N,иин,קבר
468,Kirche::N,таҥара дьиэтэ,כנסיה
469,Sünde::N,айыы,חטא
470,Gott::N,тангара,אל
471,Arbeiter::N,үлэһит,פועל
472,Chef::N,баһылык,ראש
473,Chef::N,баһылык,מנהל
474,Chef::N,начальник,ראש
475,Chef::N,начальник,מנהל
476,Meister::N,уус,ממחה
477,Meister::N,маастар,ממחה
478,Arzt::N,врач,רופא
479,Lehrer::N,учуутал,מורה
480,Geld::N,харчы,כסף
481,Geschäft::N,идэ,עסקה
482,Laden::N,маҕаһыын,חנות
483,Preis::N,сыана,מחיר
484,Ware::N,табаар,סחורה
485,Nutzen::N,туһа,תועלת
486,Reichtum::N,баай,עשר
487,Welt::N,аан дойду,עולם
488,Land::N,дойду,ארץ
489,Staat::N,государство,מדינה
490,König::N,король,מלך
491,Macht::N,былаас,כוח
492,Grenze::N,кыраныысса,גבול
493,Krieg::N,сэрии,מלחמה
494,Feind::N,өстөөх,אויב
495,Gewalt::N,күүһүлээһин,אלימות
496,Kampf::N,охсуһуу,קרב
497,Kampf::N,охсуһуу,לחימה
498,Bogen[Waffe]::N,ох,קשת
499,Pfeil::N,ох,חץ
500,Gewehr::N,саа,רובה
501,Fehler::N,сыыһа,טעות
502,Lüge::N,сымыйа,שקר
503,Schaden::N,хоромньу,נזק
504,Unglück::N,алдьархай,מזל רע
505,Schuld::N,буруй,אשמה
506,Alter::N,саас,גיל
507,Schluss::N,тиһэх,סיום
508,Zeit::N,бириэмэ,זמן
509,Tag::N,күн,יום
510,Morgen::N,сарсыарда,בקר
511,Mittag::N,күн ортото,צהרים
512,Abend::N,киэһэ,ערב
513,Nacht::N,түүн,לילה
514,Woche::N,нэдиэлэ,שבוע
515,Monat::N,ый,חדש
516,Jahr::N,сыл,שנה
517,Jahr::N,дьыл,שנה
518,Frühling::N,саас,אביב
519,Sommer::N,сайын,קיץ
520,Herbst::N,күһүн,סתו
521,Winter::N,кыһын,חרף
522,Januar::N,тохсунньу,ינואר
523,Februar::N,олунньу,פברואר
524,März::N,кулун тутар,מרץ
525,April::N,муус устар ый,אפריל
526,Mai::N,ыам ыйа,מאי
527,Juni::N,бэс ыйа,יוני
528,Juli::N,от ыйа,יולי
529,August::N,атырдьах ыйа,אוגוסט
530,September::N,балаҕан ыйа,ספטמבר
531,Oktober::N,алтынньы,אוקטובר
