,Concept_ID,ps,et
142,Birke::N,توس,kask
143,Kiefer[Baum]::N,نښتر,mänd
144,Weide[Baum]::N,وله,paju
145,Tanne::N,ناجو,nulg
146,Horn::N,ښکر,sarv
147,Feder::N,بڼکه,sulg
148,Fell::N,پوستکی,karvkate
149,Fell::N,پوستکی,karusnahk
150,Flügel::N,وزر,tiib
151,Flügel::N,وزر,tiivik
152,Klaue::N,پنجه,küüs
153,Klaue::N,منګول,küüs
154,Kralle::N,پنجه,küünis
155,Kralle::N,منګول,küünis
156,Schwanz::N,لکۍ,saba
157,Ei::N,وۍ,muna
158,Ei::N,هګۍ,muna
159,Nest::N,جاله,pesa
160,Bau::N,کاز,urg
161,Tier::N,ژوی,loom
162,Tier::N,حیوان,loom
163,Herde::N,رمه,kari
164,Herde::N,غېله,kari
165,Kuh::N,غوا,lehm
166,Bulle::N,غوئی,pull
167,Pferd::N,آس,hobune
168,Schaf::N,پسه,lammas
169,Schwein::N,سرکوزی,siga
170,Hund::N,سپی,koer
171,Katze::N,پشه,kass
172,Bär::N,خرس,karu
173,Eichhörnchen::N,خړ لمی,orav
174,Elch::N,ګوزن,põder
175,Fuchs::N,سپلم,rebane
176,Hase::N,سوی,jänes
177,Maus::N,مږک,hiir
178,Wolf::N,لېوه,hunt
179,Vogel::N,مرغه,lind
180,Schwarm::N,سېل,parv
181,Huhn::N,چرګه,kana
182,Hahn::N,چرګ,kukk
183,Gans::N,بته,hani
184,Adler::N,عقاب,kotkas
185,Ente::N,ایلۍ,part
186,Eule::N,ګونګی,kakk
187,Eule::N,ګونګی,öökull
188,Kranich::N,کلنګ,kurg
189,Krähe::N,کارغه,vares
190,Kuckuck::N,فاخته,kägu
191,Schwan::N,قو,luik
192,Fisch::N,کب,kala
193,Fisch::N,ماهی,kala
194,Schlange[Tier]::N,مار,uss
195,Wurm::N,چینجی,uss
196,Wurm::N,چینجی,vagel
197,Spinne::N,غڼه,ämblik
198,Spinne::N,تارکښ,ämblik
199,Ameise::N,مېږی,sipelgas
200,Laus::N,سپږه,täi
201,Mücke::N,ماشی,sääsk
202,Fliege::N,مچ,kärbes
203,Schmetterling::N,پتنګ,liblikas
204,Beere::N,مېوۍ,mari
205,Apfel::N,مڼه,õun
206,Pilz::N,خرېړی,seen
207,Zwiebel::N,پیاز,sibul
208,Saat::N,تخم,seeme
209,Korn::N,تخم,iva
210,Korn::N,تخم,tera
211,Korn::N,دانه,iva
212,Korn::N,دانه,tera
213,Heu::N,بوس,hein
214,Heu::N,پروړه,hein
215,Schale::N,پوستکی,koor
216,Grube::N,کنده,kaevand
217,Falle::N,دام,lõks
218,Falle::N,دام,püünis
219,Falle::N,لومه,lõks
220,Falle::N,لومه,püünis
221,Schlinge::N,کړۍ,aas
222,Spur::N,نښه,jälg
223,Asche::N,آس,tuhk
224,Asche::N,ایره,tuhk
225,Dreck::N,ناپاکي,saast
226,Dreck::N,ناپاکي,mustus
227,Eisen::N,اوسپنه,raud
228,Gold::N,سره زر,kuld
229,Silber::N,نقره,hõbe
230,Silber::N,سپین زر,hõbe
231,Kohle::N,سکور,süsi
232,Kohle::N,سکاره,süsi
233,Glas::N,ښيښه,klaas
234,Lehm::N,خټه,savi
235,Sand::N,شګه,liiv
236,Mensch::N,انسان,inimene
237,Mann::N,سړی,mees
238,Mann::N,نارینه,mees
239,Frau::N,ښځه,naine
240,Kind::N,بچی,laps
241,Kind::N,ماشوم,laps
242,Junge::N,هلک,poiss
243,Mädchen::N,نجلۍ,tüdruk
244,Familie::N,کورنۍ,perekond
245,Großvater::N,بابا,vanaisa
246,Großmutter::N,انا,vanaema
247,Eltern::N,مور او پلار,vanemad
248,Vater::N,پلار,isa
249,Mutter::N,مور,ema
250,Sohn::N,زوی,poeg
251,Tochter::N,لور,tütar
252,Bruder::N,ورور,vend
253,Schwester::N,خور,õde
254,Onkel::N,تره,onu
