,Concept_ID,ml,lez
0,Auge::N,കണ്ണ്,вил
1,Ohr::N,ചെവി,яб
2,Nase::N,മൂക്ക്,нер
3,Mund::N,വായ,сив
4,Zahn::N,പല്ല്,сас
5,Zahn::N,പല്ല്,свах
6,Zunge::N,നാക്ക്,мез
7,Lippe::N,ചുണ്ട്,пӏуз
8,Wange::N,കവിൾത്തടം,хъвехъ
9,Gesicht::N,മുഖം,ччин
10,Stirn::N,നെറ്റി,пел
11,Haar::N,തലമുടി,чӏар
12,Schnurrbart::N,മീശ,спел
13,Schnurrbart::N,മീശ,спелар
14,Bart::N,താടിരോമം,ччуру
15,Kinn::N,താടി,чене
16,Kiefer[Anatomie]::N,താടിയെല്ല്,чене
17,Kehle::N,കണ്ഠനാളം,туьд
18,Hals::N,കഴുത്ത്,гардан
19,Genick::N,പിടലി,кьам
20,Kopf::N,തല,кьил
21,Rücken::N,മുതുക്,далу
22,Bauch::N,നയറ്,руфун
23,Nabel::N,നാഭി,пицӏ
24,Busen::N,സ്തനം,мам
25,Brust::N,സ്തനം,хур
26,Schulter::N,തോൾ,къуьн
27,Arm::N,കൈ,гъил
28,Ellenbogen::N,കൈമുട്ട്,кьуьнт
29,Hand::N,കൈ,капаш
30,Handfläche::N,ഉള്ളം കൈ,капан юкь
31,Finger::N,വിരൽ,тӏуб
32,Fingernagel::N,നഖം,кек
33,Nagel[Anatomie]::N,നഖം,кек
34,Zeh::N,കാൽവിരൽ,кул
35,Fuß::N,കാൽപ്പാദം,кӏвач
36,Ferse::N,ഉപ്പൂറ്റി,дабан
37,Knie::N,കാൽമുട്ട്,мет
38,Oberschenkel::N,തുട,
39,Bein::N,കാൽ,кӏвач
40,Körper::N,ശരീരം,беден
41,Haut::N,ചർമ്മം,хам
42,Blut::N,രക്തം,иви
43,Ader::N,ഞരമ്പ്,дамар
44,Sehne::N,സ്നായു,кьуру дамар
45,Knochen::N,അസ്ഥി,кӏараб
46,Gehirn::N,തലച്ചോറ്,мефт
47,Herz::N,ഹൃദയം,рикӏ
48,Magen::N,വയർ,хук
49,Leber::N,കരൾ,лекь
50,Atem::N,ശ്വാസം,ял
51,Atem::N,ശ്വാസം,нефес
52,Hunger::N,വിശപ്പ്,каш
53,Träne::N,കണ്ണീർ,вилин нагъв
54,Geschmack::N,രുചി,дад
55,Geschmack::N,രുചി,тӏям
56,Geruch::N,ഗന്ധം,ни
57,Schlaf::N,ഉറകും,ахвар
58,Traum::N,സ്വപ്നം,ахвар
59,Himmel::N,ആകാശം,цав
60,Sonne::N,സൂര്യൻ,рагъ
61,Mond::N,ചന്ദ്രൻ,варз
62,Stern::N,നക്ഷത്രം,гъед
63,Luft::N,കാറ്റ്,гьава
64,Wind::N,കാറ്റ്,гар
65,Welle::N,തിരമാല,лепе
66,Wasser::N,വെള്ളം,яд
67,Stein::N,ശില,къван
68,Stein::N,കല്ല്,къван
69,Boden::N,തറ,накьв
70,Boden::N,നിലം,накьв
71,Erde::N,മണ്ണ്,ччил
72,Staub::N,പൊടി,руг
73,Rauch::N,പുക,гум
74,Funke::N,തീപ്പൊരി,цӏелхем
75,Feuer::N,തീ,цӏай
76,Licht::N,വിളക്ക്,экв
77,Licht::N,സൂര്യപ്രകാശം,экв
78,Schatten::N,തണൽ,серин
79,Wetter::N,കാലാവസ്ഥ,гьава
80,Nebel::N,മൂടൽമഞ്ഞ്,ччилин циф
81,Wolke::N,മേഘം,циф
82,Regen::N,മഴ,марф
83,Schnee::N,മഞ്ഞ്,жив
84,Eis::N,ഐസ്,мурк
85,Frost::N,മൂടൽമഞ്ഞ്,аяз
86,Kälte::N,തണുപ്പ്,мекь
87,Kälte::N,തണുപ്പ്,мекьивал
88,Hitze::N,ചൂട്,зегьем
89,Raureif::N,കോടമഞ്ഞ്,къирав
90,Regenbogen::N,മഴവില്ല്,яргъируш
91,Donner::N,ഇടി,цавун ван
92,Strömung::N,പ്രവാഹം,
93,Tropfen::N,തുള്ളി,стӏал
94,Schaum::N,നുര,каф
95,Schmutz::N,അഴുക്ക്,чирк
96,Schmutz::N,അഴുക്ക്,кьуруш
97,See::N,തടാകം,вир
98,Sumpf::N,ചതുപ്പുനിലം,уьлен
99,Moor::N,പാഴ്നിലം,
100,Wiese::N,പുൽത്തകിടി,векь
101,Wald::N,വനം,там
102,Wald::N,കാട്,там
103,Hügel::N,കുന്ന്,кӏунтӏ
104,Anhöhe::N,ഉയർന്ന ഭൂമി,тепе
105,Anhöhe::N,ഉയർന്ന ഭൂമി,гьуьндуьрвал
106,Berg::N,പർവ്വതം,дагъ
107,Gipfel::N,ഉച്ചകോടി,кӏукӏ
108,Höhle::N,ഗുഹ,кьветӏ
109,Abhang::N,ചരിവ്,гуьне
110,Quelle::N,ഉറവിടം,чешме
111,Bach::N,അരുവി,булах
112,Fluss::N,നദി,вацӏ
113,Ufer::N,തീരം,къерех
114,Küste::N,കടൽത്തീരം,къерех
115,Festland::N,കര,кьурамат
116,Meer::N,കടൽ,гьуьл
117,Bucht::N,ഉൾക്കടല്,бухта
118,Insel::N,ദ്വീപ്,остров
119,Blume::N,പൂവ്,цуьк
120,Gras::N,പുല്ല്,хъач
121,Wurzel::N,വേര്,дувул
122,Baum::N,മരം,ттар
123,Stamm::N,തായ്ത്തടി,тан
124,Rinde::N,പട്ട,чкал
125,Ast::N,ശാഖ,тӏур
126,Zweig::N,ശാഖ,хел
127,Blatt::N,ഇല,пеш
128,Birke::N,പൂവരശ്,верх
129,Kiefer[Baum]::N,പൈൻമരം,шамагъаж
130,Weide[Baum]::N,വില്ലോ,цӏвелин ттар
131,Tanne::N,ദേവദാരു,ель
132,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,карч
133,Feder::N,തൂവൽ,цӏакул
134,Fell::N,മൃദുരോമം,хам
135,Flügel::N,ചിറക്,лув
136,Klaue::N,നഖം,къармах
137,Kralle::N,നഖം,пац
138,Kralle::N,നഖം,тапас
139,Schwanz::N,വാൽ,ттум
140,Ei::N,മുട്ട,кака
141,Nest::N,കൂട്,муг
142,Bau::N,മാളം,тӏеквен
143,Tier::N,മൃഗം,гьайван
144,Herde::N,കൂട്ടം,суьруь
145,Kuh::N,പശു,ккал
146,Bulle::N,കാള,яц
147,Bulle::N,കാള,бугъа
148,Pferd::N,കുതിര,балкӏан
149,Schaf::N,ആട്,хеб
150,Schwein::N,പന്നി,вак
151,Hund::N,നായ്,кицӏ
