,Concept_ID,fa,ar
0,Auge::N,چشم,عين
1,Ohr::N,گوش,أذن
2,Nase::N,بینی,أنف
3,Mund::N,دهان,فم
4,Zahn::N,دندان,سن
5,Zunge::N,زبان,لسان
6,Lippe::N,لب,شفة
7,Wange::N,لپ,خد
8,Wange::N,لپ,وجنة
9,Gesicht::N,رو,وجه
10,Gesicht::N,چهره,وجه
11,Stirn::N,پیشانی,جبين
12,Haar::N,مو,شعر
13,Schnurrbart::N,سبیل,شارب
14,Bart::N,ریش,لحية
15,Kinn::N,چانه,ذقن
16,Kiefer[Anatomie]::N,فک,فك
17,Kiefer[Anatomie]::N,آرواره,فك
18,Kehle::N,حلق,حلق
19,Hals::N,گردن,عنق
20,Hals::N,گردن,رقبة
21,Genick::N,پشت گردن,قفا
22,Kopf::N,سر,رأس
23,Kopf::N,کله,رأس
24,Rücken::N,پشت,ظهر
25,Bauch::N,شکم,بطن
26,Nabel::N,ناف,سرة
27,Busen::N,پستان,ثدي
28,Brust::N,سینه,صدر
29,Schulter::N,دوش,كتف
30,Schulter::N,شانه,كتف
31,Arm::N,بازو,ذراع
32,Ellenbogen::N,آرنج,كوع
33,Hand::N,دست,يد
34,Handfläche::N,کف دست,كف
35,Finger::N,انگشت,إصبع
36,Fingernagel::N,ناخن دست,ظفر
37,Nagel[Anatomie]::N,ناخن,ظفر
38,Zeh::N,انگشت پا,إصبع القدم
39,Fuß::N,پا,قدم
40,Ferse::N,پاشنه,كعب
41,Knie::N,زانو,ركبة
42,Oberschenkel::N,ران,فخذ
43,Bein::N,پا,ساق
44,Bein::N,لنگ,ساق
45,Körper::N,تن,جسم
46,Körper::N,بدن,جسم
47,Haut::N,پوست,بشرة
48,Blut::N,خون,دم
49,Ader::N,رگ,عرق
50,Sehne::N,زردپی,طنب
51,Knochen::N,استخوان,عظم
52,Gehirn::N,مخ,دماغ
53,Gehirn::N,مغز,دماغ
54,Herz::N,دل,قلب
55,Herz::N,قلب,قلب
56,Magen::N,معده,معدة
57,Leber::N,کبد,كبد
58,Atem::N,نفس,نفس
59,Hunger::N,گرسنگی,جوع
60,Träne::N,اشک,دمعة
61,Geschmack::N,مزه,طعم
62,Geschmack::N,مزه,مذاق
63,Geruch::N,بو,رائحة
64,Schlaf::N,خواب,نوم
65,Schlaf::N,خواب,منام
66,Traum::N,رؤیا,حلم
67,Himmel::N,فلک,سماء
68,Himmel::N,آسمان,سماء
69,Sonne::N,آفتاب,شمس
70,Sonne::N,خورشید,شمس
71,Mond::N,ماه,قمر
72,Stern::N,ستاره,نجم
73,Stern::N,ستاره,كوكب
74,Luft::N,هوا,هواء
75,Wind::N,باد,ريح
76,Welle::N,موج,موجة
77,Wasser::N,آب,ماء
78,Stein::N,سنگ,حجر
79,Boden::N,زمین,تراب
80,Erde::N,خاک,أرض
81,Erde::N,زمین,أرض
82,Staub::N,گرد,غبار
83,Staub::N,غبار,غبار
84,Rauch::N,دود,دخان
85,Funke::N,جرقه,شرارة
86,Feuer::N,آتش,نار
87,Licht::N,نور,نور
88,Licht::N,نور,ضوء
89,Licht::N,روشنی,نور
90,Licht::N,روشنی,ضوء
91,Schatten::N,سایه,ظل
92,Schatten::N,سایه,فيء
93,Wetter::N,هوا,جو
94,Wetter::N,هوا,طقس
95,Nebel::N,مه,ضباب
96,Wolke::N,ابر,غيمة
97,Wolke::N,ابر,سحابة
98,Regen::N,باران,مطر
99,Schnee::N,برف,ثلج
100,Eis::N,یخ,جليد
101,Frost::N,یخبندان,صقيع
102,Kälte::N,سرما,برد
103,Hitze::N,گرما,حر
104,Hitze::N,گرما,حرارة
105,Hitze::N,حرارت,حر
106,Hitze::N,حرارت,حرارة
107,Raureif::N,برف ریزه,صقيع
108,Regenbogen::N,رنگین‌کمان,قوس قزح
109,Donner::N,رعد,رعد
110,Strömung::N,جریان,تيار
111,Tropfen::N,قطره,قطرة
112,Schaum::N,کف,زبد
113,Schaum::N,کف,رغوة
114,Schmutz::N,گل,وسخ
115,Schmutz::N,کثافت,وسخ
116,See::N,دریاچه,بحيرة
117,Sumpf::N,مرداب,مستنقع
118,Sumpf::N,باتلاق,مستنقع
119,Moor::N,باتلاق,مستنقع
120,Wiese::N,چمن,مرج
121,Wald::N,جنگل,غابة
122,Hügel::N,تل,تل
123,Hügel::N,تپه,تل
124,Anhöhe::N,بلندی,تل
125,Berg::N,کوه,جبل
126,Gipfel::N,قله,قمة
127,Höhle::N,غار,كهف
128,Abhang::N,سرازیری,منحدر
129,Quelle::N,چشمه,منبع
130,Bach::N,نهر,مجرى
131,Fluss::N,رود,نهر
132,Ufer::N,ساحل,ضفة
133,Ufer::N,کرانه,ضفة
134,Küste::N,ساحل,ساحل
135,Festland::N,خشکی,بر
136,Meer::N,دریا,بحر
137,Bucht::N,خلیج,خليج
138,Insel::N,جزیره,جزيرة
139,Blume::N,گل,زهرة
140,Gras::N,علف,حشيش
141,Wurzel::N,ریشه,أصل
142,Baum::N,درخت,شجرة
143,Stamm::N,تنه,جذع
144,Rinde::N,توژ,قشرة
145,Rinde::N,پوست,قشرة
146,Ast::N,شاخه,فرع
147,Zweig::N,شاخه,غصن
148,Blatt::N,برگ,ورقة
149,Birke::N,غان,قضبان
150,Kiefer[Baum]::N,کاج,صنوبرة
151,Weide[Baum]::N,بید,صفصاف
152,Tanne::N,صنوبر,شوح
153,Tanne::N,صنوبر,تبوب
154,Horn::N,شاخ,قرن
155,Feder::N,پر,ريشة
156,Fell::N,خز,فرو
157,Flügel::N,پر,جناح
158,Flügel::N,بال,جناح
159,Klaue::N,چنگ,مخلب
160,Klaue::N,پنجه,مخلب
161,Kralle::N,پنجه,مخلب
162,Schwanz::N,دم,ذيل
163,Ei::N,تخم,بيض
164,Nest::N,لانه,عش
165,Bau::N,بنا,جحر
166,Bau::N,ساختمان,جحر
167,Tier::N,هیوان,حيوان
168,Herde::N,رمه,قطيع
169,Kuh::N,گاو,بقرة
170,Bulle::N,گاو نر,ثور
171,Pferd::N,اسب,خيل
172,Schaf::N,گوسفند,شاة
173,Schwein::N,خوک,خنزير
174,Hund::N,سگ,كلب
175,Katze::N,گربه,قطة
176,Bär::N,خرس,دب
177,Eichhörnchen::N,سنجاب,سنجاب
178,Elch::N,گوزن شمالی,موظ
179,Fuchs::N,روباه,ثعلب
180,Hase::N,خرگوش,أرنب
181,Maus::N,موش,فأرة
182,Wolf::N,گرگ,ذئب
183,Vogel::N,پرنده,طير
184,Schwarm::N,دسته,سرب
185,Huhn::N,مرغ,دجاجة
186,Hahn::N,خروس,ديك
187,Gans::N,غاز,وزة
188,Adler::N,عقاب,نسر
189,Ente::N,اردک,بطة
190,Ente::N,مرغابی,بطة
191,Eule::N,جغد,بوم
192,Kranich::N,درنا,كركي
193,Krähe::N,زاغ,غراب
194,Krähe::N,کلاغ,غراب
195,Kuckuck::N,فاخته,وقواق
196,Schwan::N,قو,إوز عراقي
197,Fisch::N,ماهی,سمك
198,Barsch::N,ماهی خاردار,فرخ أوربي
199,Hecht::N,اردک ماهی,سمك الكراكي
200,Schlange[Tier]::N,مار,حية
201,Schlange[Tier]::N,مار,ثعبان
202,Wurm::N,کرم,دودة
203,Spinne::N,عنکبوت,عنكبوت
204,Ameise::N,مورچه,نملة
205,Laus::N,شپش,قملة
206,Mücke::N,پشه,ناموسة
207,Fliege::N,مگس,ذبابة
208,Schmetterling::N,پروانه,فراشة
209,Beere::N,گیله,حبة
210,Apfel::N,سیب,تفاح
211,Pilz::N,قارچ,فطر
212,Zwiebel::N,پیاز,بصل
213,Saat::N,بذر,زرع
214,Korn::N,تخم,حبة
215,Korn::N,دانه,حبة
216,Heu::N,علف خشک,دريس
217,Schale::N,پوست,قشرة
218,Grube::N,گودال,نقرة
219,Falle::N,دام,فخ
220,Falle::N,دام,مصيدة
221,Schlinge::N,حلقه,عروة
222,Spur::N,رد,أثر
223,Asche::N,خاکستر,رماد
224,Dreck::N,کثافت,قذر
225,Eisen::N,آهن,حديد
226,Gold::N,زر,ذهب
227,Gold::N,طلا,ذهب
228,Silber::N,نقره,فضة
229,Kohle::N,زغال,فحم
230,Glas::N,شیشه,زجاج
231,Lehm::N,گل,طين
232,Sand::N,شن,رمل
233,Sand::N,ماسه,رمل
234,Mensch::N,آدم,إنسان
235,Mensch::N,انسان,إنسان
236,Mann::N,مرد,رجل
237,Frau::N,زن,امرأة
238,Kind::N,بچه,طفل
239,Kind::N,کودک,طفل
240,Junge::N,پسر,ولد
241,Mädchen::N,دختر,بنت
242,Familie::N,فامیل,عائلة
243,Familie::N,خانواده,عائلة
244,Großvater::N,پدربزرگ,جد
245,Großmutter::N,مادر‌بزرگ,جدة
246,Eltern::N,والدین,أبوان
247,Eltern::N,والدین,والدان
248,Eltern::N,پدر‌و‌مادر,أبوان
249,Eltern::N,پدر‌و‌مادر,والدان
250,Vater::N,پدر,أب
251,Mutter::N,مادر,أم
252,Sohn::N,پسر,إبن
253,Tochter::N,دختر,بنت
254,Tochter::N,دختر,إبنة
255,Bruder::N,برادر,أخ
256,Bruder::N,برادر,شقيق
257,Schwester::N,خواهر,أخت
258,Onkel::N,عمو,عم
259,Onkel::N,دایی,عم
260,Tante::N,عمه,عمة
261,Tante::N,خاله,عمة
262,Ehemann::N,همسر,زوج
263,Ehefrau::N,همسر,زوجة
264,Freude::N,شادی,فرح
265,Freude::N,شادی,سرور
266,Gelächter::N,خنده,قهقهة
267,Gelächter::N,قاه‌قاه,قهقهة
268,Glück::N,اقبال,سعادة
269,Kummer::N,غم,غم
270,Kummer::N,غصه,غم
271,Wunsch::N,آرزو,منية
272,Lust::N,هوس,شهوة
273,Geist::N,روح,روح
274,Gedanke::N,فکر,فكرة
