,Concept_ID,uk,pl
0,Auge::N,око,oko
1,Ohr::N,вухо,ucho
2,Nase::N,ніс,nos
3,Mund::N,рот,usta
4,Zahn::N,зуб,ząb
5,Zunge::N,язик,język
6,Lippe::N,губа,warga
7,Wange::N,щока,policzek
8,Gesicht::N,обличчя,twarz
9,Stirn::N,лоб,czoło
10,Haar::N,волосся,włos
11,Haar::N,волосся,włosy
12,Schnurrbart::N,вуса,wąsy
13,Bart::N,борода,broda
14,Kinn::N,підборіддя,podbródek
15,Kiefer[Anatomie]::N,щелепа,czeluść
16,Kehle::N,горло,gardło
17,Hals::N,шия,szyja
18,Genick::N,потилиця,kark
19,Kopf::N,голова,głowa
20,Rücken::N,спина,plecy
21,Rücken::N,спина,grzbiet
22,Bauch::N,живіт,brzuch
23,Nabel::N,пупок,pępek
24,Busen::N,груди,biust
25,Brust::N,груди,pierś
26,Schulter::N,плече,bark
27,Schulter::N,плече,ramię
28,Arm::N,рука,ręka
29,Arm::N,рука,ramię
30,Ellenbogen::N,лікоть,łokieć
31,Hand::N,рука,dłoń
32,Handfläche::N,долоня,dłoń
33,Finger::N,палець,palec
34,Fingernagel::N,ніготь,paznokieć
35,Nagel[Anatomie]::N,ніготь,paznokieć
36,Zeh::N,палець на нозі,palec
37,Fuß::N,нога,stopa
38,Ferse::N,п’ятка,pięta
39,Knie::N,коліно,kolano
40,Oberschenkel::N,стегно,udo
41,Bein::N,нога,noga
42,Körper::N,тіло,ciało
43,Haut::N,шкіра,skóra
44,Blut::N,кров,krew
45,Ader::N,вена,żyła
46,Sehne::N,сухожилля,ścięgno
47,Knochen::N,кістка,kość
48,Gehirn::N,мозок,mózg
49,Herz::N,серце,serce
50,Magen::N,шлунок,żołądek
51,Leber::N,печінка,wątroba
52,Atem::N,дихання,dech
53,Atem::N,дихання,oddech
54,Hunger::N,голод,głód
55,Träne::N,сльоза,łza
56,Geschmack::N,смак,smak
57,Geruch::N,запах,woń
58,Geruch::N,запах,zapach
59,Schlaf::N,сон,sen
60,Schlaf::N,сплячка,sen
61,Traum::N,сон,sen
62,Himmel::N,небо,niebo
