,Concept_ID,kk,lv
0,Auge::N,көз,син
1,Auge::N,көз,acs
2,Ohr::N,құлақ,пель
3,Ohr::N,құлақ,auss
4,Nase::N,мұрын,ныр
5,Nase::N,мұрын,deguns
6,Mund::N,ауыз,вом
7,Mund::N,ауыз,mute
8,Zahn::N,тіс,пинь
9,Zahn::N,тіс,zobs
10,Zunge::N,тіл,кыв
11,Zunge::N,тіл,mēle
12,Lippe::N,ерін,вом дор
13,Lippe::N,ерін,lūpa
14,Wange::N,ұрт,бан
15,Wange::N,ұрт,vaigs
16,Gesicht::N,бет-аузы,чужӧм
17,Gesicht::N,бет-аузы,seja
18,Gesicht::N,бет-аузы,ģīmis
19,Stirn::N,маңдай,плеш
20,Stirn::N,маңдай,кымӧс
21,Stirn::N,маңдай,piere
22,Haar::N,қыл,си
23,Haar::N,қыл,юрси
24,Haar::N,қыл,mats
25,Schnurrbart::N,мұрт,ус
26,Schnurrbart::N,мұрт,пыртсим
27,Schnurrbart::N,мұрт,ūsas
28,Bart::N,сақал,тош
29,Bart::N,сақал,bārda
30,Kinn::N,иек,тшӧка
31,Kinn::N,иек,zods
32,Kinn::N,иек,smakrs
33,Kiefer[Anatomie]::N,жақ,черлы
34,Kiefer[Anatomie]::N,жақ,алака лы
35,Kiefer[Anatomie]::N,жақ,вомкӧтш лы
36,Kiefer[Anatomie]::N,жақ,žoklis
37,Kehle::N,алқым,голя
38,Kehle::N,алқым,rīkle
39,Hals::N,мойын,сьылі
40,Hals::N,мойын,kakls
41,Genick::N,желке,юрбӧр
42,Genick::N,желке,балябӧж
43,Genick::N,желке,sprands
44,Kopf::N,кәллә,юр
45,Kopf::N,кәллә,galva
46,Rücken::N,арқа,мыш
47,Rücken::N,арқа,mugura
48,Bauch::N,қарын,рушку
49,Bauch::N,қарын,vēders
50,Nabel::N,кіндік,гӧг
51,Nabel::N,кіндік,naba
52,Busen::N,омырау,морӧс
53,Busen::N,омырау,krūts
54,Brust::N,кеуде,морӧс
55,Brust::N,кеуде,krūts
56,Schulter::N,иық,пельпом
57,Schulter::N,иық,plecs
58,Arm::N,қол,ки
59,Arm::N,қол,roka
60,Arm::N,қол,delms
61,Ellenbogen::N,шынтақ,гырддза
62,Ellenbogen::N,шынтақ,elkonis
63,Hand::N,қол,ки
64,Hand::N,қол,roka
65,Hand::N,қол,plauksta
66,Handfläche::N,алақан,ки пыдӧс
67,Handfläche::N,алақан,delna
68,Handfläche::N,алақан,plauksta
69,Finger::N,саусақ,чунь
70,Finger::N,саусақ,pirksts
71,Fingernagel::N,тырнақ,гыж
72,Fingernagel::N,тырнақ,nags
73,Nagel[Anatomie]::N,тырнақ,гыж
74,Nagel[Anatomie]::N,тырнақ,nags
75,Zeh::N,тырнақ,кок чунь
76,Zeh::N,тырнақ,pirksts
77,Zeh::N,тұяқ,кок чунь
78,Zeh::N,тұяқ,pirksts
79,Fuß::N,аяқ-басы,кок
80,Fuß::N,аяқ-басы,kāja
81,Ferse::N,өкше,кокбӧр
82,Ferse::N,өкше,papēdis
83,Ferse::N,өкшелік,кокбӧр
84,Ferse::N,өкшелік,papēdis
85,Knie::N,тізе,пидзӧс
86,Knie::N,тізе,celis
87,Oberschenkel::N,жамбас,лядьвей
88,Oberschenkel::N,жамбас,бек
89,Oberschenkel::N,жамбас,ciska
90,Oberschenkel::N,жамбас,augšstilbs
91,Bein::N,аяқ,кок
92,Bein::N,аяқ,kāja
93,Körper::N,дене,туша
94,Körper::N,дене,вывтыр
95,Körper::N,дене,miesa
96,Körper::N,дене,ķermenis
97,Haut::N,тері,ку
98,Haut::N,тері,āda
99,Blut::N,қан,вир
100,Blut::N,қан,asins
101,Ader::N,көктамыр,сӧн
102,Ader::N,көктамыр,asinsvads
103,Ader::N,күретамыр,сӧн
