,Concept_ID,udm,ady
0,Auge::N,син,нэ
1,Ohr::N,пель,тхьакӏу́м
2,Nase::N,ныр,пэ
3,Mund::N,ым,жэ
4,Zahn::N,пинь,цэ
5,Zunge::N,кыл,бзэгу
6,Lippe::N,ымдур,ӏупшӏэ́
7,Wange::N,бам,нэкӏу́шъу
8,Gesicht::N,ымныр,нэ́гу
9,Stirn::N,кымес,натӏэ́
10,Haar::N,йырси,шъхьацы́
11,Schnurrbart::N,мыйык,
12,Bart::N,туш,жакӏэ́
13,Kinn::N,ангес,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,ан,жэпкъы́
15,Kiefer[Anatomie]::N,анлы,жэпкъы́
16,Kehle::N,гульым,чый
17,Hals::N,чырты,пшъэ
18,Genick::N,йырбер,шъхьэпхэтыку
19,Kopf::N,йыр,шъхьэ́
20,Rücken::N,мыш,кӏыбы́
21,Bauch::N,кӧт,ныбэ́
22,Nabel::N,гогы,
23,Busen::N,ноны,бгъэ́
24,Brust::N,мӧля,бгъэ́
25,Schulter::N,пельпум,блыпкъ
26,Arm::N,суй,ӏэ
27,Ellenbogen::N,гырпум,ӏэнтэ́гъу
28,Hand::N,ки,ӏэтхьэцу
29,Handfläche::N,ки пыдэс,ӏэ́гу
30,Handfläche::N,кырым пыдэс,ӏэ́гу
31,Finger::N,чиньы,ӏэхъуа́мб
32,Fingernagel::N,гижы,ӏэбжъа́н
33,Fingernagel::N,гиждӥнь,ӏэбжъа́н
34,Nagel[Anatomie]::N,гижы,ӏэбжъа́н
35,Zeh::N,пыдчиньы,ӏэхъуа́мб
36,Fuß::N,пыд,лъэгу
37,Ferse::N,пыдбер,лъэдакъэ
38,Knie::N,пыдес,лъагуа́ндж
39,Oberschenkel::N,макес,ко
40,Bein::N,пыд,лъакъо́
41,Körper::N,мугор,пкъышъол
42,Körper::N,вылтыр,пкъышъол
43,Haut::N,ку,кӏы́шъу
44,Blut::N,вир,лъы
45,Ader::N,вирсэр,льытф
46,Sehne::N,вуж,фэ
47,Knochen::N,лы,къупшъхьэ́
48,Gehirn::N,вим,куцӏы
49,Herz::N,сюлэм,гу
50,Magen::N,ӝуш,мышкӏу
51,Leber::N,мус,шӏу
52,Atem::N,лул,къэщэныр
53,Atem::N,шокан,къэщэныр
54,Hunger::N,кӧтсюман,гъаблэ́
55,Träne::N,синкыли,нэпсы
56,Geschmack::N,шӧм,ӏэшӏугъа́кӏ
57,Geruch::N,зын,мэ
58,Schlaf::N,вӧт,пчыхьы́пӏ
59,Traum::N,уйвӧт,пчыхьы́пӏ
60,Himmel::N,ин,уашъо́
61,Sonne::N,шунды,тыгъэ
62,Mond::N,толэзь,мазэ
63,Stern::N,кизили,жъуагъо́
64,Luft::N,омыр,жьы
65,Wind::N,тӧл,жьыбгъэ́
66,Welle::N,тулкым,ор
67,Welle::N,тулкым,оры
68,Wasser::N,ву,псы
69,Stein::N,из,мыжъо́
70,Boden::N,музъем,чӏ́ыгу
71,Erde::N,му,чӏ́ыгу
72,Staub::N,пыль,сап
73,Rauch::N,ӵын,ӏугъо́
74,Funke::N,гизьы,мэшӏуа́ч
75,Feuer::N,тыл,машӏо́
76,Licht::N,тыл,нэфы
77,Licht::N,тыл,нэфын
78,Schatten::N,вужер,жьау́
79,Schatten::N,вужер,ныбжьыкъу
80,Wetter::N,куазь,
81,Nebel::N,бус,пща́гъу
82,Wolke::N,пилем,ошъуапщэ
83,Regen::N,зор,ощхы
84,Schnee::N,лымы,осы́
85,Eis::N,йӧ,мылы
86,Frost::N,кезьыт,
87,Kälte::N,кезьыт,чъыӏэ́
88,Hitze::N,пӧсь,фэба́е
89,Raureif::N,гӧр,
90,Regenbogen::N,вуюись, лэгъупэкъо́пс
91,Donner::N,гудыри,шыблэ́
92,Strömung::N,бызён,ток
93,Tropfen::N,шапык,ткӏопс
94,Tropfen::N,шапык,гъуаткӏу
95,Schaum::N,шукы,тхъурбэ
96,Schmutz::N,нӧд,псынжъы
97,Schmutz::N,дэри,псынжъы
98,See::N,ты,хыку́м
99,See::N,ты,псыхъура́й
100,Sumpf::N,нюр,орыжъ
101,Moor::N,нюр,орыжъ
102,Wiese::N,возь,хъупӏэ́
103,Wiese::N,возь,мэкъупӏ
104,Wiese::N,возьвыл,хъупӏэ́
105,Wiese::N,возьвыл,мэкъупӏ
106,Wald::N,сик,мэзы́
107,Wald::N,нюлэс,мэзы́
108,Hügel::N,выр,ӏуашъхь
109,Hügel::N,вырйыл,ӏуашъхь
110,Anhöhe::N,выр,чӏыӏэтыгъ
111,Anhöhe::N,вырйыл,чӏыӏэтыгъ
112,Berg::N,гурезь,къушъхьэ́
113,Gipfel::N,йыл,шыгу
114,Höhle::N,гу,гъочӏэгъ
115,Abhang::N,бам,чапэ
116,Quelle::N,ошмес,псынэчэ́чъ
117,Bach::N,пичи шур,псышкуашку
118,Fluss::N,шур,псыхъо́
119,Ufer::N,ярдур,нэпкъы
120,Küste::N,вудур,ӏушъо
121,Festland::N,мувыр,чӏл́ыгу
122,Meer::N,зарезь,хы
123,Bucht::N,вукож,хыблыгу
124,Insel::N,вумуӵ,хыгъэхъу́н
125,Insel::N,шормуӵ,хыгъэхъу́н
126,Blume::N,сяська,къэгъа́гь
127,Gras::N,турын,уцы́
128,Wurzel::N,выжы,лъапсэ́
129,Baum::N,пу,чъыгы́
130,Stamm::N,модос,пкъы
131,Rinde::N,сул,пхъашъо́
132,Ast::N,ул,куамэ
133,Zweig::N,вай,къутамэ́
134,Blatt::N,куар,тхьап
135,Birke::N,кызьпу,пчэн
136,Kiefer[Baum]::N,пужым,сэснэй
137,Weide[Baum]::N,бадьпу,пце́л
138,Tanne::N,кыз,ель
139,Horn::N,сюр,бжъэ
140,Feder::N,тылы,къамӏы́й
141,Fell::N,ку,шъо
142,Flügel::N,бурд,тамэ́
143,Klaue::N,гижы,лъэбжъа́н
144,Kralle::N,пыд,лъакъо
145,Schwanz::N,быж,кӏэ
146,Ei::N,пуз,кӏэнкӏэ́
147,Ei::N,кукей,кӏэнкӏэ́
148,Nest::N,кар,набгъо́
149,Nest::N,пузкар,набгъо́
150,Bau::N,кар,гъу
151,Bau::N,кар,бы
152,Bau::N,гу,гъу
153,Bau::N,гу,бы
154,Tier::N,пӧйшур,псэу́шъхь
155,Herde::N,уллё,ӏэхъогъу
156,Kuh::N,скал,чэмы́
157,Bulle::N,ош,цу
158,Bulle::N,пороз,цу
159,Pferd::N,вал,шы
160,Schaf::N,ыж,мэлы́
161,Schwein::N,парсь,къо
162,Hund::N,пуны,бьэ
163,Katze::N,коӵыш,чэты́у
164,Bär::N,гондыр,мышъэ́
165,Eichhörnchen::N,коньы,цызэ́
166,Elch::N,койык,лось
167,Fuchs::N,ӟичы,баджэ́
168,Hase::N,кеч,тхьакӏумкӏы́хь
169,Maus::N,шыр,цыгъо́
170,Wolf::N,кион,тыгъу́жъ
171,Vogel::N,тылобурдо,бзы́у
172,Schwarm::N,уллё,отэр
173,Huhn::N,курег,чэты́
174,Hahn::N,атас,атакъэ́
175,Gans::N,ӟазег,къа́з
176,Adler::N,ӧрзи,
177,Ente::N,ӵӧж,псычэ́т
178,Eule::N,кучыран,тыгъурыгъу
179,Kranich::N,тури,къэрэ́у
180,Krähe::N,куака,къолэ́жъ
181,Kuckuck::N,кикы,куку́у
182,Schwan::N,юсь,
183,Fisch::N,чорыг,пцэжъы́й
184,Barsch::N,юш,тхыкъэц
185,Hecht::N,чипей,лэнд
186,Schlange[Tier]::N,кый,блэ́
187,Wurm::N,нумыр,хьамлыу
188,Spinne::N,чонари,бэдж
189,Ameise::N,кузьыли,къамзэ́гу
190,Laus::N,тэй,цӏэ
191,Mücke::N,нымы,аргъо́й
192,Mücke::N,чибинь,аргъо́й
193,Fliege::N,кут,бадзэ́
194,Schmetterling::N,бубыли,хьампӏыра́шъу
195,Beere::N,узы-боры,маткӏо
196,Apfel::N,яблок,мыӏэры́с
197,Pilz::N,губи,хьаӏу
198,Zwiebel::N,сугон,бжьыны́
199,Saat::N,кидыс,чылапхъ
200,Korn::N,тысь,цэ
201,Heu::N,турын,мэкъу
202,Schale::N,кыд,кӏы́шъу
203,Grube::N,гу,машэ́
204,Grube::N,гоп,машэ́
205,Falle::N,налик,зэраубытырэ́ ӏэмэпсы́м
206,Schlinge::N,гиӟ,бзыуубыт
207,Schlinge::N,герд,бзыуубыт
208,Spur::N,пытьы,ужы
209,Spur::N,пытьы,лъэуж
210,Spur::N,бервыл,ужы
211,Spur::N,бервыл,лъэуж
212,Asche::N,пень,яжьэ́
213,Dreck::N,дэри,псынжъы
214,Eisen::N,корт,гыучӏы́
215,Eisen::N,корт,къэнджа́л
216,Gold::N,зарни,дышъэ́
217,Silber::N,азвесь,тыжьы́н
218,Kohle::N,эгыр,шӏомыкӏ
219,Glas::N,стекло,апч
220,Glas::N,пияла,апч
221,Lehm::N,сюй,етӏагъо́
222,Sand::N,луо,пшахъо
223,Mensch::N,мурт,цӏыфы́
224,Mensch::N,адями,цӏыфы́
225,Mann::N,воргорон,хъулъфы́гъ
226,Frau::N,кышномурт,бӏылъфыгъэ́
227,Kind::N,нуны,кӏэлэцӏы́кӏу
228,Kind::N,пинал,кӏэлэцӏы́кӏу
229,Junge::N,пи,кӏэлэцӏы́кӏу
230,Mädchen::N,ныл,пшъэшъэжъый
231,Familie::N,семья,быны́
232,Familie::N,семья,уна́гъу
233,Großvater::N,песятай,тэтэ́жъ
234,Großvater::N,пересь атай,тэтэ́жъ
235,Großmutter::N,песянай,нэнэ́жъ
236,Großmutter::N,пересь анай,нэнэ́жъ
237,Eltern::N,атай-анай,ны-тыхэ́р
238,Eltern::N,бубы-мумы,ны-тыхэ́р
239,Vater::N,айы,ты
240,Vater::N,атай,ты
241,Mutter::N,мумы,ны
242,Sohn::N,пи,къо
243,Tochter::N,ныл,пхъу
244,Bruder::N,агай,шы
245,Schwester::N,апа,шы́пхъу
246,Schwester::N,сузэр,шы́пхъу
247,Onkel::N,агай,янэ́ш
248,Tante::N,апа,атэшыпхъу
249,Tante::N,кенак,атэшыпхъу
250,Ehemann::N,карт,лӏы
251,Ehefrau::N,кышно,шъу́з
252,Freude::N,шумпотон,гушӏуа́гъу
253,Gelächter::N,горем,щхыныр
254,Glück::N,шуд,насы́п
255,Kummer::N,кайгу,тхьамыкӏагъу
256,Kummer::N,куректон,тхьамыкӏагъу
257,Wunsch::N,мылпотон,шӏонгъоны́гъ
258,Lust::N,потон,шӏонгъоны́гъ
259,Geist::N,лул,гу
260,Gedanke::N,малпан,гупшыс
261,Gedächtnis::N,йырсазь,память
262,Gedächtnis::N,тодэваён,память
