,Concept_ID,ku,se
0,Auge::N,çav,tjelmie
1,Auge::N,çav,tjalmme
2,Auge::N,çav,čalbmi
3,Auge::N,çav,čalme
4,Auge::N,çav,čâ´lmm
5,Auge::N,çav,ча̄лльм
6,Ohr::N,guh,bieljie
7,Ohr::N,guh,biellje
8,Ohr::N,guh,beallji
9,Ohr::N,guh,pelji
10,Ohr::N,guh,pe´llj
11,Ohr::N,guh,пе̄лльй
12,Nase::N,bêvil,njuenie
13,Nase::N,bêvil,njunnje
14,Nase::N,bêvil,njunni
15,Nase::N,bêvil,njuṇe
16,Nase::N,bêvil,njuu´nn
17,Nase::N,bêvil,нюннҍ
18,Mund::N,dev,njaelmie
19,Mund::N,dev,njálmme
20,Mund::N,dev,njálbmi
21,Mund::N,dev,njälmi
22,Mund::N,dev,njä´lmm
23,Mund::N,dev,ня̄лльм
24,Zahn::N,didan,baenie
25,Zahn::N,didan,bádne
26,Zahn::N,didan,bátni
27,Zahn::N,didan,pääṇi
28,Zahn::N,didan,pää´nn
29,Zahn::N,didan,па̄ннҍ
30,Zunge::N,ziman,njoektjeme
31,Zunge::N,ziman,njuovtjav
32,Zunge::N,ziman,njuovčča
33,Zunge::N,ziman,njuovčâ
34,Zunge::N,ziman,njuhččâm
35,Zunge::N,ziman,нюхчем
36,Lippe::N,lêv,bangseme
37,Lippe::N,lêv,njálmmerabdda
38,Lippe::N,lêv,bavssa
39,Lippe::N,lêv,poovsâ
40,Lippe::N,lêv,põõus
41,Lippe::N,lêv,пэ̄кс
42,Wange::N,dêm,skiehrie
43,Wange::N,dêm,nierra
44,Wange::N,dêm,muohtu
45,Wange::N,dêm,nieṛâ
46,Wange::N,dêm,njiõrr
47,Wange::N,dêm,нӣрр
48,Wange::N,hinarik,skiehrie
49,Wange::N,hinarik,nierra
50,Wange::N,hinarik,muohtu
51,Wange::N,hinarik,nieṛâ
52,Wange::N,hinarik,njiõrr
53,Wange::N,hinarik,нӣрр
54,Gesicht::N,rû,ååredæjja
55,Gesicht::N,rû,muohto
56,Gesicht::N,rû,muođut
57,Gesicht::N,rû,ámadadju
58,Gesicht::N,rû,muáđuh
59,Gesicht::N,rû,muâđ
60,Gesicht::N,rû,ка̄ссв
61,Stirn::N,enî,gaalloe
62,Stirn::N,enî,gállo
63,Stirn::N,enî,gállu
64,Stirn::N,enî,kállu
65,Stirn::N,enî,käll
66,Stirn::N,enî,вуэххьц
67,Haar::N,por,voepte
68,Haar::N,por,vuoppta
69,Haar::N,por,vuokta
70,Haar::N,por,vuop'tâ
71,Haar::N,por,vuõpt
72,Haar::N,por,вӯппт
73,Schnurrbart::N,simbêl,bijjie-skaavtjoe
74,Schnurrbart::N,simbêl,njunjevuolskávttjá
75,Schnurrbart::N,simbêl,seamu
76,Schnurrbart::N,simbêl,siämu
77,Schnurrbart::N,simbêl,ää´bben
78,Schnurrbart::N,simbêl,о̄а̄бпан
79,Bart::N,rih,skaavtja
80,Bart::N,rih,skaavtjoe
81,Bart::N,rih,skávttjá
82,Bart::N,rih,seamu
83,Bart::N,rih,siämu
84,Bart::N,rih,seäm
85,Bart::N,rih,ся̄м
86,Kinn::N,zenî,gaejpie
