,Concept_ID,is,uz
0,Auge::N,auga,ko'z
1,Ohr::N,eyra,quloq
2,Nase::N,nef,burun
3,Mund::N,munnur,og'iz
4,Zahn::N,tönn,tish
5,Zunge::N,tunga,til
6,Lippe::N,vör,dudoq
7,Wange::N,kinn,bet
8,Wange::N,vangi,bet
9,Gesicht::N,andlit,yuz
10,Stirn::N,enni,manglay
11,Haar::N,hár,soch
12,Schnurrbart::N,yfirskegg,mo'ylov
13,Bart::N,skegg,soqol
14,Kinn::N,haka,ängak
15,Kiefer[Anatomie]::N,kjálki,iyak
16,Kiefer[Anatomie]::N,skoltur,iyak
17,Kehle::N,kverk,bo'g'iz
18,Hals::N,háls,bo'yin
19,Genick::N,hnakki,gardan
20,Kopf::N,höfuð,bosh
21,Rücken::N,hryggur,orqa
22,Bauch::N,kviður,qorin
23,Nabel::N,nafli,kindik
24,Busen::N,barmur,ämchak
25,Brust::N,brjóst,ko'krak
26,Schulter::N,öxl,elka
27,Arm::N,armur,bilak
28,Ellenbogen::N,olnbogi,tirsak
29,Hand::N,hönd,qo'l
30,Handfläche::N,lófi,kaft
31,Finger::N,fingur,barmoq
32,Fingernagel::N,fingurnögl,tirnoq
33,Nagel[Anatomie]::N,nögl,tirnoq
34,Zeh::N,tá,oyoq barmog'i
35,Fuß::N,fótur,oyoq
36,Ferse::N,hæll,tovon
37,Knie::N,kné,tiz
38,Oberschenkel::N,læri,son
39,Bein::N,fótleggur,oyoq
40,Körper::N,búkur,badna
41,Körper::N,líkami,badna
42,Haut::N,húð,teri
43,Haut::N,skinn,teri
44,Blut::N,blóð,qon
45,Ader::N,æð,qon tomir
46,Sehne::N,sin,tomir
47,Knochen::N,bein,suyak
48,Gehirn::N,heili,miya
49,Herz::N,hjarta,qalb
50,Magen::N,magi,oshqozon
51,Leber::N,lifur,bag'ir
52,Atem::N,andi,dam
53,Atem::N,andardráttur,dam
54,Hunger::N,hungur,ochlik
55,Träne::N,tár,yosh
56,Geschmack::N,smekkur,tam
57,Geruch::N,lykt,jid
58,Schlaf::N,svefn,uyqu
59,Traum::N,draumur,tush
60,Himmel::N,himinn,osmon
61,Sonne::N,sól,quyosh
62,Mond::N,tungl,oy
63,Stern::N,stjarna,yulduz
64,Luft::N,loft,havo
65,Wind::N,vindur,el
66,Welle::N,alda,to'lqin
67,Welle::N,bylgja,to'lqin
68,Wasser::N,vatn,suv
69,Stein::N,steinn,tosh
70,Boden::N,botn,tuproq
71,Erde::N,jörð,er
72,Staub::N,ryk,chang
73,Staub::N,duft,chang
74,Rauch::N,reykur,tutun
75,Funke::N,neisti,yalt
76,Feuer::N,eldur,o't
77,Licht::N,ljós,yorug'
78,Schatten::N,skuggi,soya
79,Wetter::N,veður,havo
80,Nebel::N,þoka,tuman
81,Wolke::N,ský,bulut
82,Regen::N,regn,yomg'ir
83,Schnee::N,snjór,qor
84,Eis::N,ís,muz
85,Frost::N,frost,ajoz
86,Kälte::N,kuldi,ajoz
87,Hitze::N,hiti,issiq
88,Raureif::N,hrím,qirov
89,Regenbogen::N,regnbogi,kamalak
90,Donner::N,þruma,guldur
91,Strömung::N,straumur,oqim
92,Tropfen::N,dropi,tomchi
93,Schaum::N,froða,ko'pik
94,Schmutz::N,óhreinindi,gard
95,See::N,stöðuvatn,ko'l
96,Sumpf::N,fen,botqoq
97,Moor::N,mýri,qir-adir
98,Wiese::N,engi,o'tzor
99,Wald::N,skógur,o'rmon
100,Hügel::N,hæð,tepa
101,Hügel::N,hóll,tepa
102,Anhöhe::N,hæð,adir
103,Anhöhe::N,hóll,adir
104,Berg::N,fell,tog'
105,Berg::N,fjall,tog'
106,Gipfel::N,tindur,cho'qqi
107,Höhle::N,hellir,kavak
108,Abhang::N,hlíð,to'sh
109,Abhang::N,brekka,to'sh
110,Quelle::N,lind,buloq
111,Quelle::N,uppspretta,buloq
112,Bach::N,lækur,o'zan
113,Fluss::N,á,daryo
114,Fluss::N,fljót,daryo
115,Ufer::N,árbakki,sohil
116,Ufer::N,sjávarbakki,sohil
117,Küste::N,strönd,qirg'oq
118,Festland::N,meginland,materik
119,Meer::N,haf,dengiz
120,Meer::N,sjór,dengiz
121,Bucht::N,vík,qo'ltiq
122,Insel::N,eyja,orol
123,Blume::N,blóm,gul
124,Gras::N,gras,sabza
