,Concept_ID,hr,lv
0,Auge::N,oko,син
1,Auge::N,oko,acs
2,Ohr::N,uho,пель
3,Ohr::N,uho,auss
4,Nase::N,nos,ныр
5,Nase::N,nos,deguns
6,Mund::N,usta,вом
7,Mund::N,usta,mute
8,Zahn::N,zub,пинь
9,Zahn::N,zub,zobs
10,Zunge::N,jezik,кыв
11,Zunge::N,jezik,mēle
12,Lippe::N,usna,вом дор
13,Lippe::N,usna,lūpa
14,Wange::N,obraz,бан
15,Wange::N,obraz,vaigs
16,Gesicht::N,lice,чужӧм
17,Gesicht::N,lice,seja
18,Gesicht::N,lice,ģīmis
19,Stirn::N,čelo,плеш
20,Stirn::N,čelo,кымӧс
21,Stirn::N,čelo,piere
22,Haar::N,kosa,си
23,Haar::N,kosa,юрси
24,Haar::N,kosa,mats
25,Schnurrbart::N,brkovi,ус
26,Schnurrbart::N,brkovi,пыртсим
27,Schnurrbart::N,brkovi,ūsas
28,Bart::N,brada,тош
29,Bart::N,brada,bārda
30,Kinn::N,brada,тшӧка
31,Kinn::N,brada,zods
32,Kinn::N,brada,smakrs
33,Kinn::N,podbradak,тшӧка
34,Kinn::N,podbradak,zods
35,Kinn::N,podbradak,smakrs
36,Kiefer[Anatomie]::N,čeljust,черлы
37,Kiefer[Anatomie]::N,čeljust,алака лы
38,Kiefer[Anatomie]::N,čeljust,вомкӧтш лы
39,Kiefer[Anatomie]::N,čeljust,žoklis
40,Kehle::N,grlo,голя
41,Kehle::N,grlo,rīkle
42,Hals::N,vrat,сьылі
43,Hals::N,vrat,kakls
44,Genick::N,zatiljak,юрбӧр
45,Genick::N,zatiljak,балябӧж
46,Genick::N,zatiljak,sprands
47,Kopf::N,glava,юр
48,Kopf::N,glava,galva
49,Rücken::N,leđa,мыш
50,Rücken::N,leđa,mugura
51,Rücken::N,hrbat,мыш
52,Rücken::N,hrbat,mugura
53,Bauch::N,trbuh,рушку
54,Bauch::N,trbuh,vēders
55,Nabel::N,pupak,гӧг
56,Nabel::N,pupak,naba
57,Busen::N,sisa,морӧс
58,Busen::N,sisa,krūts
59,Busen::N,njedra,морӧс
60,Busen::N,njedra,krūts
61,Brust::N,prsa,морӧс
62,Brust::N,prsa,krūts
63,Schulter::N,rame,пельпом
64,Schulter::N,rame,plecs
65,Schulter::N,pleći,пельпом
66,Schulter::N,pleći,plecs
67,Arm::N,ruka,ки
68,Arm::N,ruka,roka
69,Arm::N,ruka,delms
70,Ellenbogen::N,lakat,гырддза
71,Ellenbogen::N,lakat,elkonis
72,Hand::N,ruka,ки
73,Hand::N,ruka,roka
74,Hand::N,ruka,plauksta
75,Handfläche::N,dlan,ки пыдӧс
76,Handfläche::N,dlan,delna
77,Handfläche::N,dlan,plauksta
78,Finger::N,prst,чунь
79,Finger::N,prst,pirksts
80,Fingernagel::N,nokat,гыж
81,Fingernagel::N,nokat,nags
82,Nagel[Anatomie]::N,nokat,гыж
83,Nagel[Anatomie]::N,nokat,nags
84,Zeh::N,nozni prst,кок чунь
85,Zeh::N,nozni prst,pirksts
86,Fuß::N,noga,кок
87,Fuß::N,noga,kāja
88,Fuß::N,stopalo,кок
89,Fuß::N,stopalo,kāja
90,Ferse::N,peta,кокбӧр
91,Ferse::N,peta,papēdis
92,Knie::N,koljeno,пидзӧс
93,Knie::N,koljeno,celis
94,Oberschenkel::N,bedro,лядьвей
95,Oberschenkel::N,bedro,бек
96,Oberschenkel::N,bedro,ciska
97,Oberschenkel::N,bedro,augšstilbs
98,Bein::N,noga,кок
99,Bein::N,noga,kāja
100,Körper::N,tijelo,туша
101,Körper::N,tijelo,вывтыр
102,Körper::N,tijelo,miesa
103,Körper::N,tijelo,ķermenis
104,Haut::N,put,ку
105,Haut::N,put,āda
106,Haut::N,koža,ку
107,Haut::N,koža,āda
108,Blut::N,krv,вир
109,Blut::N,krv,asins
110,Ader::N,žila,сӧн
111,Ader::N,žila,asinsvads
112,Sehne::N,tetiva,вез
113,Sehne::N,tetiva,dzīsla
114,Knochen::N,kost,лы
115,Knochen::N,kost,kauls
116,Herz::N,srce,сьӧлӧм
117,Herz::N,srce,sirds
118,Magen::N,stomak,кынӧм
119,Magen::N,stomak,kuņģis
120,Magen::N,želudac,кынӧм
121,Magen::N,želudac,kuņģis
122,Leber::N,jetra,мус
123,Leber::N,jetra,aknas
124,Atem::N,dah,лов
125,Atem::N,dah,elpa
126,Hunger::N,glad,тшыг
127,Hunger::N,glad,bads
128,Hunger::N,glad,izsalkums
129,Träne::N,suza,синва
130,Träne::N,suza,asara
131,Geschmack::N,ukus,кӧр
132,Geschmack::N,ukus,чӧсмӧс
133,Geschmack::N,ukus,garša
134,Geruch::N,njuh,зын
135,Geruch::N,njuh,дук
136,Geruch::N,njuh,smaka
137,Geruch::N,miris,зын
138,Geruch::N,miris,дук
139,Geruch::N,miris,smaka
140,Schlaf::N,san,узьӧм
141,Schlaf::N,san,miegs
142,Traum::N,san,вӧт
143,Traum::N,san,вӧтасьӧм
144,Traum::N,san,sapnis
145,Himmel::N,nebo,енэж
146,Himmel::N,nebo,debess
147,Sonne::N,sunce,шонді
148,Sonne::N,sunce,saule
149,Mond::N,mjesec,тӧлысь
150,Mond::N,mjesec,mēness
151,Stern::N,zvijezda,кодзув
152,Stern::N,zvijezda,zvaigzne
153,Luft::N,zrak,сынӧд
154,Luft::N,zrak,gaiss
155,Wind::N,vjetar,тӧв
156,Wind::N,vjetar,vējš
157,Welle::N,val,гы
158,Welle::N,val,vilnis
159,Welle::N,talas,гы
160,Welle::N,talas,vilnis
161,Wasser::N,voda,ва
162,Wasser::N,voda,ūdens
163,Stein::N,kamen,из
164,Stein::N,kamen,akmens
165,Boden::N,tlo,му
166,Boden::N,tlo,augsne
167,Boden::N,zemlja,му
168,Boden::N,zemlja,augsne
169,Erde::N,zemlja,му
170,Erde::N,zemlja,му-ва
171,Erde::N,zemlja,zeme
172,Staub::N,prah,бус
173,Staub::N,prah,putekļi
174,Staub::N,prašina,бус
175,Staub::N,prašina,putekļi
176,Rauch::N,dim,тшын
177,Rauch::N,dim,dūmi
178,Funke::N,iskra,кинь
179,Funke::N,iskra,би кинь
180,Funke::N,iskra,dzirkstele
181,Funke::N,varnica,кинь
182,Funke::N,varnica,би кинь
183,Funke::N,varnica,dzirkstele
184,Feuer::N,vatra,би
185,Feuer::N,vatra,uguns
186,Licht::N,svjetlo,югӧр
187,Licht::N,svjetlo,gaisma
188,Schatten::N,hlad,вуджӧр
189,Schatten::N,hlad,ēna
190,Schatten::N,sjena,вуджӧр
191,Schatten::N,sjena,ēna
192,Wetter::N,vrijeme,поводдя
193,Wetter::N,vrijeme,laiks
194,Nebel::N,magla,ру
195,Nebel::N,magla,онь
196,Nebel::N,magla,migla
197,Wolke::N,oblak,кымӧр
198,Wolke::N,oblak,mākonis
199,Regen::N,kiša,зэр
200,Regen::N,kiša,lietus
201,Schnee::N,snijeg,лым
202,Schnee::N,snijeg,sniegs
203,Eis::N,led,йи
204,Eis::N,led,ledus
205,Frost::N,mraz,кӧдзыд
206,Frost::N,mraz,sals
207,Kälte::N,studen,кӧдзыд
208,Kälte::N,studen,saltums
209,Kälte::N,studen,aukstums
210,Kälte::N,hladnoća,кӧдзыд
211,Kälte::N,hladnoća,saltums
212,Kälte::N,hladnoća,aukstums
213,Hitze::N,vrućina,пӧсь
214,Hitze::N,vrućina,гожӧд
215,Hitze::N,vrućina,karstums
216,Raureif::N,inje,пуж
217,Raureif::N,inje,гыӧр
218,Raureif::N,inje,sarma
219,Regenbogen::N,duga,ӧшкамӧшка
220,Regenbogen::N,duga,varavīksne
221,Donner::N,grom,гым
222,Donner::N,grom,pērkons
223,Donner::N,grmljavina,гым
224,Donner::N,grmljavina,pērkons
225,Strömung::N,struja,ва ныр
226,Strömung::N,struja,визувтӧм
227,Strömung::N,struja,straume
228,Strömung::N,struja,strāvojums
229,Strömung::N,strujanje,ва ныр
230,Strömung::N,strujanje,визувтӧм
231,Strömung::N,strujanje,straume
232,Strömung::N,strujanje,strāvojums
233,Tropfen::N,kap,войт
234,Tropfen::N,kap,lāse
235,Tropfen::N,kaplja,войт
236,Tropfen::N,kaplja,lāse
237,Schaum::N,pjena,быг
238,Schaum::N,pjena,быгзьӧм
239,Schaum::N,pjena,putas
240,Schmutz::N,nečistoća,няйт
241,Schmutz::N,nečistoća,dubļi
242,Schmutz::N,prljavština,няйт
243,Schmutz::N,prljavština,dubļi
244,See::N,jezero,ты
245,See::N,jezero,ezers
246,Sumpf::N,bara,гыбад
247,Sumpf::N,bara,кад
248,Sumpf::N,bara,dumbrājs
249,Sumpf::N,bara,staignājs
250,Moor::N,močvara,нюр
251,Moor::N,močvara,purvs
252,Moor::N,močvara,muklājs
253,Wiese::N,livada,видз
254,Wiese::N,livada,pļava
255,Wald::N,šuma,вӧр
256,Wald::N,šuma,mežs
257,Hügel::N,brijeg,дзиб
258,Hügel::N,brijeg,мыльк
259,Hügel::N,brijeg,нӧрыс
260,Hügel::N,brijeg,paugurs
261,Hügel::N,brežuljak,дзиб
262,Hügel::N,brežuljak,мыльк
263,Hügel::N,brežuljak,нӧрыс
264,Hügel::N,brežuljak,paugurs
265,Anhöhe::N,uzvišica,мыльк
266,Anhöhe::N,uzvišica,нӧрыс
267,Anhöhe::N,uzvišica,paugurs
268,Berg::N,brdo,чой
269,Berg::N,brdo,керӧс
270,Berg::N,brdo,kalns
271,Gipfel::N,vrh,чук
272,Gipfel::N,vrh,virsotne
273,Höhle::N,pećina,рудӧг
274,Höhle::N,pećina,ala
275,Höhle::N,spilja,рудӧг
276,Höhle::N,spilja,ala
277,Abhang::N,obronak,ньывк
278,Abhang::N,obronak,бокша
279,Abhang::N,obronak,nogāze
280,Abhang::N,nizbrdica,ньывк
281,Abhang::N,nizbrdica,бокша
282,Abhang::N,nizbrdica,nogāze
283,Quelle::N,izvor,ӧшмӧс
284,Quelle::N,izvor,avots
285,Quelle::N,vrelo,ӧшмӧс
286,Quelle::N,vrelo,avots
287,Bach::N,potok,шор
288,Bach::N,potok,urga
289,Bach::N,potok,strauts
290,Fluss::N,rijeka,ю
291,Fluss::N,rijeka,upe
292,Ufer::N,obala,вадор
293,Ufer::N,obala,krasts
294,Küste::N,obala,вадор
295,Küste::N,obala,piekraste
296,Küste::N,morska obala,вадор
297,Küste::N,morska obala,piekraste
298,Festland::N,kopno,му
299,Festland::N,kopno,sauszeme
300,Meer::N,more,саридз
301,Meer::N,more,jūra
302,Bucht::N,zaliv,куръя
303,Bucht::N,zaliv,līcis
304,Insel::N,ada,ді
305,Insel::N,ada,sala
306,Insel::N,otok,ді
307,Insel::N,otok,sala
308,Blume::N,cvijet,дзоридз
309,Blume::N,cvijet,puķe
310,Blume::N,cvijet,zieds
