,Concept_ID,hr,ka
0,Auge::N,oko,თვალი
1,Ohr::N,uho,ყური
2,Nase::N,nos,ცხვირი
3,Mund::N,usta,პირი
4,Zahn::N,zub,კბილი
5,Zunge::N,jezik,ენა
6,Lippe::N,usna,ბაგე
7,Wange::N,obraz,ლოყა
8,Gesicht::N,lice,სახე
9,Stirn::N,čelo,შუბლი
10,Haar::N,kosa,თმა
11,Schnurrbart::N,brkovi,ულვაში
12,Bart::N,brada,წვერი
13,Kinn::N,brada,ნიკაპი
14,Kinn::N,podbradak,ნიკაპი
15,Kiefer[Anatomie]::N,čeljust,ყბა
16,Kehle::N,grlo,ყელი
17,Hals::N,vrat,ყელი
18,Hals::N,vrat,კისერი
19,Genick::N,zatiljak,კეფა
20,Kopf::N,glava,თავი
21,Rücken::N,leđa,ზურგი
22,Rücken::N,hrbat,ზურგი
23,Bauch::N,trbuh,მუცელი
24,Nabel::N,pupak,ჭიპი
25,Busen::N,sisa,ძუძუ
26,Busen::N,njedra,ძუძუ
27,Brust::N,prsa,მკერდი
28,Schulter::N,rame,მხარი
29,Schulter::N,rame,მკლავი
30,Schulter::N,pleći,მხარი
31,Schulter::N,pleći,მკლავი
32,Arm::N,ruka,ხელი
33,Ellenbogen::N,lakat,იდაყვი
34,Hand::N,ruka,ხელი
35,Handfläche::N,dlan,ნები
36,Handfläche::N,dlan,ხელისგული
37,Finger::N,prst,თითი
38,Fingernagel::N,nokat,ფრჩხილი
39,Nagel[Anatomie]::N,nokat,ფრჩხილი
40,Zeh::N,nozni prst,ფეხის თითი
41,Fuß::N,noga,ტერფი
42,Fuß::N,noga,ფეხისგული
43,Fuß::N,stopalo,ტერფი
44,Fuß::N,stopalo,ფეხისგული
45,Ferse::N,peta,ქუსლი
46,Knie::N,koljeno,მუხლი
47,Oberschenkel::N,bedro,ბარძაყი
48,Bein::N,noga,ფეხი
49,Körper::N,tijelo,ტანი
50,Körper::N,tijelo,სხეული
51,Haut::N,put,კანი
52,Haut::N,koža,კანი
53,Blut::N,krv,სისხლი
54,Ader::N,žila,ძარღვი
55,Sehne::N,tetiva,მყესი
56,Knochen::N,kost,ძვალი
57,Herz::N,srce,გული
58,Magen::N,stomak,კუჭი
59,Magen::N,želudac,კუჭი
60,Leber::N,jetra,ღვიძლი
61,Atem::N,dah,სუნთქვა
62,Hunger::N,glad,შიმშილი
63,Träne::N,suza,ცრემლი
64,Geschmack::N,ukus,გემო
65,Geruch::N,njuh,სუნი
66,Geruch::N,miris,სუნი
67,Schlaf::N,san,ძილი
68,Traum::N,san,სიზმარი
69,Himmel::N,nebo,ცა
70,Sonne::N,sunce,მზე
71,Mond::N,mjesec,მთვარე
72,Stern::N,zvijezda,ვარსკვლავი
73,Luft::N,zrak,ჰაერი
74,Wind::N,vjetar,ქარი
75,Welle::N,val,ტალღა
76,Welle::N,talas,ტალღა
77,Wasser::N,voda,წყალი
78,Stein::N,kamen,ქვა
79,Boden::N,tlo,მიწა
80,Boden::N,zemlja,მიწა
81,Erde::N,zemlja,ნიადაგი
82,Staub::N,prah,მტვერი
83,Staub::N,prašina,მტვერი
84,Rauch::N,dim,ბოლი
85,Rauch::N,dim,კვამლი
86,Funke::N,iskra,ნაკვესი
87,Funke::N,varnica,ნაკვესი
88,Feuer::N,vatra,ცეცხლი
89,Licht::N,svjetlo,შუქი
90,Licht::N,svjetlo,სინათლე
91,Schatten::N,hlad,ლანდი
92,Schatten::N,hlad,ჩრდილი
93,Schatten::N,sjena,ლანდი
94,Schatten::N,sjena,ჩრდილი
95,Wetter::N,vrijeme,ამინდი
96,Nebel::N,magla,ნისლი
97,Wolke::N,oblak,ღრუბელი
98,Regen::N,kiša,წვიმა
99,Schnee::N,snijeg,თოვლი
100,Eis::N,led,თოში
101,Eis::N,led,ყინული
102,Frost::N,mraz,ყინვა
103,Kälte::N,studen,სიცივე
104,Kälte::N,hladnoća,სიცივე
105,Hitze::N,vrućina,სიცხე
106,Raureif::N,inje,ჭირხლი
107,Raureif::N,inje,თრთვილი
108,Regenbogen::N,duga,ცისარტყელა
109,Donner::N,grom,ქუხილი
110,Donner::N,grmljavina,ქუხილი
111,Strömung::N,struja,დინება
112,Strömung::N,strujanje,დინება
113,Tropfen::N,kap,წვეთი
114,Tropfen::N,kaplja,წვეთი
115,Schaum::N,pjena,ქაფი
116,Schaum::N,pjena,დორბლი
117,Schmutz::N,nečistoća,ჭუჭყი
118,Schmutz::N,nečistoća,ტალახი
119,Schmutz::N,prljavština,ჭუჭყი
120,Schmutz::N,prljavština,ტალახი
121,See::N,jezero,ტბა
122,Sumpf::N,bara,ჭაობი
123,Moor::N,močvara,ტორფნარი
124,Wiese::N,livada,ველი
125,Wiese::N,livada,მდელო
126,Wald::N,šuma,ტყე
127,Hügel::N,brijeg,ბორცვი
128,Hügel::N,brežuljak,ბორცვი
129,Anhöhe::N,uzvišica,მაღლობი
130,Berg::N,brdo,მთა
131,Gipfel::N,vrh,მწვერვალი
132,Höhle::N,pećina,მღვიმე
133,Höhle::N,pećina,გამოქვებული
134,Höhle::N,spilja,მღვიმე
135,Höhle::N,spilja,გამოქვებული
136,Abhang::N,obronak,ფერდობი
137,Abhang::N,nizbrdica,ფერდობი
138,Quelle::N,izvor,წყარო
139,Quelle::N,izvor,სათავე
140,Quelle::N,vrelo,წყარო
141,Quelle::N,vrelo,სათავე
142,Bach::N,potok,რუ
143,Bach::N,potok,ნაკადული
144,Fluss::N,rijeka,მდინარე
145,Ufer::N,obala,კიდე
146,Ufer::N,obala,ნაპირი
147,Küste::N,obala,ნაპირი
148,Küste::N,morska obala,ნაპირი
149,Festland::N,kopno,ხმელეთი
150,Meer::N,more,ზღვა
151,Bucht::N,zaliv,ყურე
152,Insel::N,ada,კუნძული
153,Insel::N,otok,კუნძული
154,Blume::N,cvijet,ყვავილი
