,Concept_ID,ca,kn
0,Auge::N,ull,ಕಣ್ಣು
1,Ohr::N,orella,ಕಿವಿ
2,Nase::N,nas,ಮೂಗು
3,Mund::N,boca,ಬಾಯಿ
4,Zahn::N,dent,ಹಲ್ಲು
5,Zunge::N,llēngua,ನಾಲಿಗೆ
6,Lippe::N,llavi,ತುಟಿ
7,Wange::N,galta,ಗಲ್ಲ
8,Gesicht::N,cara,ಮುಖ
9,Stirn::N,front,ಹಣೆ
10,Haar::N,cabēll,ಕೂದಲು
11,Schnurrbart::N,bigoti,ಮೀಸೆ
12,Bart::N,barba,ಗಡ್ಡ
13,Kinn::N,mentó,ಗದ್ದ
14,Kinn::N,barbeta,ಗದ್ದ
15,Kiefer[Anatomie]::N,queix,ದವಡೆ
16,Kiefer[Anatomie]::N,mandíbula,ದವಡೆ
17,Kehle::N,gola,ಗಂಟಲು
18,Kehle::N,gorja,ಗಂಟಲು
19,Hals::N,coll,ಕೊರಳು
20,Genick::N,nuca,ಹಿಂಗತ್ತು
21,Kopf::N,cap,ತಲೆ
22,Rücken::N,esquena,ಬೆನ್ನು
23,Bauch::N,panxa,ಹೊಟ್ಟೆ
24,Nabel::N,llombrígol,ಹೊಕ್ಕುಳು
25,Busen::N,pit,ಸ್ತನ
26,Busen::N,mama,ಸ್ತನ
27,Brust::N,pit,ಎದೆ
28,Schulter::N,espatlla,ಭುಜ
29,Arm::N,braç,ತೋಳು
30,Ellenbogen::N,colze,ಮೊಣಕೈ
31,Hand::N,mà,ಕೈ
32,Handfläche::N,palma,ಅಂಗೈ
33,Finger::N,dit,ಕೈಬೆರಳು
34,Fingernagel::N,ungla,ಉಗುರು
35,Nagel[Anatomie]::N,ungla,ಉಗುರು
36,Zeh::N,dit del peu,ಕಾಲ್ಬೆರಳು
37,Fuß::N,peu,ಪಾದ
38,Ferse::N,taló,ಹಿಮ್ಮಡಿ
39,Knie::N,genoll,ಮಂಡಿ
40,Oberschenkel::N,cuixa,ತೊಡೆ
41,Bein::N,cama,ಕಾಲು
42,Körper::N,cos,ದೇಹ
43,Haut::N,pell,ಚರ್ಮ
44,Blut::N,sang,ರಕ್ತ
45,Ader::N,vena,ನರ
46,Sehne::N,tendó,ನರ
47,Knochen::N,os,ಮೂಳೆ
48,Gehirn::N,cervell,ಮಿದುಳು
49,Herz::N,cor,ಹೃದಯ
50,Magen::N,estómac,ಉದರ
51,Leber::N,fetge,ಯಕೃತ್ತು
52,Atem::N,alè,ಉಸಿರು
53,Atem::N,hàlit,ಉಸಿರು
54,Hunger::N,fam,ಹಸಿವು
55,Hunger::N,gana,ಹಸಿವು
