,Concept_ID,ar,de
0,Auge::N,عين,Auge
1,Ohr::N,أذن,Ohr
2,Nase::N,أنف,Nase
3,Mund::N,فم,Mund
4,Zahn::N,سن,Zahn
5,Zunge::N,لسان,Zunge
6,Lippe::N,شفة,Lippe
7,Wange::N,خد,Wange
8,Wange::N,وجنة,Wange
9,Gesicht::N,وجه,Gesicht
10,Stirn::N,جبين,Stirn
11,Haar::N,شعر,Haar
12,Schnurrbart::N,شارب,Schnurrbart
13,Bart::N,لحية,Bart
14,Kinn::N,ذقن,Kinn
15,Kiefer[Anatomie]::N,فك,Kiefer
16,Kehle::N,حلق,Kehle
17,Hals::N,عنق,Hals
18,Hals::N,رقبة,Hals
19,Genick::N,قفا,Genick
20,Kopf::N,رأس,Kopf
21,Rücken::N,ظهر,Rücken
22,Bauch::N,بطن,Bauch
23,Nabel::N,سرة,Nabel
24,Busen::N,ثدي,Busen
25,Brust::N,صدر,Brust
26,Schulter::N,كتف,Schulter
27,Arm::N,ذراع,Arm
28,Ellenbogen::N,كوع,Ellenbogen
29,Hand::N,يد,Hand
30,Handfläche::N,كف,Handfläche
31,Finger::N,إصبع,Finger
32,Fingernagel::N,ظفر,Fingernagel
33,Nagel[Anatomie]::N,ظفر,Nagel
34,Zeh::N,إصبع القدم,Zeh
35,Fuß::N,قدم,Fuß
36,Ferse::N,كعب,Ferse
37,Knie::N,ركبة,Knie
38,Oberschenkel::N,فخذ,Oberschenkel
39,Bein::N,ساق,Bein
40,Körper::N,جسم,Körper
41,Haut::N,بشرة,Haut
42,Blut::N,دم,Blut
43,Ader::N,عرق,Ader
44,Sehne::N,طنب,Sehne
45,Knochen::N,عظم,Knochen
46,Gehirn::N,دماغ,Gehirn
47,Herz::N,قلب,Herz
48,Magen::N,معدة,Magen
49,Leber::N,كبد,Leber
50,Atem::N,نفس,Atem
51,Hunger::N,جوع,Hunger
52,Träne::N,دمعة,Träne
53,Geschmack::N,طعم,Geschmack
54,Geschmack::N,مذاق,Geschmack
55,Geruch::N,رائحة,Geruch
56,Schlaf::N,نوم,Schlaf
