,Concept_ID,cv,mhr
0,Auge::N,куҫ,шинча́
1,Ohr::N,хӑлха,пы́лыш
2,Nase::N,сӑмса,нер
3,Mund::N,ҫӑвар,умша́
4,Zahn::N,шӑл,пӱй
5,Zunge::N,чӗлхе,йы́лме
6,Lippe::N,тута,тӱ́рвӧ
7,Wange::N,пит ҫӑмарти,шӱ́ргӧ
8,Gesicht::N,пит,чури́й
9,Gesicht::N,пит-куҫ,чури́й
10,Stirn::N,ҫамка,саҥга́
11,Haar::N,ҫӳҫ,ӱп
12,Schnurrbart::N,усси,ӧ́рыш
13,Bart::N,сухал,понда́ш
14,Kinn::N,янах,оҥыла́ш
15,Kiefer[Anatomie]::N,янах,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,янах,пӱйората́
17,Kehle::N,пыр,лога́р
18,Kehle::N,карланкӑ,лога́р
19,Hals::N,пыр,шӱй
20,Genick::N,ӗнсе,шӱйло́дыш
21,Kopf::N,пуҫ,вуй
22,Rücken::N,ҫурӑм,туп
23,Nabel::N,кӑвапа,кы́лымде
24,Busen::N,кӑкӑр,чы́зе
25,Brust::N,умӗ,оҥ
26,Schulter::N,хул пуҫҫи,ва́че
27,Arm::N,алӑ,кид
28,Ellenbogen::N,чавса,кынерву́й
29,Hand::N,алӑ сыппи,кид
30,Hand::N,алӑ сыппи,копа́
31,Handfläche::N,ал лаппи,со́во
32,Finger::N,пӳрне,парня́
33,Fingernagel::N,чӗрне,кидкӱ́ч
34,Fingernagel::N,чӗрне,парнягӱ́ч
35,Nagel[Anatomie]::N,чӗрне,кӱч
36,Zeh::N,пӳрне,йолварня́
37,Fuß::N,ура лаппи,йол
38,Fuß::N,ура лаппи,йолкопа́
39,Ferse::N,кӗле,тага́н
40,Knie::N,чӗркуҫҫи,пулву́й
41,Oberschenkel::N,пӗҫӗ,э́рде
42,Bein::N,ура,йол
43,Körper::N,ӳт,кап
44,Körper::N,ӳт-пӳ,кап
45,Haut::N,тир,кова́ште
46,Blut::N,юн,вӱр
47,Ader::N,вена,шӧн
48,Sehne::N,шӑнӑр,шӧн
49,Sehne::N,шӑнӑр,кӱсе́н
50,Knochen::N,шӑмӑ,лу
51,Gehirn::N,миме,вем
52,Gehirn::N,миме,вуйве́м
53,Herz::N,чӗре,шӱм
54,Magen::N,хырӑмлӑх,пага́р
55,Leber::N,пӗвер,мокш
56,Atem::N,сывлав,шӱ́лыш
57,Hunger::N,выҫлӑх,шужыма́ш
58,Träne::N,куҫҫуль,шинчавӱ́д
59,Geschmack::N,техӗм,там
60,Geruch::N,шӑршӑ,пуш
61,Schlaf::N,ыйхӑ,о́мо
62,Traum::N,тӗлӗк,йӱдо́мо
63,Himmel::N,пӗлӗт,кава́
64,Sonne::N,хӗвел,ке́че
65,Mond::N,уйӑх,ты́лзе
66,Stern::N,ҫӑлтӑр,шӱ́дыр
67,Luft::N,сывлӑш,юж
68,Wind::N,ҫил,марде́ж
69,Welle::N,хум,то́лкын
70,Wasser::N,шыв,вӱд
71,Wasser::N,шыв-шур,вӱд
72,Stein::N,чул,кӱ
73,Boden::N,тӑпра,рок
74,Erde::N,ҫӗр,мла́нде
75,Staub::N,тусан,пура́к
76,Rauch::N,тӗтӗм,шикш
77,Funke::N,хӗм,сеске́м
78,Funke::N,хӗм,тулйы́п
79,Feuer::N,вут,тул
80,Feuer::N,ҫулӑм,тул
81,Licht::N,ҫутӑ,со́то
82,Schatten::N,сулхӑн,ӱ́мыл
83,Wetter::N,ҫанталӑк,иге́че
84,Nebel::N,тӗтре,тӱтыра́
85,Wolke::N,пӗлӗт,пыл
86,Regen::N,ҫумӑр,йӱр
87,Schnee::N,юр,лум
88,Eis::N,пӑр,ий
89,Frost::N,сивӗ,чатлама́
90,Kälte::N,сивӗ,йӱ́штӧ
91,Hitze::N,вӗри,шо́кшо
92,Hitze::N,шӑрӑх,шо́кшо
93,Raureif::N,пас,пӧрш
94,Raureif::N,пас,по́кшым
95,Regenbogen::N,асамат кӗперӗ,шонанпы́л
96,Donner::N,аслати,кӱ́дырчӧ
97,Strömung::N,юхӑ,йо́гын
98,Tropfen::N,тумлам,чӱча́лтыш
99,Schaum::N,кӑпӑк,шоҥ
100,Schmutz::N,пылчӑк,лавыра́
101,See::N,кӳлӗ,ер
102,Sumpf::N,шур,лӱ́кӧ
103,Sumpf::N,шурлӑх,лӱ́кӧ
104,Moor::N,торфлӑ шурлӑх,куп
105,Wiese::N,улӑх,о́лык
106,Wiese::N,ҫаран,о́лык
107,Wald::N,вӑрман,чодыра́
108,Hügel::N,сӑрт,арка́
109,Hügel::N,тӗмеске,арка́
110,Anhöhe::N,сӑрт,тӧва́
111,Anhöhe::N,сӑрт,кӱкшака́
112,Berg::N,ту,ку́рык
113,Gipfel::N,тӳпе,чаҥга́
114,Gipfel::N,тӳпе,курыкву́й
115,Höhle::N,ҫӗр хӑвӑлӗ,пеще́р
116,Höhle::N,ҫӗр хӑвӑлӗ,курыкпо́мыш
117,Abhang::N,тӑвайкки,та́йыл
118,Quelle::N,ҫӑл куҫ,важ
119,Quelle::N,ҫӑл куҫ,вӱдшинча́
120,Bach::N,пӗчӗк шыв,изэҥе́р
121,Fluss::N,юхан шыв,эҥе́р
122,Ufer::N,ҫыран,сер
123,Küste::N,тинӗс ҫыранӗ,вӱдтӱ́р
124,Festland::N,тип ҫӗр,мла́нде
125,Meer::N,тинӗс,те́ҥыз
126,Bucht::N,тинӗс кукӑрӗ,икса́
127,Insel::N,утрав,отро́
128,Blume::N,чечек,пеле́дыш
129,Gras::N,курӑк,шу́до
130,Wurzel::N,тымар,вож
131,Baum::N,йывӑҫ,пуше́ҥге
132,Stamm::N,вулӑ,йы́тыр
133,Rinde::N,хуйӑр,шӱм
134,Ast::N,турат,укш
135,Zweig::N,турат,торма́к
136,Blatt::N,ҫулҫӑ,лышта́ш
137,Birke::N,хурӑн,куэ́
138,Kiefer[Baum]::N,хыр,пӱ́нчӧ
139,Weide[Baum]::N,хӑва,уа́
140,Tanne::N,чӑрӑш,кож
141,Horn::N,мӑйрака,шур
142,Feder::N,тӗк,пы́стыл
143,Fell::N,ҫӑм,кова́ште
144,Flügel::N,ҫунат,шу́лдыр
145,Klaue::N,чӗрне,кӱч
146,Kralle::N,ура,ла́па
147,Kralle::N,ура,копа́
148,Schwanz::N,хӳре,поч
149,Ei::N,ҫӑмарта,му́но
150,Nest::N,йӑва,пыжа́ш
151,Bau::N,йӗнӗ,пыжа́ш
152,Tier::N,выльӑх,я́нлык
153,Tier::N,выльӑх,живо́тный
154,Herde::N,кӗтӳ,кӱ́тӱ
155,Herde::N,кӗтӳ,тӱшка́
156,Kuh::N,ӗне,ушка́л
157,Bulle::N,вӑкӑр,ӱ́шкыж
158,Pferd::N,лаша,и́мне
159,Schaf::N,сурӑх,шо́рык
160,Schwein::N,сысна,сӧсна́
161,Hund::N,йытӑ,пий
162,Katze::N,кушак,пы́рыс
163,Bär::N,упа,маска́
164,Eichhörnchen::N,пакша,ур
165,Elch::N,пӑши,шо́рдо
166,Fuchs::N,тилӗ,ры́выж
167,Hase::N,куян,мера́ҥ
168,Hase::N,мулкач,мера́ҥ
169,Maus::N,шӑши,коля́
170,Wolf::N,кашкӑр,пи́ре
171,Vogel::N,кайӑк,ка́йык
172,Vogel::N,вӗҫен кайӑк,ка́йык
173,Schwarm::N,ушкӑн,каша́к
174,Huhn::N,чӑх,чы́ве
175,Huhn::N,чӑхӑ,чы́ве
176,Hahn::N,автан,агыта́н
177,Gans::N,хур,ко́мбо
178,Adler::N,ӑмӑрт кайӑк,карагу́ш
179,Ente::N,кӑвакал,лу́до
180,Eule::N,тӑмана,тумна́
181,Kranich::N,тӑрна,турня́
182,Krähe::N,ула курак,кора́к
183,Kuckuck::N,куккук,куку́
184,Schwan::N,акӑш,йӱ́ксӧ
185,Fisch::N,пулӑ,кол
186,Barsch::N,уланкӑ,ола́ҥге
187,Hecht::N,ҫӑрттан,нуж
188,Hecht::N,ҫӑрттан,чорта́н
189,Schlange[Tier]::N,ҫӗлен,ки́шке
190,Wurm::N,ӑман,шукш
191,Spinne::N,эрешмен,эҥыре́мыш
192,Ameise::N,кӑткӑ,ку́тко
193,Laus::N,пыйтӑ,тий
194,Mücke::N,вӑрӑм туна,шыҥа́
195,Fliege::N,шӑна,ка́рме
196,Schmetterling::N,лӗпӗш,лы́ве
197,Beere::N,ҫырла,мӧр
198,Apfel::N,улма,олма́
199,Apfel::N,пан улми,олма́
200,Pilz::N,кӑмпа,по́ҥго
201,Zwiebel::N,сухан,шога́н
202,Saat::N,вӑрӑ,нӧ́шмӧ
203,Saat::N,вӑрӑ,туш
204,Korn::N,тӗшӗ,шу́рно
205,Korn::N,пӗрчӗ,шу́рно
206,Heu::N,утӑ,шу́до
207,Schale::N,хупӑ,шӱм
208,Grube::N,шӑтӑк,выне́м
209,Falle::N,тапӑ,лӧ́дӧ
210,Falle::N,капкӑн,лӧ́дӧ
211,Schlinge::N,йӑлӑ,о́птыш
212,Schlinge::N,йӑлӑ,шӧрга́лтыш
213,Spur::N,йӗр,кыша́
214,Asche::N,кӗл,ло́мыж
215,Dreck::N,пылчӑк,лавыра́
216,Eisen::N,тимӗр,кӱ́ртньӧ
217,Gold::N,ылтӑн,шӧ́ртньӧ
218,Silber::N,кӗмӗл,ший
219,Kohle::N,кӑмрӑк,мландышӱ́й
220,Glas::N,кӗленче,янда́
221,Lehm::N,тӑм,шун
222,Sand::N,хӑйӑр,ошма́
223,Mensch::N,ҫын,еҥ
224,Mensch::N,ҫын,айде́ме
225,Mensch::N,этем,еҥ
226,Mensch::N,этем,айде́ме
227,Mann::N,ар,пӧръе́ҥ
228,Frau::N,хӗрарӑм,ӱдырама́ш
229,Kind::N,ача,аза́
230,Junge::N,ача,рве́зе
231,Junge::N,ар ҫын ача,рве́зе
232,Mädchen::N,хӗр ача,ӱдыра́ш
233,Familie::N,ҫемье,еш
234,Familie::N,кил-йыш,еш
235,Großvater::N,кукаҫи,коча́
236,Großmutter::N,кукамай,кова́
237,Eltern::N,аҫа-ама,ача́-ава́
238,Vater::N,атте,ача́
239,Mutter::N,анне,ава́
240,Sohn::N,ывӑл,э́рге
241,Tochter::N,хӗр,ӱ́дыр
242,Bruder::N,ар тӑван,иза́
243,Bruder::N,ар тӑван,шо́льо
244,Schwester::N,аппа,ака́
245,Schwester::N,йӑмӑк,ака́
246,Onkel::N,мучи,иза́
247,Onkel::N,пичче,иза́
248,Tante::N,аппа,кока́
249,Ehemann::N,упӑшка,мари́й
250,Ehefrau::N,арӑм,ва́те
251,Freude::N,савӑнӑҫ,куа́н
252,Freude::N,савӑнӑҫ,куаныма́ш
253,Freude::N,хаваслӑх,куа́н
254,Freude::N,хаваслӑх,куаныма́ш
255,Gelächter::N,кулӑ,во́штылтыш
256,Glück::N,телей,пиа́л
257,Glück::N,ӑраскал,пиа́л
258,Kummer::N,хурлӑх,о́йго
259,Wunsch::N,ӗмӗт,ку́мыл
260,Wunsch::N,кӑмӑл,ку́мыл
261,Lust::N,кӑмӑл,ку́мыл
262,Geist::N,чун-чӗм,ӧрт
263,Geist::N,чун-чӗм,чон
264,Geist::N,ыр-усал,ӧрт
265,Geist::N,ыр-усал,чон
266,Geist::N,чун хавалӗ,ӧрт
267,Geist::N,чун хавалӗ,чон
268,Gedanke::N,шухӑш,ой
269,Gedanke::N,шухӑш,шоныма́ш
270,Gedächtnis::N,ас,шарныма́ш
271,Verstand::N,ӑс,уш
272,Verstand::N,ӑс-тӑн,уш
273,Verstand::N,ӑс-хакӑл,уш
274,Sinn::N,тупсӑм,смысл
275,Sinn::N,пӗлтерӗш,смысл
276,Grund::N,сӑлтав,ама́л
277,Wahrheit::N,чӑнлӑх,чын
278,Gespräch::N,калаҫу,мутланыма́ш
279,Märchen::N,юмах,йома́к
280,Erzählung::N,акалав,ойлыма́ш
281,Erzählung::N,каласа пани,ойлыма́ш
282,Nachricht::N,хыпар,увертарыма́ш
283,Neuigkeit::N,ҫӗнӗ хыпар,уве́р
284,Name::N,ят,лӱм
285,Rätsel::N,сутмалли юмах,ту́што
286,Rede::N,сӑмах,ойлыма́ш
287,Sprache::N,чӗлхе,йы́лме
288,Stimme::N,сасӑ,йӱк
289,Wort::N,сӑмах,ой
290,Wort::N,сӑмах,мут
291,Zeichen::N,паллӑ,ти́ште
292,Zeichen::N,паллӑ,знак
