,Concept_ID,tt,ce
0,Auge::N,күз,бӏаьрг
1,Ohr::N,колак,лерг
2,Nase::N,борын,мара
3,Mund::N,авыз,бага
4,Mund::N,тамак,бага
5,Zahn::N,теш,церг
6,Zunge::N,тел,мотт
7,Lippe::N,ирен,балда
8,Wange::N,яңак,бесни
9,Gesicht::N,йөз,юьхь
10,Stirn::N,маңгай,хьаж
11,Haar::N,чәч,мас
12,Schnurrbart::N,мыек,мекх
13,Bart::N,сакал,маж
14,Kinn::N,ияк,чӏениг
15,Kiefer[Anatomie]::N,казналык,мочхал
16,Kehle::N,тамак,къамкъарг
17,Hals::N,бугаз,ворта
18,Genick::N,җилкә,кӏесаркӏаг
19,Kopf::N,баш,корта
20,Rücken::N,сырт,букъ
21,Bauch::N,корсак,кийра
22,Nabel::N,кендек,цӏонга
23,Busen::N,түш,зударийн накха
24,Brust::N,имчәк,накха
25,Brust::N,күкрәк,накха
26,Schulter::N,иңбаш,белш
27,Schulter::N,кулбаш,белш
28,Arm::N,кул,пхьарс
29,Ellenbogen::N,терсәк,пхьаьрсан гола
30,Hand::N,кул,куьг
31,Handfläche::N,уч,кераюкъ
32,Finger::N,бармак,пӏелг
33,Fingernagel::N,тырнак,мӏара
34,Nagel[Anatomie]::N,тырнак,мӏара
35,Zeh::N,бармак,кога пӏелг
36,Fuß::N,табан,ког
37,Ferse::N,үкчә,кӏажа
38,Knie::N,тез,гола
39,Oberschenkel::N,бот,варе
40,Bein::N,аяк,ког
41,Körper::N,тән,хӏума
42,Körper::N,җисем,хӏума
43,Haut::N,тире,чкъор
44,Blut::N,кан,цӏий
45,Ader::N,тамыр,пха
46,Sehne::N,сеңер,хьорзам
47,Knochen::N,сөяк,даьӏахк
48,Gehirn::N,ми,хье
49,Herz::N,йөрәк,дог
50,Magen::N,ашказаны,зорх
51,Leber::N,бавыр,доӏах
52,Atem::N,сулыш,садеӏар
53,Hunger::N,ачлык,мацалла
54,Träne::N,яшь,бӏаьрхи
