,Concept_ID,pt,fi
0,Auge::N,olho,silmä
1,Ohr::N,orelha,korva
2,Nase::N,nariz,nenä
3,Mund::N,boca,suu
4,Zahn::N,dente,hammas
5,Zunge::N,língua,kieli
6,Lippe::N,lábio,huuli
7,Wange::N,face,poski
8,Gesicht::N,cara,naama
9,Gesicht::N,cara,kasvot
10,Gesicht::N,rosto,naama
11,Gesicht::N,rosto,kasvot
12,Stirn::N,testa,otsa
13,Haar::N,cabelo,hius
14,Haar::N,cabelo,tukka
15,Schnurrbart::N,bigode,viikset
16,Bart::N,barba,parta
17,Kinn::N,queixo,leuka
18,Kiefer[Anatomie]::N,maxila,leukaluu
19,Kiefer[Anatomie]::N,mandíbula,leukaluu
20,Kehle::N,garganta,kurkku
21,Hals::N,colo,kaula
22,Hals::N,pescoço,kaula
23,Genick::N,nuca,niska
24,Kopf::N,cabeça,pää
25,Rücken::N,dorso,selkä
26,Rücken::N,costas,selkä
27,Bauch::N,ventre,maha
28,Bauch::N,ventre,vatsa
29,Bauch::N,barriga,maha
30,Bauch::N,barriga,vatsa
31,Nabel::N,umbigo,napa
32,Busen::N,seio,rinta
33,Brust::N,peito,rinta
34,Schulter::N,ombro,olka
35,Schulter::N,ombro,hartia
36,Schulter::N,ombro,olkapää
37,Arm::N,braço,käsivarsi
38,Ellenbogen::N,cotovelo,kyynärpää
39,Hand::N,mão,käsi
40,Handfläche::N,palma,kämmen
41,Handfläche::N,palma da mão,kämmen
42,Finger::N,dedo,sormi
43,Fingernagel::N,unha,kynsi
44,Nagel[Anatomie]::N,unha,kynsi
45,Zeh::N,dedo do pé,varvas
46,Fuß::N,pé,jalka
47,Ferse::N,calcanhar,kantapää
48,Knie::N,joelho,polvi
49,Oberschenkel::N,coxa,reisi
50,Bein::N,perna,jalka
51,Körper::N,corpo,keho
52,Körper::N,corpo,ruumis
53,Haut::N,pele,iho
54,Blut::N,sangue,veri
55,Ader::N,veia,suoni
56,Sehne::N,tendão,jänne
57,Knochen::N,osso,luu
58,Gehirn::N,cérebro,aivot
59,Herz::N,coração,sydän
60,Magen::N,estômago,maha
61,Magen::N,estômago,vatsa
62,Leber::N,fígado,maksa
63,Atem::N,fôlego,henki
64,Atem::N,fôlego,hengitys
65,Hunger::N,fome,nälkä
66,Träne::N,lágrima,kyynel
67,Geschmack::N,gosto,maku
68,Geruch::N,odor,haju
69,Geruch::N,cheiro,haju
70,Schlaf::N,sono,uni
71,Traum::N,sonho,uni
72,Himmel::N,céu,taivas
73,Sonne::N,sol,aurinko
74,Mond::N,lua,kuu
75,Stern::N,estrela,tähti
76,Luft::N,ar,ilma
77,Wind::N,vento,tuuli
78,Welle::N,onda,aalto
79,Wasser::N,água,vesi
80,Stein::N,pedra,kivi
81,Boden::N,solo,maa
82,Boden::N,solo,maaperä
83,Erde::N,terra,maa
84,Staub::N,pó,pöly
85,Rauch::N,fumo,savu
86,Funke::N,faísca,kipinä
87,Funke::N,centelha,kipinä
88,Feuer::N,fogo,tuli
89,Licht::N,luz,valo
90,Schatten::N,sombra,varjo
91,Wetter::N,tempo,sää
92,Nebel::N,nevoeiro,sumu
93,Wolke::N,nuvem,pilvi
94,Regen::N,chuva,sade
95,Schnee::N,neve,lumi
96,Eis::N,gelo,jää
97,Frost::N,gelo,halla
98,Frost::N,gelo,pakkanen
99,Frost::N,geada,halla
100,Frost::N,geada,pakkanen
101,Kälte::N,frio,vilu
102,Kälte::N,frio,kylmyys
103,Hitze::N,ardor,helle
104,Hitze::N,ardor,kuumuus
105,Raureif::N,geada,huurre
106,Regenbogen::N,arco-iris,sateenkaari
107,Donner::N,trovão,jyrinä
108,Strömung::N,corrente,virtaus
109,Tropfen::N,gota,tippa
110,Tropfen::N,gota,pisara
111,Schaum::N,espuma,vaahto
112,Schmutz::N,sujidade,loka
113,Schmutz::N,imundície,loka
114,See::N,lago,järvi
115,Sumpf::N,charco,suo
116,Sumpf::N,pântano,suo
117,Moor::N,pântano,räme
118,Wiese::N,prado,niitty
119,Wald::N,bosque,metsä
120,Wald::N,floresta,metsä
121,Hügel::N,colina,mäki
122,Hügel::N,colina,kumpu
123,Hügel::N,colina,kukkula
124,Anhöhe::N,alto,mäki
125,Anhöhe::N,alto,kumpare
126,Anhöhe::N,outeiro,mäki
127,Anhöhe::N,outeiro,kumpare
128,Berg::N,monte,mäki
129,Berg::N,monte,vuori
130,Berg::N,montanha,mäki
131,Berg::N,montanha,vuori
132,Gipfel::N,pico,laki
133,Gipfel::N,pico,huippu
134,Höhle::N,caverna,luola
135,Abhang::N,encosta,rinne
136,Quelle::N,fonte,lähde
137,Bach::N,regato,puro
138,Bach::N,ribeiro,puro
139,Fluss::N,rio,joki
140,Ufer::N,beira,ranta
141,Küste::N,costa,rannikko
142,Festland::N,terra firme,manner
143,Meer::N,mar,meri
144,Bucht::N,baía,lahti
145,Insel::N,ilha,saari
146,Blume::N,flor,kukka
147,Gras::N,erva,ruoho
148,Wurzel::N,raiz,juuri
149,Baum::N,árvore,puu
150,Stamm::N,tronco,runko
151,Rinde::N,casca,kuori
152,Rinde::N,casca,parkki
153,Ast::N,ramo,oksa
154,Zweig::N,galho,haara
155,Blatt::N,folha,lehti
156,Birke::N,bétula,koivu
157,Kiefer[Baum]::N,pinheiro,mänty
158,Kiefer[Baum]::N,pinheiro,petäjä
159,Weide[Baum]::N,salgueiro,paju
160,Tanne::N,abeto,kuusi
161,Horn::N,corno,sarvi
162,Horn::N,chifre,sarvi
163,Feder::N,pena,sulka
164,Feder::N,pena,höyhen
165,Fell::N,pele,talja
166,Flügel::N,asa,siipi
167,Klaue::N,pata,kynsi
168,Kralle::N,unha,kynsi
169,Kralle::N,garra,kynsi
170,Schwanz::N,rabo,häntä
171,Schwanz::N,rabo,pyrstö
172,Schwanz::N,cauda,häntä
173,Schwanz::N,cauda,pyrstö
174,Ei::N,ovo,muna
175,Nest::N,ninho,pesä
176,Bau::N,toca,pesä
177,Bau::N,covil,pesä
178,Tier::N,animal,eläin
179,Herde::N,rebanho,lauma
180,Kuh::N,vaca,lehmä
181,Bulle::N,touro,sonni
182,Pferd::N,cavalo,hevonen
183,Schaf::N,ovelha,lammas
184,Schwein::N,porco,sika
185,Hund::N,cão,koira
186,Katze::N,gata,kissa
187,Bär::N,urso,karhu
188,Eichhörnchen::N,esquilo,orava
189,Elch::N,alce,hirvi
190,Fuchs::N,raposa,kettu
191,Hase::N,lebre,jänis
192,Maus::N,rato,hiiri
193,Wolf::N,lobo,susi
194,Vogel::N,ave,lintu
195,Vogel::N,pássaro,lintu
196,Schwarm::N,bando,parvi
197,Schwarm::N,enxame,parvi
198,Huhn::N,galinha,kana
199,Hahn::N,galo,kukko
200,Gans::N,ganso,hanhi
201,Adler::N,águia,kotka
202,Ente::N,pata,ankka
203,Eule::N,mocho,pöllö
204,Eule::N,coruja,pöllö
205,Kranich::N,grou,kurki
206,Krähe::N,gralha,varis
207,Kuckuck::N,cuco,käki
208,Schwan::N,cisne,joutsen
209,Fisch::N,peixe,kala
210,Barsch::N,perca,ahven
211,Hecht::N,lúcio,hauki
212,Schlange[Tier]::N,serpente,käärme
213,Wurm::N,verme,mato
214,Spinne::N,aranha,hämähäkki
215,Ameise::N,formiga,muurahainen
216,Laus::N,piolho,täi
217,Mücke::N,mosquito,sääski
218,Mücke::N,mosquito,hyttynen
219,Fliege::N,mosca,kärpänen
220,Schmetterling::N,borboleta,perhonen
221,Beere::N,bago,marja
222,Apfel::N,maçã,omena
223,Pilz::N,fungo,sieni
224,Pilz::N,cogumelo,sieni
225,Zwiebel::N,cebola,sipuli
226,Saat::N,sementeira,siemenet
227,Korn::N,grão,jyvä
228,Korn::N,grão,vilja
229,Heu::N,feno,heinä
230,Schale::N,casca,kuori
231,Grube::N,cova,kuoppa
232,Grube::N,fossa,kuoppa
233,Falle::N,armadilha,loukku
234,Schlinge::N,laço,ansa
235,Spur::N,pista,jälki
236,Spur::N,vestígio,jälki
237,Asche::N,cinza,tuhka
238,Dreck::N,sujidade,lika
239,Eisen::N,ferro,rauta
240,Gold::N,ouro,kulta
241,Silber::N,prata,hopea
242,Kohle::N,carvão,hiili
243,Glas::N,vidro,lasi
244,Lehm::N,barro,savi
245,Lehm::N,argila,savi
246,Sand::N,areia,hiekka
247,Mensch::N,homem,ihminen
248,Mensch::N,pessoa,ihminen
249,Mann::N,homem,mies
250,Frau::N,mulher,nainen
251,Kind::N,filho,lapsi
252,Kind::N,criança,lapsi
253,Junge::N,rapaz,poika
254,Junge::N,menino,poika
255,Mädchen::N,menina,tyttö
256,Mädchen::N,rapariga,tyttö
257,Familie::N,família,perhe
258,Großvater::N,avô,isoisä
259,Großmutter::N,avó,isoäiti
260,Eltern::N,pais,vanhemmat
261,Vater::N,pai,isä
262,Mutter::N,mãe,äiti
263,Sohn::N,filho,poika
264,Tochter::N,filha,tytär
265,Bruder::N,irmão,veli
266,Schwester::N,irmã,sisko
267,Onkel::N,tio,eno
268,Onkel::N,tio,setä
269,Tante::N,tia,täti
270,Ehemann::N,esposo,mies
271,Ehemann::N,esposo,aviomies
272,Ehefrau::N,esposa,vaimo
273,Ehefrau::N,esposa,aviovaimo
274,Freude::N,prazer,ilo
275,Freude::N,prazer,riemu
276,Freude::N,alegria,ilo
277,Freude::N,alegria,riemu
278,Gelächter::N,risada,nauru
279,Gelächter::N,gargalhada,nauru
280,Glück::N,felicidade,onni
281,Kummer::N,aflição,suru
282,Kummer::N,aflição,murhe
283,Kummer::N,desgosto,suru
284,Kummer::N,desgosto,murhe
285,Wunsch::N,desejo,toive
286,Wunsch::N,desejo,toivomus
287,Lust::N,vontade,himo
288,Geist::N,mente,henki
289,Geist::N,espírito,henki
290,Gedanke::N,ideia,aate
291,Gedanke::N,ideia,ajatus
292,Gedanke::N,pensamento,aate
293,Gedanke::N,pensamento,ajatus
294,Gedächtnis::N,memória,muisti
295,Verstand::N,razão,äly
296,Verstand::N,razão,järki
297,Verstand::N,razão,ymmärrys
298,Verstand::N,inteligência,äly
299,Verstand::N,inteligência,järki
300,Verstand::N,inteligência,ymmärrys
301,Sinn::N,sentido,merkitys
302,Sinn::N,significado,merkitys
303,Grund::N,causa,syy
304,Grund::N,causa,peruste
305,Grund::N,motivo,syy
306,Grund::N,motivo,peruste
307,Wahrheit::N,verdade,tosi
308,Wahrheit::N,verdade,totuus
309,Gespräch::N,conversa,puhelu
310,Gespräch::N,conversa,keskustelu
311,Gespräch::N,conversação,puhelu
312,Gespräch::N,conversação,keskustelu
313,Märchen::N,conto,satu
314,Erzählung::N,conto,tarina
315,Erzählung::N,conto,kertomus
316,Erzählung::N,narrativa,tarina
317,Erzählung::N,narrativa,kertomus
318,Nachricht::N,mensagem,tieto
319,Nachricht::N,mensagem,ilmoitus
320,Neuigkeit::N,notícia,uutinen
321,Neuigkeit::N,novidade,uutinen
322,Name::N,nome,nimi
323,Rätsel::N,adivinha,arvoitus
324,Rede::N,oração,puhe
