,Concept_ID,el,cv
0,Auge::N,μάτι,куҫ
1,Auge::N,οφθαλμός,куҫ
2,Ohr::N,αυτί,хӑлха
3,Nase::N,μύτη,сӑмса
4,Mund::N,στόμα,ҫӑвар
5,Zahn::N,δόντι,шӑл
6,Zunge::N,γλώσσα,чӗлхе
7,Lippe::N,χείλος,тута
8,Wange::N,παρειά,пит ҫӑмарти
9,Wange::N,μάγουλο,пит ҫӑмарти
10,Gesicht::N,πρόσωπο,пит
11,Gesicht::N,πρόσωπο,пит-куҫ
12,Stirn::N,μέτωπο,ҫамка
13,Haar::N,μαλλιά,ҫӳҫ
14,Schnurrbart::N,μουστάκι,усси
15,Bart::N,γένια,сухал
16,Kinn::N,πιγούνι,янах
17,Kiefer[Anatomie]::N,σαγόνι,янах
18,Kehle::N,λαρύγγι,пыр
19,Kehle::N,λαρύγγι,карланкӑ
20,Hals::N,λαιμός,пыр
21,Genick::N,σβέρκος,ӗнсе
22,Kopf::N,κεφάλι,пуҫ
23,Rücken::N,ράχη,ҫурӑм
24,Bauch::N,κοιλιά,
25,Nabel::N,αφαλός,кӑвапа
26,Busen::N,στήθος,кӑкӑр
27,Brust::N,στήθος,умӗ
28,Schulter::N,ώμος,хул пуҫҫи
29,Arm::N,χέρι,алӑ
30,Arm::N,μπράτςο,алӑ
31,Ellenbogen::N,αγκώνας,чавса
32,Hand::N,χέρι,алӑ сыппи
33,Handfläche::N,παλάμη,ал лаппи
34,Finger::N,δάχτυλο,пӳрне
35,Fingernagel::N,νύχι,чӗрне
36,Nagel[Anatomie]::N,νύχι,чӗрне
37,Zeh::N,δάχτυλο του ποδιού,пӳрне
38,Fuß::N,πόδι,ура лаппи
39,Ferse::N,φτέρνα,кӗле
40,Knie::N,γόνατο,чӗркуҫҫи
41,Oberschenkel::N,μηρός,пӗҫӗ
42,Bein::N,πόδι,ура
43,Körper::N,σώμα,ӳт
44,Körper::N,σώμα,ӳт-пӳ
45,Körper::N,κορμί,ӳт
46,Körper::N,κορμί,ӳт-пӳ
47,Haut::N,πετσί,тир
48,Blut::N,αίμα,юн
49,Ader::N,φλέβα,вена
50,Sehne::N,νεύρο,шӑнӑр
51,Sehne::N,τένοντας,шӑнӑр
52,Knochen::N,οστό,шӑмӑ
53,Knochen::N,κόκκαλο,шӑмӑ
54,Gehirn::N,μυαλό,миме
55,Gehirn::N,εγκέφαλος,миме
56,Herz::N,καρδιά,чӗре
57,Magen::N,στομάχι,хырӑмлӑх
58,Leber::N,ήπαρ,пӗвер
59,Leber::N,συκωτί,пӗвер
60,Atem::N,αναπνοή,сывлав
61,Hunger::N,πείνα,выҫлӑх
62,Träne::N,δάκρυ,куҫҫуль
63,Geschmack::N,γεύση,техӗм
64,Geruch::N,οσμή,шӑршӑ
65,Geruch::N,μυρωδία,шӑршӑ
66,Schlaf::N,ύπνος,ыйхӑ
67,Traum::N,όνειρο,тӗлӗк
68,Himmel::N,ουρανός,пӗлӗт
69,Sonne::N,ήλιος,хӗвел
70,Mond::N,σελήνη,уйӑх
71,Mond::N,φεγγάρι,уйӑх
72,Stern::N,άστρο,ҫӑлтӑр
73,Stern::N,αστέρι,ҫӑлтӑр
74,Luft::N,αέρας,сывлӑш
75,Wind::N,αέρας,ҫил
76,Wind::N,άνεμος,ҫил
77,Welle::N,κύμα,хум
78,Wasser::N,νερό,шыв
79,Wasser::N,νερό,шыв-шур
80,Stein::N,πέτρα,чул
81,Boden::N,χώμα,тӑпра
82,Erde::N,γη,ҫӗр
83,Staub::N,σκόνη,тусан
84,Rauch::N,καπνός,тӗтӗм
85,Funke::N,σπίθα,хӗм
86,Funke::N,σπινθήρας,хӗм
87,Feuer::N,φωτιά,вут
88,Feuer::N,φωτιά,ҫулӑм
89,Licht::N,φως,ҫутӑ
90,Schatten::N,σκιά,сулхӑн
91,Schatten::N,ίσκιος,сулхӑн
92,Wetter::N,καιρός,ҫанталӑк
93,Nebel::N,ομίχλη,тӗтре
94,Wolke::N,σύννεφο,пӗлӗт
95,Regen::N,βροχή,ҫумӑр
96,Schnee::N,χιόνι,юр
97,Eis::N,πάγος,пӑр
98,Frost::N,παγωνία,сивӗ
99,Kälte::N,κρύο,сивӗ
100,Kälte::N,ψύχος,сивӗ
101,Hitze::N,ζέστη,вӗри
102,Hitze::N,ζέστη,шӑрӑх
103,Raureif::N,πάχνη,пас
104,Regenbogen::N,ουράνιο τόξο,асамат кӗперӗ
105,Donner::N,βροντή,аслати
106,Strömung::N,ρεύμα,юхӑ
107,Tropfen::N,στάλα,тумлам
108,Schaum::N,αφρός,кӑпӑк
109,Schmutz::N,βρωμιά,пылчӑк
110,See::N,λίμνη,кӳлӗ
111,Sumpf::N,βάλτος,шур
112,Sumpf::N,βάλτος,шурлӑх
113,Moor::N,έλος,торфлӑ шурлӑх
114,Wiese::N,λιβάδι,улӑх
115,Wiese::N,λιβάδι,ҫаран
116,Wald::N,δάσος,вӑрман
117,Hügel::N,λόφος,сӑрт
118,Hügel::N,λόφος,тӗмеске
119,Anhöhe::N,ύψωμα,сӑрт
120,Berg::N,όρος,ту
121,Berg::N,βουνό,ту
122,Gipfel::N,κορυφή,тӳпе
123,Höhle::N,σπηλιά,ҫӗр хӑвӑлӗ
124,Abhang::N,πλαγιά,тӑвайкки
125,Quelle::N,πηγή,ҫӑл куҫ
126,Quelle::N,βρύση,ҫӑл куҫ
127,Bach::N,ρυάκι,пӗчӗк шыв
128,Fluss::N,ποτάμι,юхан шыв
129,Fluss::N,ποταμός,юхан шыв
130,Ufer::N,όχθη,ҫыран
131,Küste::N,ακτή,тинӗс ҫыранӗ
132,Küste::N,ακρογιαλιά,тинӗс ҫыранӗ
133,Festland::N,στεριά,тип ҫӗр
134,Meer::N,θάλασσα,тинӗс
135,Bucht::N,κόλπος,тинӗс кукӑрӗ
136,Insel::N,νησί,утрав
137,Insel::N,νήσος,утрав
138,Blume::N,άνθος,чечек
139,Blume::N,λουλούδι,чечек
140,Gras::N,χόρτο,курӑк
141,Gras::N,χορτάρι,курӑк
142,Wurzel::N,ρίζα,тымар
143,Baum::N,δέντρο,йывӑҫ
144,Stamm::N,κορμός,вулӑ
145,Rinde::N,φλούδα,хуйӑр
146,Ast::N,κλαδί,турат
147,Zweig::N,κλαδί,турат
148,Zweig::N,κλάδος,турат
149,Blatt::N,φύλλο,ҫулҫӑ
150,Birke::N,σημύδα,хурӑн
151,Kiefer[Baum]::N,πεύκο,хыр
152,Weide[Baum]::N,ιτιά,хӑва
153,Tanne::N,έλατο,чӑрӑш
154,Horn::N,κέρας,мӑйрака
155,Horn::N,κέρατο,мӑйрака
156,Feder::N,φτερό,тӗк
157,Fell::N,δέρμα,ҫӑм
158,Fell::N,τομάρι,ҫӑм
159,Flügel::N,πτερύγιο,ҫунат
160,Klaue::N,κουλό,чӗрне
161,Kralle::N,νύχι,ура
162,Schwanz::N,ουρά,хӳре
163,Ei::N,αβγό,ҫӑмарта
164,Nest::N,φωλιά,йӑва
165,Bau::N,φωλιά,йӗнӗ
166,Tier::N,ζώο,выльӑх
167,Herde::N,κοπάδι,кӗтӳ
168,Kuh::N,αγελάδα,ӗне
169,Bulle::N,ταύρος,вӑкӑр
170,Pferd::N,άλογο,лаша
171,Schaf::N,πρόβατο,сурӑх
172,Schwein::N,γουρούνι,сысна
173,Hund::N,σκυλί,йытӑ
174,Hund::N,σκύλος,йытӑ
