,Concept_ID,ce,ady
0,Auge::N,бӏаьрг,нэ
1,Ohr::N,лерг,тхьакӏу́м
2,Nase::N,мара,пэ
3,Mund::N,бага,жэ
4,Zahn::N,церг,цэ
5,Zunge::N,мотт,бзэгу
6,Lippe::N,балда,ӏупшӏэ́
7,Wange::N,бесни,нэкӏу́шъу
8,Gesicht::N,юьхь,нэ́гу
9,Stirn::N,хьаж,натӏэ́
10,Haar::N,мас,шъхьацы́
11,Schnurrbart::N,мекх,
12,Bart::N,маж,жакӏэ́
13,Kinn::N,чӏениг,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,мочхал,жэпкъы́
15,Kehle::N,къамкъарг,чый
16,Hals::N,ворта,пшъэ
17,Genick::N,кӏесаркӏаг,шъхьэпхэтыку
18,Kopf::N,корта,шъхьэ́
19,Rücken::N,букъ,кӏыбы́
20,Bauch::N,кийра,ныбэ́
21,Nabel::N,цӏонга,
22,Busen::N,зударийн накха,бгъэ́
23,Brust::N,накха,бгъэ́
24,Schulter::N,белш,блыпкъ
25,Arm::N,пхьарс,ӏэ
26,Ellenbogen::N,пхьаьрсан гола,ӏэнтэ́гъу
27,Hand::N,куьг,ӏэтхьэцу
28,Handfläche::N,кераюкъ,ӏэ́гу
29,Finger::N,пӏелг,ӏэхъуа́мб
30,Fingernagel::N,мӏара,ӏэбжъа́н
31,Nagel[Anatomie]::N,мӏара,ӏэбжъа́н
32,Zeh::N,кога пӏелг,ӏэхъуа́мб
33,Fuß::N,ког,лъэгу
34,Ferse::N,кӏажа,лъэдакъэ
35,Knie::N,гола,лъагуа́ндж
36,Oberschenkel::N,варе,ко
37,Bein::N,ког,лъакъо́
38,Körper::N,хӏума,пкъышъол
39,Haut::N,чкъор,кӏы́шъу
40,Blut::N,цӏий,лъы
41,Ader::N,пха,льытф
42,Sehne::N,хьорзам,фэ
43,Knochen::N,даьӏахк,къупшъхьэ́
44,Gehirn::N,хье,куцӏы
45,Herz::N,дог,гу
46,Magen::N,зорх,мышкӏу
47,Leber::N,доӏах,шӏу
48,Atem::N,садеӏар,къэщэныр
49,Hunger::N,мацалла,гъаблэ́
50,Träne::N,бӏаьрхи,нэпсы
51,Geschmack::N,чам,ӏэшӏугъа́кӏ
52,Geruch::N,хьожа,мэ
53,Schlaf::N,наб,пчыхьы́пӏ
54,Traum::N,гӏан,пчыхьы́пӏ
55,Himmel::N,стигал,уашъо́
56,Sonne::N,малх,тыгъэ
57,Mond::N,бутт,мазэ
58,Stern::N,седа,жъуагъо́
59,Luft::N,xӏаваъ,жьы
60,Wind::N,мох,жьыбгъэ́
61,Welle::N,тулгӏе,ор
62,Welle::N,тулгӏе,оры
63,Wasser::N,хи,псы
64,Stein::N,тӏулг,мыжъо́
65,Boden::N,цӏенкъа,чӏ́ыгу
66,Erde::N,латта,чӏ́ыгу
67,Staub::N,чан,сап
68,Rauch::N,кӏур,ӏугъо́
69,Funke::N,суй,мэшӏуа́ч
70,Feuer::N,цӏе,машӏо́
71,Licht::N,серло,нэфы
72,Licht::N,серло,нэфын
73,Schatten::N,ӏиндагӏ,жьау́
74,Schatten::N,ӏиндагӏ,ныбжьыкъу
75,Wetter::N,хенан хӏоттам,
