,Concept_ID,te,te
0,Auge::N,కన్ను,కన్ను
1,Ohr::N,చెవి,చెవి
2,Nase::N,ముక్కు,ముక్కు
3,Mund::N,నోరు,నోరు
4,Zahn::N,పల్లు,పల్లు
5,Zunge::N,నాలుక,నాలుక
6,Lippe::N,పెదవి,పెదవి
7,Wange::N,చెంప,చెంప
8,Gesicht::N,ముఖము,ముఖము
9,Stirn::N,నుదురు,నుదురు
10,Haar::N,వెండ్రుక,వెండ్రుక
11,Schnurrbart::N,మీసము,మీసము
12,Bart::N,గడ్డము,గడ్డము
13,Kinn::N,గడ్డము,గడ్డము
14,Kiefer[Anatomie]::N,దౌడ,దౌడ
15,Kehle::N,గొంతు,గొంతు
16,Hals::N,మెడ,మెడ
17,Genick::N,మూపు,మూపు
18,Kopf::N,తల,తల
19,Rücken::N,వెన్ను,వెన్ను
20,Bauch::N,కడుపు,కడుపు
21,Nabel::N,బొడ్డు,బొడ్డు
22,Busen::N,స్తనము,స్తనము
23,Brust::N,ఱొమ్ము,ఱొమ్ము
24,Schulter::N,భుజము,భుజము
25,Arm::N,చేయి,చేయి
26,Ellenbogen::N,మోచేయి,మోచేయి
27,Hand::N,చేయి,చేయి
28,Handfläche::N,అరచేయు,అరచేయు
29,Finger::N,చేతిప్రేలు,చేతిప్రేలు
30,Fingernagel::N,గోరు,గోరు
31,Nagel[Anatomie]::N,గోరు,గోరు
32,Zeh::N,కాలిప్రేలు,కాలిప్రేలు
33,Fuß::N,అడుగు,అడుగు
34,Ferse::N,మడమ,మడమ
35,Knie::N,మోకాలు,మోకాలు
36,Oberschenkel::N,తొడ,తొడ
37,Bein::N,కాలు,కాలు
38,Körper::N,కాయము,కాయము
39,Haut::N,చర్మము,చర్మము
40,Blut::N,రక్తము,రక్తము
41,Ader::N,సిర,సిర
42,Sehne::N,స్నాయువు,స్నాయువు
43,Knochen::N,ఎముక,ఎముక
44,Gehirn::N,మెదడు,మెదడు
45,Herz::N,హృదయము,హృదయము
46,Magen::N,కడుపు,కడుపు
47,Leber::N,కాలేయము,కాలేయము
48,Atem::N,ఉపిరి,ఉపిరి
49,Hunger::N,ఆకలి,ఆకలి
50,Träne::N,కన్నీటిచుక్క,కన్నీటిచుక్క
51,Geschmack::N,రుచి,రుచి
52,Geruch::N,వాసన,వాసన
53,Schlaf::N,నిద్ర,నిద్ర
54,Traum::N,కల,కల
55,Himmel::N,ఆకాశము,ఆకాశము
56,Sonne::N,సూర్యుడు,సూర్యుడు
57,Mond::N,చంద్రుడు,చంద్రుడు
58,Stern::N,నక్షత్రము,నక్షత్రము
59,Luft::N,గాలి,గాలి
60,Wind::N,వీచుచున్నగాలి,వీచుచున్నగాలి
61,Welle::N,అల,అల
62,Wasser::N,నీరు,నీరు
63,Stein::N,ఱాయి,ఱాయి
64,Boden::N,నేల,నేల
65,Erde::N,మన్ను,మన్ను
66,Staub::N,దుమ్ము,దుమ్ము
67,Rauch::N,పొగ,పొగ
68,Funke::N,అగ్నికణము,అగ్నికణము
69,Feuer::N,అగ్ని,అగ్ని
70,Licht::N,కాంతి,కాంతి
71,Schatten::N,నీడ,నీడ
72,Wetter::N,వాతావరణ స్థితి,వాతావరణ స్థితి
73,Nebel::N,పొగమంచు,పొగమంచు
74,Wolke::N,మేఘము,మేఘము
75,Regen::N,వాన,వాన
76,Schnee::N,హిమము,హిమము
77,Eis::N,మంచుగడ్డ,మంచుగడ్డ
78,Frost::N,పేరిన మంచు,పేరిన మంచు
79,Kälte::N,చలి,చలి
80,Hitze::N,వేడిమి,వేడిమి
81,Raureif::N,మంచు,మంచు
82,Regenbogen::N,ఇంద్రధనుస్సు,ఇంద్రధనుస్సు
83,Donner::N,ఉరుము,ఉరుము
84,Strömung::N,ప్రవాహము,ప్రవాహము
85,Tropfen::N,చుక్క,చుక్క
86,Schaum::N,నురుగు,నురుగు
87,Schmutz::N,మైల,మైల
88,See::N,సరస్సు,సరస్సు
89,Sumpf::N,చిత్తడినేల,చిత్తడినేల
90,Moor::N,చిత్తడినేల,చిత్తడినేల
91,Wiese::N,పచ్చిక బయలు,పచ్చిక బయలు
92,Wald::N,అడవి,అడవి
93,Hügel::N,చివ్నకొండ,చివ్నకొండ
94,Anhöhe::N,కొండ,కొండ
95,Berg::N,పర్వతము,పర్వతము
96,Gipfel::N,శిఖరము,శిఖరము
97,Höhle::N,గుహ,గుహ
98,Abhang::N,ఏటవాలు,ఏటవాలు
99,Quelle::N,మూలము,మూలము
100,Bach::N,కాలువ,కాలువ
101,Fluss::N,నది,నది
102,Ufer::N,తీరము,తీరము
103,Küste::N,తీరము,తీరము
104,Festland::N,భూమి,భూమి
105,Meer::N,సముద్రము,సముద్రము
106,Bucht::N,మరుగు,మరుగు
107,Insel::N,దీవి,దీవి
108,Blume::N,పుష్పము,పుష్పము
109,Gras::N,పచ్చగడ్డి,పచ్చగడ్డి
110,Wurzel::N,వేరు,వేరు
111,Baum::N,చెట్టు,చెట్టు
112,Stamm::N,చెట్టుబోదె,చెట్టుబోదె
113,Rinde::N,చెట్టుపట్ట,చెట్టుపట్ట
114,Ast::N,కొమ్మ,కొమ్మ
115,Zweig::N,చివుకు,చివుకు
116,Blatt::N,ఆకు,ఆకు
117,Birke::N,తరహా చెట్టు,తరహా చెట్టు
118,Kiefer[Baum]::N,దేవదారు చెట్టు,దేవదారు చెట్టు
119,Weide[Baum]::N,జాతిచెట్టు,జాతిచెట్టు
120,Tanne::N,దేవదారుచెట్టు,దేవదారుచెట్టు
121,Horn::N,కొమ్ము,కొమ్ము
122,Feder::N,ఈక,ఈక
123,Fell::N,తోలు,తోలు
124,Flügel::N,ఱెక్క,ఱెక్క
125,Klaue::N,వంకరగోరు,వంకరగోరు
126,Kralle::N,వంకరగోరు,వంకరగోరు
127,Schwanz::N,తోక,తోక
128,Ei::N,గ్రుడ్డు,గ్రుడ్డు
129,Nest::N,పక్షిగూడు,పక్షిగూడు
130,Bau::N,గుహ,గుహ
131,Tier::N,జంతువు,జంతువు
132,Herde::N,మంద,మంద
133,Kuh::N,ఆవు,ఆవు
134,Bulle::N,గిత్త,గిత్త
135,Pferd::N,గుఱ్ఱము,గుఱ్ఱము
136,Schaf::N,గొఱ్ఱె,గొఱ్ఱె
137,Schwein::N,పంది,పంది
138,Hund::N,కుక్క,కుక్క
139,Katze::N,పిల్లి,పిల్లి
140,Bär::N,ఎలుగుబంటి,ఎలుగుబంటి
141,Eichhörnchen::N,ఉడుత,ఉడుత
142,Elch::N,కణంజు,కణంజు
143,Fuchs::N,గుంటనక్క,గుంటనక్క
144,Hase::N,కుందేలు,కుందేలు
145,Maus::N,చిట్టెలుక,చిట్టెలుక
146,Wolf::N,తోడేలు,తోడేలు
147,Vogel::N,పక్షి,పక్షి
148,Schwarm::N,గుంపు,గుంపు
149,Huhn::N,కోడిపిల్ల,కోడిపిల్ల
150,Hahn::N,కోడివుంజు,కోడివుంజు
151,Gans::N,ఆడుబాతు,ఆడుబాతు
152,Adler::N,గ్రద్ద,గ్రద్ద
153,Ente::N,పాట్టిబాతు,పాట్టిబాతు
154,Eule::N,గ్రుడ్లగూబ,గ్రుడ్లగూబ
155,Kranich::N,కొంగ,కొంగ
156,Krähe::N,కాకి,కాకి
157,Kuckuck::N,కోయల,కోయల
158,Schwan::N,హంస,హంస
159,Fisch::N,చేప,చేప
160,Barsch::N,ఒకచేఁప,ఒకచేఁప
161,Hecht::N,గండుమీను,గండుమీను
162,Schlange[Tier]::N,పాము,పాము
163,Wurm::N,పురుగు,పురుగు
164,Spinne::N,సాలె పురుగు,సాలె పురుగు
165,Ameise::N,చీమ,చీమ
166,Laus::N,పేను,పేను
167,Mücke::N,చీకటీగ,చీకటీగ
168,Fliege::N,ఈగ,ఈగ
169,Schmetterling::N,సీతాకోకచిలుక,సీతాకోకచిలుక
170,Beere::N,కాయ,కాయ
171,Apfel::N,ఆపిల్ పండు,ఆపిల్ పండు
172,Pilz::N,కుక్కగొడుగు,కుక్కగొడుగు
173,Zwiebel::N,నీరుల్లి,నీరుల్లి
174,Saat::N,విత్తనము,విత్తనము
175,Korn::N,గింజ,గింజ
176,Heu::N,ఎండుగడ్డి,ఎండుగడ్డి
177,Schale::N,పొట్టు,పొట్టు
178,Grube::N,గొయ్యి,గొయ్యి
179,Falle::N,బోను,బోను
180,Schlinge::N,ఉరి,ఉరి
181,Spur::N,జాడ,జాడ
182,Asche::N,బూడిద,బూడిద
183,Dreck::N,ముఱికి,ముఱికి
184,Eisen::N,ఇనుము,ఇనుము
185,Gold::N,బంగారము,బంగారము
186,Silber::N,వెండి,వెండి
187,Kohle::N,నేలబొగ్గు,నేలబొగ్గు
188,Glas::N,గాజు,గాజు
189,Lehm::N,బంకమన్ను,బంకమన్ను
190,Sand::N,ఇసుక,ఇసుక
191,Mensch::N,నరుడు,నరుడు
192,Mann::N,పురుమడు,పురుమడు
193,Frau::N,ఆడుది,ఆడుది
194,Kind::N,బిడ్డ,బిడ్డ
195,Junge::N,బాలుడు,బాలుడు
196,Mädchen::N,బాలిక,బాలిక
197,Familie::N,కుటుంబము,కుటుంబము
198,Großvater::N,తాత,తాత
199,Großmutter::N,అయ్యమ్మ,అయ్యమ్మ
200,Eltern::N,తల్లితండ్రులు,తల్లితండ్రులు
201,Vater::N,తండ్రి,తండ్రి
202,Mutter::N,తల్లి,తల్లి
203,Sohn::N,కొడుకు,కొడుకు
204,Tochter::N,కూతురు,కూతురు
205,Bruder::N,పోదరుడు,పోదరుడు
206,Schwester::N,సోదరి,సోదరి
207,Onkel::N,మేనమామ,మేనమామ
208,Tante::N,మేనత్త,మేనత్త
209,Tante::N,మేనత్త,పినతల్లి
210,Tante::N,పినతల్లి,మేనత్త
211,Tante::N,పినతల్లి,పినతల్లి
212,Ehemann::N,భర్త,భర్త
213,Ehefrau::N,భార్య,భార్య
214,Freude::N,సంతోషము,సంతోషము
215,Gelächter::N,నవ్వు,నవ్వు
216,Glück::N,సంతోషము,సంతోషము
217,Kummer::N,దుఃఖము,దుఃఖము
218,Wunsch::N,కోరిక,కోరిక
219,Lust::N,కోరిక,కోరిక
220,Geist::N,ఆత్మ,ఆత్మ
221,Gedanke::N,ఆలోచన,ఆలోచన
222,Gedächtnis::N,జ్ఞాపకము,జ్ఞాపకము
223,Verstand::N,మనస్సు,మనస్సు
224,Sinn::N,అర్థము,అర్థము
225,Grund::N,కారణము,కారణము
226,Wahrheit::N,సత్యము,సత్యము
227,Gespräch::N,పంభాషణ,పంభాషణ
228,Märchen::N,అద్భుతకథ,అద్భుతకథ
229,Erzählung::N,కథ,కథ
230,Nachricht::N,వార్త,వార్త
231,Neuigkeit::N,వార్త,వార్త
232,Name::N,పేరు,పేరు
233,Rätsel::N,చిక్కు,చిక్కు
234,Rede::N,ఉపన్యాసము,ఉపన్యాసము
235,Sprache::N,భాష,భాష
236,Stimme::N,కంరథ్సని,కంరథ్సని
237,Wort::N,మాట,మాట
238,Zeichen::N,గుర్తు,గుర్తు
239,Ruf::N,పిలువు,పిలువు
240,Lärm::N,సందడి,సందడి
241,Laut::N,ధ్వని,ధ్వని
242,Ton::N,స్వరము,స్వరము
243,Lied::N,పాట,పాట
244,Ruhe::N,గాలిలేమి,గాలిలేమి
245,Leute::N,జనులు,జనులు
246,Volk::N,జాతి,జాతి
247,Arbeit::N,పని,పని
248,Gast::N,అతిధి,అతిధి
249,Geschenk::N,దానము,దానము
250,Spiel::N,ఆట,ఆట
251,Gesellschaft::N,జట్టు,జట్టు
252,Hilfe::N,సాహాయ్యము,సాహాయ్యము
253,Freund::N,స్నేహితుడు,స్నేహితుడు
254,Kamerad::N,చెలికాడు,చెలికాడు
255,Angelegenheit::N,విషయము,విషయము
256,Anzahl::N,లెక్క,లెక్క
257,Art::N,జాతి,జాతి
258,Stück::N,తునుక,తునుక
259,Teil::N,భాగము,భాగము
260,Hälfte::N,సగము,సగము
261,Kreis::N,వృత్తము,వృత్తము
262,Kreuz::N,సిలువ,సిలువ
263,Linie::N,గీత,గీత
264,Strich::N,గీత,గీత
265,Abstand::N,సందు,సందు
266,Entfernung::N,దూరము,దూరము
267,Gegend::N,విస్తీర్ణము,విస్తీర్ణము
268,Platz::N,ఎడము,ఎడము
269,Ort::N,స్థలము,స్థలము
270,Seite::N,ప్రక్క,ప్రక్క
271,Mitte::N,నడిమి,నడిమి
272,Gegenstand::N,పద్దు,పద్దు
273,Sache::N,వస్తువు,వస్తువు
274,Rand::N,అంచు,అంచు
275,Kante::N,అంచు,అంచు
276,Ecke::N,మూల,మూల
277,Spitze::N,మొన,మొన
278,Ende::N,కొన,కొన
279,Loch::N,రంధ్రము,రంధ్రము
280,Winkel::N,కోణము,కోణము
281,Muster::N,మాదిరి,మాదిరి
282,Größe::N,పరిమాణము,పరిమాణము
283,Länge::N,పొడుగు,పొడుగు
284,Höhe::N,పొడుగు,పొడుగు
285,Gewicht::N,భారము,భారము
286,Menge::N,మొత్తము,మొత్తము
287,Haufen::N,రాశి,రాశి
288,Reihe::N,వరుస,వరుస
289,Boot::N,పడవ,పడవ
290,Ruder::N,అడక,అడక
291,Schlitten::N,సరవండ్లు,సరవండ్లు
292,Ski::N,స్కీ,స్కీ
293,Lagerfeuer::N,నెగడు,నెగడు
294,Last::N,బరువు,బరువు
295,Gang::N,నడక,నడక
296,Schritt::N,అడుగు,అడుగు
297,Norden::N,ఉత్తరదిక్కు,ఉత్తరదిక్కు
298,Süden::N,దక్షిణము,దక్షిణము
299,Westen::N,పడమర,పడమర
300,Osten::N,తూర్పు,తూర్పు
301,Holz::N,కొయ్య,కొయ్య
302,Brett::N,పలక,పలక
303,Platte::N,పలక,పలక
304,Stütze::N,వాల్సేడ్లు,వాల్సేడ్లు
305,Stange::N,స్తంభము,స్తంభము
306,Stock::N,కఱ్ఱ,కఱ్ఱ
307,Stab::N,కఱ్ఱ,కఱ్ఱ
308,Rohr::N,గొట్టము,గొట్టము
309,Haus::N,ఇల్లు,ఇల్లు
310,Heim::N,స్వగృహము,స్వగృహము
311,Ofen::N,పొయ్యి,పొయ్యి
312,Fußboden::N,నేల,నేల
313,Tisch::N,మేజా,మేజా
314,Stuhl::N,కుర్చీ,కుర్చీ
315,Wiege::N,ఉయ్యాల,ఉయ్యాల
316,Bett::N,పడక,పడక
317,Bett::N,పడక,మంచం
318,Bett::N,మంచం,పడక
319,Bett::N,మంచం,మంచం
320,Regal::N,అటక,అటక
