,Concept_ID,lez,kn
0,Auge::N,вил,ಕಣ್ಣು
1,Ohr::N,яб,ಕಿವಿ
2,Nase::N,нер,ಮೂಗು
3,Mund::N,сив,ಬಾಯಿ
4,Zahn::N,сас,ಹಲ್ಲು
5,Zahn::N,свах,ಹಲ್ಲು
6,Zunge::N,мез,ನಾಲಿಗೆ
7,Lippe::N,пӏуз,ತುಟಿ
8,Wange::N,хъвехъ,ಗಲ್ಲ
9,Gesicht::N,ччин,ಮುಖ
10,Stirn::N,пел,ಹಣೆ
11,Haar::N,чӏар,ಕೂದಲು
12,Schnurrbart::N,спел,ಮೀಸೆ
13,Schnurrbart::N,спелар,ಮೀಸೆ
14,Bart::N,ччуру,ಗಡ್ಡ
15,Kinn::N,чене,ಗದ್ದ
16,Kiefer[Anatomie]::N,чене,ದವಡೆ
17,Kehle::N,туьд,ಗಂಟಲು
18,Hals::N,гардан,ಕೊರಳು
19,Genick::N,кьам,ಹಿಂಗತ್ತು
20,Kopf::N,кьил,ತಲೆ
21,Rücken::N,далу,ಬೆನ್ನು
22,Bauch::N,руфун,ಹೊಟ್ಟೆ
23,Nabel::N,пицӏ,ಹೊಕ್ಕುಳು
24,Busen::N,мам,ಸ್ತನ
25,Brust::N,хур,ಎದೆ
26,Schulter::N,къуьн,ಭುಜ
27,Arm::N,гъил,ತೋಳು
28,Ellenbogen::N,кьуьнт,ಮೊಣಕೈ
29,Hand::N,капаш,ಕೈ
30,Handfläche::N,капан юкь,ಅಂಗೈ
31,Finger::N,тӏуб,ಕೈಬೆರಳು
32,Fingernagel::N,кек,ಉಗುರು
33,Nagel[Anatomie]::N,кек,ಉಗುರು
34,Zeh::N,кул,ಕಾಲ್ಬೆರಳು
35,Fuß::N,кӏвач,ಪಾದ
36,Ferse::N,дабан,ಹಿಮ್ಮಡಿ
37,Knie::N,мет,ಮಂಡಿ
38,Bein::N,кӏвач,ಕಾಲು
39,Körper::N,беден,ದೇಹ
40,Haut::N,хам,ಚರ್ಮ
41,Blut::N,иви,ರಕ್ತ
42,Ader::N,дамар,ನರ
43,Sehne::N,кьуру дамар,ನರ
44,Knochen::N,кӏараб,ಮೂಳೆ
45,Gehirn::N,мефт,ಮಿದುಳು
46,Herz::N,рикӏ,ಹೃದಯ
47,Magen::N,хук,ಉದರ
48,Leber::N,лекь,ಯಕೃತ್ತು
49,Atem::N,ял,ಉಸಿರು
50,Atem::N,нефес,ಉಸಿರು
51,Hunger::N,каш,ಹಸಿವು
52,Träne::N,вилин нагъв,ಕಣ್ಣೀರು
53,Geschmack::N,дад,ರುಚಿ
54,Geschmack::N,тӏям,ರುಚಿ
55,Geruch::N,ни,ವಾಸನೆ
56,Schlaf::N,ахвар,ನಿದ್ರೆ
57,Traum::N,ахвар,ಕನಸು
58,Himmel::N,цав,ಬಾನು
59,Sonne::N,рагъ,ಸೂರ್ಯ
60,Mond::N,варз,ಚಂದ್ರ
61,Stern::N,гъед,ಚುಕ್ಕಿ
62,Luft::N,гьава,ವಾಯು
63,Wind::N,гар,ಗಾಳಿ
64,Welle::N,лепе,ಅಲೆ
65,Wasser::N,яд,ನೀರು
66,Stein::N,къван,ಕಲ್ಲು
67,Boden::N,накьв,ನೆಲ
68,Erde::N,ччил,ಭೂಮಿ
69,Staub::N,руг,ದೂಳು
70,Rauch::N,гум,ಹೊಗೆ
71,Funke::N,цӏелхем,ಕಿಡಿ
72,Feuer::N,цӏай,ಬೆಂಕಿ
73,Licht::N,экв,ಬೆಳಕು
74,Schatten::N,серин,ನೆರಳು
75,Wetter::N,гьава,ಹವ
76,Nebel::N,ччилин циф,ಮಂಜು
77,Wolke::N,циф,ಮೋಡ
78,Regen::N,марф,ಮಳೆ
79,Schnee::N,жив,ಹಿಮ
80,Eis::N,мурк,ಮಂಜುಗಡ್ಡೆ
81,Frost::N,аяз,ಮಂಜು
82,Kälte::N,мекь,ಹಿಮ
83,Kälte::N,мекьивал,ಹಿಮ
84,Hitze::N,зегьем,ಉಷ್ಣ
85,Raureif::N,къирав,ಇಬ್ಬನಿ
86,Regenbogen::N,яргъируш,ಇಂದ್ರಚಾಪ
87,Donner::N,цавун ван,ಗುಡುಗು
88,Tropfen::N,стӏал,ತೊಟ್ಟು
89,Schaum::N,каф,ನೊರೆ
90,Schmutz::N,чирк,ಕಸ
91,Schmutz::N,кьуруш,ಕಸ
92,See::N,вир,ಸರೋವರ
93,Sumpf::N,уьлен,ಜೌಗುಸ್ಥಳ
94,Wiese::N,векь,ಹುಲ್ಲುಗಾವಲು
95,Wald::N,там,ಕಾಡು
96,Hügel::N,кӏунтӏ,ಗುಡ್ಡೆ
97,Anhöhe::N,тепе,ದಿಬ್ಬ
98,Anhöhe::N,гьуьндуьрвал,ದಿಬ್ಬ
99,Berg::N,дагъ,ಮಲೆ
100,Berg::N,дагъ,ಪರ್ವತ
101,Gipfel::N,кӏукӏ,ಶೃಂಗ
102,Höhle::N,кьветӏ,ಗುಹೆ
103,Abhang::N,гуьне,ಇಳಿಜಾರು
104,Quelle::N,чешме,ಮೂಲ
105,Bach::N,булах,ತೊರೆ
106,Fluss::N,вацӏ,ನದಿ
107,Ufer::N,къерех,ತೀರ
108,Küste::N,къерех,ದಂಡೆ
109,Festland::N,кьурамат,ಭೂಮಿ
110,Meer::N,гьуьл,ಕಡಲು
111,Bucht::N,бухта,ಖಾರಿ
112,Insel::N,остров,ದ್ವೀಪ
113,Blume::N,цуьк,ಸುಮ
114,Gras::N,хъач,ಹುಲ್ಲು
115,Wurzel::N,дувул,ಬೇರು
116,Baum::N,ттар,ಮರ
117,Stamm::N,тан,ಕಾಂಡ
118,Rinde::N,чкал,ತೂಗಟಿ
119,Ast::N,тӏур,ಶಾಖೆ
120,Zweig::N,хел,ರೆಂಬೆ
121,Blatt::N,пеш,ಎಲೆ
122,Birke::N,верх,ಬರ್ಚ್ ಮರ
123,Kiefer[Baum]::N,шамагъаж,ದೇವದಾರು ಮರ
124,Weide[Baum]::N,цӏвелин ттар,ವಿಲೋಮರ
125,Tanne::N,ель,ಭದ್ರದಾರು
126,Horn::N,карч,ಕೊಂಬು
127,Feder::N,цӏакул,ಪುಕ್ಕ
128,Fell::N,хам,ರೋಮ
129,Flügel::N,лув,ರೆಕ್ಕೆ
130,Klaue::N,къармах,ಪಂಜ
131,Kralle::N,пац,ಉಗುರು
132,Kralle::N,тапас,ಉಗುರು
133,Schwanz::N,ттум,ಬಾಲ
134,Ei::N,кака,ಮೊಟ್ಟೆ
135,Nest::N,муг,ಗೂಡು
136,Bau::N,тӏеквен,ಅಡಗುದಾಣ
137,Tier::N,гьайван,ಪ್ರಾಣಿ
138,Herde::N,суьруь,ಗುಂಪು
139,Kuh::N,ккал,ಹಸು
140,Bulle::N,яц,ಗೂಳಿ
141,Bulle::N,бугъа,ಗೂಳಿ
142,Pferd::N,балкӏан,ಕುದುರೆ
143,Schaf::N,хеб,ಕುರಿ
144,Schwein::N,вак,ಹಂದಿ
145,Hund::N,кицӏ,ನಾಯಿ
146,Katze::N,кац,ಬೆಕ್ಕು
147,Bär::N,сев,ಕರಡಿ
148,Eichhörnchen::N,белка,ಉಡುತೆ
149,Elch::N,лось,ಕಡವೆ
150,Fuchs::N,сикӏ,ನರಿ
151,Hase::N,къуьр,ಮೊಲ
152,Maus::N,кьиф,ಇಲಿ
153,Wolf::N,жанавур,ತೋಳ
154,Vogel::N,луван ничхир,ಪಕ್ಷಿ
155,Schwarm::N,луж,ಗುಂಪು
156,Huhn::N,верч,ಚಿಕ್
157,Hahn::N,кӏек,ಹುಂಜ
158,Gans::N,къаз,ವರಟೆ
159,Adler::N,лекь,ಗರುಡ
160,Ente::N,пӏатӏ,ಬಾತು
161,Eule::N,тӏиб,ಗೂಬೆ
162,Kranich::N,дурна,ಕೊಕ್ಕರ
163,Krähe::N,къаргъа,ಕಾಗೆ
164,Kuckuck::N,кукупӏ,ಕೋಗಿಲೆ
165,Schwan::N,къугь,ಹಂಸಪಕ್ಷಿ
166,Fisch::N,гъед,ಮೀನು
167,Barsch::N,окунь,ಪರ್ಚ್ ಮೀನು
168,Hecht::N,щука,ಪೈಕ್ ಮೀನು
169,Schlange[Tier]::N,илан,ಹಾವು
170,Schlange[Tier]::N,гъуьлягъ,ಹಾವು
171,Wurm::N,квак,ಹುಳು
172,Spinne::N,хуьшрекан,ಊರ್ಣನಾಭ
173,Ameise::N,цегв,ಇರುವೆ
174,Laus::N,нет,ಹೇನು
175,Mücke::N,ветӏ,ಸೊಳ್ಳೆ
176,Fliege::N,тӏветӏ,ನೊಣ
177,Schmetterling::N,чепелукь,ಪತಂಗ
178,Beere::N,куьлуь емиш,ನಯವಣ್ಣು
179,Apfel::N,ич,ಸೇಬು
180,Pilz::N,къарникъуз,ಅಣಬೆ
181,Zwiebel::N,чичӏек,ನೀರುಳ್ಳಿ
182,Saat::N,тумар,ಬಿತ್ತ
183,Korn::N,твар,ಬೀಜ
184,Heu::N,векь,ಕರಡ
185,Heu::N,векьер,ಕರಡ
186,Schale::N,пириш,ಹೊಟ್ಟು
187,Schale::N,хъуьруьш,ಹೊಟ್ಟು
188,Grube::N,фур,ಗುಂಡಿ
189,Falle::N,ракьар,ಬೋನು
190,Schlinge::N,гьалкъа,ಉರುಲು
191,Spur::N,гел,ಜಾಡು
192,Asche::N,руьхъ,ಬೂದಿ
193,Dreck::N,чирк,ಹೊಲಸು
194,Dreck::N,кьуруш,ಹೊಲಸು
195,Eisen::N,ракь,ಕಬ್ಬಿಣ
196,Gold::N,алтун,ಚಿನ್ನ
197,Silber::N,гимиш,ಬೆಳ್ಳಿ
198,Kohle::N,цӏивин,ಕಲ್ಲಿದ್ದಲು
199,Glas::N,шуьше,ಗಾಜು
200,Lehm::N,ччеб,ಜೇಡಿಮಣ್ಣು
201,Sand::N,къум,ಮರಳು
202,Mensch::N,инсан,ಪುರುಷ
203,Mann::N,итим,ಆಳು
204,Frau::N,паб,ಹೆಣ್ಣು
205,Frau::N,дишегьли,ಹೆಣ್ಣು
206,Kind::N,аял,ಮಗು
207,Junge::N,гада,ಹುಡುಗ
208,Mädchen::N,руш,ಹುಡುಗಿ
209,Familie::N,хзан,ಕುಟುಂಬ
210,Familie::N,килфет,ಕುಟುಂಬ
211,Großvater::N,чӏехи буба,ಅಜ್ಜ
212,Großmutter::N,чӏехи диде,ಅಮ್ಮ
213,Eltern::N,диде-буба,ಹೆತ್ತವರು
214,Vater::N,буба,ತಂದೆ
215,Mutter::N,диде,ಅಮ್ಮ
216,Sohn::N,хва,ಮಗ 
217,Tochter::N,руш,ಮಗಳು
218,Bruder::N,стха,ತಮ್ಮ
219,Schwester::N,вах,ತಂಗಿ
220,Onkel::N,ими,ಸೋದರಮಾವ
221,Onkel::N,ими,ದೊಡ್ಡಪ್ಪ
222,Onkel::N,халу,ಸೋದರಮಾವ
223,Onkel::N,халу,ದೊಡ್ಡಪ್ಪ
224,Tante::N,эме,ಚಿಕ್ಕಮ್ಮ
225,Tante::N,хала,ಚಿಕ್ಕಮ್ಮ
226,Ehemann::N,гъуьл,ಗಂಡ
227,Ehefrau::N,паб,ಹೆಂಡತಿ
228,Freude::N,шадвал,ನಲಿವು
229,Gelächter::N,хъвер,ನಗೆ
230,Glück::N,бахт,ಆನಂದ
231,Kummer::N,дерт,ದುಃಖ
232,Kummer::N,хажалат,ದುಃಖ
233,Wunsch::N,мурад,ಬಯಕೆ
234,Lust::N,гьевес,ಇಷ್ಟ
235,Geist::N,руьгь,ಆತ್ಮ
236,Gedanke::N,фикир,ಯೋಚನೆ
237,Verstand::N,акьул,ಮನಸ್ಸು
238,Sinn::N,мана,ಅರ್ಥ
239,Grund::N,себеб,ಕಾರಣ
240,Wahrheit::N,керчек,ಸತ್ಯ
241,Wahrheit::N,гьакъикъат,ಸತ್ಯ
242,Gespräch::N,ихтилат,ಸಂಭಾಷಣೆ
243,Märchen::N,мах,ಸುಳ್ಳು ಕಥೆ
244,Erzählung::N,кьиса,ಕಥೆ
245,Nachricht::N,хабар,ಸಂದೇಶ
246,Neuigkeit::N,цӏийи хабар,ಸುದ್ದಿ
247,Name::N,тӏвар,ಹೆಸರು
248,Rätsel::N,мискӏал,ಒಗಟು
249,Rede::N,рахун,ಮಾತು
250,Sprache::N,чӏал,ಭಾಷೆ
251,Stimme::N,ван,ಧ್ವನಿ
252,Wort::N,гаф,ಮಾತು
253,Zeichen::N,ишара,ಗುರುತು
254,Ruf::N,эвер,ಕೂಗು
255,Lärm::N,ван-сес,ಸದ್ದು
256,Laut::N,ван,ಶಬ್ದ
257,Laut::N,сес,ಶಬ್ದ
258,Ton::N,ван-сес,ನಾದ
259,Lied::N,мани,ಗಾನ
260,Ruhe::N,ласвал,ಶಾಂತಿ
261,Ruhe::N,фаракъат,ಶಾಂತಿ
262,Ruhe::N,асайиш,ಶಾಂತಿ
263,Leute::N,инсанар,ಮಂದಿ
264,Volk::N,халкь,ಜನಾಂಗ
265,Arbeit::N,кӏвалах,ಕೆಲಸ
266,Gast::N,мугьман,ಅತಿಥಿ
267,Geschenk::N,савкьат,ಕಾಣಿಕೆ
268,Spiel::N,къугъун,ಆಟ
269,Gesellschaft::N,жемят,ಸಂಗ
270,Gesellschaft::N,общество,ಸಂಗ
271,Hilfe::N,куьмек,ಸಹಾಯ
272,Freund::N,дуст,ಸ್ನೇಹಿತ
273,Kamerad::N,яр-дуст,ಜೊತೆಗಾರ
274,Angelegenheit::N,кар,ವಿಚಾರ
275,Anzahl::N,сан,ಎಣಿಕೆ
276,Anzahl::N,кьадар,ಎಣಿಕೆ
277,Art::N,жуьре,ತರ
278,Stück::N,кӏус,ತುಂಡು
279,Teil::N,пай,ಭಾಗ
280,Hälfte::N,зур,ಅರ್ಧ
281,Hälfte::N,зур пай,ಅರ್ಧ
282,Kreis::N,круг,ವೃತ್ತ
283,Kreis::N,чкаяр,ವೃತ್ತ
284,Kreis::N,элкъвей цӏар,ವೃತ್ತ
285,Kreuz::N,хаш,ಶಿಲುಬೆ
286,Linie::N,цӏар,ರೀಖೆ
287,Strich::N,цӏар,ಗೀಟು
288,Abstand::N,ара,ಅಂತರ
289,Entfernung::N,мензил,ದೂರ
290,Gegend::N,чка,ವಿಸ್ತೀರ್ಣ
291,Platz::N,ара,ಅಂತರ
292,Ort::N,чка,ಸ್ಥಳ
293,Seite::N,пад,ಪಕ್ಷ
294,Mitte::N,юкь,ನಡು
295,Gegenstand::N,затӏ,ವಸ್ತು
296,Sache::N,шей,ವಸ್ತು
297,Sache::N,затӏ,ವಸ್ತು
298,Rand::N,къерех,ಅಂಚು
299,Kante::N,син,ಅಂಚು
300,Ecke::N,пӏипӏ,ಮೂಲೆ
301,Spitze::N,кӏвенкӏв,ತುದಿ
302,Ende::N,кьил,ಕೊನೆ
303,Loch::N,тӏеквен,ತೂತು
304,Winkel::N,пӏипӏ,ಕೋನ
305,Muster::N,гишир,ನಮೂನೆ
306,Größe::N,кьадар,ಪ್ರಮಾಣ
307,Länge::N,яргъивал,ಉದ್ದ
308,Höhe::N,кьакьанвал,ಎತ್ತರ
309,Gewicht::N,заланвал,ತೂಕ
310,Menge::N,кьадар,ಮೊತ್ತ
311,Haufen::N,хара,ರಾಶಿ
312,Reihe::N,жерге,ಸಾಲು
313,Boot::N,луьткве,ದೋಣಿ
314,Ruder::N,кьусу,ಹುಟ್ಟು
315,Schlitten::N,гъелерар,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
316,Lagerfeuer::N,цӏай,ಶಿಬಿರಾಗ್ನಿ
317,Last::N,заланвал,ಹೊರೆ
318,Gang::N,ериш,ತಿರುಗಾಟ
319,Schritt::N,къадам,ಹೆಜ್ಜೆ
320,Norden::N,кефер,ಉತ್ತರ
321,Norden::N,кефер пад,ಉತ್ತರ
322,Süden::N,кьибле,ದಕ್ಷಿಣ
323,Westen::N,рагъакӏидай пад,ಪಶ್ಚಿಮ
324,Osten::N,рагъэкъечӏдай пад,ಮೂಡಲು
325,Holz::N,кӏарас,ಚೌಬೀನೆ
326,Brett::N,кьул,ಹಲಗೆ
327,Brett::N,тахта,ಹಲಗೆ
328,Stütze::N,даях,ಆಸರೆ
329,Stange::N,юрк,ಕಂಬ
330,Stock::N,лаш,ಕೋಲು
331,Stab::N,юрк,ದೊಣ್ಣೆ
332,Rohr::N,турба,ನಳಿಕೆ
333,Haus::N,ужагъ,ಮನೆ
334,Heim::N,кӏвал,ಗೃಹ
335,Ofen::N,пич,ಒಲೆ
336,Fußboden::N,кӏвалин ччил,ನೆಲ
337,Tisch::N,стол,ಮೇಜು
338,Stuhl::N,стул,ಕುರ್ಚಿ
339,Wiege::N,кьеб,ತೊಟ್ಟಿಲು
340,Bett::N,тахт,ಹಾಸಿಗೆ
341,Regal::N,кьацӏ,ಬೀರು
342,Kiste::N,ящик,ಪಟ್ಟಿಗೆ
343,Fenster::N,дакӏар,ಕಿಟಕಿ
344,Tür::N,рак,ಬಾಗಿಲು
345,Tor::N,варар,ಹೆಬ್ಬಾಗಿಲು
