,Concept_ID,ca,he
0,Auge::N,ull,עין
1,Ohr::N,orella,אזן
2,Nase::N,nas,אף
3,Nase::N,nas,חטם
4,Mund::N,boca,פה
5,Zahn::N,dent,שן
6,Zunge::N,llēngua,לשון
7,Lippe::N,llavi,שפה
8,Wange::N,galta,לחי
9,Gesicht::N,cara,פנים
10,Stirn::N,front,מצח
11,Haar::N,cabēll,שערה
12,Schnurrbart::N,bigoti,שפם
13,Bart::N,barba,זקן
14,Kinn::N,mentó,סנטר
15,Kinn::N,barbeta,סנטר
16,Kiefer[Anatomie]::N,queix,לסת
17,Kiefer[Anatomie]::N,mandíbula,לסת
18,Kehle::N,gola,גרון
19,Kehle::N,gorja,גרון
20,Hals::N,coll,צואר
21,Genick::N,nuca,ערף
22,Kopf::N,cap,ראש
23,Rücken::N,esquena,גב
24,Bauch::N,panxa,בטן
25,Nabel::N,llombrígol,טבור
26,Busen::N,pit,שד
27,Busen::N,mama,שד
28,Brust::N,pit,חזה
29,Schulter::N,espatlla,כתף
30,Arm::N,braç,זרוע
31,Ellenbogen::N,colze,מרפק
32,Hand::N,mà,יד
33,Handfläche::N,palma,כף יד
34,Finger::N,dit,אצבע
35,Fingernagel::N,ungla,צפרן
36,Nagel[Anatomie]::N,ungla,צפרן
37,Zeh::N,dit del peu,אצבע
38,Fuß::N,peu,רגל
39,Ferse::N,taló,עקב
40,Knie::N,genoll,ברך
41,Oberschenkel::N,cuixa,ירך
42,Bein::N,cama,רגל
43,Körper::N,cos,גוף
44,Haut::N,pell,עור
45,Blut::N,sang,דם
46,Ader::N,vena,וריד
47,Sehne::N,tendó,גיד
48,Knochen::N,os,עצם
49,Gehirn::N,cervell,מוח
50,Herz::N,cor,לב
51,Magen::N,estómac,קבה
52,Leber::N,fetge,כבד
53,Atem::N,alè,נשימה
54,Atem::N,hàlit,נשימה
55,Hunger::N,fam,רעב
56,Hunger::N,gana,רעב
57,Träne::N,llàgrima,דמעה
58,Geschmack::N,gust,טעם
59,Geschmack::N,sabor,טעם
60,Geruch::N,olor,ריח
61,Schlaf::N,son,שנה
62,Traum::N,somni,חלום
63,Himmel::N,celm,שמים
64,Sonne::N,sol,שמש
65,Mond::N,lluna,ירח
66,Stern::N,estel,כוכב
67,Stern::N,estrella,כוכב
68,Luft::N,aire,אויר
69,Wind::N,vent,רוח
70,Welle::N,ona,גל
71,Wasser::N,āigua,מים
72,Stein::N,pedra,אבן
73,Boden::N,sòl,קרקע
74,Erde::N,terra,אדמה
75,Staub::N,pols,אבק
76,Rauch::N,fum,עשן
77,Funke::N,guspira,ניצוץ
78,Funke::N,centella,ניצוץ
79,Feuer::N,foc,אש
80,Licht::N,llum,אור
81,Schatten::N,ombra,צל
82,Wetter::N,temps,מזג אויר
83,Nebel::N,boira,ערפל
84,Wolke::N,núvol,ענן
85,Regen::N,pluja,גשם
86,Schnee::N,neu,שלג
87,Eis::N,gel,קרח
88,Eis::N,glaç,קרח
89,Frost::N,glaçada,צנה
90,Kälte::N,fred,קר
91,Hitze::N,calor,חם
92,Raureif::N,gebre,כפור
93,Regenbogen::N,arc iris,קשת
94,Donner::N,tro,רעם
95,Strömung::N,corrent,זרימה
96,Tropfen::N,gota,טפה
97,Schaum::N,escuma,קצף
98,Schmutz::N,brutícia,לכלוך
99,See::N,llac,אגם
100,Sumpf::N,pantà,בצה
101,Moor::N,pantà,בצה
102,Wiese::N,prat,מרעה
103,Wiese::N,prada,מרעה
104,Wald::N,bosc,יער
105,Hügel::N,puig,תל
106,Hügel::N,pujol,תל
107,Anhöhe::N,turó,מעלה
108,Berg::N,muntanya,הר
109,Gipfel::N,cim,פסגה
110,Höhle::N,cova,מערה
111,Abhang::N,coster,מדרון
112,Abhang::N,coster,שפוע
113,Quelle::N,font,מעין
114,Bach::N,riera,נחל
115,Fluss::N,riu,נהר
116,Ufer::N,riba,גדה
117,Küste::N,costa,חוף
118,Festland::N,terra ferma,יבשה
119,Meer::N,mar,ים
120,Bucht::N,cala,מפרץ
121,Bucht::N,badia,מפרץ
122,Insel::N,illa,אי
123,Blume::N,flor,פרח
124,Gras::N,herba,דשא
125,Wurzel::N,rel,שרש
126,Wurzel::N,arrel,שרש
127,Baum::N,arbre,עץ
128,Stamm::N,tronc,גזע
129,Rinde::N,escorça,קלפת עץ
130,Ast::N,branca,ענף
131,Zweig::N,ram,ענף
132,Blatt::N,fulla,עלה
133,Birke::N,bedoll,שדר
134,Kiefer[Baum]::N,pi,ארן
135,Weide[Baum]::N,salze,ערבה
136,Tanne::N,avet,אשוח
137,Horn::N,corn,קרן
138,Horn::N,banya,קרן
139,Feder::N,ploma,נוצה
140,Fell::N,pell,פרוה
141,Flügel::N,ala,כנף
142,Klaue::N,urpa,טלף
143,Kralle::N,grapa,טפר
144,Schwanz::N,cua,זנב
145,Ei::N,ou,ביצה
146,Nest::N,niu,קן
147,Bau::N,cau,מחלה
148,Tier::N,animāl,חיה
149,Herde::N,ramat,עדר
150,Kuh::N,vaca,פרה
151,Bulle::N,toro,פר
152,Pferd::N,cavāll,סוס
153,Schaf::N,be,כבשה
154,Schaf::N,ovella,כבשה
155,Schwein::N,bacó,חזיר
156,Hund::N,ca,כלב
157,Hund::N,gos,כלב
158,Katze::N,gat,חתול
159,Bär::N,ós,דב
