,Concept_ID,vep,kk
0,Auge::N,sil'm,көз
1,Ohr::N,korv,құлақ
2,Nase::N,nena,мұрын
3,Mund::N,su,ауыз
4,Zahn::N,pi,тіс
5,Zahn::N,hambaz,тіс
6,Zunge::N,kel',тіл
7,Lippe::N,hul',ерін
8,Wange::N,modpolišk,ұрт
9,Gesicht::N,mod,бет-аузы
10,Stirn::N,oc,маңдай
11,Haar::N,tuk,қыл
12,Haar::N,hibuz,қыл
13,Schnurrbart::N,habinod,мұрт
14,Bart::N,bard,сақал
15,Kinn::N,löug,иек
16,Kiefer[Anatomie]::N,hambazlu,жақ
17,Kehle::N,kurk,алқым
18,Hals::N,kagl,мойын
19,Genick::N,tagarai,желке
20,Kopf::N,pä,кәллә
21,Rücken::N,sel'g,арқа
22,Bauch::N,vac,қарын
23,Bauch::N,koht,қарын
24,Nabel::N,naba,кіндік
25,Busen::N,niža,омырау
26,Brust::N,rind,кеуде
27,Schulter::N,oug,иық
28,Arm::N,käzi,қол
29,Ellenbogen::N,künambruz,шынтақ
30,Hand::N,käzi,қол
31,Hand::N,käzitera,қол
32,Handfläche::N,kämen,алақан
33,Finger::N,sor'm,саусақ
34,Fingernagel::N,künz',тырнақ
35,Nagel[Anatomie]::N,künz',тырнақ
36,Zeh::N,barbaz,тырнақ
37,Zeh::N,barbaz,тұяқ
38,Fuß::N,jaug,аяқ-басы
39,Ferse::N,kand,өкше
40,Ferse::N,kand,өкшелік
41,Knie::N,komb,тізе
42,Knie::N,pol'v,тізе
43,Oberschenkel::N,riiže,жамбас
44,Bein::N,jaug,аяқ
45,Körper::N,hibj,дене
46,Haut::N,nahk,тері
47,Blut::N,čak,қан
48,Blut::N,veri,қан
49,Ader::N,son',көктамыр
50,Ader::N,son',күретамыр
51,Sehne::N,jände,сіңір
52,Knochen::N,lu,жілік
53,Gehirn::N,aivod,ми
54,Herz::N,südäin,жүрек
55,Magen::N,südäikoht,асқазан
56,Leber::N,maks,бауыр
57,Atem::N,hengaiduz,леп
58,Hunger::N,näl'g,ашаршылық
59,Träne::N,kündal',жас
60,Geschmack::N,magu,дәм
61,Geschmack::N,magu,татым
62,Geschmack::N,magu,талғам
63,Geruch::N,haju,иіс
64,Schlaf::N,uni,ұйқы
65,Schlaf::N,uni,ұйықтау
66,Traum::N,unikuva,түс
67,Himmel::N,taivaz,аспан
68,Himmel::N,taivaz,көқ
69,Himmel::N,taivaz,таңдай
70,Sonne::N,päiväine,күн
71,Mond::N,kudmaine,ай
72,Stern::N,tähtaz,жұлдыз
73,Luft::N,il'm,әуе
74,Wind::N,döl,жел
75,Wind::N,tullei,жел
76,Welle::N,ald,толқын
77,Welle::N,laineh,толқын
78,Wasser::N,vezi,су
79,Stein::N,kivi,тас
80,Boden::N,ma,қыртыс
81,Boden::N,pohj,қыртыс
82,Erde::N,ma,топырақ
83,Staub::N,pölü,шаң
84,Rauch::N,savu,түтін
85,Funke::N,kibin,ұшқын
86,Feuer::N,lämoi,алау
87,Licht::N,vauktuz,шұғыла
88,Schatten::N,pil'vez,көлеңке
89,Schatten::N,kuvahaine,көлеңке
90,Wetter::N,sä,ауа райы
91,Nebel::N,sumeg,тұман
92,Wolke::N,pil'v,бұлт
93,Regen::N,vihm,жаңбыр
94,Schnee::N,lumi,қар
95,Eis::N,jä,мұз
96,Frost::N,hala,суық
97,Frost::N,pakaine,суық
98,Kälte::N,vilu,ызғар
99,Kälte::N,vilu,суықтық
100,Hitze::N,räk,аптап
101,Raureif::N,hüde,қырау
102,Regenbogen::N,jumalanbembel',кемпірқосақ
103,Donner::N,juru,күн күркіреу
104,Donner::N,jumalanjuru,күн күркіреу
105,Strömung::N,joksmuz,ағын
106,Tropfen::N,tilkuine,тамшы
107,Schaum::N,vaht,көбік
108,Schmutz::N,redu,кір
109,Schmutz::N,pačak,кір
110,See::N,järv,көл
111,Sumpf::N,so,саз
112,Moor::N,so,саз
113,Wiese::N,nit,шалғын
114,Wald::N,mec,орман
115,Hügel::N,kukaz,төбе
116,Hügel::N,kukaz,белес
117,Hügel::N,kukaz,белес-белес
118,Anhöhe::N,kukaz,дөң
119,Anhöhe::N,kukaz,адыр
120,Anhöhe::N,kukaz,қырат
121,Berg::N,mägi,тау
122,Gipfel::N,ladv,төбе
123,Höhle::N,mägionduz,үңгір
124,Abhang::N,paute,бауыр
125,Quelle::N,lähte,қайнар
126,Bach::N,oja,жылға
127,Fluss::N,jogi,өзен
128,Ufer::N,rand,жиек
129,Küste::N,randišt,жиегі
130,Küste::N,randišt,жағалау
131,Festland::N,kuivma,құрылық
132,Meer::N,meri,теңіз
133,Bucht::N,laht,шығанақ
134,Insel::N,sar',арал
135,Blume::N,änik,гүл
136,Gras::N,hein,от
137,Wurzel::N,jur',түбір
138,Baum::N,pu,ағаш
139,Baum::N,pu,дарақ
140,Stamm::N,tüvi,сояу
141,Stamm::N,tüvi,оқпан
142,Rinde::N,kor',қабық
143,Ast::N,oks,бұтақ
144,Zweig::N,oks,шыбық
145,Zweig::N,barb,шыбық
146,Blatt::N,lehtez,жапырақ
147,Birke::N,koiv,қайың
148,Kiefer[Baum]::N,pedai,қарағай
149,Weide[Baum]::N,raid,тал
150,Tanne::N,kuz',шырша
151,Horn::N,sar'v,мүйіз
152,Feder::N,höuneh,қаламұш
153,Fell::N,nahk,тері
154,Flügel::N,suug,қанат
155,Klaue::N,künz',тырнақ
156,Kralle::N,künz',аяқ
157,Schwanz::N,händ,құйрық
158,Ei::N,muna,жұмыртқа
159,Nest::N,peza,ұя
160,Bau::N,uru,жатақ
161,Tier::N,živat,айуан
162,Tier::N,živat,жануар
163,Herde::N,kogo,пада
164,Kuh::N,lehm,сиыр
165,Bulle::N,härg,өгіз
166,Pferd::N,hebo,жылқы
167,Schaf::N,lambaz,қой
168,Schwein::N,siga,шошқа
169,Hund::N,koir,ит
170,Katze::N,kaži,мысық
171,Bär::N,kondi,аю
172,Eichhörnchen::N,orav,тиін
173,Elch::N,hirb',бұғы
174,Fuchs::N,reboi,түлкі
175,Hase::N,jäniš,қоян
176,Maus::N,hir',қаптесер
177,Wolf::N,händikaz,бөрі
178,Wolf::N,händikaz,қасқыр
179,Vogel::N,lind,құс
180,Schwarm::N,parveh,топ
181,Schwarm::N,parveh,үйір
182,Huhn::N,kana,тауық
183,Huhn::N,kana,мекиен
184,Hahn::N,kukoi,әтеш
185,Hahn::N,kukoi,қораз
186,Gans::N,hanh',қаз
187,Adler::N,orl,бүркіт
188,Ente::N,sorz,үйрек
189,Eule::N,hir'pulo,жапалақ
190,Kranich::N,kurg,тырна
191,Krähe::N,variš,қарға
192,Kuckuck::N,kägi,көкек
193,Schwan::N,joucen,аққу
194,Fisch::N,kala,балық
195,Barsch::N,ahven,алабұға
196,Hecht::N,haug',шортан
197,Schlange[Tier]::N,kü,жылан
198,Schlange[Tier]::N,mado,жылан
199,Wurm::N,mado,шұбалшаң
200,Spinne::N,hämähouk,өрмекші
201,Ameise::N,murahaine,қүмырска
202,Laus::N,täi,бит
203,Mücke::N,säs'k,маса
