,Concept_ID,de,fr
0,Auge::N,Auge,œil
1,Ohr::N,Ohr,oreille
2,Nase::N,Nase,nez
3,Mund::N,Mund,bouche
4,Zahn::N,Zahn,dent
5,Zunge::N,Zunge,langue
6,Lippe::N,Lippe,lèvre
7,Wange::N,Wange,joue
8,Gesicht::N,Gesicht,face
9,Gesicht::N,Gesicht,visage
10,Stirn::N,Stirn,front
11,Haar::N,Haar,cheveu
12,Schnurrbart::N,Schnurrbart,moustache
13,Bart::N,Bart,barbe
14,Kinn::N,Kinn,menton
15,Kiefer[Anatomie]::N,Kiefer,mâchoire
16,Kehle::N,Kehle,gorge
17,Hals::N,Hals,cou
18,Genick::N,Genick,nuque
19,Kopf::N,Kopf,tête
20,Rücken::N,Rücken,dos
21,Bauch::N,Bauch,ventre
22,Nabel::N,Nabel,nombril
23,Busen::N,Busen,sein
24,Brust::N,Brust,poitrine
25,Schulter::N,Schulter,épaule
26,Arm::N,Arm,bras
27,Ellenbogen::N,Ellenbogen,coude
28,Hand::N,Hand,main
29,Handfläche::N,Handfläche,paume
30,Finger::N,Finger,doigt
31,Fingernagel::N,Fingernagel,ongle
32,Nagel[Anatomie]::N,Nagel,ongle
33,Zeh::N,Zeh,orteil
34,Zeh::N,Zeh,doigt de pied
35,Fuß::N,Fuß,pied
36,Ferse::N,Ferse,talon
37,Knie::N,Knie,genou
38,Oberschenkel::N,Oberschenkel,cuisse
39,Bein::N,Bein,jambe
40,Körper::N,Körper,corps
41,Haut::N,Haut,peau
42,Blut::N,Blut,sang
43,Ader::N,Ader,veine
44,Sehne::N,Sehne,tendon
45,Knochen::N,Knochen,os
46,Gehirn::N,Gehirn,cerveau
47,Herz::N,Herz,cœur
48,Magen::N,Magen,estomac
49,Leber::N,Leber,foie
50,Atem::N,Atem,haleine
51,Hunger::N,Hunger,faim
52,Träne::N,Träne,larme
53,Geschmack::N,Geschmack,goût
54,Geschmack::N,Geschmack,saveur
55,Geruch::N,Geruch,odeur
56,Schlaf::N,Schlaf,sommeil
57,Traum::N,Traum,songe
58,Himmel::N,Himmel,ciel
59,Sonne::N,Sonne,soleil
60,Mond::N,Mond,lune
61,Stern::N,Stern,étoile
62,Luft::N,Luft,air
63,Wind::N,Wind,vent
64,Welle::N,Welle,vague
65,Wasser::N,Wasser,eau
66,Stein::N,Stein,pierre
67,Boden::N,Boden,sol
68,Boden::N,Boden,terrain
69,Erde::N,Erde,terre
70,Staub::N,Staub,poussière
71,Rauch::N,Rauch,fumée
72,Funke::N,Funke,étincelle
73,Feuer::N,Feuer,feu
74,Licht::N,Licht,lumière
75,Schatten::N,Schatten,ombre
76,Wetter::N,Wetter,temps
77,Nebel::N,Nebel,brume
78,Nebel::N,Nebel,brouillard
79,Wolke::N,Wolke,nuage
80,Regen::N,Regen,pluie
81,Schnee::N,Schnee,neige
82,Eis::N,Eis,glace
83,Frost::N,Frost,gel
84,Frost::N,Frost,gelée
