,Concept_ID,tt,en
0,Auge::N,күз,eye
1,Ohr::N,колак,ear
2,Nase::N,борын,nose
3,Mund::N,авыз,mouth
4,Mund::N,тамак,mouth
5,Zahn::N,теш,tooth
6,Zunge::N,тел,tongue
7,Lippe::N,ирен,lip
8,Wange::N,яңак,cheek
9,Gesicht::N,йөз,face
10,Stirn::N,маңгай,forehead
11,Haar::N,чәч,hair
12,Schnurrbart::N,мыек,moustache
13,Bart::N,сакал,beard
14,Kinn::N,ияк,chin
15,Kiefer[Anatomie]::N,казналык,jaw
16,Kehle::N,тамак,throat
17,Hals::N,бугаз,neck
18,Genick::N,җилкә,nape
19,Kopf::N,баш,head
20,Rücken::N,сырт,back
21,Rücken::N,сырт,spine
22,Bauch::N,корсак,belly
23,Nabel::N,кендек,navel
24,Busen::N,түш,bosom
25,Brust::N,имчәк,chest
26,Brust::N,имчәк,breast
27,Brust::N,күкрәк,chest
28,Brust::N,күкрәк,breast
29,Schulter::N,иңбаш,shoulder
30,Schulter::N,кулбаш,shoulder
31,Arm::N,кул,arm
32,Ellenbogen::N,терсәк,elbow
33,Hand::N,кул,hand
34,Handfläche::N,уч,palm
35,Finger::N,бармак,finger
36,Fingernagel::N,тырнак,fingernail
37,Nagel[Anatomie]::N,тырнак,nail
38,Zeh::N,бармак,toe
39,Fuß::N,табан,foot
40,Ferse::N,үкчә,heel
41,Knie::N,тез,knee
42,Oberschenkel::N,бот,thigh
43,Bein::N,аяк,leg
44,Körper::N,тән,body
45,Körper::N,җисем,body
46,Haut::N,тире,skin
47,Blut::N,кан,blood
48,Ader::N,тамыр,vein
49,Sehne::N,сеңер,sinew
50,Knochen::N,сөяк,bone
51,Gehirn::N,ми,brain
52,Herz::N,йөрәк,heart
53,Magen::N,ашказаны,stomach
54,Leber::N,бавыр,liver
55,Atem::N,сулыш,breath
56,Hunger::N,ачлык,hunger
57,Träne::N,яшь,tear
58,Geschmack::N,тәм,flavour
59,Geschmack::N,тәм,flavor
60,Geschmack::N,зәвык,flavour
61,Geschmack::N,зәвык,flavor
62,Geruch::N,ис,odour
63,Geruch::N,ис,odor
64,Schlaf::N,йокы,sleep
65,Traum::N,төш,dream
66,Himmel::N,күк,sky
67,Sonne::N,кояш,sun
68,Mond::N,ай,moon
69,Stern::N,йолдыз,star
70,Luft::N,һава,air
71,Wind::N,җил,wind
72,Welle::N,дулкын,wave
73,Wasser::N,су,water
74,Stein::N,таш,stone
75,Boden::N,туфрак,soil
76,Boden::N,туфрак,ground
77,Erde::N,җир,earth
78,Staub::N,тузан,dust
79,Rauch::N,төтен,smoke
80,Funke::N,очкын,spark
81,Feuer::N,ут,fire
82,Licht::N,якты,light
83,Schatten::N,күләгә,shadow
84,Wetter::N,һава,weather
85,Nebel::N,томан,fog
86,Wolke::N,болыт,cloud
87,Regen::N,яңгыр,rain
88,Schnee::N,кар,snow
89,Eis::N,боз,ice
90,Frost::N,суык,frost
91,Frost::N,салкын,frost
92,Kälte::N,суык,chill
93,Kälte::N,салкын,chill
94,Hitze::N,эсселек,heat
95,Raureif::N,бәс,hoarfrost
96,Raureif::N,сыкы,hoarfrost
97,Regenbogen::N,салават күпере,rainbow
98,Donner::N,күкрәү,thunder
99,Strömung::N,агыш'агым,current
100,Tropfen::N,тамчы,drop
101,Schaum::N,күбек,foam
102,Schmutz::N,пычрак,dirt
103,See::N,күл,lake
