,Concept_ID,ga,lbe
0,Auge::N,súil,я
1,Ohr::N,cluas,вичӏи
2,Nase::N,soc,май
3,Mund::N,béal,кьацӏ
4,Zahn::N,fiacail,ккарччи
5,Zunge::N,teanga,маз
6,Lippe::N,liopa,мурччи
7,Wange::N,grua,чӏав
8,Wange::N,leiceann,чӏав
9,Gesicht::N,éadan,лажин
10,Gesicht::N,aghaidh,лажин
11,Stirn::N,baithis,ненттабакӏ
12,Stirn::N,clár éadain,ненттабакӏ
13,Haar::N,gruaig,чӏара
14,Schnurrbart::N,croiméal,ссирссилтту
15,Bart::N,féasóg,чӏири
16,Kinn::N,smig,лунттубакӏ
17,Kiefer[Anatomie]::N,giall,ххинчулул
18,Kehle::N,scornach,кьакьари
19,Hals::N,muinéal,ссурссу
20,Genick::N,baic,махъабакӏ
21,Kopf::N,ceann,бакӏ
22,Rücken::N,droim,ттиликӏ
23,Bauch::N,bolg,лякьа
24,Nabel::N,imleacán,цӏумуккутӏ
25,Busen::N,cíoch,ккукку
26,Brust::N,brollach,хъазам
27,Schulter::N,gualainn,хъачӏ
28,Arm::N,lámh,ка
29,Ellenbogen::N,uillinn,ссюрхъ
30,Hand::N,lámh,бартка
31,Handfläche::N,bos,хъат
32,Handfläche::N,bos,битӏянхъ
33,Finger::N,méar,кӏисса
34,Fingernagel::N,ionga,михь
35,Nagel[Anatomie]::N,ionga,михь
36,Zeh::N,ladhar,кӏисса
37,Fuß::N,cos,чӏанччан
38,Fuß::N,troigh,чӏанччан
39,Ferse::N,sáil,никъа
40,Knie::N,glúin,ник
41,Oberschenkel::N,ceathrú,жира
42,Bein::N,cos,ччан
43,Körper::N,corp,чурх
44,Körper::N,colainn,чурх
45,Haut::N,cneas,бурчу
46,Haut::N,craiceann,бурчу
47,Blut::N,fuil,оь
48,Sehne::N,teannán,хьхьа
49,Sehne::N,féitheog,хьхьа
50,Knochen::N,cnámh,ттаркӏ
51,Gehirn::N,inchinn,ня
52,Herz::N,croí,дакӏ
53,Herz::N,croí,къюкӏ
54,Magen::N,bolg,лякьа
55,Magen::N,goile,лякьа
56,Leber::N,ae,
57,Atem::N,anáil,ссихӏ ласаву
58,Atem::N,anáil,ссихӏ бигьаву
59,Hunger::N,ocras,ккаши
60,Träne::N,deoir,макь
61,Geschmack::N,blas,тӏин
62,Geschmack::N,blas,тӏааьн
63,Geruch::N,boladh,кьанкь
64,Schlaf::N,suan,шану
65,Schlaf::N,codladh,шану
66,Traum::N,taibhreamh,макӏру
67,Himmel::N,spéir,ссав
68,Sonne::N,grian,баргъ
69,Mond::N,ré,барз
70,Mond::N,gealach,барз
71,Stern::N,rinn,цӏуку
72,Stern::N,réalta,цӏуку
73,Luft::N,aer,гьава
74,Wind::N,gaoth,марч
75,Welle::N,tonn,щатӏи
76,Wasser::N,uisce,щин
77,Stein::N,cloch,чару
78,Boden::N,talamh,аьрщи
79,Erde::N,cré,аьрщи
80,Erde::N,ithir,аьрщи
81,Staub::N,dusta,ххит
82,Staub::N,deannach,ххит
83,Rauch::N,toit,пуркӏу
84,Rauch::N,deatach,пуркӏу
85,Funke::N,drithle,пиягь
86,Feuer::N,tine,цӏу
87,Licht::N,solas,чани
88,Schatten::N,scáth,ххют
89,Wetter::N,aimsir,гьава
90,Nebel::N,ceo,шархь ттурлу
91,Wolke::N,néal,ттурлу
92,Wolke::N,scamall,ттурлу
93,Regen::N,báisteach,гъарал
94,Regen::N,fearthainn,гъарал
95,Schnee::N,sneachta,марххала
96,Eis::N,oighear,микӏ
97,Frost::N,sioc,дяркъу
98,Frost::N,sioc,замгьар
99,Kälte::N,fuacht,дяркъу
100,Hitze::N,teas,кӏиришиву
101,Hitze::N,teocht,кӏиришиву
102,Raureif::N,sioc bán,сил
103,Raureif::N,sioc bán,бурса
104,Regenbogen::N,stua ceatha,ссурул ккуртта
105,Regenbogen::N,bogha báistí,ссурул ккуртта
106,Donner::N,toirneach,къув
107,Strömung::N,sruth,экьинанаву
108,Tropfen::N,deoir,кӏунтӏ
109,Schaum::N,cúr,хьама
110,Schmutz::N,salachar,кьяркьи
111,See::N,loch,бяр
112,Sumpf::N,portach,кунцӏа
113,Moor::N,caorán,
114,Moor::N,móinteán,
115,Wiese::N,cluain,кьан
116,Wiese::N,móinéar,кьан
117,Wald::N,coill,вацӏа
118,Wald::N,foraois,вацӏа
119,Hügel::N,ard,бакӏу
120,Anhöhe::N,ard,
121,Anhöhe::N,ardán,
122,Berg::N,sliabh,зунтту
123,Gipfel::N,barr,мицӏ
124,Gipfel::N,mullach,мицӏ
125,Höhle::N,uaimh,нух
126,Höhle::N,pluais,нух
127,Abhang::N,fána,сун
128,Quelle::N,foinse,дайдихьу
129,Quelle::N,foinse,бакӏ
130,Bach::N,sruthán,чӏрир нех
131,Fluss::N,abhainn,нех
132,Ufer::N,bruach,зума
133,Küste::N,cósta,зумаинхалу
134,Küste::N,cósta,зуманицӏалу
135,Küste::N,cladach,зумаинхалу
136,Küste::N,cladach,зуманицӏалу
137,Festland::N,míntír,кьири
138,Meer::N,muir,хьхьири
139,Meer::N,farraige,хьхьири
140,Bucht::N,bá,
141,Bucht::N,cuan,
142,Insel::N,inis,жазира
143,Insel::N,oileán,жазира
144,Blume::N,bláth,тӏутӏи
145,Gras::N,féar,уртту
146,Wurzel::N,rúta,мархха
147,Wurzel::N,fréamh,мархха
148,Baum::N,crann,мурхь
149,Stamm::N,stoc,ттарцӏ
150,Stamm::N,tamhan,ттарцӏ
151,Rinde::N,coirt,ккамара
152,Rinde::N,craiceann,ккамара
153,Ast::N,géag,матӏи
154,Zweig::N,géag,къяртта
155,Zweig::N,craobh,къяртта
156,Blatt::N,duille,чӏапӏи
157,Blatt::N,duilleog,чӏапӏи
158,Birke::N,beith,кӏялахӏи
159,Birke::N,beith,кӏялахӏилул мурхь
160,Birke::N,crann beithe,кӏялахӏи
161,Birke::N,crann beithe,кӏялахӏилул мурхь
162,Kiefer[Baum]::N,péine,ттар
163,Kiefer[Baum]::N,péine,ттарлил мурхь
164,Weide[Baum]::N,saileach,щавщи
165,Tanne::N,giúis,ттарлил мурхь
166,Horn::N,adharc,хъи
167,Feder::N,cleite,лелуххул тӏиму
168,Fell::N,clúmh,бурчу
169,Flügel::N,eite,хъа
170,Flügel::N,eite,ххурупӏайрал тӏиму
171,Flügel::N,sciathán,хъа
172,Flügel::N,sciathán,ххурупӏайрал тӏиму
173,Klaue::N,crúb,михь
174,Klaue::N,crobh,михь
175,Kralle::N,crobh,ххяппа
176,Schwanz::N,eireaball,магъ
177,Ei::N,ubh,ккунук
178,Nest::N,nead,кюру
179,Bau::N,brocais,цукъуккутӏ
180,Tier::N,ainmhí,хӏайван
181,Tier::N,beithíoch,хӏайван
182,Herde::N,tréad,газу
183,Kuh::N,bó,оьл
184,Bulle::N,tarbh,ниц
185,Pferd::N,each,чу
186,Pferd::N,capall,чу
187,Schaf::N,caora,тта
188,Schwein::N,muc,дунгъуз
189,Hund::N,madra,ккаччи
190,Katze::N,cat,ччиту
191,Bär::N,béar,цуша
192,Eichhörnchen::N,iora,бюрхттукку
193,Elch::N,eilc,ниц-бюрин
194,Fuchs::N,sionnach,цулчӏа
195,Fuchs::N,sionnach,куча цулчӏа
196,Fuchs::N,madra rua,цулчӏа
197,Fuchs::N,madra rua,куча цулчӏа
198,Hase::N,giorria,бюрх
199,Maus::N,luch,кӏулу
200,Wolf::N,mac tíre,барцӏ
201,Vogel::N,éan,лелуххи
202,Schwarm::N,saithe,гьухъала
203,Huhn::N,cearc,аьнакӏи
204,Hahn::N,coileach,ажари
205,Gans::N,gé,къаз
206,Adler::N,iolar,барзу
207,Ente::N,lacha,урдак
208,Eule::N,ulchabhán,ису
209,Eule::N,ulchabhán,ччиккумяв
210,Kranich::N,grús,кьурукь
211,Krähe::N,caróg,хъатӏу
212,Krähe::N,préachán,хъатӏу
213,Kuckuck::N,cuach,ччикку
214,Schwan::N,eala,урттил къаз
215,Fisch::N,iasc,чавахъ
216,Barsch::N,péirse,
217,Hecht::N,liús,
218,Schlange[Tier]::N,nathair,шатта
219,Wurm::N,péist,кьюнукьай шатта
220,Spinne::N,damhán alla,ххялцу
221,Ameise::N,seangán,митӏикьукьу
222,Laus::N,míol,
223,Mücke::N,muiscít,мичӏак
224,Mücke::N,corrmhíol,мичӏак
225,Fliege::N,cuil,зимиз
226,Fliege::N,cuileog,зимиз
227,Schmetterling::N,féileacán,чӏимучӏали
228,Beere::N,caor,хӏаллил ахъулсса
229,Apfel::N,úll,гьивч
230,Pilz::N,beacán,ттуккул иис
231,Pilz::N,muisiriún,ттуккул иис
232,Zwiebel::N,oinniún,лаччул чсмусул бакӏ
233,Saat::N,síol,гьанна
234,Korn::N,gráinne,къама
235,Heu::N,féar,ххулув
236,Schale::N,scaimh,ккиртту
237,Grube::N,poll,кӏаланг
238,Falle::N,gaiste,къатӏа
239,Schlinge::N,sealán,хӏатӏ
240,Spur::N,rian,ша
241,Asche::N,luaith,лах
242,Dreck::N,salachar,кьяркьи
243,Dreck::N,salachar,венп
244,Eisen::N,iarann,мах
245,Gold::N,ór,муси
246,Silber::N,airgead,арцу
247,Kohle::N,gual,кӏалаш
248,Kohle::N,gual,хъуручӏ
249,Glas::N,gloine,пюрун
250,Lehm::N,cré,сина аьрщи
251,Sand::N,gaineamh,къун
252,Mensch::N,duine,инсан
253,Mann::N,fear,чув
254,Mann::N,fear,адимина
255,Frau::N,bean,щарсса
256,Frau::N,bean,хъамитайпа
257,Kind::N,gasúr,чӏиви оьрчӏ
258,Kind::N,páiste,чӏиви оьрчӏ
259,Junge::N,buachaill,оьрчӏ
260,Junge::N,buachaill,бурхьин оьрчӏ
261,Mädchen::N,cailín,душ
262,Familie::N,teaghlach,кулпат
263,Familie::N,comhluadar,кулпат
264,Großvater::N,seanathair,ттатта
265,Großvater::N,seanathair,ниттил ппу
266,Großmutter::N,seanmháthair,буттал нину
267,Eltern::N,tuismitheoirí,нину-ппу
268,Vater::N,athair,ппу
269,Mutter::N,máthair,нину
270,Sohn::N,mac,арс
271,Tochter::N,iníon,душ
272,Bruder::N,deartháir,уссу
273,Schwester::N,deirfiúr,ссу
274,Onkel::N,uncail,буттауссу
275,Tante::N,aintín,буттал ссу
276,Ehemann::N,fear céile,лас
277,Ehefrau::N,bean chéile,щар
278,Ehefrau::N,bean chéile,щарсса
279,Freude::N,áthas,шадшиву
280,Freude::N,áthas,ххаришиву
281,Gelächter::N,gáire,хъяхъаву
282,Glück::N,séan,талихӏ
283,Glück::N,sonas,талихӏ
284,Kummer::N,brón,дард
285,Kummer::N,buairt,дард
286,Wunsch::N,guí,мурад
287,Wunsch::N,achainí,мурад
288,Lust::N,fonn,гьавас
289,Lust::N,fonn,ччаву
290,Geist::N,meon,рухӏ
291,Geist::N,spiorad,рухӏ
292,Gedanke::N,smaoineamh,пикри
293,Gedächtnis::N,cuimhne,дакӏний личӏаву
294,Verstand::N,ciall,аькьлу
295,Verstand::N,intinn,аькьлу
296,Sinn::N,brí,мяъна
297,Sinn::N,ciall,мяъна
298,Grund::N,fáth,багьана
299,Wahrheit::N,fírinne,тӏайламур
300,Wahrheit::N,fírinne,хӏакьмур
301,Gespräch::N,comhrá,ихтилат
302,Märchen::N,scéal,магьа
303,Erzählung::N,scéal,хавар
304,Nachricht::N,teachtaireacht,хавар
305,Neuigkeit::N,scéala,хавар
306,Name::N,ainm,цӏа
307,Rätsel::N,tomhas,ссигьа
308,Rede::N,óráid,гъалгъа
309,Rede::N,aitheasc,гъалгъа
310,Sprache::N,teanga,маз
311,Stimme::N,guth,чӏу
312,Stimme::N,guth,чӏукӏа
313,Wort::N,focal,махъ
314,Zeichen::N,comhartha,лишан
315,Ruf::N,glaoch,
316,Lärm::N,torann,чӏу
317,Laut::N,fuaim,чӏу
318,Ton::N,ton,чӏу
319,Lied::N,amhrán,балай
320,Ruhe::N,suaimhneas,дигьалагру
321,Leute::N,muintir,инсантал
322,Volk::N,pobal,ил
323,Volk::N,pobal,халкь
324,Arbeit::N,obair,заву
325,Gast::N,aoi,хъамаличу
326,Geschenk::N,féirín,бухчакарши
327,Geschenk::N,féirín,лажинккакку
328,Geschenk::N,bronntanas,бухчакарши
329,Geschenk::N,bronntanas,лажинккакку
330,Spiel::N,cluiche,тӏуркӏу
331,Gesellschaft::N,comhluadar,жямат
332,Gesellschaft::N,comhluadar,ккуран
333,Hilfe::N,cúnamh,кумаг
334,Hilfe::N,cabhair,кумаг
335,Freund::N,cara,дус
336,Kamerad::N,comrádaí,хӏаласу
337,Angelegenheit::N,ábhar,иш
338,Anzahl::N,líon,аьдад
339,Art::N,sórt,жинс
340,Art::N,saghas,жинс
341,Stück::N,píosa,касак
342,Teil::N,cuid,бутӏа
343,Teil::N,páirt,бутӏа
344,Hälfte::N,leath,дачӏи
345,Kreis::N,ciorcal,кюрщан
346,Kreuz::N,cros,ххач
347,Linie::N,líne,щва
348,Strich::N,stríoc,щва
349,Abstand::N,achar,манзил
350,Entfernung::N,fad,манзил
351,Gegend::N,ceantar,кӏану
352,Platz::N,áit,
353,Platz::N,spás,
354,Ort::N,áit,кӏану
355,Seite::N,taobh,чул
356,Seite::N,taobh,чулухалу
357,Mitte::N,lár,дя
358,Gegenstand::N,ball,зат
359,Gegenstand::N,ábhar,зат
360,Sache::N,ní,зат
361,Sache::N,rud,зат
362,Rand::N,imeall,зума
363,Rand::N,ciumhais,зума
364,Kante::N,corr,
365,Kante::N,colbha,
366,Ecke::N,coirnéal,мурцӏу
367,Spitze::N,gob,мицӏ
368,Spitze::N,barr,мицӏ
369,Ende::N,ceann,зума
370,Ende::N,foirceann,зума
371,Loch::N,poll,ккутӏ
372,Winkel::N,cúinne,мурцӏу
373,Winkel::N,uillinn,мурцӏу
374,Muster::N,patrún,накьич
375,Größe::N,méid,
376,Größe::N,toise,
377,Länge::N,fad,лахъишиву
378,Höhe::N,airde,лахъшиву
379,Gewicht::N,meáchan,дуццин
380,Gewicht::N,meáchan,кӏушиву
381,Menge::N,méid,
382,Haufen::N,cnap,бакӏу
383,Reihe::N,líne,кьюкьа
384,Reihe::N,sraith,кьюкьа
385,Boot::N,bád,луткка
386,Ruder::N,rámh,весло
387,Ruder::N,rámh,чӏатӏа
388,Ruder::N,maide rámha,весло
389,Ruder::N,maide rámha,чӏатӏа
390,Schlitten::N,carr sleamhnáin,чана
391,Schlitten::N,carr sleamhnáin,санкка
392,Ski::N,scí,лижарду
393,Lagerfeuer::N,tine champa,къавтӏн
394,Last::N,ualach,гьиву
395,Gang::N,siúlóid,нанаву
396,Schritt::N,céim,ша
397,Schritt::N,coiscéim,ша
398,Norden::N,tuaisceart,ухссав
399,Norden::N,tuaisceart,ухссавнил чулухалу
400,Süden::N,deisceart,кьилва
401,Westen::N,iarthar,баргълагавал
402,Westen::N,iarthar,баргълагавал чул
403,Osten::N,oirthear,баргъбуккай чулухалу
404,Holz::N,adhmad,тӏама
405,Brett::N,clár,тахта
406,Platte::N,leac,гъуни
407,Stütze::N,taca,гьалакӏу
408,Stange::N,polla,къазихъ
409,Stange::N,cuaille,къазихъ
410,Stock::N,bata,ттархь
411,Stock::N,maide,ттархь
412,Stab::N,maide,ччантӏакъу
413,Stab::N,bachall,ччантӏакъу
414,Rohr::N,píopa,бургъу
415,Haus::N,teach,къатта
416,Heim::N,baile,къатта
417,Ofen::N,sornóg,пач
418,Fußboden::N,urlár,чӏанкъатта
419,Tisch::N,bord,усттул
420,Tisch::N,tábla,усттул
421,Stuhl::N,cathaoir,кӏану
422,Wiege::N,cliabhán,оьрчӏал кӏану
423,Bett::N,leaba,тах
424,Regal::N,seilf,чӏаму
425,Kiste::N,bosca,яшикӏ
426,Kiste::N,bosca,къурши
427,Fenster::N,fuinneoig,чӏавахьулу
428,Tür::N,doras,нуз
429,Tür::N,doras,нузкьун
430,Tor::N,geata,къапу
431,Tor::N,geata,дарваза
432,Zaun::N,fál,дайгьузанну
433,Zaun::N,claí,дайгьузанну
434,Dach::N,díon,магъи
435,Dach::N,díon,цӏиялу
436,Leiter::N,dréimire,чуртту
437,Besen::N,scuab,чӏатлу
438,Spaten::N,spád,бил
439,Spaten::N,rámhainn,бил
440,Schaufel::N,sluasaid,чӏатӏа
441,Gabel::N,forc,гьиссилу
442,Gabel::N,gabhlóg,гьиссилу
443,Löffel::N,spúnóg,къуса
444,Messer::N,scian,чӏила
445,Nagel::N,tairne,мяр
446,Netz::N,líon,къери
447,Netz::N,eangach,къери
448,Haken::N,croch,къича
449,Griff::N,cos,куяму
450,Griff::N,hanla,куяму
451,Schloss::N,glas,кьункьула
452,Bild::N,pictiúr,сурат
453,Figur::N,fíor,
454,Puppe::N,bábóg,ссихьу
455,Beutel::N,mála,чантай
456,Beutel::N,mealbhóg,чантай
457,Bündel::N,beart,гьи
458,Bündel::N,beart,къар
459,Tasche::N,mála,
460,Eimer::N,buicéad,бадра
461,Deckel::N,clár,къапаза
462,Deckel::N,claibín,къапаза
463,Geschirr::N,soithí,пюрунчӏул
464,Geschirr::N,soithí,тӏахӏникӏичӏу
465,Geschirr::N,gréithe,пюрунчӏул
466,Geschirr::N,gréithe,тӏахӏникӏичӏу
467,Sack::N,sac,къап
468,Sack::N,sac,дарваг
469,Sack::N,mála,къап
470,Sack::N,mála,дарваг
471,Tasse::N,cupán,пижан
472,Tasse::N,cupán,пинжан
473,Tasse::N,cupán,инкираччатӏи
474,Tasse::N,cupán,цинцилттал бушкъап
475,Topf::N,pota,кӏункӏур
476,Kessel::N,citeal,чаг
