,Concept_ID,mrj,hr
0,Auge::N,сӹнзӓ,oko
1,Ohr::N,пӹлӹш,uho
2,Nase::N,нер,nos
3,Mund::N,ышма,usta
4,Zahn::N,пӱ,zub
5,Zunge::N,йӹлмӹ,jezik
6,Lippe::N,тӹрвӹ,usna
7,Wange::N,шӹргӹ,obraz
8,Gesicht::N,лицӓ,lice
9,Stirn::N,лепкӓ,čelo
10,Haar::N,ӱп,kosa
11,Schnurrbart::N,öрш,brkovi
12,Bart::N,пандаш,brada
13,Kinn::N,онгылаш,brada
14,Kinn::N,онгылаш,podbradak
15,Kiefer[Anatomie]::N,пӱ арата,čeljust
16,Kehle::N,логер,grlo
17,Hals::N,шӱ,vrat
18,Genick::N,ланга,zatiljak
19,Kopf::N,вуй,glava
20,Rücken::N,туп,leđa
21,Rücken::N,туп,hrbat
22,Bauch::N,мӹшкӹр,trbuh
23,Nabel::N,кӹлӹмдӹ,pupak
24,Busen::N,цӹзӹ,sisa
25,Busen::N,цӹзӹ,njedra
26,Brust::N,мел,prsa
27,Schulter::N,ӹнгӹжӓ,rame
28,Schulter::N,ӹнгӹжӓ,pleći
29,Arm::N,кид,ruka
30,Ellenbogen::N,кӹнервуй,lakat
31,Hand::N,лапа,ruka
32,Handfläche::N,кид лапа,dlan
33,Finger::N,парня,prst
34,Fingernagel::N,кӹч,nokat
35,Nagel[Anatomie]::N,кӹч,nokat
36,Zeh::N,парня,nozni prst
37,Fuß::N,ял лапа,noga
38,Fuß::N,ял лапа,stopalo
39,Ferse::N,ялгавал,peta
40,Ferse::N,ял кавал,peta
41,Knie::N,пылвуй,koljeno
42,Oberschenkel::N,ӓрдӹ,bedro
43,Bein::N,ял,noga
44,Körper::N,монгыр,tijelo
45,Haut::N,кавашты,put
46,Haut::N,кавашты,koža
47,Blut::N,вӹр,krv
48,Ader::N,вӹршӓр,žila
49,Sehne::N,кукшышӱн,tetiva
50,Knochen::N,лу,kost
51,Gehirn::N,вим,
52,Herz::N,шӱм,srce
53,Magen::N,шӱм,stomak
54,Magen::N,шӱм,želudac
55,Leber::N,мокш,jetra
56,Atem::N,шӱлӹш,dah
57,Hunger::N,шужымаш,glad
58,Träne::N,сӹнзӓвӹд,suza
59,Geschmack::N,тот,ukus
60,Geruch::N,пыш,njuh
61,Geruch::N,пыш,miris
62,Schlaf::N,ом,san
63,Traum::N,ом,san
64,Himmel::N,пӹлгом,nebo
65,Sonne::N,кечӹ,sunce
66,Mond::N,тӹлзӹ,mjesec
67,Stern::N,шӹдӹр,zvijezda
68,Luft::N,юж,zrak
69,Luft::N,воздух,zrak
70,Wind::N,мардеж,vjetar
71,Welle::N,ко,val
72,Welle::N,ко,talas
73,Welle::N,коэ,val
74,Welle::N,коэ,talas
75,Wasser::N,вӹд,voda
76,Stein::N,кӱ,kamen
77,Boden::N,рок,tlo
78,Boden::N,рок,zemlja
