,Concept_ID,kv,ba
0,Auge::N,син,күҙ
1,Ohr::N,пель,ҡолаҡ
2,Nase::N,ныр,танау
3,Mund::N,ӧм,ауыҙ
4,Zahn::N,пинь,теш
5,Zunge::N,кыв,тел
6,Lippe::N,тырп,ирен
7,Wange::N,рожабан,яцаҡтар
8,Gesicht::N,бан,бит
9,Stirn::N,кымӧс,маңлай
10,Haar::N,юрси,сәс
11,Schnurrbart::N,уссэз,мылтыҡ
12,Bart::N,тош,һаҡал
13,Kinn::N,тшӧка,эйэк
14,Kiefer[Anatomie]::N,ан,яңаҡ һөйәге
15,Kehle::N,юан,тамаҡ
16,Hals::N,юан,муйын
17,Genick::N,юр бӧр,соңҡа
18,Kopf::N,юр,баш
19,Rücken::N,мышк,арҡа
20,Bauch::N,кынӧм,ҡорһаҡ
21,Nabel::N,гӧг,кендек
22,Busen::N,морос,күкрәк
23,Brust::N,морос,түш
24,Schulter::N,пельпон,яурын
25,Arm::N,ки,ҡул
26,Ellenbogen::N,гырдзза,терһәк
27,Hand::N,кикар,ҡул
28,Hand::N,кикар,ҡул суғы
29,Handfläche::N,ки пыдӧс,ус төбө
30,Finger::N,чунь,бармаҡ
31,Fingernagel::N,гыж,тырнаҡ
32,Nagel[Anatomie]::N,гыж,тырнаҡ
33,Zeh::N,чунь,бармаҡ
34,Fuß::N,кокпыдӧс,табан
35,Ferse::N,кокдзир,үксә
36,Knie::N,пидзӧс,тубыҡ
37,Oberschenkel::N,лядьбей,сандыр
38,Bein::N,кок,аяҡ
39,Körper::N,вывтыр,тән
40,Haut::N,кучик,тире
41,Blut::N,вир,ҡан
42,Ader::N,сӧн,тамыр
43,Sehne::N,жила,һеңер
44,Sehne::N,жила,тарамыш
45,Knochen::N,коска,һойәк
46,Gehirn::N,вем,мейе
47,Herz::N,сьӧлӧм,йорәк
48,Magen::N,жӧвдӧк,ашҡаҙан
49,Leber::N,мус,бауыр
50,Atem::N,лолалӧм,һулыш
51,Hunger::N,тшыг,аслыҡ
52,Träne::N,синва,күҙ иәше
53,Geschmack::N,кӧр,тәм
54,Geruch::N,дук,еҫ
55,Schlaf::N,он,йоҡлау
56,Traum::N,вӧт,төш
57,Himmel::N,небо,күк
58,Sonne::N,шондi,ҡояш
59,Mond::N,тӧлiсь,ай
60,Stern::N,кӧдзыв,йондоҙ
61,Luft::N,ру,һауа
62,Wind::N,тӧв,ел
63,Welle::N,гы,тулҡын
64,Wasser::N,ва,һыу
65,Stein::N,из,таш
66,Boden::N,му,тупраҡ
67,Erde::N,му,балсҡ
68,Staub::N,бус,туҙан
69,Rauch::N,тшын,төтөн
70,Funke::N,бичир,осҡон
71,Feuer::N,би,ут
72,Licht::N,би,яҡтылыҡ
73,Schatten::N,вуджӧр,күләгә
74,Wetter::N,погоддя,һауа торошо
75,Nebel::N,туман,төман
76,Wolke::N,кымӧр,болот
77,Regen::N,зэр,ямғыр
78,Schnee::N,лым,ҡар
79,Eis::N,йы,боҙ
80,Frost::N,мороз,һалҡын
81,Kälte::N,кӧдзыт,һыуыҡ
82,Hitze::N,ӧд,томра
83,Hitze::N,ӧд,эҫелек
84,Raureif::N,кижа,ҡырау
85,Regenbogen::N,енӧшка,йәйғор
86,Donner::N,гым,күк күкрәү
87,Strömung::N,визывтӧм,ағым
88,Tropfen::N,тёп,тамсы
