,Concept_ID,ga,bg
0,Auge::N,súil,око
1,Ohr::N,cluas,ухо
2,Nase::N,soc,нос
3,Mund::N,béal,уста
4,Zahn::N,fiacail,зъб
5,Zunge::N,teanga,език
6,Lippe::N,liopa,устна
7,Wange::N,grua,буза
8,Wange::N,leiceann,буза
9,Gesicht::N,éadan,лице
10,Gesicht::N,éadan,образ
11,Gesicht::N,aghaidh,лице
12,Gesicht::N,aghaidh,образ
13,Stirn::N,baithis,чело
14,Stirn::N,clár éadain,чело
15,Haar::N,gruaig,коса
16,Haar::N,gruaig,косъм
17,Schnurrbart::N,croiméal,мустаци
18,Bart::N,féasóg,брада
19,Kinn::N,smig,брада
20,Kinn::N,smig,брадичка
21,Kiefer[Anatomie]::N,giall,челюст
22,Kehle::N,scornach,гърло
23,Hals::N,muinéal,врат
24,Genick::N,baic,тил
25,Kopf::N,ceann,глава
26,Rücken::N,droim,гръб
27,Bauch::N,bolg,корем
28,Nabel::N,imleacán,пъп
29,Busen::N,cíoch,бозка
30,Brust::N,brollach,гръд
31,Schulter::N,gualainn,рамо
32,Schulter::N,gualainn,плещи
33,Arm::N,lámh,ръка
34,Ellenbogen::N,uillinn,лакът
35,Hand::N,lámh,ръка
36,Hand::N,lámh,китка
37,Handfläche::N,bos,длан
38,Finger::N,méar,пръст
39,Fingernagel::N,ionga,нокът
40,Nagel[Anatomie]::N,ionga,нокът
41,Zeh::N,ladhar,пръст на крак
42,Fuß::N,cos,крак
43,Fuß::N,cos,нога
44,Fuß::N,troigh,крак
45,Fuß::N,troigh,нога
46,Ferse::N,sáil,пета
47,Knie::N,glúin,коляно
48,Oberschenkel::N,ceathrú,бедро
49,Bein::N,cos,крак
50,Bein::N,cos,нога
51,Körper::N,corp,тяло
52,Körper::N,colainn,тяло
53,Haut::N,cneas,кожа
54,Haut::N,craiceann,кожа
55,Blut::N,fuil,кръв
56,Sehne::N,teannán,жила
57,Sehne::N,teannán,сухожилие
58,Sehne::N,féitheog,жила
59,Sehne::N,féitheog,сухожилие
60,Knochen::N,cnámh,кост
61,Gehirn::N,inchinn,мозък
62,Herz::N,croí,сърце
63,Magen::N,bolg,стомах
64,Magen::N,goile,стомах
65,Leber::N,ae,черен дроб
66,Atem::N,anáil,дишане
67,Hunger::N,ocras,глад
68,Träne::N,deoir,сълза
69,Geschmack::N,blas,вкус
70,Geruch::N,boladh,миризма
71,Schlaf::N,suan,сън
72,Schlaf::N,codladh,сън
73,Traum::N,taibhreamh,сън
74,Himmel::N,spéir,небе
75,Sonne::N,grian,слънце
76,Mond::N,ré,луна
77,Mond::N,ré,месец
78,Mond::N,gealach,луна
79,Mond::N,gealach,месец
80,Stern::N,rinn,звезда
81,Stern::N,réalta,звезда
82,Luft::N,aer,въздух
83,Wind::N,gaoth,вятър
84,Welle::N,tonn,вълна
85,Wasser::N,uisce,вода
86,Stein::N,cloch,камък
87,Boden::N,talamh,земя
88,Boden::N,talamh,почва
89,Erde::N,cré,земя
90,Erde::N,cré,почва
91,Erde::N,ithir,земя
92,Erde::N,ithir,почва
93,Staub::N,dusta,прах
94,Staub::N,deannach,прах
95,Rauch::N,toit,дим
96,Rauch::N,toit,пушек
97,Rauch::N,deatach,дим
98,Rauch::N,deatach,пушек
99,Funke::N,drithle,искра
100,Feuer::N,tine,огън
101,Licht::N,solas,светлина
102,Schatten::N,scáth,сянка
103,Wetter::N,aimsir,време
104,Nebel::N,ceo,мъгла
105,Wolke::N,néal,облак
106,Wolke::N,scamall,облак
107,Regen::N,báisteach,дъжд
108,Regen::N,fearthainn,дъжд
109,Schnee::N,sneachta,сняг
110,Eis::N,oighear,лед
111,Frost::N,sioc,мраз
112,Kälte::N,fuacht,студ
113,Hitze::N,teas,жега
114,Hitze::N,teas,горещина
115,Hitze::N,teocht,жега
116,Hitze::N,teocht,горещина
117,Raureif::N,sioc bán,скреж
118,Raureif::N,sioc bán,слана
119,Regenbogen::N,stua ceatha,дъга
120,Regenbogen::N,bogha báistí,дъга
121,Donner::N,toirneach,гръм
122,Strömung::N,sruth,течение
123,Tropfen::N,deoir,капка
124,Schaum::N,cúr,пяна
125,Schmutz::N,salachar,кал
126,Schmutz::N,salachar,мръсотия
127,See::N,loch,езеро
128,Sumpf::N,portach,блато
129,Moor::N,caorán,мочурище
130,Moor::N,móinteán,мочурище
131,Wiese::N,cluain,ливада
132,Wiese::N,móinéar,ливада
133,Wald::N,coill,гора
134,Wald::N,foraois,гора
135,Hügel::N,ard,рид
136,Hügel::N,ard,хълм
137,Anhöhe::N,ard,могила
138,Anhöhe::N,ard,възвишение
139,Anhöhe::N,ardán,могила
140,Anhöhe::N,ardán,възвишение
141,Berg::N,sliabh,планина
142,Gipfel::N,barr,връх
143,Gipfel::N,mullach,връх
144,Höhle::N,uaimh,пещера
145,Höhle::N,pluais,пещера
146,Abhang::N,fána,склон
147,Abhang::N,fána,стръмнина
148,Quelle::N,foinse,извор
149,Bach::N,sruthán,поток
150,Fluss::N,abhainn,река
151,Ufer::N,bruach,бряг
152,Küste::N,cósta,бряг
153,Küste::N,cósta,крайбрежие
154,Küste::N,cladach,бряг
155,Küste::N,cladach,крайбрежие
156,Festland::N,míntír,суша
157,Meer::N,muir,море
158,Meer::N,farraige,море
159,Bucht::N,bá,залив
160,Bucht::N,cuan,залив
161,Insel::N,inis,остров
162,Insel::N,oileán,остров
163,Blume::N,bláth,цвете
164,Gras::N,féar,трева
165,Wurzel::N,rúta,корен
166,Wurzel::N,fréamh,корен
167,Baum::N,crann,дърво
168,Stamm::N,stoc,стъбло
169,Stamm::N,tamhan,стъбло
170,Rinde::N,coirt,кора
171,Rinde::N,craiceann,кора
172,Ast::N,géag,клон
173,Zweig::N,géag,клон
174,Zweig::N,craobh,клон
175,Blatt::N,duille,лист
176,Blatt::N,duilleog,лист
177,Birke::N,beith,бреза
178,Birke::N,crann beithe,бреза
179,Kiefer[Baum]::N,péine,бор
180,Weide[Baum]::N,saileach,върба
181,Tanne::N,giúis,ела
182,Horn::N,adharc,рог
183,Feder::N,cleite,перо
184,Fell::N,clúmh,кожа
185,Flügel::N,eite,крило
186,Flügel::N,sciathán,крило
187,Klaue::N,crúb,нокът
188,Klaue::N,crobh,нокът
189,Kralle::N,crobh,нокът
190,Schwanz::N,eireaball,опашка
191,Ei::N,ubh,яйце
192,Nest::N,nead,гнездо
193,Bau::N,brocais,дупка
194,Tier::N,ainmhí,животно
195,Tier::N,beithíoch,животно
196,Herde::N,tréad,стадо
197,Kuh::N,bó,крава
198,Bulle::N,tarbh,бик
199,Pferd::N,each,кон
200,Pferd::N,capall,кон
201,Schaf::N,caora,овца
202,Schwein::N,muc,свиня
203,Hund::N,madra,куче
204,Katze::N,cat,котка
205,Bär::N,béar,мечка
206,Eichhörnchen::N,iora,катерица
207,Elch::N,eilc,лос
208,Fuchs::N,sionnach,лисица
209,Fuchs::N,madra rua,лисица
210,Hase::N,giorria,заек
211,Maus::N,luch,мишка
212,Wolf::N,mac tíre,вълк
213,Vogel::N,éan,птица
214,Schwarm::N,saithe,рой
215,Schwarm::N,saithe,рояк
216,Huhn::N,cearc,кокошка
217,Hahn::N,coileach,петел
218,Gans::N,gé,гъска
219,Adler::N,iolar,орел
220,Ente::N,lacha,патица
221,Eule::N,ulchabhán,сова
222,Kranich::N,grús,жерав
223,Krähe::N,caróg,врана
224,Krähe::N,préachán,врана
225,Kuckuck::N,cuach,кукувица
226,Schwan::N,eala,лебед
227,Fisch::N,iasc,риба
228,Barsch::N,péirse,костур
229,Hecht::N,liús,щука
230,Schlange[Tier]::N,nathair,змия
231,Wurm::N,péist,червей
232,Spinne::N,damhán alla,паяк
233,Ameise::N,seangán,мравка
234,Laus::N,míol,въшка
235,Mücke::N,muiscít,комар
236,Mücke::N,corrmhíol,комар
237,Fliege::N,cuil,муха
238,Fliege::N,cuileog,муха
239,Schmetterling::N,féileacán,пеперуда
240,Beere::N,caor,плод
241,Apfel::N,úll,ябълка
242,Pilz::N,beacán,гъба
243,Pilz::N,muisiriún,гъба
244,Zwiebel::N,oinniún,лук
245,Zwiebel::N,oinniún,кромид
246,Saat::N,síol,семе
247,Korn::N,gráinne,зърно
248,Heu::N,féar,сено
249,Schale::N,scaimh,кора
250,Grube::N,poll,яма
251,Grube::N,poll,дупка
252,Falle::N,gaiste,примка
253,Schlinge::N,sealán,клуп
254,Spur::N,rian,диря
255,Spur::N,rian,следа
256,Asche::N,luaith,пепел
257,Dreck::N,salachar,кал
258,Eisen::N,iarann,желязо
259,Gold::N,ór,злато
260,Silber::N,airgead,сребро
261,Kohle::N,gual,въглища
262,Glas::N,gloine,стъкло
263,Lehm::N,cré,глина
264,Sand::N,gaineamh,пясък
265,Mensch::N,duine,човек
266,Mann::N,fear,мъж
267,Frau::N,bean,жена
268,Kind::N,gasúr,дете
269,Kind::N,páiste,дете
270,Junge::N,buachaill,момче
271,Mädchen::N,cailín,момиче
272,Familie::N,teaghlach,фамилия
273,Familie::N,teaghlach,семейство
274,Familie::N,comhluadar,фамилия
275,Familie::N,comhluadar,семейство
276,Großvater::N,seanathair,дядо
277,Großmutter::N,seanmháthair,баба
278,Eltern::N,tuismitheoirí,родители
279,Vater::N,athair,баща
280,Mutter::N,máthair,майка
281,Sohn::N,mac,син
282,Tochter::N,iníon,дъщеря
283,Bruder::N,deartháir,брат
284,Schwester::N,deirfiúr,сестра
285,Onkel::N,uncail,чичо
286,Onkel::N,uncail,вуйчо
287,Tante::N,aintín,леля
288,Ehemann::N,fear céile,съпруг
289,Ehefrau::N,bean chéile,съпруга
290,Freude::N,áthas,радост
291,Gelächter::N,gáire,смях
292,Glück::N,séan,щастие
293,Glück::N,sonas,щастие
294,Kummer::N,brón,тъга
295,Kummer::N,buairt,тъга
296,Wunsch::N,guí,желание
297,Wunsch::N,achainí,желание
298,Lust::N,fonn,желание
299,Geist::N,meon,дух
300,Geist::N,spiorad,дух
301,Gedanke::N,smaoineamh,мисъл
302,Gedächtnis::N,cuimhne,памет
303,Verstand::N,ciall,ум
304,Verstand::N,ciall,разум
305,Verstand::N,intinn,ум
306,Verstand::N,intinn,разум
307,Sinn::N,brí,смисъл
308,Sinn::N,ciall,смисъл
309,Grund::N,fáth,причина
310,Wahrheit::N,fírinne,правда
311,Gespräch::N,comhrá,разговор
312,Märchen::N,scéal,приказка
313,Erzählung::N,scéal,разказ
314,Nachricht::N,teachtaireacht,вест
315,Nachricht::N,teachtaireacht,известие
316,Neuigkeit::N,scéala,новина
317,Name::N,ainm,име
318,Rätsel::N,tomhas,гатанка
319,Rede::N,óráid,реч
320,Rede::N,óráid,слово
321,Rede::N,aitheasc,реч
322,Rede::N,aitheasc,слово
323,Sprache::N,teanga,език
324,Stimme::N,guth,глас
325,Wort::N,focal,дума
326,Zeichen::N,comhartha,знак
327,Ruf::N,glaoch,зов
328,Lärm::N,torann,шум
329,Lärm::N,torann,глъчка
330,Laut::N,fuaim,звук
331,Ton::N,ton,тон
332,Lied::N,amhrán,песен
333,Ruhe::N,suaimhneas,тишина
334,Ruhe::N,suaimhneas,спокойствие
335,Leute::N,muintir,хора
336,Volk::N,pobal,народ
337,Arbeit::N,obair,труд
338,Arbeit::N,obair,работа
339,Gast::N,aoi,гост
340,Geschenk::N,féirín,дар
341,Geschenk::N,féirín,подарък
342,Geschenk::N,bronntanas,дар
343,Geschenk::N,bronntanas,подарък
344,Spiel::N,cluiche,игра
345,Gesellschaft::N,comhluadar,общество
346,Hilfe::N,cúnamh,помощ
347,Hilfe::N,cabhair,помощ
348,Freund::N,cara,приятел
349,Kamerad::N,comrádaí,другар
350,Angelegenheit::N,ábhar,работа
351,Anzahl::N,líon,брой
