,Concept_ID,la,ja
0,Auge::N,oculus,目
1,Ohr::N,auris,耳
2,Nase::N,nasus,鼻
3,Mund::N,os,口
4,Zahn::N,dens,歯
5,Zunge::N,lingua,舌
6,Lippe::N,labrum,唇
7,Wange::N,gena,頬
8,Gesicht::N,vultus,顔
9,Stirn::N,frons,額
10,Haar::N,capillus,髪
11,Schnurrbart::N,barba labri superioris,口髭
12,Bart::N,barba,髭
13,Kinn::N,mentum,顎
14,Kiefer[Anatomie]::N,mala,顎
15,Kehle::N,iugulums,喉
16,Hals::N,collum,首
17,Genick::N,cervices,首
18,Kopf::N,caput,頭
19,Rücken::N,tergum,背中
20,Bauch::N,venter,腹
21,Bauch::N,venter,お腹
22,Nabel::N,umbilicus,へそ
23,Busen::N,sinus,乳房
24,Brust::N,pectus,胸
25,Schulter::N,umerus,肩
26,Arm::N,bracchium,腕
27,Ellenbogen::N,cubitum,肘
28,Hand::N,manus,手
29,Handfläche::N,palma,手のひら
30,Finger::N,digitus,指
31,Fingernagel::N,unguiculus,爪
32,Nagel[Anatomie]::N,unguis,爪
33,Zeh::N,digitus,足の指
34,Fuß::N,pes,足
35,Ferse::N,calx,かかと
36,Knie::N,genu,膝
37,Oberschenkel::N,femur,上腿
38,Bein::N,crus,足
39,Körper::N,corpus,体
40,Haut::N,cutis,皮膚
41,Haut::N,pellis,皮膚
42,Blut::N,sanguis,血
43,Ader::N,vena,血管
44,Sehne::N,nervus,腱
45,Knochen::N,os,骨
46,Gehirn::N,cerebrum,脳
47,Herz::N,cor,心
48,Herz::N,cor,心臓
49,Herz::N,animus,心
50,Herz::N,animus,心臓
51,Magen::N,stomachus,胃
52,Leber::N,iecur,肝臓
53,Atem::N,spiritus,息
54,Atem::N,spiritus,呼吸
55,Hunger::N,fames,空腹
56,Träne::N,lacrima,涙
57,Geschmack::N,sapor,味
58,Geschmack::N,gustus,味
59,Geruch::N,odor,匂い
60,Schlaf::N,somnus,睡眠
61,Traum::N,somnium,夢
62,Himmel::N,caelum,空
63,Sonne::N,sol,太陽
64,Mond::N,luna,月
65,Stern::N,sidus,星
66,Stern::N,stella,星
67,Luft::N,aer,空気
68,Wind::N,ventus,風
69,Welle::N,unda,波
70,Wasser::N,aqua,水
71,Stein::N,lapis,石
72,Boden::N,solum,土地
73,Erde::N,terra,土
74,Staub::N,pulvis,埃
75,Rauch::N,fumus,煙
76,Funke::N,scintilla,火花
77,Feuer::N,ignis,火
78,Licht::N,lux,光
79,Licht::N,lumen,光
80,Schatten::N,umbra,陰
81,Wetter::N,caelum,天気
82,Wetter::N,tempestas,天気
83,Nebel::N,nebula,霧
84,Wolke::N,nubes,雲
85,Regen::N,imber,雨
86,Regen::N,pluvia,雨
87,Schnee::N,nix,雪
88,Eis::N,glacies,氷
89,Frost::N,gelu,霜
90,Kälte::N,frigus,寒さ
91,Hitze::N,calor,暑さ
92,Hitze::N,aestus,暑さ
93,Raureif::N,pruina,霧氷
94,Regenbogen::N,arcus,虹
95,Donner::N,tonitrus,雷
96,Strömung::N,fluctus,流れ
97,Tropfen::N,gutta,滴
98,Schaum::N,spuma,泡
99,Schmutz::N,sordes,汚れ
100,Schmutz::N,squalor,汚れ
101,See::N,lacus,湖
102,Sumpf::N,palus,沼
103,Moor::N,palus,湿原
104,Wiese::N,pratum,草原
105,Wald::N,silva,森
106,Hügel::N,collis,丘
107,Anhöhe::N,specula,高み
108,Berg::N,mons,山
109,Gipfel::N,vertex,頂上
