,Concept_ID,sl,el
0,Auge::N,okó,μάτι
1,Auge::N,okó,οφθαλμός
2,Ohr::N,uhó,αυτί
3,Nase::N,nós,μύτη
4,Mund::N,ústa,στόμα
5,Zahn::N,zób,δόντι
6,Zunge::N,jêzik,γλώσσα
7,Lippe::N,ústnica,χείλος
8,Wange::N,líce,παρειά
9,Wange::N,líce,μάγουλο
10,Gesicht::N,oblíčje,πρόσωπο
11,Stirn::N,čêlo,μέτωπο
12,Haar::N,lás,μαλλιά
13,Schnurrbart::N,bŕki,μουστάκι
14,Bart::N,bráda,γένια
15,Kinn::N,bráda,πιγούνι
16,Kiefer[Anatomie]::N,čeljúst,σαγόνι
17,Kehle::N,gŕlo,λαρύγγι
18,Hals::N,vrát,λαιμός
19,Genick::N,zatílnik,σβέρκος
20,Kopf::N,gláva,κεφάλι
21,Rücken::N,hrbèt,ράχη
22,Bauch::N,trébuh,κοιλιά
23,Nabel::N,pópek,αφαλός
24,Busen::N,nédrja,στήθος
25,Brust::N,pŕsi,στήθος
26,Schulter::N,ráma,ώμος
27,Schulter::N,plêče,ώμος
28,Arm::N,rôka,χέρι
29,Arm::N,rôka,μπράτςο
30,Ellenbogen::N,komólec,αγκώνας
31,Hand::N,rôka,χέρι
32,Handfläche::N,dlán,παλάμη
33,Finger::N,pŕst,δάχτυλο
34,Fingernagel::N,nóht na rôki,νύχι
35,Nagel[Anatomie]::N,nóht,νύχι
36,Zeh::N,pŕst na nôgi,δάχτυλο του ποδιού
37,Fuß::N,nôga,πόδι
38,Ferse::N,pêta,φτέρνα
39,Knie::N,koléno,γόνατο
40,Oberschenkel::N,stêgno,μηρός
41,Bein::N,nôga,πόδι
42,Körper::N,teló,σώμα
43,Körper::N,teló,κορμί
44,Haut::N,kóža,πετσί
45,Blut::N,krí,αίμα
46,Ader::N,žíla,φλέβα
47,Sehne::N,kíta,νεύρο
48,Sehne::N,kíta,τένοντας
49,Knochen::N,kóst,οστό
50,Knochen::N,kóst,κόκκαλο
51,Gehirn::N,možgáni,μυαλό
52,Gehirn::N,možgáni,εγκέφαλος
53,Herz::N,srcé,καρδιά
54,Magen::N,želódec,στομάχι
55,Leber::N,jétra,ήπαρ
56,Leber::N,jétra,συκωτί
57,Atem::N,díh,αναπνοή
58,Hunger::N,glád,πείνα
59,Träne::N,sólza,δάκρυ
60,Geschmack::N,okús,γεύση
61,Geruch::N,vónj,οσμή
62,Geruch::N,vónj,μυρωδία
63,Schlaf::N,sèn,ύπνος
64,Schlaf::N,spánec,ύπνος
65,Traum::N,sánje,όνειρο
66,Himmel::N,nebó,ουρανός
67,Sonne::N,sónce,ήλιος
68,Mond::N,lúna,σελήνη
69,Mond::N,lúna,φεγγάρι
70,Mond::N,mésec,σελήνη
71,Mond::N,mésec,φεγγάρι
72,Stern::N,zvézda,άστρο
73,Stern::N,zvézda,αστέρι
74,Luft::N,zràk,αέρας
75,Wind::N,véter,αέρας
76,Wind::N,véter,άνεμος
77,Welle::N,vál,κύμα
78,Wasser::N,vôda,νερό
79,Stein::N,kámen,πέτρα
80,Boden::N,tlà,χώμα
81,Erde::N,pŕst,γη
82,Erde::N,zêmlja,γη
83,Staub::N,práh,σκόνη
84,Rauch::N,dìm,καπνός
85,Funke::N,ískra,σπίθα
86,Funke::N,ískra,σπινθήρας
87,Feuer::N,ôgenj,φωτιά
88,Licht::N,lúč,φως
89,Schatten::N,sénca,σκιά
90,Schatten::N,sénca,ίσκιος
91,Wetter::N,vrême,καιρός
92,Nebel::N,meglà,ομίχλη
93,Wolke::N,oblák,σύννεφο
94,Regen::N,dèž,βροχή
95,Schnee::N,snég,χιόνι
96,Eis::N,léd,πάγος
97,Frost::N,zmrzál,παγωνία
98,Kälte::N,mràz,κρύο
99,Kälte::N,mràz,ψύχος
100,Hitze::N,pripéka,ζέστη
101,Raureif::N,ívje,πάχνη
102,Raureif::N,slána,πάχνη
103,Regenbogen::N,mávrica,ουράνιο τόξο
104,Donner::N,gròm,βροντή
105,Strömung::N,strúja,ρεύμα
106,Tropfen::N,káplja,στάλα
107,Schaum::N,péna,αφρός
108,Schmutz::N,nesnága,βρωμιά
109,See::N,jézero,λίμνη
110,Sumpf::N,močvírje,βάλτος
111,Moor::N,bárje,έλος
112,Wiese::N,trávnik,λιβάδι
113,Wald::N,lés,δάσος
114,Wald::N,gòzd,δάσος
115,Hügel::N,brég,λόφος
116,Hügel::N,goríca,λόφος
117,Anhöhe::N,gríč,ύψωμα
118,Anhöhe::N,višína,ύψωμα
119,Berg::N,gôra,όρος
120,Berg::N,gôra,βουνό
121,Berg::N,planína,όρος
122,Berg::N,planína,βουνό
123,Gipfel::N,vŕh,κορυφή
124,Höhle::N,jáma,σπηλιά
125,Höhle::N,votlína,σπηλιά
126,Abhang::N,pobóčje,πλαγιά
127,Quelle::N,izvír,πηγή
128,Quelle::N,izvír,βρύση
129,Bach::N,pôtok,ρυάκι
130,Fluss::N,réka,ποτάμι
131,Fluss::N,réka,ποταμός
132,Ufer::N,brég,όχθη
133,Küste::N,obála,ακτή
134,Küste::N,obála,ακρογιαλιά
135,Küste::N,obréžje,ακτή
136,Küste::N,obréžje,ακρογιαλιά
137,Festland::N,celína,στεριά
138,Festland::N,kopnína,στεριά
139,Meer::N,mórje,θάλασσα
140,Bucht::N,zalív,κόλπος
141,Insel::N,ôtok,νησί
142,Insel::N,ôtok,νήσος
143,Blume::N,cvetlíca,άνθος
144,Blume::N,cvetlíca,λουλούδι
145,Gras::N,tráva,χόρτο
146,Gras::N,tráva,χορτάρι
147,Wurzel::N,korenína,ρίζα
148,Baum::N,drevó,δέντρο
149,Stamm::N,dêblo,κορμός
150,Rinde::N,lúbje,φλούδα
151,Rinde::N,skórja,φλούδα
152,Ast::N,véja,κλαδί
153,Zweig::N,véja,κλαδί
154,Zweig::N,véja,κλάδος
155,Blatt::N,líst,φύλλο
156,Birke::N,bréza,σημύδα
157,Kiefer[Baum]::N,bòr,πεύκο
158,Weide[Baum]::N,vŕba,ιτιά
159,Tanne::N,hója,έλατο
160,Horn::N,róg,κέρας
161,Horn::N,róg,κέρατο
162,Feder::N,peró,φτερό
163,Fell::N,kŕzno,δέρμα
164,Fell::N,kŕzno,τομάρι
165,Flügel::N,krílo,πτερύγιο
166,Klaue::N,párkelj,κουλό
167,Kralle::N,krémpelj,νύχι
168,Schwanz::N,rèp,ουρά
169,Ei::N,jájce,αβγό
170,Nest::N,gnézdo,φωλιά
171,Bau::N,brlòg,φωλιά
172,Tier::N,živál,ζώο
173,Herde::N,čréda,κοπάδι
174,Kuh::N,kráva,αγελάδα
175,Bulle::N,bìk,ταύρος
176,Pferd::N,kònj,άλογο
177,Schaf::N,ôvca,πρόβατο
178,Schwein::N,svínja,γουρούνι
179,Hund::N,pès,σκυλί
180,Hund::N,pès,σκύλος
181,Katze::N,máčka,γάτα
182,Bär::N,mêdved,άρκτος
183,Bär::N,mêdved,αρκούδα
184,Eichhörnchen::N,véverica,βερβερίτσα
185,Elch::N,lós,άλκη
186,Fuchs::N,lisíca,αλεπού
187,Hase::N,zájec,λαγός
188,Maus::N,mìš,ποντικός
189,Wolf::N,vólk,λύκος
190,Vogel::N,ptìč,πουλί
191,Vogel::N,ptíca,πουλί
192,Schwarm::N,játa,σμήνος
193,Huhn::N,kokóš,κότα
194,Huhn::N,kokóš,όρνιθα
195,Hahn::N,petêlin,πετεινός
196,Gans::N,gós,χήνα
197,Adler::N,ôrel,αετός
