,Concept_ID,kk,no
0,Auge::N,көз,øye
1,Ohr::N,құлақ,øre
2,Nase::N,мұрын,nese
3,Mund::N,ауыз,munn
4,Zahn::N,тіс,tann
5,Zunge::N,тіл,tunge
6,Lippe::N,ерін,leppe
7,Wange::N,ұрт,kinn
8,Gesicht::N,бет-аузы,fjes
9,Gesicht::N,бет-аузы,ansikt
10,Stirn::N,маңдай,panne
11,Haar::N,қыл,hår
12,Schnurrbart::N,мұрт,bart
13,Bart::N,сақал,skjegg
14,Kinn::N,иек,hake
15,Kiefer[Anatomie]::N,жақ,kjeve
16,Kehle::N,алқым,strupe
17,Hals::N,мойын,hals
18,Genick::N,желке,nakke
19,Kopf::N,кәллә,hode
20,Rücken::N,арқа,rygg
21,Bauch::N,қарын,buk
22,Bauch::N,қарын,mage
23,Nabel::N,кіндік,navle
24,Busen::N,омырау,barm
25,Brust::N,кеуде,bryst
26,Schulter::N,иық,skulder
27,Arm::N,қол,arm
28,Ellenbogen::N,шынтақ,albue
29,Hand::N,қол,hånd
30,Handfläche::N,алақан,håndflate
31,Finger::N,саусақ,finger
32,Fingernagel::N,тырнақ,fingernegl
33,Nagel[Anatomie]::N,тырнақ,negl
34,Zeh::N,тырнақ,tå
35,Zeh::N,тұяқ,tå
36,Fuß::N,аяқ-басы,fot
37,Ferse::N,өкше,hæl
38,Ferse::N,өкшелік,hæl
39,Knie::N,тізе,kne
40,Oberschenkel::N,жамбас,lår
41,Bein::N,аяқ,bein
42,Körper::N,дене,kropp
43,Körper::N,дене,legeme
44,Haut::N,тері,hud
45,Haut::N,тері,skinn
46,Blut::N,қан,blod
47,Ader::N,көктамыр,åre
48,Ader::N,күретамыр,åre
49,Sehne::N,сіңір,sene
50,Knochen::N,жілік,bein
51,Knochen::N,жілік,knokkel
52,Gehirn::N,ми,hjerne
53,Herz::N,жүрек,hjerte
54,Magen::N,асқазан,mage
55,Leber::N,бауыр,lever
56,Atem::N,леп,pust
57,Hunger::N,ашаршылық,sult
58,Träne::N,жас,tåre
59,Geschmack::N,дәм,smak
60,Geschmack::N,татым,smak
61,Geschmack::N,талғам,smak
62,Geruch::N,иіс,lukt
63,Schlaf::N,ұйқы,søvn
64,Schlaf::N,ұйықтау,søvn
65,Traum::N,түс,drøm
66,Himmel::N,аспан,himmel
67,Himmel::N,көқ,himmel
68,Himmel::N,таңдай,himmel
69,Sonne::N,күн,sol
70,Mond::N,ай,måne
71,Stern::N,жұлдыз,stjerne
72,Luft::N,әуе,luft
73,Wind::N,жел,vind
74,Welle::N,толқын,bølge
75,Wasser::N,су,vann
76,Stein::N,тас,stein
77,Boden::N,қыртыс,bakke
78,Erde::N,топырақ,jord
79,Staub::N,шаң,støv
80,Rauch::N,түтін,røyk
81,Funke::N,ұшқын,gnist
82,Feuer::N,алау,ild
83,Licht::N,шұғыла,lys
84,Schatten::N,көлеңке,skygge
85,Wetter::N,ауа райы,vær
86,Nebel::N,тұман,tåke
87,Wolke::N,бұлт,sky
88,Regen::N,жаңбыр,regn
89,Schnee::N,қар,snø
90,Eis::N,мұз,is
91,Frost::N,суық,frost
92,Kälte::N,ызғар,kulde
93,Kälte::N,суықтық,kulde
94,Hitze::N,аптап,hete
95,Raureif::N,қырау,rimfrost
96,Regenbogen::N,кемпірқосақ,regnbue
97,Donner::N,күн күркіреу,torden
98,Strömung::N,ағын,strømning
99,Tropfen::N,тамшы,dråpe
100,Schaum::N,көбік,skum
101,Schmutz::N,кір,søl
102,Schmutz::N,кір,skitt
103,See::N,көл,sjø
104,Sumpf::N,саз,sump
105,Sumpf::N,саз,myrlende
106,Moor::N,саз,myr
107,Moor::N,саз,myrhei
108,Wiese::N,шалғын,eng
109,Wald::N,орман,skog
110,Hügel::N,төбе,haug
111,Hügel::N,төбе,bakke
112,Hügel::N,белес,haug
113,Hügel::N,белес,bakke
114,Hügel::N,белес-белес,haug
115,Hügel::N,белес-белес,bakke
116,Anhöhe::N,дөң,haug
117,Anhöhe::N,дөң,bakke
118,Anhöhe::N,адыр,haug
119,Anhöhe::N,адыр,bakke
120,Anhöhe::N,қырат,haug
121,Anhöhe::N,қырат,bakke
122,Berg::N,тау,berg
123,Berg::N,тау,fjell
124,Gipfel::N,төбе,topp
125,Höhle::N,үңгір,hule
126,Abhang::N,бауыр,li
127,Abhang::N,бауыр,skråning
128,Quelle::N,қайнар,kilde
129,Bach::N,жылға,bekk
130,Fluss::N,өзен,elv
131,Ufer::N,жиек,bredd
132,Küste::N,жиегі,kyst
133,Küste::N,жағалау,kyst
134,Festland::N,құрылық,fastland
135,Meer::N,теңіз,hav
136,Bucht::N,шығанақ,bukt
137,Insel::N,арал,øy
138,Blume::N,гүл,blomst
139,Gras::N,от,gress
140,Wurzel::N,түбір,rot
141,Baum::N,ағаш,tre
142,Baum::N,дарақ,tre
143,Stamm::N,сояу,stamme
144,Stamm::N,оқпан,stamme
145,Rinde::N,қабық,bark
146,Ast::N,бұтақ,gren
147,Zweig::N,шыбық,kvist
148,Blatt::N,жапырақ,blad
149,Birke::N,қайың,bjørk
150,Kiefer[Baum]::N,қарағай,furu
151,Weide[Baum]::N,тал,selje
152,Weide[Baum]::N,тал,piletre
153,Tanne::N,шырша,gran
154,Horn::N,мүйіз,horn
