,Concept_ID,ka,zh
0,Auge::N,თვალი,眼睛
1,Ohr::N,ყური,耳朵
2,Nase::N,ცხვირი,鼻子
3,Mund::N,პირი,嘴
4,Zahn::N,კბილი,牙齿
5,Zunge::N,ენა,舌头
6,Lippe::N,ბაგე,嘴唇
7,Wange::N,ლოყა,面颊
8,Gesicht::N,სახე,脸
9,Stirn::N,შუბლი,额
10,Haar::N,თმა,头发
11,Schnurrbart::N,ულვაში,髭须
12,Bart::N,წვერი,胡子
13,Kinn::N,ნიკაპი,下巴
14,Kiefer[Anatomie]::N,ყბა,颌
15,Kehle::N,ყელი,嗓子
16,Hals::N,ყელი,颈
17,Hals::N,კისერი,颈
18,Genick::N,კეფა,后颈
19,Kopf::N,თავი,头
20,Rücken::N,ზურგი,背
21,Bauch::N,მუცელი,肚子
22,Nabel::N,ჭიპი,肚脐
23,Busen::N,ძუძუ,胸脯
24,Brust::N,მკერდი,胸
25,Schulter::N,მხარი,肩膀
26,Schulter::N,მკლავი,肩膀
27,Arm::N,ხელი,臂膀
28,Ellenbogen::N,იდაყვი,肘
29,Hand::N,ხელი,手
30,Handfläche::N,ნები,手掌
31,Handfläche::N,ხელისგული,手掌
32,Finger::N,თითი,手指
33,Fingernagel::N,ფრჩხილი,指甲
34,Nagel[Anatomie]::N,ფრჩხილი,指甲
35,Zeh::N,ფეხის თითი,脚趾
36,Fuß::N,ტერფი,脚
37,Fuß::N,ფეხისგული,脚
38,Ferse::N,ქუსლი,后跟
39,Knie::N,მუხლი,膝
40,Oberschenkel::N,ბარძაყი,大腿
41,Bein::N,ფეხი,腿
42,Körper::N,ტანი,身体
43,Körper::N,სხეული,身体
44,Haut::N,კანი,皮肤
45,Blut::N,სისხლი,血
46,Ader::N,ძარღვი,血管
47,Sehne::N,მყესი,腱
48,Knochen::N,ძვალი,骨
49,Gehirn::N,ტვინი,脑
50,Herz::N,გული,心
51,Magen::N,კუჭი,胃
52,Leber::N,ღვიძლი,肝
53,Atem::N,სუნთქვა,呼吸
54,Hunger::N,შიმშილი,饿
55,Träne::N,ცრემლი,眼泪
56,Geschmack::N,გემო,味道
57,Geruch::N,სუნი,气味
58,Schlaf::N,ძილი,睡眠
59,Traum::N,სიზმარი,梦
60,Himmel::N,ცა,天空
61,Sonne::N,მზე,太阳
62,Mond::N,მთვარე,月亮
63,Stern::N,ვარსკვლავი,星
64,Luft::N,ჰაერი,空气
65,Wind::N,ქარი,风
66,Welle::N,ტალღა,波
67,Wasser::N,წყალი,水
68,Stein::N,ქვა,石头
69,Boden::N,მიწა,地面
70,Erde::N,ნიადაგი,地
71,Staub::N,მტვერი,灰尘
72,Rauch::N,ბოლი,烟
73,Rauch::N,კვამლი,烟
74,Funke::N,ნაკვესი,火花
75,Feuer::N,ცეცხლი,火
76,Licht::N,შუქი,光
77,Licht::N,სინათლე,光
78,Schatten::N,ლანდი,影子
79,Schatten::N,ჩრდილი,影子
80,Wetter::N,ამინდი,天气
81,Nebel::N,ნისლი,雾
82,Wolke::N,ღრუბელი,云
83,Regen::N,წვიმა,雨
84,Schnee::N,თოვლი,雪
85,Eis::N,თოში,冰
86,Eis::N,ყინული,冰
87,Frost::N,ყინვა,霜冻
88,Kälte::N,სიცივე,寒冷
89,Hitze::N,სიცხე,炎热
90,Raureif::N,ჭირხლი,霜
91,Raureif::N,თრთვილი,霜
92,Regenbogen::N,ცისარტყელა,虹
93,Donner::N,ქუხილი,雷
94,Strömung::N,დინება,水流
95,Tropfen::N,წვეთი,滴
96,Schaum::N,ქაფი,泡沫
97,Schaum::N,დორბლი,泡沫
98,Schmutz::N,ჭუჭყი,赃物
99,Schmutz::N,ტალახი,赃物
100,See::N,ტბა,湖
101,Sumpf::N,ჭაობი,沼泽
102,Moor::N,ტორფნარი,沼泽
103,Wiese::N,ველი,草地
104,Wiese::N,მდელო,草地
105,Wald::N,ტყე,森林
106,Hügel::N,ბორცვი,丘陵
107,Anhöhe::N,მაღლობი,山丘
108,Berg::N,მთა,山
109,Gipfel::N,მწვერვალი,峰
110,Höhle::N,მღვიმე,洞穴
111,Höhle::N,გამოქვებული,洞穴
112,Abhang::N,ფერდობი,斜坡
113,Quelle::N,წყარო,泉
114,Quelle::N,სათავე,泉
115,Bach::N,რუ,溪
116,Bach::N,ნაკადული,溪
117,Fluss::N,მდინარე,河流
118,Ufer::N,კიდე,岸
119,Ufer::N,ნაპირი,岸
120,Küste::N,ნაპირი,海岸
121,Festland::N,ხმელეთი,大陆
122,Meer::N,ზღვა,海
123,Bucht::N,ყურე,海湾
124,Insel::N,კუნძული,岛
125,Blume::N,ყვავილი,花
126,Gras::N,ბალახი,草
127,Wurzel::N,ძირი,根
128,Wurzel::N,ფესვი,根
129,Baum::N,ხე,树
130,Stamm::N,ტანი,树干
131,Rinde::N,ქერქი,树皮
132,Ast::N,ტოტი,树枝
133,Zweig::N,შტო,树枝
134,Blatt::N,ფოთოლი,叶子
135,Birke::N,არყი,桦木
136,Kiefer[Baum]::N,ფიჭვი,松树
137,Weide[Baum]::N,ტირიფი,柳树
138,Tanne::N,ნაძვი,冷杉
139,Horn::N,რქა,角
140,Feder::N,ფრთა,羽毛
141,Fell::N,ტყავი,皮毛
142,Flügel::N,ფრთა,翅膀
143,Klaue::N,კლანჭი,爪子
144,Kralle::N,ტორი,爪子
145,Schwanz::N,კუდი,尾巴
146,Ei::N,კვერცხი,蛋
147,Nest::N,ბუდე,巢
148,Bau::N,სორო,穴
149,Tier::N,ნადირი,动物
150,Tier::N,ცხოველი,动物
151,Herde::N,ფარა,群
152,Kuh::N,ფური,母牛
153,Kuh::N,ძროხა,母牛
154,Bulle::N,ხარი,公牛
155,Pferd::N,რაში,马
156,Pferd::N,ცხენი,马
157,Schaf::N,ცხვარი,羊
158,Schwein::N,ღორი,猪
