,Concept_ID,se,ar
0,Auge::N,tjelmie,عين
1,Auge::N,tjalmme,عين
2,Auge::N,čalbmi,عين
3,Auge::N,čalme,عين
4,Auge::N,čâ´lmm,عين
5,Auge::N,ча̄лльм,عين
6,Ohr::N,bieljie,أذن
7,Ohr::N,biellje,أذن
8,Ohr::N,beallji,أذن
9,Ohr::N,pelji,أذن
10,Ohr::N,pe´llj,أذن
11,Ohr::N,пе̄лльй,أذن
12,Nase::N,njuenie,أنف
13,Nase::N,njunnje,أنف
14,Nase::N,njunni,أنف
15,Nase::N,njuṇe,أنف
16,Nase::N,njuu´nn,أنف
17,Nase::N,нюннҍ,أنف
18,Mund::N,njaelmie,فم
19,Mund::N,njálmme,فم
20,Mund::N,njálbmi,فم
21,Mund::N,njälmi,فم
22,Mund::N,njä´lmm,فم
23,Mund::N,ня̄лльм,فم
24,Zahn::N,baenie,سن
25,Zahn::N,bádne,سن
26,Zahn::N,bátni,سن
27,Zahn::N,pääṇi,سن
28,Zahn::N,pää´nn,سن
29,Zahn::N,па̄ннҍ,سن
30,Zunge::N,njoektjeme,لسان
31,Zunge::N,njuovtjav,لسان
32,Zunge::N,njuovčča,لسان
33,Zunge::N,njuovčâ,لسان
34,Zunge::N,njuhččâm,لسان
35,Zunge::N,нюхчем,لسان
36,Lippe::N,bangseme,شفة
37,Lippe::N,njálmmerabdda,شفة
38,Lippe::N,bavssa,شفة
39,Lippe::N,poovsâ,شفة
40,Lippe::N,põõus,شفة
41,Lippe::N,пэ̄кс,شفة
42,Wange::N,skiehrie,خد
43,Wange::N,skiehrie,وجنة
44,Wange::N,nierra,خد
45,Wange::N,nierra,وجنة
46,Wange::N,muohtu,خد
47,Wange::N,muohtu,وجنة
48,Wange::N,nieṛâ,خد
49,Wange::N,nieṛâ,وجنة
50,Wange::N,njiõrr,خد
51,Wange::N,njiõrr,وجنة
52,Wange::N,нӣрр,خد
53,Wange::N,нӣрр,وجنة
54,Gesicht::N,ååredæjja,وجه
55,Gesicht::N,muohto,وجه
56,Gesicht::N,muođut,وجه
57,Gesicht::N,ámadadju,وجه
58,Gesicht::N,muáđuh,وجه
59,Gesicht::N,muâđ,وجه
60,Gesicht::N,ка̄ссв,وجه
61,Stirn::N,gaalloe,جبين
62,Stirn::N,gállo,جبين
63,Stirn::N,gállu,جبين
64,Stirn::N,kállu,جبين
65,Stirn::N,käll,جبين
66,Stirn::N,вуэххьц,جبين
67,Haar::N,voepte,شعر
68,Haar::N,vuoppta,شعر
69,Haar::N,vuokta,شعر
70,Haar::N,vuop'tâ,شعر
71,Haar::N,vuõpt,شعر
72,Haar::N,вӯппт,شعر
73,Schnurrbart::N,bijjie-skaavtjoe,شارب
74,Schnurrbart::N,njunjevuolskávttjá,شارب
75,Schnurrbart::N,seamu,شارب
76,Schnurrbart::N,siämu,شارب
77,Schnurrbart::N,ää´bben,شارب
78,Schnurrbart::N,о̄а̄бпан,شارب
79,Bart::N,skaavtja,لحية
80,Bart::N,skaavtjoe,لحية
81,Bart::N,skávttjá,لحية
82,Bart::N,seamu,لحية
83,Bart::N,siämu,لحية
84,Bart::N,seäm,لحية
85,Bart::N,ся̄м,لحية
86,Kinn::N,gaejpie,ذقن
87,Kinn::N,gájbbe,ذقن
88,Kinn::N,gáibi,ذقن
89,Kinn::N,käibi,ذقن
90,Kinn::N,käi´bb,ذقن
91,Kinn::N,ка̄ййп,ذقن
92,Kiefer[Anatomie]::N,gaejpie,فك
93,Kiefer[Anatomie]::N,oalol,فك
94,Kiefer[Anatomie]::N,oaloldákte,فك
95,Kiefer[Anatomie]::N,gáibi,فك
96,Kiefer[Anatomie]::N,uá'lultähti,فك
97,Kiefer[Anatomie]::N,vuâl'lõš,فك
98,Kiefer[Anatomie]::N,вуаллнешш,فك
99,Kehle::N,gealoe,حلق
100,Kehle::N,tjåttå,حلق
101,Kehle::N,njiello,حلق
102,Kehle::N,čotta,حلق
103,Kehle::N,čuudâ,حلق
104,Kehle::N,čoodd,حلق
105,Kehle::N,чонт,حلق
106,Kehle::N,кэ̄ҏс,حلق
107,Hals::N,tjeapohke,عنق
108,Hals::N,tjeapohke,رقبة
109,Hals::N,tjiebet,عنق
110,Hals::N,tjiebet,رقبة
111,Hals::N,čeabet,عنق
112,Hals::N,čeabet,رقبة
113,Hals::N,čiäppát,عنق
114,Hals::N,čiäppát,رقبة
115,Hals::N,čeäppat,عنق
116,Hals::N,čeäppat,رقبة
117,Hals::N,ча̄пэх,عنق
118,Hals::N,ча̄пэх,رقبة
119,Genick::N,tjovrese,قفا
120,Genick::N,nisske,قفا
121,Genick::N,niehkki,قفا
122,Genick::N,niski,قفا
123,Genick::N,niek'ki,قفا
124,Genick::N,nji´šǩǩmaadd,قفا
125,Genick::N,нышшькмоант,قفا
126,Kopf::N,åejjie,رأس
127,Kopf::N,oajvve,رأس
128,Kopf::N,oaivi,رأس
129,Kopf::N,uái'vi,رأس
130,Kopf::N,vuei´vv,رأس
131,Kopf::N,вуэййв,رأس
132,Rücken::N,rudtje,ظهر
133,Rücken::N,hárddo,ظهر
134,Rücken::N,tjavelk,ظهر
135,Rücken::N,sealgi,ظهر
136,Rücken::N,selgi,ظهر
137,Rücken::N,čielgi,ظهر
138,Rücken::N,seä´lǧǧ,ظهر
139,Rücken::N,се̄лльк,ظهر
140,Bauch::N,tjåejjie,بطن
141,Bauch::N,tjoajvve,بطن
142,Bauch::N,čoavji,بطن
143,Bauch::N,čuáv'ji,بطن
144,Bauch::N,čåu´jj,بطن
145,Bauch::N,чо̄ввьй,بطن
146,Nabel::N,naepie,سرة
147,Nabel::N,náhpe,سرة
148,Nabel::N,náhpi,سرة
149,Nabel::N,nääpi,سرة
150,Nabel::N,nää´pp,سرة
151,Nabel::N,на̄бпь,سرة
152,Busen::N,boenge,ثدي
153,Busen::N,bållå,ثدي
154,Busen::N,čižži,ثدي
155,Busen::N,njamma,ثدي
156,Busen::N,njižže,ثدي
157,Busen::N,nje´ǯǯ,ثدي
158,Busen::N,раннҍт,ثدي
159,Brust::N,mïelke,صدر
160,Brust::N,radde,صدر
161,Brust::N,mielgga,صدر
162,Brust::N,raddi,صدر
163,Brust::N,radde,صدر
164,Brust::N,râ´dd,صدر
165,Brust::N,раннҍт,صدر
166,Schulter::N,åelkie,كتف
167,Schulter::N,oalgge,كتف
168,Schulter::N,hárdu,كتف
169,Schulter::N,ärdee,كتف
170,Schulter::N,uál'gi,كتف
171,Schulter::N,a´rddi,كتف
172,Schulter::N,vuä´lǧǧ,كتف
173,Schulter::N,вуэллык,كتف
174,Arm::N,gïete,ذراع
175,Arm::N,giehta,ذراع
176,Arm::N,giehta,ذراع
177,Arm::N,kietâ,ذراع
178,Arm::N,kie'tâkaaṿâ,ذراع
179,Arm::N,ǩiõtt,ذراع
180,Arm::N,кӣдт,ذراع
181,Ellenbogen::N,gernjere,كوع
182,Ellenbogen::N,garŋŋel,كوع
183,Ellenbogen::N,gargŋil,كوع
184,Ellenbogen::N,käŋŋir,كوع
