,Concept_ID,fi,en
0,Auge::N,silmä,eye
1,Ohr::N,korva,ear
2,Nase::N,nenä,nose
3,Mund::N,suu,mouth
4,Zahn::N,hammas,tooth
5,Zunge::N,kieli,tongue
6,Lippe::N,huuli,lip
7,Wange::N,poski,cheek
8,Gesicht::N,naama,face
9,Gesicht::N,kasvot,face
10,Stirn::N,otsa,forehead
11,Haar::N,hius,hair
12,Haar::N,tukka,hair
13,Schnurrbart::N,viikset,moustache
14,Bart::N,parta,beard
15,Kinn::N,leuka,chin
16,Kiefer[Anatomie]::N,leukaluu,jaw
17,Kehle::N,kurkku,throat
18,Hals::N,kaula,neck
19,Genick::N,niska,nape
20,Kopf::N,pää,head
21,Rücken::N,selkä,back
22,Rücken::N,selkä,spine
23,Bauch::N,maha,belly
24,Bauch::N,vatsa,belly
25,Nabel::N,napa,navel
26,Busen::N,rinta,bosom
27,Brust::N,rinta,chest
28,Brust::N,rinta,breast
29,Schulter::N,olka,shoulder
30,Schulter::N,hartia,shoulder
31,Schulter::N,olkapää,shoulder
32,Arm::N,käsivarsi,arm
33,Ellenbogen::N,kyynärpää,elbow
34,Hand::N,käsi,hand
35,Handfläche::N,kämmen,palm
36,Finger::N,sormi,finger
37,Fingernagel::N,kynsi,fingernail
38,Nagel[Anatomie]::N,kynsi,nail
39,Zeh::N,varvas,toe
40,Fuß::N,jalka,foot
41,Ferse::N,kantapää,heel
42,Knie::N,polvi,knee
43,Oberschenkel::N,reisi,thigh
44,Bein::N,jalka,leg
45,Körper::N,keho,body
46,Körper::N,ruumis,body
47,Haut::N,iho,skin
48,Blut::N,veri,blood
49,Ader::N,suoni,vein
50,Sehne::N,jänne,sinew
51,Knochen::N,luu,bone
52,Gehirn::N,aivot,brain
53,Herz::N,sydän,heart
54,Magen::N,maha,stomach
55,Magen::N,vatsa,stomach
56,Leber::N,maksa,liver
57,Atem::N,henki,breath
58,Atem::N,hengitys,breath
59,Hunger::N,nälkä,hunger
60,Träne::N,kyynel,tear
61,Geschmack::N,maku,flavour
62,Geschmack::N,maku,flavor
63,Geruch::N,haju,odour
64,Geruch::N,haju,odor
65,Schlaf::N,uni,sleep
66,Traum::N,uni,dream
67,Himmel::N,taivas,sky
68,Sonne::N,aurinko,sun
69,Mond::N,kuu,moon
70,Stern::N,tähti,star
71,Luft::N,ilma,air
72,Wind::N,tuuli,wind
73,Welle::N,aalto,wave
74,Wasser::N,vesi,water
75,Stein::N,kivi,stone
76,Boden::N,maa,soil
77,Boden::N,maa,ground
78,Boden::N,maaperä,soil
79,Boden::N,maaperä,ground
80,Erde::N,maa,earth
81,Staub::N,pöly,dust
82,Rauch::N,savu,smoke
83,Funke::N,kipinä,spark
84,Feuer::N,tuli,fire
85,Licht::N,valo,light
86,Schatten::N,varjo,shadow
87,Wetter::N,sää,weather
88,Nebel::N,sumu,fog
89,Wolke::N,pilvi,cloud
90,Regen::N,sade,rain
91,Schnee::N,lumi,snow
92,Eis::N,jää,ice
93,Frost::N,halla,frost
94,Frost::N,pakkanen,frost
95,Kälte::N,vilu,chill
96,Kälte::N,kylmyys,chill
97,Hitze::N,helle,heat
98,Hitze::N,kuumuus,heat
99,Raureif::N,huurre,hoarfrost
100,Regenbogen::N,sateenkaari,rainbow
101,Donner::N,jyrinä,thunder
102,Strömung::N,virtaus,current
103,Tropfen::N,tippa,drop
104,Tropfen::N,pisara,drop
105,Schaum::N,vaahto,foam
106,Schmutz::N,loka,dirt
107,See::N,järvi,lake
108,Sumpf::N,suo,swamp
109,Moor::N,räme,moor
110,Wiese::N,niitty,meadow
111,Wald::N,metsä,forest
112,Hügel::N,mäki,hill
113,Hügel::N,kumpu,hill
114,Hügel::N,kukkula,hill
115,Anhöhe::N,mäki,elevation
116,Anhöhe::N,kumpare,elevation
117,Berg::N,mäki,mountain
118,Berg::N,vuori,mountain
119,Gipfel::N,laki,summit
120,Gipfel::N,huippu,summit
