,Concept_ID,he,nl
0,Auge::N,עין,oog
1,Ohr::N,אזן,oor
2,Nase::N,אף,neus
3,Nase::N,חטם,neus
4,Mund::N,פה,mond
5,Zahn::N,שן,tand
6,Zunge::N,לשון,tong
7,Lippe::N,שפה,lip
8,Wange::N,לחי,wang
9,Gesicht::N,פנים,gelaat
10,Gesicht::N,פנים,gezicht
11,Stirn::N,מצח,voorhoofd
12,Haar::N,שערה,haar
13,Schnurrbart::N,שפם,snor
14,Bart::N,זקן,baard
15,Kinn::N,סנטר,kin
16,Kiefer[Anatomie]::N,לסת,kaak
17,Kehle::N,גרון,keel
18,Kehle::N,גרון,strot
19,Hals::N,צואר,hals
20,Genick::N,ערף,nek
21,Kopf::N,ראש,hoofd
22,Rücken::N,גב,rug
23,Bauch::N,בטן,buik
24,Nabel::N,טבור,navel
25,Busen::N,שד,boezem
26,Brust::N,חזה,borst
27,Schulter::N,כתף,schouder
28,Arm::N,זרוע,arm
29,Ellenbogen::N,מרפק,elleboog
30,Hand::N,יד,hand
31,Handfläche::N,כף יד,handpalm
32,Finger::N,אצבע,vinger
33,Fingernagel::N,צפרן,nagel
34,Nagel[Anatomie]::N,צפרן,nagel
35,Zeh::N,אצבע,teen
36,Fuß::N,רגל,voet
37,Ferse::N,עקב,hak
38,Ferse::N,עקב,hiel
39,Knie::N,ברך,knie
40,Oberschenkel::N,ירך,dij
41,Bein::N,רגל,been
42,Körper::N,גוף,lichaam
43,Haut::N,עור,huid
44,Blut::N,דם,bloed
45,Ader::N,וריד,ader
46,Sehne::N,גיד,pees
47,Knochen::N,עצם,bot
48,Knochen::N,עצם,been
49,Knochen::N,עצם,knook
50,Gehirn::N,מוח,hersenen
51,Herz::N,לב,hart
52,Magen::N,קבה,maag
53,Leber::N,כבד,lever
54,Atem::N,נשימה,adem
55,Hunger::N,רעב,honger
56,Träne::N,דמעה,traan
57,Geschmack::N,טעם,smaak
58,Geruch::N,ריח,geur
59,Schlaf::N,שנה,slaap
60,Traum::N,חלום,droom
61,Himmel::N,שמים,hemel
62,Sonne::N,שמש,zon
63,Mond::N,ירח,maan
64,Stern::N,כוכב,ster
65,Luft::N,אויר,lucht
66,Wind::N,רוח,wind
67,Welle::N,גל,golf
68,Wasser::N,מים,water
69,Stein::N,אבן,steen
70,Boden::N,קרקע,grond
71,Erde::N,אדמה,aarde
72,Staub::N,אבק,stof
73,Rauch::N,עשן,rook
74,Funke::N,ניצוץ,vonk
75,Feuer::N,אש,vuur
76,Licht::N,אור,licht
77,Schatten::N,צל,schaduw
78,Wetter::N,מזג אויר,weer
79,Nebel::N,ערפל,mist
80,Nebel::N,ערפל,nevel
81,Wolke::N,ענן,wolk
