,Concept_ID,ar,ku
0,Auge::N,عين,çav
1,Ohr::N,أذن,guh
2,Nase::N,أنف,bêvil
3,Mund::N,فم,dev
4,Zahn::N,سن,didan
5,Zunge::N,لسان,ziman
6,Lippe::N,شفة,lêv
7,Wange::N,خد,dêm
8,Wange::N,خد,hinarik
9,Wange::N,وجنة,dêm
10,Wange::N,وجنة,hinarik
11,Gesicht::N,وجه,rû
12,Stirn::N,جبين,enî
13,Haar::N,شعر,por
14,Schnurrbart::N,شارب,simbêl
15,Bart::N,لحية,rih
16,Kinn::N,ذقن,zenî
17,Kiefer[Anatomie]::N,فك,arguşk
18,Kehle::N,حلق,qirik
19,Hals::N,عنق,stû
20,Hals::N,عنق,qirik
21,Hals::N,رقبة,stû
22,Hals::N,رقبة,qirik
23,Genick::N,قفا,stû
24,Kopf::N,رأس,serî
25,Rücken::N,ظهر,pişt
26,Bauch::N,بطن,ûr
27,Bauch::N,بطن,zik
28,Nabel::N,سرة,navik
29,Busen::N,ثدي,sîng
30,Brust::N,صدر,sîng
31,Schulter::N,كتف,mil
32,Arm::N,ذراع,çepil
33,Ellenbogen::N,كوع,enîşk
34,Hand::N,يد,dest
35,Handfläche::N,كف,kefadest
36,Finger::N,إصبع,tilî
37,Fingernagel::N,ظفر,neynuk
38,Nagel[Anatomie]::N,ظفر,bizmar
39,Zeh::N,إصبع القدم,tilî linga
40,Fuß::N,قدم,ling
41,Ferse::N,كعب,pahnî
42,Knie::N,ركبة,kabok
43,Oberschenkel::N,فخذ,rahn
44,Bein::N,ساق,çip
45,Körper::N,جسم,laş
46,Körper::N,جسم,gowde
47,Haut::N,بشرة,çerm
48,Blut::N,دم,xwîn
49,Ader::N,عرق,reh
50,Sehne::N,طنب,reh
51,Knochen::N,عظم,hestî
52,Gehirn::N,دماغ,mêjî
53,Herz::N,قلب,dil
54,Magen::N,معدة,navêş
55,Leber::N,كبد,kezeb
56,Atem::N,نفس,hilm
57,Hunger::N,جوع,birçîtî
58,Träne::N,دمعة,hêstir
59,Geschmack::N,طعم,tam
60,Geschmack::N,مذاق,tam
61,Geruch::N,رائحة,bêhn
62,Schlaf::N,نوم,xew
63,Schlaf::N,منام,xew
64,Traum::N,حلم,xewn
65,Himmel::N,سماء,ezman
66,Sonne::N,شمس,roj
67,Mond::N,قمر,heyv
68,Stern::N,نجم,stêrk
69,Stern::N,كوكب,stêrk
70,Luft::N,هواء,ba
71,Wind::N,ريح,ba
72,Welle::N,موجة,şewl
73,Wasser::N,ماء,av
74,Stein::N,حجر,kevir
75,Boden::N,تراب,herd
76,Erde::N,أرض,ax
77,Staub::N,غبار,toz
78,Rauch::N,دخان,dû
79,Funke::N,شرارة,çirûşk
80,Feuer::N,نار,agir
81,Licht::N,نور,ronahî
82,Licht::N,ضوء,ronahî
83,Schatten::N,ظل,sî
84,Schatten::N,فيء,sî
85,Wetter::N,جو,hewa
86,Wetter::N,طقس,hewa
87,Nebel::N,ضباب,mij
88,Wolke::N,غيمة,ewr
89,Wolke::N,سحابة,ewr
90,Regen::N,مطر,baran
91,Schnee::N,ثلج,berf
