,Concept_ID,hi,ru
0,Auge::N,आँख,глаз
1,Auge::N,चक्षु,глаз
2,Ohr::N,कान,ухо
3,Ohr::N,कर्ण,ухо
4,Nase::N,नाक,нос
5,Nase::N,नासा,нос
6,Mund::N,मुख,рот
7,Mund::N,मुँह,рот
8,Zahn::N,दंत,зуб
9,Zahn::N,दाँत,зуб
10,Zunge::N,जीभ,язык
11,Zunge::N,ज़बान,язык
12,Zunge::N,जिह्वा,язык
13,Lippe::N,ओंठ,губа
14,Lippe::N,होंठ,губа
15,Wange::N,गाल,щека
16,Wange::N,कपोल,щека
17,Gesicht::N,मुँह,лицо
18,Gesicht::N,चेहरा,лицо
19,Stirn::N,माथा,лоб
20,Stirn::N,मस्तक,лоб
21,Haar::N,बाल,волос
22,Haar::N,बाल,волосы
23,Schnurrbart::N,मूँछें,ус
24,Schnurrbart::N,मूँछें,усы
25,Bart::N,दाढ़ी,борода
26,Kinn::N,चिबुक,подбородок
27,Kiefer[Anatomie]::N,जबड़ा,челюсть
28,Kehle::N,गला,горло
29,Hals::N,गला,шея
30,Hals::N,गरदन,шея
31,Genick::N,गरदन,затылок
32,Genick::N,ग्रीवा,затылок
33,Kopf::N,सिर,голова
34,Kopf::N,शीर्ष,голова
35,Rücken::N,पीठ,спина
36,Bauch::N,उदर,живот
37,Nabel::N,नाभि,пупок
38,Nabel::N,ढोंढी,пупок
39,Busen::N,कुच,женская грудь
40,Busen::N,स्तन,женская грудь
41,Brust::N,वक्ष,грудь
42,Schulter::N,कंधा,плечо
43,Schulter::N,स्कंध,плечо
44,Arm::N,बाँह,рука
45,Arm::N,बाज़ू,рука
46,Ellenbogen::N,कुहनी,локоть
47,Hand::N,हाथ,кисть
48,Hand::N,हस्त,кисть
49,Handfläche::N,हथेली,ладонь
50,Finger::N,उँगली,палец
51,Finger::N,अँगुली,палец
52,Fingernagel::N,नख,ноготь
53,Fingernagel::N,नाख़ून,ноготь
54,Nagel[Anatomie]::N,नख,ноготь
55,Nagel[Anatomie]::N,नाख़ून,ноготь
56,Zeh::N,उँगली,палец
57,Zeh::N,पाँव की उँगली,палец
58,Fuß::N,चरण,ступня
59,Fuß::N,पाँव,ступня
60,Ferse::N,एड़ी,пята
61,Ferse::N,एड़ी,пятка
62,Knie::N,जानु,колено
63,Knie::N,घुटना,колено
64,Oberschenkel::N,उरु,бедро
65,Bein::N,टाँग,нога
66,Körper::N,तन,тело
67,Körper::N,देह,тело
68,Körper::N,शरीर,тело
69,Haut::N,चर्म,кожа
70,Haut::N,त्वचा,кожа
71,Blut::N,लहू,кровь
72,Blut::N,ख़ून,кровь
73,Ader::N,रग,вена
74,Ader::N,रग,сосуд
75,Ader::N,शिरा,вена
76,Ader::N,शिरा,сосуд
77,Sehne::N,कंडरा,жила
78,Sehne::N,कंडरा,тетива
79,Sehne::N,कंडरा,сухожилие
80,Sehne::N,स्नायु,жила
81,Sehne::N,स्नायु,тетива
82,Sehne::N,स्नायु,сухожилие
83,Knochen::N,अस्थि,кость
84,Gehirn::N,दिमाग़,мозг
85,Gehirn::N,मस्तिष्क,мозг
86,Herz::N,दिल,сердце
87,Herz::N,हृदय,сердце
88,Magen::N,मेदा,желудок
89,Magen::N,अमाशय,желудок
90,Leber::N,जिगर,печень
91,Leber::N,यकृत्,печень
92,Atem::N,दम,дух
93,Atem::N,दम,дыхание
94,Atem::N,साँस,дух
95,Atem::N,साँस,дыхание
96,Atem::N,श्वास,дух
97,Atem::N,श्वास,дыхание
98,Hunger::N,भूख,голод
99,Hunger::N,क्षुधा,голод
100,Träne::N,आँसू,слеза
101,Träne::N,अश्रु,слеза
102,Geschmack::N,स्वाद,вкус
103,Geschmack::N,ज़ायक़ा,вкус
104,Geruch::N,बू,запах
105,Geruch::N,गंध,запах
106,Schlaf::N,नींद,сон
107,Schlaf::N,निद्रा,сон
108,Traum::N,सपना,сновидение
109,Traum::N,स्वप्न,сновидение
110,Himmel::N,आकाश,небо
111,Himmel::N,आसमान,небо
112,Sonne::N,रवि,солнце
113,Sonne::N,सूरज,солнце
114,Sonne::N,सूर्य,солнце
115,Mond::N,चाँद,луна
116,Mond::N,चंद्र,луна
117,Stern::N,तारा,звезда
118,Stern::N,सितारा,звезда
119,Luft::N,हवा,воздух
120,Luft::N,वायु,воздух
121,Wind::N,पाद,ветер
122,Welle::N,लहर,волна
123,Welle::N,तरंग,волна
124,Wasser::N,जल,вода
125,Wasser::N,पानी,вода
126,Stein::N,पत्थर,камень
127,Boden::N,मिट्टी,почва
128,Erde::N,भूमि,земля
129,Erde::N,ज़मीन,земля
130,Staub::N,धूल,пыль
131,Rauch::N,धूआँ,дым
132,Rauch::N,धुम्र,дым
133,Funke::N,चिनगारी,искра
134,Funke::N,स्फुलिंग,искра
135,Feuer::N,आग,огонь
136,Feuer::N,आतिश,огонь
137,Feuer::N,अग्नि,огонь
138,Licht::N,रोशनी,свет
139,Licht::N,प्रकाश,свет
140,Schatten::N,छाया,тень
141,Schatten::N,परछाई,тень
142,Wetter::N,ऋतु,погода
143,Wetter::N,मौसम,погода
144,Nebel::N,धुँध,туман
145,Nebel::N,कुहरा,туман
146,Wolke::N,मेघ,облако
147,Wolke::N,अभ्र,облако
148,Regen::N,मेंह,дождь
149,Regen::N,बारिश,дождь
150,Schnee::N,हिम,снег
151,Schnee::N,बर्फ़,снег
152,Eis::N,हिम,лед
153,Eis::N,बर्फ़,лед
154,Frost::N,ठंड,мороз
155,Kälte::N,सर्दी,холод
156,Kälte::N,शीतलता,холод
157,Hitze::N,ताप,жара
158,Hitze::N,गरमी,жара
159,Raureif::N,पाला,иней
160,Regenbogen::N,इंद्र-धनुष,радуга
161,Donner::N,गरज,гром
162,Donner::N,मेघ-गर्जन,гром
163,Strömung::N,बहाव,течение
164,Strömung::N,प्रवाह,течение
165,Tropfen::N,बूँद,капля
166,Schaum::N,झाग,пена
167,Schmutz::N,गंद,грязь
168,Schmutz::N,कीचड़,грязь
169,See::N,झील,озеро
170,See::N,सरोवर,озеро
171,Sumpf::N,दलदल,топь
172,Sumpf::N,धँसान,топь
173,Moor::N,झाबर,болото
174,Moor::N,धँसान,болото
175,Wiese::N,घास-स्थल,луг
176,Wald::N,जंगल,лес
177,Hügel::N,टीला,холм
178,Hügel::N,पहाड़,холм
179,Anhöhe::N,टीला,возвышенность
180,Anhöhe::N,पहाड़ी,возвышенность
181,Berg::N,पहाड़,гора
182,Gipfel::N,शिखर,вершина
183,Höhle::N,गुहा,пещера
184,Höhle::N,गुफ़ा,пещера
185,Abhang::N,ढाल,склон
186,Abhang::N,ढलान,склон
187,Quelle::N,चश्मा,источник
188,Bach::N,सोता,ручей
189,Bach::N,नदिका,ручей
190,Fluss::N,नदी,река
191,Fluss::N,सरिता,река
192,Ufer::N,तट,берег
193,Ufer::N,किनारा,берег
194,Küste::N,समुद्र-तट,побережье
195,Festland::N,महाद्वीप,суша
196,Meer::N,सागर,море
197,Meer::N,समुद्र,море
198,Bucht::N,खाड़ी,бухта
199,Insel::N,टापू,остров
200,Insel::N,द्वीप,остров
201,Blume::N,फूल,цветок
202,Blume::N,पुष्प,цветок
203,Gras::N,घास,трава
204,Wurzel::N,मूल,корень
205,Baum::N,पेड़,дерево
206,Baum::N,वृक्ष,дерево
207,Stamm::N,धड़,ствол
208,Rinde::N,छाल,кора
209,Rinde::N,वल्कल,кора
210,Ast::N,डाल,сук
211,Ast::N,शाखा,сук
212,Zweig::N,टहनी,ветвь
213,Blatt::N,पत्र,лист
214,Blatt::N,पत्ता,лист
215,Birke::N,भूर्ज,береза
216,Kiefer[Baum]::N,पाइन-वृक्ष,сосна
217,Weide[Baum]::N,बेंत,ива
218,Tanne::N,फ़र,ель
219,Horn::N,सींग,рог
220,Horn::N,विषाण,рог
221,Feder::N,पर,перо
222,Feder::N,पंख,перо
223,Fell::N,खाल,шкура
224,Fell::N,पशु-चर्म,шкура
225,Flügel::N,पंख,крыло
226,Flügel::N,डैना,крыло
227,Klaue::N,पंजा,коготь
228,Kralle::N,पंजा,лапа
229,Kralle::N,नाख़ून,лапа
230,Schwanz::N,पूँछ,хвост
231,Ei::N,अंडा,яйцо
232,Nest::N,नीड़,гнездо
233,Nest::N,घोंसला,гнездо
234,Bau::N,बिल,нора
235,Bau::N,माँद,нора
236,Tier::N,पशु,животное
237,Tier::N,जानवर,животное
238,Herde::N,गल्ला,стадо
239,Kuh::N,गौ,корова
