,Concept_ID,pt,ba
0,Auge::N,olho,күҙ
1,Ohr::N,orelha,ҡолаҡ
2,Nase::N,nariz,танау
3,Mund::N,boca,ауыҙ
4,Zahn::N,dente,теш
5,Zunge::N,língua,тел
6,Lippe::N,lábio,ирен
7,Wange::N,face,яцаҡтар
8,Gesicht::N,cara,бит
9,Gesicht::N,rosto,бит
10,Stirn::N,testa,маңлай
11,Haar::N,cabelo,сәс
12,Schnurrbart::N,bigode,мылтыҡ
13,Bart::N,barba,һаҡал
14,Kinn::N,queixo,эйэк
15,Kiefer[Anatomie]::N,maxila,яңаҡ һөйәге
16,Kiefer[Anatomie]::N,mandíbula,яңаҡ һөйәге
17,Kehle::N,garganta,тамаҡ
18,Hals::N,colo,муйын
19,Hals::N,pescoço,муйын
20,Genick::N,nuca,соңҡа
21,Kopf::N,cabeça,баш
22,Rücken::N,dorso,арҡа
23,Rücken::N,costas,арҡа
24,Bauch::N,ventre,ҡорһаҡ
25,Bauch::N,barriga,ҡорһаҡ
26,Nabel::N,umbigo,кендек
27,Busen::N,seio,күкрәк
28,Brust::N,peito,түш
29,Schulter::N,ombro,яурын
30,Arm::N,braço,ҡул
31,Ellenbogen::N,cotovelo,терһәк
32,Hand::N,mão,ҡул
33,Hand::N,mão,ҡул суғы
34,Handfläche::N,palma,ус төбө
35,Handfläche::N,palma da mão,ус төбө
36,Finger::N,dedo,бармаҡ
37,Fingernagel::N,unha,тырнаҡ
38,Nagel[Anatomie]::N,unha,тырнаҡ
39,Zeh::N,dedo do pé,бармаҡ
40,Fuß::N,pé,табан
41,Ferse::N,calcanhar,үксә
42,Knie::N,joelho,тубыҡ
43,Oberschenkel::N,coxa,сандыр
44,Bein::N,perna,аяҡ
45,Körper::N,corpo,тән
46,Haut::N,pele,тире
47,Blut::N,sangue,ҡан
48,Ader::N,veia,тамыр
49,Sehne::N,tendão,һеңер
50,Sehne::N,tendão,тарамыш
51,Knochen::N,osso,һойәк
52,Gehirn::N,cérebro,мейе
53,Herz::N,coração,йорәк
54,Magen::N,estômago,ашҡаҙан
55,Leber::N,fígado,бауыр
56,Atem::N,fôlego,һулыш
57,Hunger::N,fome,аслыҡ
58,Träne::N,lágrima,күҙ иәше
59,Geschmack::N,gosto,тәм
60,Geruch::N,odor,еҫ
61,Geruch::N,cheiro,еҫ
62,Schlaf::N,sono,йоҡлау
63,Traum::N,sonho,төш
64,Himmel::N,céu,күк
65,Sonne::N,sol,ҡояш
66,Mond::N,lua,ай
67,Stern::N,estrela,йондоҙ
68,Luft::N,ar,һауа
69,Wind::N,vento,ел
70,Welle::N,onda,тулҡын
71,Wasser::N,água,һыу
72,Stein::N,pedra,таш
73,Boden::N,solo,тупраҡ
74,Erde::N,terra,балсҡ
75,Staub::N,pó,туҙан
76,Rauch::N,fumo,төтөн
77,Funke::N,faísca,осҡон
78,Funke::N,centelha,осҡон
79,Feuer::N,fogo,ут
80,Licht::N,luz,яҡтылыҡ
81,Schatten::N,sombra,күләгә
82,Wetter::N,tempo,һауа торошо
83,Nebel::N,nevoeiro,төман
84,Wolke::N,nuvem,болот
85,Regen::N,chuva,ямғыр
86,Schnee::N,neve,ҡар
87,Eis::N,gelo,боҙ
88,Frost::N,gelo,һалҡын
89,Frost::N,geada,һалҡын
90,Kälte::N,frio,һыуыҡ
91,Hitze::N,ardor,томра
92,Hitze::N,ardor,эҫелек
93,Raureif::N,geada,ҡырау
94,Regenbogen::N,arco-iris,йәйғор
95,Donner::N,trovão,күк күкрәү
96,Strömung::N,corrente,ағым
97,Tropfen::N,gota,тамсы
98,Schaum::N,espuma,күбек
99,Schmutz::N,sujidade,батҡаҡ
100,Schmutz::N,imundície,батҡаҡ
101,See::N,lago,күл
102,Sumpf::N,charco,һаҙлык
103,Sumpf::N,pântano,һаҙлык
104,Moor::N,pântano,һаҙ
105,Wiese::N,prado,болон
106,Wald::N,bosque,урман
107,Wald::N,floresta,урман
108,Hügel::N,colina,түбә
109,Anhöhe::N,alto,түбә
110,Anhöhe::N,alto,ҡалҡыулыҡ
111,Anhöhe::N,outeiro,түбә
112,Anhöhe::N,outeiro,ҡалҡыулыҡ
113,Berg::N,monte,тау
114,Berg::N,montanha,тау
115,Gipfel::N,pico,түбә
116,Höhle::N,caverna,мәмерйә
117,Abhang::N,encosta,ипкен
118,Quelle::N,fonte,шишмә
119,Bach::N,regato,шишмә
120,Bach::N,ribeiro,шишмә
121,Fluss::N,rio,йылға
122,Ufer::N,beira,яр
123,Küste::N,costa,яр буйы
124,Festland::N,terra firme,ҡоро ер
125,Meer::N,mar,диңгез
126,Bucht::N,baía,бухта
127,Insel::N,ilha,үтрау
128,Blume::N,flor,сәскә
129,Gras::N,erva,үлән
130,Wurzel::N,raiz,тамыр
131,Baum::N,árvore,ағас
132,Stamm::N,tronco,олон
133,Stamm::N,tronco,көбәк
134,Rinde::N,casca,ҡабыҡ
135,Ast::N,ramo,ботаҡ
136,Zweig::N,galho,ботаҡ
137,Zweig::N,galho,тармаҡ
138,Blatt::N,folha,япраҡ
139,Birke::N,bétula,ҡайын
140,Kiefer[Baum]::N,pinheiro,ҡарғай
141,Weide[Baum]::N,salgueiro,тал
142,Tanne::N,abeto,шыршы
143,Horn::N,corno,мөғөҙ
144,Horn::N,chifre,мөғөҙ
145,Feder::N,pena,ҡауырһын
146,Fell::N,pele,тире
147,Flügel::N,asa,ҡанат
148,Klaue::N,pata,тырнаҡ
149,Kralle::N,unha,аяҡ
150,Kralle::N,garra,аяҡ
151,Schwanz::N,rabo,ҡойроҡ
152,Schwanz::N,cauda,ҡойроҡ
153,Ei::N,ovo,йомортҡа
154,Nest::N,ninho,оя
155,Bau::N,toca,оң
156,Bau::N,covil,оң
157,Tier::N,animal,жайуан
158,Tier::N,animal,йыртҡыс
159,Herde::N,rebanho,көтөү
160,Kuh::N,vaca,һыйыр
161,Bulle::N,touro,үгеҙ
162,Pferd::N,cavalo,ат
163,Schaf::N,ovelha,һарыҡ
164,Schwein::N,porco,сусҡа
165,Hund::N,cão,эт
166,Katze::N,gata,бесәй
167,Bär::N,urso,айыу
168,Eichhörnchen::N,esquilo,тейен
169,Elch::N,alce,мышы
170,Fuchs::N,raposa,төлкө
171,Hase::N,lebre,ҡуян
172,Maus::N,rato,сысҡан
173,Wolf::N,lobo,бүре
174,Vogel::N,ave,ҡош
175,Vogel::N,pássaro,ҡош
176,Schwarm::N,bando,көтөү
177,Schwarm::N,enxame,көтөү
178,Huhn::N,galinha,тауыҡ
179,Hahn::N,galo,әтәс
180,Gans::N,ganso,ҡаҙ
181,Adler::N,águia,бөркөт
182,Ente::N,pata,өйрәк
183,Eule::N,mocho,өкө
184,Eule::N,mocho,ябалаҡ
185,Eule::N,coruja,өкө
186,Eule::N,coruja,ябалаҡ
187,Kranich::N,grou,торна
188,Krähe::N,gralha,ҡарға
189,Kuckuck::N,cuco,кәкүк
190,Schwan::N,cisne,аҡҡош
191,Fisch::N,peixe,балыҡ
192,Barsch::N,perca,алабуға
193,Hecht::N,lúcio,суртан
194,Schlange[Tier]::N,serpente,йылан
195,Wurm::N,verme,селяүсен
196,Spinne::N,aranha,үрмәксе
197,Ameise::N,formiga,ҡырмыҫҡа
198,Laus::N,piolho,бет
199,Mücke::N,mosquito,серәкәй
