,Concept_ID,uk,ady
0,Auge::N,око,нэ
1,Ohr::N,вухо,тхьакӏу́м
2,Nase::N,ніс,пэ
3,Mund::N,рот,жэ
4,Zahn::N,зуб,цэ
5,Zunge::N,язик,бзэгу
6,Lippe::N,губа,ӏупшӏэ́
7,Wange::N,щока,нэкӏу́шъу
8,Gesicht::N,обличчя,нэ́гу
9,Stirn::N,лоб,натӏэ́
10,Haar::N,волосся,шъхьацы́
11,Schnurrbart::N,вуса,
12,Bart::N,борода,жакӏэ́
13,Kinn::N,підборіддя,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,щелепа,жэпкъы́
15,Kehle::N,горло,чый
16,Hals::N,шия,пшъэ
17,Genick::N,потилиця,шъхьэпхэтыку
18,Kopf::N,голова,шъхьэ́
19,Rücken::N,спина,кӏыбы́
20,Bauch::N,живіт,ныбэ́
21,Nabel::N,пупок,
22,Busen::N,груди,бгъэ́
23,Brust::N,груди,бгъэ́
24,Schulter::N,плече,блыпкъ
25,Arm::N,рука,ӏэ
26,Ellenbogen::N,лікоть,ӏэнтэ́гъу
27,Hand::N,рука,ӏэтхьэцу
28,Handfläche::N,долоня,ӏэ́гу
29,Finger::N,палець,ӏэхъуа́мб
30,Fingernagel::N,ніготь,ӏэбжъа́н
31,Nagel[Anatomie]::N,ніготь,ӏэбжъа́н
32,Zeh::N,палець на нозі,ӏэхъуа́мб
33,Fuß::N,нога,лъэгу
34,Ferse::N,п’ятка,лъэдакъэ
35,Knie::N,коліно,лъагуа́ндж
36,Oberschenkel::N,стегно,ко
37,Bein::N,нога,лъакъо́
38,Körper::N,тіло,пкъышъол
39,Haut::N,шкіра,кӏы́шъу
40,Blut::N,кров,лъы
41,Ader::N,вена,льытф
42,Sehne::N,сухожилля,фэ
43,Knochen::N,кістка,къупшъхьэ́
44,Gehirn::N,мозок,куцӏы
45,Herz::N,серце,гу
46,Magen::N,шлунок,мышкӏу
47,Leber::N,печінка,шӏу
48,Atem::N,дихання,къэщэныр
49,Hunger::N,голод,гъаблэ́
50,Träne::N,сльоза,нэпсы
51,Geschmack::N,смак,ӏэшӏугъа́кӏ
52,Geruch::N,запах,мэ
53,Schlaf::N,сон,пчыхьы́пӏ
54,Schlaf::N,сплячка,пчыхьы́пӏ
55,Traum::N,сон,пчыхьы́пӏ
56,Himmel::N,небо,уашъо́
57,Sonne::N,сонце,тыгъэ
58,Mond::N,місяць,мазэ
59,Stern::N,зірка,жъуагъо́
60,Luft::N,повітря,жьы
61,Wind::N,вітер,жьыбгъэ́
62,Welle::N,хвиля,ор
63,Welle::N,хвиля,оры
64,Wasser::N,вода,псы
65,Stein::N,камінь,мыжъо́
66,Boden::N,ґрунт,чӏ́ыгу
67,Erde::N,земля,чӏ́ыгу
68,Staub::N,пил,сап
69,Rauch::N,дим,ӏугъо́
70,Funke::N,іскра,мэшӏуа́ч
71,Feuer::N,вогонь,машӏо́
72,Licht::N,світло,нэфы
73,Licht::N,світло,нэфын
74,Schatten::N,тінь,жьау́
75,Schatten::N,тінь,ныбжьыкъу
76,Wetter::N,погода,
77,Nebel::N,туман,пща́гъу
78,Wolke::N,хмара,ошъуапщэ
79,Regen::N,дощ,ощхы
80,Schnee::N,сніг,осы́
81,Eis::N,лід,мылы
82,Frost::N,мороз,
83,Kälte::N,холод,чъыӏэ́
84,Hitze::N,жар,фэба́е
85,Raureif::N,іній,
86,Regenbogen::N,райдуга, лэгъупэкъо́пс
87,Donner::N,грім,шыблэ́
88,Strömung::N,струмина,ток
89,Tropfen::N,крапля,ткӏопс
90,Tropfen::N,крапля,гъуаткӏу
91,Schaum::N,піна,тхъурбэ
92,Schmutz::N,бруд,псынжъы
93,See::N,озеро,хыку́м
94,See::N,озеро,псыхъура́й
95,Sumpf::N,драговина,орыжъ
96,Moor::N,болото,орыжъ
97,Wiese::N,луг,хъупӏэ́
98,Wiese::N,луг,мэкъупӏ
99,Wiese::N,лука,хъупӏэ́
100,Wiese::N,лука,мэкъупӏ
101,Wald::N,ліс,мэзы́
102,Hügel::N,горб,ӏуашъхь
103,Anhöhe::N,височина,чӏыӏэтыгъ
104,Berg::N,гора,къушъхьэ́
105,Gipfel::N,вершина,шыгу
106,Höhle::N,печера,гъочӏэгъ
107,Abhang::N,схил,чапэ
108,Quelle::N,джерело,псынэчэ́чъ
109,Bach::N,струмок,псышкуашку
110,Fluss::N,річка,псыхъо́
111,Ufer::N,берег,нэпкъы
112,Küste::N,узбережжя,ӏушъо
113,Festland::N,суша,чӏл́ыгу
114,Meer::N,море,хы
115,Bucht::N,бухта,хыблыгу
116,Bucht::N,затока,хыблыгу
117,Insel::N,острів,хыгъэхъу́н
118,Blume::N,квітка,къэгъа́гь
119,Gras::N,трава,уцы́
