,Concept_ID,ml,hr
0,Auge::N,കണ്ണ്,oko
1,Ohr::N,ചെവി,uho
2,Nase::N,മൂക്ക്,nos
3,Mund::N,വായ,usta
4,Zahn::N,പല്ല്,zub
5,Zunge::N,നാക്ക്,jezik
6,Lippe::N,ചുണ്ട്,usna
7,Wange::N,കവിൾത്തടം,obraz
8,Gesicht::N,മുഖം,lice
9,Stirn::N,നെറ്റി,čelo
10,Haar::N,തലമുടി,kosa
11,Schnurrbart::N,മീശ,brkovi
12,Bart::N,താടിരോമം,brada
13,Kinn::N,താടി,brada
14,Kinn::N,താടി,podbradak
15,Kiefer[Anatomie]::N,താടിയെല്ല്,čeljust
16,Kehle::N,കണ്ഠനാളം,grlo
17,Hals::N,കഴുത്ത്,vrat
18,Genick::N,പിടലി,zatiljak
19,Kopf::N,തല,glava
20,Rücken::N,മുതുക്,leđa
21,Rücken::N,മുതുക്,hrbat
22,Bauch::N,നയറ്,trbuh
23,Nabel::N,നാഭി,pupak
24,Busen::N,സ്തനം,sisa
25,Busen::N,സ്തനം,njedra
26,Brust::N,സ്തനം,prsa
27,Schulter::N,തോൾ,rame
28,Schulter::N,തോൾ,pleći
29,Arm::N,കൈ,ruka
30,Ellenbogen::N,കൈമുട്ട്,lakat
31,Hand::N,കൈ,ruka
32,Handfläche::N,ഉള്ളം കൈ,dlan
33,Finger::N,വിരൽ,prst
34,Fingernagel::N,നഖം,nokat
35,Nagel[Anatomie]::N,നഖം,nokat
36,Zeh::N,കാൽവിരൽ,nozni prst
37,Fuß::N,കാൽപ്പാദം,noga
38,Fuß::N,കാൽപ്പാദം,stopalo
39,Ferse::N,ഉപ്പൂറ്റി,peta
40,Knie::N,കാൽമുട്ട്,koljeno
41,Oberschenkel::N,തുട,bedro
42,Bein::N,കാൽ,noga
43,Körper::N,ശരീരം,tijelo
44,Haut::N,ചർമ്മം,put
45,Haut::N,ചർമ്മം,koža
46,Blut::N,രക്തം,krv
47,Ader::N,ഞരമ്പ്,žila
48,Sehne::N,സ്നായു,tetiva
49,Knochen::N,അസ്ഥി,kost
50,Gehirn::N,തലച്ചോറ്,
51,Herz::N,ഹൃദയം,srce
52,Magen::N,വയർ,stomak
53,Magen::N,വയർ,želudac
54,Leber::N,കരൾ,jetra
55,Atem::N,ശ്വാസം,dah
56,Hunger::N,വിശപ്പ്,glad
57,Träne::N,കണ്ണീർ,suza
58,Geschmack::N,രുചി,ukus
59,Geruch::N,ഗന്ധം,njuh
60,Geruch::N,ഗന്ധം,miris
61,Schlaf::N,ഉറകും,san
62,Traum::N,സ്വപ്നം,san
63,Himmel::N,ആകാശം,nebo
64,Sonne::N,സൂര്യൻ,sunce
65,Mond::N,ചന്ദ്രൻ,mjesec
66,Stern::N,നക്ഷത്രം,zvijezda
67,Luft::N,കാറ്റ്,zrak
68,Wind::N,കാറ്റ്,vjetar
69,Welle::N,തിരമാല,val
70,Welle::N,തിരമാല,talas
71,Wasser::N,വെള്ളം,voda
72,Stein::N,ശില,kamen
73,Stein::N,കല്ല്,kamen
74,Boden::N,തറ,tlo
75,Boden::N,തറ,zemlja
76,Boden::N,നിലം,tlo
77,Boden::N,നിലം,zemlja
78,Erde::N,മണ്ണ്,zemlja
79,Staub::N,പൊടി,prah
80,Staub::N,പൊടി,prašina
81,Rauch::N,പുക,dim
82,Funke::N,തീപ്പൊരി,iskra
83,Funke::N,തീപ്പൊരി,varnica
84,Feuer::N,തീ,vatra
85,Licht::N,വിളക്ക്,svjetlo
86,Licht::N,സൂര്യപ്രകാശം,svjetlo
87,Schatten::N,തണൽ,hlad
88,Schatten::N,തണൽ,sjena
89,Wetter::N,കാലാവസ്ഥ,vrijeme
90,Nebel::N,മൂടൽമഞ്ഞ്,magla
