,Concept_ID,lbe,lbe
0,Auge::N,я,я
1,Ohr::N,вичӏи,вичӏи
2,Nase::N,май,май
3,Mund::N,кьацӏ,кьацӏ
4,Zahn::N,ккарччи,ккарччи
5,Zunge::N,маз,маз
6,Lippe::N,мурччи,мурччи
7,Wange::N,чӏав,чӏав
8,Gesicht::N,лажин,лажин
9,Stirn::N,ненттабакӏ,ненттабакӏ
10,Haar::N,чӏара,чӏара
11,Schnurrbart::N,ссирссилтту,ссирссилтту
12,Bart::N,чӏири,чӏири
13,Kinn::N,лунттубакӏ,лунттубакӏ
14,Kiefer[Anatomie]::N,ххинчулул,ххинчулул
15,Kehle::N,кьакьари,кьакьари
16,Hals::N,ссурссу,ссурссу
17,Genick::N,махъабакӏ,махъабакӏ
18,Kopf::N,бакӏ,бакӏ
19,Rücken::N,ттиликӏ,ттиликӏ
20,Bauch::N,лякьа,лякьа
21,Nabel::N,цӏумуккутӏ,цӏумуккутӏ
22,Busen::N,ккукку,ккукку
23,Brust::N,хъазам,хъазам
24,Schulter::N,хъачӏ,хъачӏ
25,Arm::N,ка,ка
26,Ellenbogen::N,ссюрхъ,ссюрхъ
27,Hand::N,бартка,бартка
28,Handfläche::N,хъат,хъат
29,Handfläche::N,хъат,битӏянхъ
30,Handfläche::N,битӏянхъ,хъат
31,Handfläche::N,битӏянхъ,битӏянхъ
32,Finger::N,кӏисса,кӏисса
33,Fingernagel::N,михь,михь
34,Nagel[Anatomie]::N,михь,михь
35,Zeh::N,кӏисса,кӏисса
36,Fuß::N,чӏанччан,чӏанччан
37,Ferse::N,никъа,никъа
38,Knie::N,ник,ник
39,Oberschenkel::N,жира,жира
40,Bein::N,ччан,ччан
41,Körper::N,чурх,чурх
42,Haut::N,бурчу,бурчу
43,Blut::N,оь,оь
44,Ader::N,тунну,тунну
45,Sehne::N,хьхьа,хьхьа
46,Knochen::N,ттаркӏ,ттаркӏ
47,Gehirn::N,ня,ня
48,Herz::N,дакӏ,дакӏ
49,Herz::N,дакӏ,къюкӏ
50,Herz::N,къюкӏ,дакӏ
51,Herz::N,къюкӏ,къюкӏ
52,Magen::N,лякьа,лякьа
53,Atem::N,ссихӏ ласаву,ссихӏ ласаву
54,Atem::N,ссихӏ ласаву,ссихӏ бигьаву
55,Atem::N,ссихӏ бигьаву,ссихӏ ласаву
56,Atem::N,ссихӏ бигьаву,ссихӏ бигьаву
57,Hunger::N,ккаши,ккаши
58,Träne::N,макь,макь
59,Geschmack::N,тӏин,тӏин
60,Geschmack::N,тӏин,тӏааьн
61,Geschmack::N,тӏааьн,тӏин
62,Geschmack::N,тӏааьн,тӏааьн
63,Geruch::N,кьанкь,кьанкь
64,Schlaf::N,шану,шану
65,Traum::N,макӏру,макӏру
66,Himmel::N,ссав,ссав
67,Sonne::N,баргъ,баргъ
68,Mond::N,барз,барз
69,Stern::N,цӏуку,цӏуку
70,Luft::N,гьава,гьава
71,Wind::N,марч,марч
72,Welle::N,щатӏи,щатӏи
73,Wasser::N,щин,щин
74,Stein::N,чару,чару
75,Boden::N,аьрщи,аьрщи
76,Erde::N,аьрщи,аьрщи
77,Staub::N,ххит,ххит
78,Rauch::N,пуркӏу,пуркӏу
79,Funke::N,пиягь,пиягь
80,Feuer::N,цӏу,цӏу
81,Licht::N,чани,чани
82,Schatten::N,ххют,ххют
83,Wetter::N,гьава,гьава
84,Nebel::N,шархь ттурлу,шархь ттурлу
85,Wolke::N,ттурлу,ттурлу
