,Concept_ID,ba,bn
0,Auge::N,күҙ,চক্ষু
1,Ohr::N,ҡолаҡ,কর্ণ
2,Nase::N,танау,নাক
3,Mund::N,ауыҙ,মুখ
4,Zahn::N,теш,দাঁত
5,Zunge::N,тел,জিহবা
6,Lippe::N,ирен,অধর
7,Wange::N,яцаҡтар,গণ্ড
8,Gesicht::N,бит,মুখমণ্ডল
9,Stirn::N,маңлай,কপাল
10,Haar::N,сәс,চুল
11,Schnurrbart::N,мылтыҡ,গোঁফ
12,Bart::N,һаҡал,শ্মশ্রু
13,Kinn::N,эйэк,চিবুক
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,চোয়াল
15,Kehle::N,тамаҡ,কণ্ঠ
16,Hals::N,муйын,গল
17,Genick::N,соңҡа,ঘাড়
18,Kopf::N,баш,মাথা
19,Rücken::N,арҡа,পৃষ্ঠ
20,Bauch::N,ҡорһаҡ,উদর
21,Nabel::N,кендек,নাভি
22,Busen::N,күкрәк,স্তন
23,Brust::N,түш,বুক
24,Schulter::N,яурын,স্কন্ধ
25,Arm::N,ҡул,বাহু
26,Ellenbogen::N,терһәк,কনুই
27,Hand::N,ҡул,হাত
28,Hand::N,ҡул суғы,হাত
29,Handfläche::N,ус төбө,করতল
30,Finger::N,бармаҡ,আঙ্গুল
31,Fingernagel::N,тырнаҡ,হাতের নখ
32,Nagel[Anatomie]::N,тырнаҡ,নখ
33,Zeh::N,бармаҡ,আঙ্গুল
34,Fuß::N,табан,পা
35,Ferse::N,үксә,গোড়ালি
36,Knie::N,тубыҡ,হাঁটু
37,Oberschenkel::N,сандыр,ঊরু
38,Bein::N,аяҡ,পা
39,Körper::N,тән,দেহ
40,Haut::N,тире,ত্বক
41,Blut::N,ҡан,রক্ত
42,Ader::N,тамыр,শিরা
43,Sehne::N,һеңер,কণ্ডরা
44,Sehne::N,тарамыш,কণ্ডরা
45,Knochen::N,һойәк,অস্থি
46,Gehirn::N,мейе,মস্তিষ্ক
47,Herz::N,йорәк,হৃৎপিণ্ড
48,Magen::N,ашҡаҙан,পাকস্থলী
49,Leber::N,бауыр,যকৃৎ
50,Atem::N,һулыш,শ্বাস
51,Hunger::N,аслыҡ,ক্ষুধা
52,Träne::N,күҙ иәше,অশ্রু
53,Geschmack::N,тәм,স্বাদ
54,Geruch::N,еҫ,গন্ধ
55,Schlaf::N,йоҡлау,ঘুম
56,Traum::N,төш,স্বপ্ন
57,Himmel::N,күк,আকাশ
58,Sonne::N,ҡояш,সূর্য
59,Mond::N,ай,চন্দ্র
60,Stern::N,йондоҙ,নক্ষত্র
61,Luft::N,һауа,বায়ু
62,Wind::N,ел,বাতাস
63,Welle::N,тулҡын,ঢেউ
