,Concept_ID,sq,en
0,Auge::N,sy,eye
1,Ohr::N,vesh,ear
2,Nase::N,hundë,nose
3,Mund::N,gojë,mouth
4,Zahn::N,dhëmb,tooth
5,Zunge::N,gjuhë,tongue
6,Lippe::N,buzë,lip
7,Wange::N,faqe,cheek
8,Wange::N,mollëz,cheek
9,Gesicht::N,fytyrë,face
10,Stirn::N,ballë,forehead
11,Haar::N,flokë,hair
12,Schnurrbart::N,mustaqe,moustache
13,Bart::N,mjekër,beard
14,Kinn::N,mjekër,chin
15,Kiefer[Anatomie]::N,nofull,jaw
16,Kehle::N,fyt,throat
17,Kehle::N,grykë,throat
18,Hals::N,qafë,neck
19,Genick::N,arrëz,nape
20,Kopf::N,kokë,head
21,Rücken::N,kurriz,back
22,Rücken::N,kurriz,spine
23,Bauch::N,bark,belly
24,Nabel::N,kërthizë,navel
25,Busen::N,gji,bosom
26,Brust::N,gjoks,chest
27,Brust::N,gjoks,breast
28,Brust::N,kraharor,chest
29,Brust::N,kraharor,breast
30,Schulter::N,sup,shoulder
31,Schulter::N,krah,shoulder
32,Arm::N,krah,arm
33,Ellenbogen::N,bërryl,elbow
34,Hand::N,dorë,hand
35,Handfläche::N,pëllëmbë,palm
36,Finger::N,gisht,finger
37,Fingernagel::N,thua,fingernail
38,Nagel[Anatomie]::N,thua,nail
39,Zeh::N,gisht i këmbës,toe
40,Fuß::N,këmbë,foot
41,Ferse::N,thembër,heel
42,Knie::N,gju,knee
43,Oberschenkel::N,kofshë,thigh
44,Bein::N,këmbë,leg
45,Körper::N,trup,body
46,Haut::N,lëkurë,skin
47,Blut::N,gjak,blood
48,Ader::N,venë,vein
49,Sehne::N,dell,sinew
50,Knochen::N,asht,bone
51,Knochen::N,kockë,bone
52,Gehirn::N,tru,brain
53,Herz::N,zemër,heart
54,Magen::N,stomak,stomach
55,Leber::N,mëlçi,liver
56,Atem::N,frymë,breath
57,Hunger::N,uri,hunger
58,Träne::N,lot,tear
59,Geschmack::N,shije,flavour
60,Geschmack::N,shije,flavor
61,Geruch::N,erë,odour
62,Geruch::N,erë,odor
63,Schlaf::N,gjumë,sleep
64,Traum::N,ëndërr,dream
65,Himmel::N,qiell,sky
66,Sonne::N,diell,sun
67,Mond::N,hënë,moon
68,Stern::N,yll,star
69,Luft::N,ajër,air
70,Wind::N,erë,wind
71,Welle::N,valë,wave
72,Welle::N,dallgë,wave
73,Wasser::N,ujë,water
74,Stein::N,gur,stone
75,Boden::N,tokë,soil
76,Boden::N,tokë,ground
77,Boden::N,truall,soil
78,Boden::N,truall,ground
79,Erde::N,dhe,earth
80,Erde::N,baltë,earth
81,Staub::N,pluhur,dust
82,Rauch::N,tym,smoke
83,Funke::N,xixë,spark
84,Funke::N,shkëndijë,spark
85,Feuer::N,zjarr,fire
86,Licht::N,dritë,light
87,Schatten::N,hije,shadow
88,Wetter::N,mot,weather
89,Nebel::N,mjegull,fog
90,Wolke::N,re,cloud
91,Regen::N,shi,rain
92,Schnee::N,borë,snow
93,Eis::N,akull,ice
94,Frost::N,ngricë,frost
95,Kälte::N,të ftohtë,chill
96,Hitze::N,vapë,heat
97,Hitze::N,nxehtësi,heat
98,Raureif::N,cikmë,hoarfrost
99,Regenbogen::N,ylber,rainbow
100,Donner::N,gjëmim,thunder
101,Donner::N,bubullimë,thunder
102,Strömung::N,rrymë,current
103,Tropfen::N,pikë,drop
104,Schaum::N,shkumë,foam
105,Schmutz::N,baltë,dirt
106,See::N,liqen,lake
107,Sumpf::N,batak,swamp
108,Moor::N,kënetë,moor
109,Wiese::N,livadh,meadow
110,Wald::N,pyll,forest
111,Hügel::N,kodër,hill
112,Anhöhe::N,bregore,elevation
113,Berg::N,mal,mountain
114,Gipfel::N,kulm,summit
115,Höhle::N,shpellë,cave
116,Höhle::N,zgafelle,cave
117,Abhang::N,shpat,slope
118,Abhang::N,tatëpjetë,slope
119,Quelle::N,krua,source
120,Quelle::N,burim,source
121,Bach::N,virua,brook
122,Fluss::N,lumë,river
123,Ufer::N,breg,shore
124,Küste::N,anëdet,coast
125,Küste::N,bregdet,coast
126,Festland::N,kontinent,land
127,Meer::N,det,sea
128,Bucht::N,gji deti,cove
129,Insel::N,ishull,island
130,Insel::N,ujdhesë,island
131,Blume::N,lule,flower
132,Gras::N,bar,grass
133,Wurzel::N,rrënjë,root
134,Baum::N,pemë,tree
135,Stamm::N,trung,trunk
136,Rinde::N,lëvore,bark
137,Ast::N,degë,limb
138,Zweig::N,bisk,branch
139,Blatt::N,fletë,leaf
140,Blatt::N,gjethe,leaf
141,Birke::N,mështekën,birch
142,Kiefer[Baum]::N,pishë,pine
143,Weide[Baum]::N,shelg,willow
144,Tanne::N,bredh,fir
145,Horn::N,bri,horn
146,Feder::N,pupël,feather
147,Fell::N,lëkurë,fur
148,Flügel::N,krah,wing
149,Flügel::N,fletë,wing
150,Klaue::N,kthetër,claw
151,Kralle::N,thua,claw
152,Kralle::N,kthetër,claw
153,Schwanz::N,bisht,tail
154,Ei::N,vezë,egg
155,Nest::N,fole,nest
156,Bau::N,strofkë,lair
157,Tier::N,kafshë,animal
158,Herde::N,kope,flock
159,Herde::N,grigjë,flock
160,Kuh::N,lopë,cow
161,Bulle::N,dem,bull
162,Pferd::N,kalë,horse
163,Schaf::N,dele,sheep
164,Schwein::N,derr,pig
165,Hund::N,qen,dog
166,Katze::N,mace,cat
167,Bär::N,ari,bear
168,Eichhörnchen::N,ketër,squirrel
169,Elch::N,dre brilopatë,elk
170,Fuchs::N,dhelpër,fox
171,Hase::N,lepur,hare
172,Maus::N,mi,mouse
173,Wolf::N,ujk,wolf
174,Vogel::N,zog,bird
175,Vogel::N,shpend,bird
176,Schwarm::N,luzmë,swarm
177,Huhn::N,pulë,chicken
178,Hahn::N,gjel,cock
179,Hahn::N,këndes,cock
180,Gans::N,patë,goose
181,Adler::N,shqiponjë,eagle
182,Ente::N,rosë,duck
183,Eule::N,buf,owl
184,Kranich::N,lejlek,crane
185,Kranich::N,kurrillë,crane
186,Krähe::N,sorrë,crow
187,Kuckuck::N,qyqe,cuckoo
188,Schwan::N,mjellmë,swan
189,Fisch::N,peshk,fish
190,Barsch::N,purtekë,perch
191,Hecht::N,mlysh,pike
192,Schlange[Tier]::N,gjarpër,snake
193,Wurm::N,krimb,worm
194,Spinne::N,marimangë,spider
195,Ameise::N,thnegël,ant
196,Ameise::N,milingonë,ant
197,Laus::N,morr,louse
198,Mücke::N,kunup,midge
199,Mücke::N,mushkonjë,midge
200,Fliege::N,mizë,fly
201,Schmetterling::N,flutur,butterfly
202,Beere::N,frutë,berry
203,Beere::N,manaferrë,berry
204,Apfel::N,mollë,apple
205,Pilz::N,kërpudhë,mushroom
206,Zwiebel::N,qepë,onion
207,Saat::N,farë,seed
208,Korn::N,grurë,grain
209,Korn::N,kokërr,grain
210,Heu::N,sanë,hay
211,Schale::N,lëkurë,husk
212,Grube::N,gropë,pit
213,Falle::N,kurth,trap
214,Falle::N,grackë,trap
215,Schlinge::N,nyjë,noose
216,Spur::N,gjurmë,track
217,Asche::N,hi,ashes
218,Dreck::N,baltë,filth
219,Eisen::N,hekur,iron
220,Gold::N,ar,gold
221,Gold::N,flori,gold
222,Silber::N,argjend,silver
223,Kohle::N,qymyr,coal
224,Glas::N,qelq,glass
225,Lehm::N,argjilë,clay
226,Sand::N,rërë,sand
227,Mensch::N,njeri,human
228,Mann::N,burrë,man
229,Mann::N,mashkull,man
230,Frau::N,grua,woman
231,Frau::N,femër,woman
232,Kind::N,kalama,child
233,Junge::N,djalë,boy
234,Mädchen::N,gocë,girl
235,Mädchen::N,vajzë,girl
236,Familie::N,familje,family
237,Großvater::N,gjysh,grandfather
238,Großmutter::N,gjyshe,grandmother
239,Eltern::N,prindër,parents
240,Vater::N,atë,father
241,Mutter::N,nënë,mother
242,Sohn::N,bir,son
243,Tochter::N,bijë,daughter
244,Bruder::N,vëlla,brother
245,Schwester::N,motër,sister
246,Onkel::N,dajë,uncle
247,Onkel::N,xhaxha,uncle
248,Tante::N,teze,aunt
249,Tante::N,hallë,aunt
250,Ehemann::N,burrë,husband
251,Ehemann::N,bashkëshort,husband
252,Ehefrau::N,grua,wife
253,Ehefrau::N,bashkëshorte,wife
254,Freude::N,gaz,joy
255,Freude::N,gëzim,joy
256,Gelächter::N,qeshje,laughter
257,Glück::N,lumturi,happiness
258,Kummer::N,brengë,grief
259,Kummer::N,pikëllim,grief
260,Wunsch::N,dëshirë,wish
261,Lust::N,epsh,desire
262,Lust::N,dashuri,desire
263,Geist::N,frymë,spirit
264,Geist::N,shpirt,spirit
265,Gedanke::N,ide,thought
266,Gedanke::N,mendim,thought
267,Gedächtnis::N,kujtesë,memory
268,Verstand::N,mend,mind
269,Sinn::N,kuptim,meaning
270,Grund::N,arsye,reason
271,Wahrheit::N,vërtetë,truth
272,Gespräch::N,bisedim,talk
273,Märchen::N,përrallë,fairy tale
274,Erzählung::N,tregim,story
275,Nachricht::N,lajm,message
276,Neuigkeit::N,risi,news
277,Name::N,emër,name
278,Rätsel::N,gjëzë,puzzle
279,Rätsel::N,gjëegjëzë,puzzle
280,Rede::N,fjalim,speech
281,Sprache::N,gjuhë,language
282,Stimme::N,zë,voice
283,Wort::N,fjalë,word
284,Zeichen::N,shenjë,sign
285,Ruf::N,thirrmë,call
286,Lärm::N,zhurmë,noise
287,Laut::N,tingull,sound
288,Ton::N,ton,tone
289,Lied::N,këngë,song
290,Ruhe::N,qetësi,calm
291,Leute::N,botë,people
292,Leute::N,njerëz,people
293,Volk::N,popull,nation
294,Arbeit::N,punë,work
295,Gast::N,mik,guest
296,Gast::N,mysafir,guest
297,Geschenk::N,dhuratë,gift
298,Geschenk::N,peshqesh,gift
299,Spiel::N,lojë,game
300,Gesellschaft::N,shoqëri,company
301,Hilfe::N,ndihmë,help
