,Concept_ID,ba,ml
123,Ast::N,ботаҡ,ശാഖ
124,Zweig::N,ботаҡ,ശാഖ
125,Zweig::N,тармаҡ,ശാഖ
126,Blatt::N,япраҡ,ഇല
127,Birke::N,ҡайын,പൂവരശ്
128,Kiefer[Baum]::N,ҡарғай,പൈൻമരം
129,Weide[Baum]::N,тал,വില്ലോ
130,Tanne::N,шыршы,ദേവദാരു
131,Horn::N,мөғөҙ,മൃഗത്തിൻറെ കൊമ്പ്
132,Feder::N,ҡауырһын,തൂവൽ
133,Fell::N,тире,മൃദുരോമം
134,Flügel::N,ҡанат,ചിറക്
135,Klaue::N,тырнаҡ,നഖം
136,Kralle::N,аяҡ,നഖം
137,Schwanz::N,ҡойроҡ,വാൽ
138,Ei::N,йомортҡа,മുട്ട
139,Nest::N,оя,കൂട്
140,Bau::N,оң,മാളം
141,Tier::N,жайуан,മൃഗം
142,Tier::N,йыртҡыс,മൃഗം
143,Herde::N,көтөү,കൂട്ടം
144,Kuh::N,һыйыр,പശു
145,Bulle::N,үгеҙ,കാള
146,Pferd::N,ат,കുതിര
147,Schaf::N,һарыҡ,ആട്
148,Schwein::N,сусҡа,പന്നി
149,Hund::N,эт,നായ്
150,Katze::N,бесәй,പൂച്ച
151,Bär::N,айыу,കരടി
152,Eichhörnchen::N,тейен,അണ്ണാൻ
153,Elch::N,мышы,കടമാന്
154,Fuchs::N,төлкө,കുറുക്കൻ
155,Hase::N,ҡуян,മുയൽ
156,Maus::N,сысҡан,ചുണ്ടലി
157,Wolf::N,бүре,ചെന്നായ
158,Vogel::N,ҡош,പക്ഷി
159,Schwarm::N,көтөү,കൂട്ടം
160,Huhn::N,тауыҡ,കോഴി
161,Hahn::N,әтәс,പൂവൻകോഴി
162,Gans::N,ҡаҙ,അരയന്നം
163,Adler::N,бөркөт,കഴുകൻ
164,Ente::N,өйрәк,താറാവ്
165,Eule::N,өкө,മൂങ്ങ
166,Eule::N,ябалаҡ,മൂങ്ങ
167,Kranich::N,торна,കൊക്ക്
168,Krähe::N,ҡарға,കാക്ക
169,Kuckuck::N,кәкүк,കുയിൽ
170,Schwan::N,аҡҡош,അരയന്നം
171,Fisch::N,балыҡ,മത്സ്യം
172,Barsch::N,алабуға,ഒരിനം മത്സ്യം
173,Hecht::N,суртан,ഒരു മത്സ്യം
174,Schlange[Tier]::N,йылан,പാമ്പ്
175,Wurm::N,селяүсен,വിര
176,Spinne::N,үрмәксе,ചിലന്തി
177,Ameise::N,ҡырмыҫҡа,ഉറുമ്പ്
178,Laus::N,бет,പേന്
179,Mücke::N,серәкәй,മശകം
180,Fliege::N,себен,ഈച്ച
181,Schmetterling::N,күбәләк,ചിത്രശലഭം
182,Beere::N,еләк,ബെറി
183,Apfel::N,алма,ആപ്പിൾ
184,Pilz::N,бәшмәк,കൂൺ
185,Zwiebel::N,һуган,സവാള
186,Saat::N,орлоҡ,വിത്ത്
187,Korn::N,иген,ധാന്യം
188,Heu::N,бесән,വയ്ക്കോൽ
189,Schale::N,ҡабыҡ,തൊലി
190,Grube::N,соҡор,കുഴി
191,Falle::N,тоҙак,കെണി
192,Falle::N,ҡапҡан,കെണി
193,Schlinge::N,тоҙак,കുടുക്ക്
194,Spur::N,әҫер,ചുവട്
195,Asche::N,көл,ചാരം
196,Dreck::N,батҡаҡ,അഴുക്ക്
197,Eisen::N,тимер,ഇരുമ്പ്
198,Gold::N,алтын,സ്വർണ്ണം
199,Silber::N,көмөш,വെള്ളി
200,Kohle::N,күмер,കൽക്കരി
201,Glas::N,быяла,ഗ്ലാസ്
202,Lehm::N,балсыҡ,കളിമണ്ണ്
203,Sand::N,ҡом,മണൽ
204,Mensch::N,кеше,മനുഷ്യർ
205,Mann::N,ир,പുരുഷൻ
206,Frau::N,ҡатын,സ്ത്രീ
207,Kind::N,бала,കുഞ്ഞ്
208,Junge::N,малай,ആൺകുട്ടി
209,Mädchen::N,ҡыҙ,പെൺകുട്ടി
210,Mädchen::N,ҡыҙыҡай,പെൺകുട്ടി
211,Familie::N,ғаилә,കുടുംബം
212,Großvater::N,олатай,അപ്പൂപ്പൻ
213,Großmutter::N,әбәй,അമ്മുമ്മ
214,Eltern::N,ата-әсә,മാതാപിതാക്കള്
215,Vater::N,атай,അച്ഛൻ
216,Mutter::N,әсә,അമ്മ
217,Sohn::N,ул,മകൻ
218,Tochter::N,ҡыҙ,മകൾ
219,Bruder::N,агай,ചേട്ടൻ
220,Bruder::N,агай,അനിയൻ
221,Schwester::N,алай,ചേച്ചി
222,Schwester::N,алай,അനിയത്തി
223,Schwester::N,һеңле,ചേച്ചി
224,Schwester::N,һеңле,അനിയത്തി
225,Onkel::N,ағай,അമ്മാവൻ
226,Tante::N,апай,മാമി
227,Ehemann::N,ир,ഭർത്താവ്
228,Ehefrau::N,ҡатын,ഭാര്യ
229,Freude::N,шатлыҡ,ആഹ്ലാദം
230,Freude::N,ҡыуаныс,ആഹ്ലാദം
231,Gelächter::N,көлөү,ചിരിയുടെ ശബ്ദം
232,Glück::N,бәхет,സന്തോഷം
233,Glück::N,бәхет,സന്തുഷ്ടി
234,Kummer::N,ҡайғы,ശോകം
235,Wunsch::N,теләк,ആഗ്രഹം
236,Lust::N,әүәҫлек,ആഗ്രഹം
237,Geist::N,аң,ചുറുചുറുക്ക്
238,Geist::N,рух,ചുറുചുറുക്ക്
239,Gedanke::N,уй,ചിന്ത
240,Gedanke::N,фекер,ചിന്ത
241,Gedächtnis::N,хәтер,ഓർമ്മശക്തി
242,Verstand::N,аҡыл,മനസ്സ്
243,Sinn::N,мәғәня,അർത്ഥം
244,Grund::N,сәбәп,കാരണം
245,Wahrheit::N,дөрөҫлөк,സത്യം
246,Gespräch::N,әңгәмә,സല്ലാപം
247,Märchen::N,әкиәт,യക്ഷിക്കഥ
248,Erzählung::N,хикәйә,കഥ
249,Nachricht::N,хәбәр,സന്ദേശം
250,Neuigkeit::N,яңылыҡ,വാർത്ത
251,Name::N,исем,പേര്
252,Rätsel::N,йомаҡ,പ്രഹേളിക
253,Rede::N,телмәр,സംസാരം
254,Sprache::N,тел,ഭാഷ
255,Sprache::N,телмәр,ഭാഷ
256,Stimme::N,тауыш,സ്വരം
257,Wort::N,һүҙ,വാക്ക്
258,Zeichen::N,билдә,സംജ്ഞ
259,Ruf::N,саҡырыу,വിളി
260,Lärm::N,шаулау,ആരവം
261,Laut::N,тауыш,ശബ്ദം
262,Ton::N,яңғырау,സ്വരഭേദം
263,Lied::N,йыр,പാട്ട്
264,Ruhe::N,ял,നിശ്ചലത
265,Ruhe::N,тыныслыҡ,നിശ്ചലത
