,Concept_ID,tt,sv
0,Auge::N,күз,öga
1,Ohr::N,колак,öra
2,Nase::N,борын,näsa
3,Mund::N,авыз,mun
4,Mund::N,тамак,mun
5,Zahn::N,теш,tand
6,Zunge::N,тел,tunga
7,Lippe::N,ирен,läpp
8,Wange::N,яңак,kind
9,Gesicht::N,йөз,syn
10,Gesicht::N,йөз,ansikte
11,Stirn::N,маңгай,panna
12,Haar::N,чәч,hår
13,Schnurrbart::N,мыек,mustasch
14,Bart::N,сакал,skägg
15,Kinn::N,ияк,haka
16,Kiefer[Anatomie]::N,казналык,käke
17,Kehle::N,тамак,strupe
18,Hals::N,бугаз,hals
19,Genick::N,җилкә,nacke
20,Kopf::N,баш,huvud
21,Rücken::N,сырт,rygg
22,Bauch::N,корсак,buk
23,Bauch::N,корсак,mage
24,Nabel::N,кендек,navel
25,Busen::N,түш,barm
26,Brust::N,имчәк,bröst
27,Brust::N,күкрәк,bröst
28,Schulter::N,иңбаш,skuldra
29,Schulter::N,кулбаш,skuldra
30,Arm::N,кул,arm
31,Ellenbogen::N,терсәк,armbåge
32,Hand::N,кул,hand
33,Handfläche::N,уч,handflata
34,Finger::N,бармак,finger
35,Fingernagel::N,тырнак,fingernagel
36,Nagel[Anatomie]::N,тырнак,nagel
37,Zeh::N,бармак,tå
38,Fuß::N,табан,fot
39,Ferse::N,үкчә,häl
40,Knie::N,тез,knä
41,Oberschenkel::N,бот,lår
42,Bein::N,аяк,ben
43,Körper::N,тән,kropp
44,Körper::N,җисем,kropp
45,Haut::N,тире,hud
46,Haut::N,тире,skinn
47,Blut::N,кан,blod
48,Ader::N,тамыр,åder
49,Sehne::N,сеңер,sena
50,Knochen::N,сөяк,ben
51,Gehirn::N,ми,hjärna
52,Herz::N,йөрәк,hjärta
53,Magen::N,ашказаны,mage
54,Leber::N,бавыр,lever
55,Atem::N,сулыш,anda
56,Atem::N,сулыш,andedräkt
57,Hunger::N,ачлык,svält
58,Hunger::N,ачлык,hunger
59,Träne::N,яшь,tår
60,Geschmack::N,тәм,smak
61,Geschmack::N,зәвык,smak
62,Geruch::N,ис,lukt
63,Schlaf::N,йокы,sömn
64,Traum::N,төш,dröm
65,Himmel::N,күк,himmel
66,Sonne::N,кояш,sol
67,Mond::N,ай,måne
68,Stern::N,йолдыз,stjärna
69,Luft::N,һава,luft
70,Wind::N,җил,vind
71,Welle::N,дулкын,våg
72,Welle::N,дулкын,bölja
73,Wasser::N,су,vatten
