,Concept_ID,la,pl
0,Auge::N,oculus,oko
1,Ohr::N,auris,ucho
2,Nase::N,nasus,nos
3,Mund::N,os,usta
4,Zahn::N,dens,ząb
5,Zunge::N,lingua,język
6,Lippe::N,labrum,warga
7,Wange::N,gena,policzek
8,Gesicht::N,vultus,twarz
9,Stirn::N,frons,czoło
10,Haar::N,capillus,włos
11,Haar::N,capillus,włosy
12,Schnurrbart::N,barba labri superioris,wąsy
13,Bart::N,barba,broda
14,Kinn::N,mentum,podbródek
15,Kiefer[Anatomie]::N,mala,czeluść
16,Kehle::N,iugulums,gardło
17,Hals::N,collum,szyja
18,Genick::N,cervices,kark
19,Kopf::N,caput,głowa
20,Rücken::N,tergum,plecy
21,Rücken::N,tergum,grzbiet
22,Bauch::N,venter,brzuch
23,Nabel::N,umbilicus,pępek
24,Busen::N,sinus,biust
25,Brust::N,pectus,pierś
26,Schulter::N,umerus,bark
27,Schulter::N,umerus,ramię
28,Arm::N,bracchium,ręka
29,Arm::N,bracchium,ramię
30,Ellenbogen::N,cubitum,łokieć
31,Hand::N,manus,dłoń
32,Handfläche::N,palma,dłoń
33,Finger::N,digitus,palec
34,Fingernagel::N,unguiculus,paznokieć
35,Nagel[Anatomie]::N,unguis,paznokieć
36,Zeh::N,digitus,palec
37,Fuß::N,pes,stopa
38,Ferse::N,calx,pięta
39,Knie::N,genu,kolano
40,Oberschenkel::N,femur,udo
41,Bein::N,crus,noga
42,Körper::N,corpus,ciało
43,Haut::N,cutis,skóra
44,Haut::N,pellis,skóra
45,Blut::N,sanguis,krew
46,Ader::N,vena,żyła
47,Sehne::N,nervus,ścięgno
48,Knochen::N,os,kość
49,Gehirn::N,cerebrum,mózg
50,Herz::N,cor,serce
51,Herz::N,animus,serce
52,Magen::N,stomachus,żołądek
53,Leber::N,iecur,wątroba
54,Atem::N,spiritus,dech
55,Atem::N,spiritus,oddech
56,Hunger::N,fames,głód
57,Träne::N,lacrima,łza
58,Geschmack::N,sapor,smak
59,Geschmack::N,gustus,smak
60,Geruch::N,odor,woń
61,Geruch::N,odor,zapach
62,Schlaf::N,somnus,sen
63,Traum::N,somnium,sen
64,Himmel::N,caelum,niebo
65,Sonne::N,sol,słońce
66,Mond::N,luna,księżyc
67,Stern::N,sidus,gwiazda
68,Stern::N,stella,gwiazda
69,Luft::N,aer,powietrze
70,Wind::N,ventus,wiatr
71,Welle::N,unda,fala
72,Wasser::N,aqua,woda
73,Stein::N,lapis,kamień
74,Boden::N,solum,grunt
75,Erde::N,terra,ziemia
76,Staub::N,pulvis,pył
77,Staub::N,pulvis,kurz
78,Rauch::N,fumus,dym
79,Funke::N,scintilla,iskra
80,Feuer::N,ignis,ogień
81,Licht::N,lux,światło
82,Licht::N,lumen,światło
83,Schatten::N,umbra,cień
84,Wetter::N,caelum,pogoda
85,Wetter::N,tempestas,pogoda
86,Nebel::N,nebula,mgła
87,Wolke::N,nubes,obłok
88,Wolke::N,nubes,chmura
89,Regen::N,imber,deszcz
90,Regen::N,pluvia,deszcz
91,Schnee::N,nix,śnieg
92,Eis::N,glacies,lód
93,Frost::N,gelu,mróz
94,Kälte::N,frigus,chłód
95,Hitze::N,calor,gorąco
96,Hitze::N,aestus,gorąco
97,Raureif::N,pruina,szron
98,Regenbogen::N,arcus,tęcza
99,Donner::N,tonitrus,grzmot
100,Strömung::N,fluctus,nurt
101,Tropfen::N,gutta,kropla
102,Schaum::N,spuma,piana
103,Schmutz::N,sordes,brud
104,Schmutz::N,squalor,brud
105,See::N,lacus,jezioro
106,Sumpf::N,palus,bagno
107,Moor::N,palus,bagno
108,Wiese::N,pratum,łąka
109,Wald::N,silva,las
110,Hügel::N,collis,pagórek
111,Anhöhe::N,specula,wzgórze
112,Berg::N,mons,góra
113,Gipfel::N,vertex,szczyt
114,Gipfel::N,vertex,wierzchołek
115,Höhle::N,caverna,pieczara
116,Höhle::N,spelunca,pieczara
117,Abhang::N,declivum,stok
118,Abhang::N,declivum,zbocze
119,Quelle::N,fons,zdrój
120,Quelle::N,fons,źródło
121,Bach::N,rivus,potok
122,Bach::N,rivus,strumień
123,Fluss::N,flumen,rzeka
124,Ufer::N,ripa,brzeg
125,Küste::N,litus,wybrzeże
126,Festland::N,continens,ląd
127,Meer::N,mare,morze
128,Bucht::N,sinus,zatoka
129,Insel::N,insula,wyspa
130,Blume::N,flos,kwiat
131,Gras::N,herba,trawa
132,Gras::N,gramen,trawa
133,Wurzel::N,radix,korzeń
134,Baum::N,arbor,drzewo
135,Stamm::N,truncus,pień
136,Rinde::N,cortex,kora
137,Ast::N,ramus,gałąź
138,Zweig::N,ramus,gałąź
139,Blatt::N,folium,liść
140,Birke::N,betulla,brzoza
141,Kiefer[Baum]::N,pinus,sosna
142,Weide[Baum]::N,salix,wierzba
143,Tanne::N,abies,jodła
144,Horn::N,cornu,róg
145,Feder::N,penna,pióro
146,Fell::N,pellis,futro
147,Flügel::N,ala,skrzydło
148,Klaue::N,unguis,szpon
149,Kralle::N,unguis,pazur
150,Schwanz::N,cauda,ogon
151,Ei::N,ovum,jajko
152,Nest::N,nidus,gniazdo
153,Bau::N,cavum,nora
154,Bau::N,latibulum,nora
155,Tier::N,bestia,zwierzę
156,Herde::N,grex,stado
157,Herde::N,grex,trzoda
158,Kuh::N,vacca,krowa
159,Bulle::N,taurus,byk
160,Pferd::N,equus,koń
161,Schaf::N,ovis,owca
162,Schwein::N,sus,świnia
163,Schwein::N,porcus,świnia
164,Hund::N,canis,pies
165,Katze::N,felis,kot
166,Katze::N,felis,kotka
167,Bär::N,ursus,niedźwiedż
168,Eichhörnchen::N,sciurus,wiewiórka
169,Elch::N,alces,łóś
170,Fuchs::N,vulpes,lis
171,Hase::N,lepus,zając
172,Maus::N,mus,mysz
173,Wolf::N,lupus,wilk
174,Vogel::N,avis,ptak
175,Schwarm::N,examen,stado
176,Huhn::N,gallina,kura
177,Hahn::N,gallus,kogut
178,Gans::N,anser,gęś
179,Adler::N,aquila,orzeł
180,Ente::N,anas,kaczka
181,Eule::N,ulula,sowa
182,Eule::N,noctua,sowa
183,Kranich::N,grus,żuraw
184,Krähe::N,cornix,wrona
185,Kuckuck::N,cuculus,kukułka
186,Schwan::N,olor,łabędż
187,Schwan::N,cycnus,łabędż
188,Fisch::N,piscis,ryba
189,Barsch::N,perca,okoń
190,Hecht::N,esox,szczupak
191,Schlange[Tier]::N,serpens,wąż
192,Schlange[Tier]::N,serpens,żmija
193,Wurm::N,vermis,robak
194,Spinne::N,aranea,pająk
195,Ameise::N,formica,mrówka
196,Laus::N,pediculus,wesz
197,Mücke::N,culex,komar
198,Fliege::N,musca,mucha
199,Schmetterling::N,papilio,motyl
200,Beere::N,baca,jagoda
201,Apfel::N,malum,jabłko
