,Concept_ID,es,te
0,Auge::N,ojo,కన్ను
1,Ohr::N,oreja,చెవి
2,Nase::N,nariz,ముక్కు
3,Mund::N,boca,నోరు
4,Zahn::N,diente,పల్లు
5,Zunge::N,lengua,నాలుక
6,Lippe::N,labio,పెదవి
7,Wange::N,mejilla,చెంప
8,Gesicht::N,cara,ముఖము
9,Stirn::N,frente,నుదురు
10,Haar::N,cabello,వెండ్రుక
11,Schnurrbart::N,bigote,మీసము
12,Bart::N,barba,గడ్డము
13,Kinn::N,barbilla,గడ్డము
14,Kiefer[Anatomie]::N,mandíbula,దౌడ
15,Kehle::N,garganta,గొంతు
16,Hals::N,cuello,మెడ
17,Genick::N,nuca,మూపు
18,Genick::N,cerviz,మూపు
19,Kopf::N,cabeza,తల
20,Rücken::N,espalda,వెన్ను
21,Bauch::N,vientre,కడుపు
22,Nabel::N,ombligo,బొడ్డు
23,Busen::N,pecho,స్తనము
24,Brust::N,pecho,ఱొమ్ము
25,Schulter::N,hombro,భుజము
26,Arm::N,brazo,చేయి
27,Ellenbogen::N,codo,మోచేయి
28,Hand::N,mano,చేయి
29,Handfläche::N,palma,అరచేయు
30,Finger::N,dedo,చేతిప్రేలు
31,Fingernagel::N,uña,గోరు
32,Nagel[Anatomie]::N,uña,గోరు
33,Zeh::N,dedo del pie,కాలిప్రేలు
34,Fuß::N,pie,అడుగు
35,Ferse::N,talón,మడమ
36,Knie::N,rodilla,మోకాలు
37,Oberschenkel::N,muslo,తొడ
38,Bein::N,pierna,కాలు
39,Körper::N,cuerpo,కాయము
40,Haut::N,piel,చర్మము
41,Blut::N,sangre,రక్తము
42,Ader::N,vena,సిర
43,Sehne::N,tendón,స్నాయువు
44,Knochen::N,hueso,ఎముక
45,Gehirn::N,cerebro,మెదడు
46,Gehirn::N,encéfalo,మెదడు
47,Herz::N,corazón,హృదయము
48,Magen::N,estómago,కడుపు
49,Leber::N,hígado,కాలేయము
50,Atem::N,aliento,ఉపిరి
51,Hunger::N,hambre,ఆకలి
52,Träne::N,lágrima,కన్నీటిచుక్క
53,Geschmack::N,gusto,రుచి
54,Geruch::N,olor,వాసన
55,Schlaf::N,sueño,నిద్ర
56,Traum::N,sueño,కల
57,Traum::N,ensueño,కల
58,Himmel::N,cielo,ఆకాశము
59,Sonne::N,sol,సూర్యుడు
60,Mond::N,luna,చంద్రుడు
61,Stern::N,estrella,నక్షత్రము
62,Luft::N,aire,గాలి
63,Wind::N,viento,వీచుచున్నగాలి
64,Welle::N,ola,అల
65,Welle::N,onda,అల
66,Wasser::N,agua,నీరు
67,Stein::N,piedra,ఱాయి
68,Boden::N,suelo,నేల
69,Erde::N,tierra,మన్ను
70,Staub::N,polvo,దుమ్ము
71,Rauch::N,humo,పొగ
72,Funke::N,chispa,అగ్నికణము
73,Feuer::N,fuego,అగ్ని
74,Licht::N,luz,కాంతి
75,Schatten::N,sombra,నీడ
76,Wetter::N,tiempo,వాతావరణ స్థితి
77,Nebel::N,niebla,పొగమంచు
78,Wolke::N,nube,మేఘము
79,Regen::N,lluvia,వాన
80,Schnee::N,nieve,హిమము
81,Eis::N,hielo,మంచుగడ్డ
82,Frost::N,helada,పేరిన మంచు
83,Kälte::N,frío,చలి
84,Hitze::N,calor,వేడిమి
85,Raureif::N,escarcha,మంచు
86,Regenbogen::N,arco iris,ఇంద్రధనుస్సు
87,Donner::N,trueno,ఉరుము
88,Strömung::N,corriente,ప్రవాహము
89,Tropfen::N,gota,చుక్క
90,Schaum::N,espuma,నురుగు
91,Schmutz::N,suciedad,మైల
92,See::N,lago,సరస్సు
93,Sumpf::N,pantano,చిత్తడినేల
94,Moor::N,turbera,చిత్తడినేల
95,Wiese::N,prado,పచ్చిక బయలు
96,Wiese::N,pradera,పచ్చిక బయలు
97,Wald::N,bosque,అడవి
98,Hügel::N,colina,చివ్నకొండ
99,Anhöhe::N,cerro,కొండ
100,Berg::N,monte,పర్వతము
101,Berg::N,montaña,పర్వతము
102,Gipfel::N,cima,శిఖరము
103,Gipfel::N,cumbre,శిఖరము
104,Höhle::N,cueva,గుహ
105,Höhle::N,caverna,గుహ
106,Abhang::N,cuesta,ఏటవాలు
107,Abhang::N,declive,ఏటవాలు
108,Quelle::N,fuente,మూలము
109,Quelle::N,manantial,మూలము
110,Bach::N,arroyo,కాలువ
111,Fluss::N,río,నది
112,Ufer::N,orilla,తీరము
113,Küste::N,costa,తీరము
114,Festland::N,tierra firme,భూమి
115,Meer::N,mar,సముద్రము
116,Bucht::N,cala,మరుగు
117,Bucht::N,bahía,మరుగు
118,Insel::N,isla,దీవి
119,Blume::N,flor,పుష్పము
120,Gras::N,hierba,పచ్చగడ్డి
121,Wurzel::N,raíz,వేరు
122,Baum::N,árbol,చెట్టు
123,Stamm::N,tronco,చెట్టుబోదె
124,Rinde::N,corteza,చెట్టుపట్ట
125,Ast::N,rama,కొమ్మ
126,Zweig::N,ramo,చివుకు
127,Blatt::N,hoja,ఆకు
128,Birke::N,abedul,తరహా చెట్టు
129,Kiefer[Baum]::N,pino,దేవదారు చెట్టు
130,Weide[Baum]::N,sauce,జాతిచెట్టు
131,Tanne::N,abeto,దేవదారుచెట్టు
132,Horn::N,asta,కొమ్ము
133,Horn::N,cuerno,కొమ్ము
134,Feder::N,pluma,ఈక
135,Fell::N,piel,తోలు
136,Flügel::N,ala,ఱెక్క
137,Klaue::N,garra,వంకరగోరు
138,Kralle::N,uña,వంకరగోరు
139,Kralle::N,garra,వంకరగోరు
140,Schwanz::N,cola,తోక
141,Ei::N,huevo,గ్రుడ్డు
142,Nest::N,nido,పక్షిగూడు
143,Bau::N,madriguera,గుహ
144,Tier::N,animal,జంతువు
145,Herde::N,rebaño,మంద
146,Kuh::N,vaca,ఆవు
147,Bulle::N,toro,గిత్త
148,Pferd::N,caballo,గుఱ్ఱము
149,Schaf::N,oveja,గొఱ్ఱె
150,Schwein::N,cerdo,పంది
151,Hund::N,perro,కుక్క
152,Katze::N,gato,పిల్లి
153,Bär::N,oso,ఎలుగుబంటి
154,Eichhörnchen::N,ardilla,ఉడుత
155,Elch::N,alce,కణంజు
156,Fuchs::N,zorro,గుంటనక్క
157,Hase::N,liebre,కుందేలు
158,Maus::N,ratón,చిట్టెలుక
159,Wolf::N,lobo,తోడేలు
160,Vogel::N,ave,పక్షి
161,Vogel::N,pájaro,పక్షి
162,Schwarm::N,bandada,గుంపు
163,Huhn::N,gallina,కోడిపిల్ల
164,Hahn::N,gallo,కోడివుంజు
165,Gans::N,oca,ఆడుబాతు
166,Gans::N,ganso,ఆడుబాతు
167,Adler::N,águila,గ్రద్ద
168,Ente::N,pato,పాట్టిబాతు
169,Eule::N,lechuza,గ్రుడ్లగూబ
170,Kranich::N,grulla,కొంగ
171,Krähe::N,corneja,కాకి
172,Kuckuck::N,cuco,కోయల
173,Schwan::N,cisne,హంస
174,Fisch::N,pez,చేప
175,Barsch::N,perca,ఒకచేఁప
176,Hecht::N,lucio,గండుమీను
177,Schlange[Tier]::N,serpiente,పాము
178,Wurm::N,gusano,పురుగు
179,Spinne::N,araña,సాలె పురుగు
180,Ameise::N,hormiga,చీమ
181,Laus::N,piojo,పేను
182,Mücke::N,mosquito,చీకటీగ
183,Fliege::N,mosca,ఈగ
184,Schmetterling::N,mariposa,సీతాకోకచిలుక
185,Beere::N,baya,కాయ
186,Apfel::N,manzana,ఆపిల్ పండు
187,Pilz::N,seta,కుక్కగొడుగు
188,Pilz::N,hongo,కుక్కగొడుగు
189,Zwiebel::N,cebolla,నీరుల్లి
190,Saat::N,siembra,విత్తనము
191,Korn::N,grano,గింజ
192,Heu::N,heno,ఎండుగడ్డి
193,Schale::N,cáscara,పొట్టు
194,Grube::N,foso,గొయ్యి
195,Falle::N,trampa,బోను
196,Schlinge::N,lazo,ఉరి
197,Spur::N,huella,జాడ
198,Asche::N,ceniza,బూడిద
199,Dreck::N,suciedad,ముఱికి
200,Eisen::N,hierro,ఇనుము
201,Gold::N,oro,బంగారము
202,Silber::N,plata,వెండి
203,Kohle::N,carbón,నేలబొగ్గు
204,Glas::N,vidrio,గాజు
205,Glas::N,cristal,గాజు
206,Lehm::N,barro,బంకమన్ను
207,Sand::N,arena,ఇసుక
208,Mensch::N,hombre,నరుడు
209,Mensch::N,ser humano,నరుడు
210,Mann::N,hombre,పురుమడు
211,Frau::N,mujer,ఆడుది
212,Kind::N,niño,బిడ్డ
213,Junge::N,chico,బాలుడు
214,Junge::N,muchacho,బాలుడు
215,Mädchen::N,chica,బాలిక
216,Mädchen::N,muchacha,బాలిక
217,Familie::N,familia,కుటుంబము
218,Großvater::N,abuelo,తాత
219,Großmutter::N,abuela,అయ్యమ్మ
220,Eltern::N,padres,తల్లితండ్రులు
221,Vater::N,padre,తండ్రి
222,Mutter::N,madre,తల్లి
223,Sohn::N,hijo,కొడుకు
224,Tochter::N,hija,కూతురు
225,Bruder::N,hermano,పోదరుడు
226,Schwester::N,hermana,సోదరి
227,Onkel::N,tío,మేనమామ
228,Tante::N,tía,మేనత్త
229,Tante::N,tía,పినతల్లి
230,Ehemann::N,esposo,భర్త
231,Ehefrau::N,esposa,భార్య
232,Freude::N,placer,సంతోషము
233,Freude::N,alegría,సంతోషము
234,Gelächter::N,risa,నవ్వు
235,Gelächter::N,carcajada,నవ్వు
236,Glück::N,felicidad,సంతోషము
237,Kummer::N,pena,దుఃఖము
238,Wunsch::N,deseo,కోరిక
239,Lust::N,ganas,కోరిక
240,Geist::N,mente,ఆత్మ
241,Geist::N,espíritu,ఆత్మ
242,Gedanke::N,idea,ఆలోచన
243,Gedanke::N,pensamiento,ఆలోచన
244,Gedächtnis::N,memoria,జ్ఞాపకము
245,Verstand::N,razón,మనస్సు
246,Verstand::N,entendimiento,మనస్సు
247,Sinn::N,sentido,అర్థము
248,Sinn::N,significado,అర్థము
249,Grund::N,causa,కారణము
250,Wahrheit::N,verdad,సత్యము
251,Gespräch::N,conversación,పంభాషణ
252,Märchen::N,cuento,అద్భుతకథ
253,Erzählung::N,cuento,కథ
254,Erzählung::N,narración,కథ
255,Nachricht::N,mensaje,వార్త
256,Neuigkeit::N,noticia,వార్త
257,Name::N,nombre,పేరు
258,Rätsel::N,acertijo,చిక్కు
259,Rätsel::N,adivinanza,చిక్కు
260,Rede::N,discurso,ఉపన్యాసము
261,Sprache::N,lengua,భాష
262,Stimme::N,voz,కంరథ్సని
263,Wort::N,palabra,మాట
264,Zeichen::N,señal,గుర్తు
265,Ruf::N,llamada,పిలువు
266,Lärm::N,ruido,సందడి
267,Lärm::N,barullo,సందడి
268,Laut::N,sonido,ధ్వని
269,Ton::N,tono,స్వరము
270,Lied::N,canción,పాట
271,Ruhe::N,calma,గాలిలేమి
272,Ruhe::N,silencio,గాలిలేమి
273,Leute::N,gente,జనులు
274,Volk::N,pueblo,జాతి
275,Arbeit::N,trabajo,పని
276,Gast::N,huésped,అతిధి
277,Gast::N,invitado,అతిధి
278,Geschenk::N,regalo,దానము
279,Spiel::N,juego,ఆట
280,Gesellschaft::N,compañía,జట్టు
281,Hilfe::N,ayuda,సాహాయ్యము
282,Hilfe::N,socorro,సాహాయ్యము
283,Freund::N,amigo,స్నేహితుడు
284,Kamerad::N,camarada,చెలికాడు
285,Kamerad::N,compañero,చెలికాడు
286,Angelegenheit::N,asunto,విషయము
287,Anzahl::N,cantidad,లెక్క
288,Art::N,tipo,జాతి
289,Art::N,clase,జాతి
290,Stück::N,pieza,తునుక
291,Teil::N,parte,భాగము
292,Hälfte::N,mitad,సగము
293,Kreis::N,círculo,వృత్తము
294,Kreuz::N,cruz,సిలువ
295,Linie::N,línea,గీత
296,Strich::N,raya,గీత
297,Strich::N,trazo,గీత
298,Abstand::N,distancia,సందు
299,Entfernung::N,distancia,దూరము
300,Gegend::N,región,విస్తీర్ణము
301,Gegend::N,comarca,విస్తీర్ణము
302,Platz::N,espacio,ఎడము
303,Ort::N,sitio,స్థలము
304,Seite::N,lado,ప్రక్క
305,Seite::N,costado,ప్రక్క
306,Mitte::N,medio,నడిమి
307,Mitte::N,centro,నడిమి
308,Gegenstand::N,objeto,పద్దు
309,Sache::N,cosa,వస్తువు
310,Rand::N,borde,అంచు
311,Kante::N,borde,అంచు
312,Ecke::N,esquina,మూల
313,Spitze::N,punta,మొన
314,Ende::N,cabo,కొన
315,Ende::N,extremo,కొన
316,Loch::N,agujero,రంధ్రము
317,Loch::N,abertura,రంధ్రము
318,Winkel::N,ángulo,కోణము
319,Muster::N,dibujo,మాదిరి
320,Größe::N,tamaño,పరిమాణము
321,Länge::N,longitud,పొడుగు
322,Höhe::N,altura,పొడుగు
323,Höhe::N,altitud,పొడుగు
324,Gewicht::N,peso,భారము
325,Menge::N,cantidad,మొత్తము
326,Haufen::N,montón,రాశి
327,Reihe::N,fila,వరుస
328,Boot::N,bote,పడవ
329,Boot::N,barca,పడవ
330,Ruder::N,remo,అడక
331,Schlitten::N,trineo,సరవండ్లు
332,Ski::N,esquí,స్కీ
333,Lagerfeuer::N,hoguera,నెగడు
334,Last::N,carga,బరువు
335,Gang::N,marcha,నడక
336,Schritt::N,paso,అడుగు
337,Norden::N,norte,ఉత్తరదిక్కు
338,Süden::N,sur,దక్షిణము
339,Westen::N,oeste,పడమర
340,Osten::N,este,తూర్పు
341,Holz::N,madera,కొయ్య
342,Brett::N,tabla,పలక
343,Platte::N,placa,పలక
344,Platte::N,plancha,పలక
345,Stütze::N,sostén,వాల్సేడ్లు
346,Stütze::N,soporte,వాల్సేడ్లు
347,Stange::N,vara,స్తంభము
348,Stange::N,percha,స్తంభము
349,Stock::N,palo,కఱ్ఱ
350,Stock::N,bastón,కఱ్ఱ
351,Stab::N,vara,కఱ్ఱ
352,Stab::N,bastón,కఱ్ఱ
353,Rohr::N,tubo,గొట్టము
354,Haus::N,casa,ఇల్లు
355,Heim::N,hogar,స్వగృహము
356,Ofen::N,estufa,పొయ్యి
357,Fußboden::N,suelo,నేల
358,Tisch::N,mesa,మేజా
