,Concept_ID,xal,hy
0,Auge::N,нүдн,աչք
1,Ohr::N,чикн,ականջ
2,Nase::N,хамр,քիթ
3,Mund::N,амн,բերան
4,Zahn::N,шүдн,ատամ
5,Zunge::N,келн,լեզու
6,Lippe::N,урл,շրթունք
7,Wange::N,халх,այտ
8,Wange::N,халх,թուշ
9,Gesicht::N,нүр,դեմք
10,Stirn::N,маңна,ճակատ
11,Haar::N,үсн,մազ
12,Schnurrbart::N,сахл,բեղ
13,Bart::N,сахл,մորուք
14,Bart::N,өргнә сахл,մորուք
15,Kinn::N,өргн,կզակ
16,Kiefer[Anatomie]::N,өргн,ծնոտ
17,Kehle::N,хол,կոկորդ
18,Hals::N,күзүн,վիզ
19,Hals::N,күзүн,պարանոց
20,Genick::N,гиҗг,ծոծրակ
21,Kopf::N,толһа,գլուխ
22,Rücken::N,нурһн,մեջք
23,Bauch::N,гесн,փոր
24,Bauch::N,гесн,որովայն
25,Nabel::N,киисн,պորտ
26,Busen::N,көкн,ծոց
27,Brust::N,чееҗ,կուրծք
28,Schulter::N,ээм,ուս
29,Arm::N,һар,թեւ
30,Arm::N,һар,բազուկ
31,Ellenbogen::N,тоха,արմունկ
32,Hand::N,баһлцг,ձեռք
33,Handfläche::N,альхн,ափ
34,Finger::N,хурһн,մատ
35,Finger::N,һарин хурһн,մատ
36,Fingernagel::N,хумсн,եղունգ
37,Nagel[Anatomie]::N,хумсн,եղունգ
38,Zeh::N,хурһн,ոտքի մատ
39,Zeh::N,көлин хурһн,ոտքի մատ
40,Fuß::N,тавг,ոտք
41,Ferse::N,өскә,գարշապար
42,Knie::N,өвдг,ծունկ
43,Oberschenkel::N,һуй,ազդր
44,Bein::N,көл,ոտք
45,Körper::N,махмуд,մարմին
46,Haut::N,арсн,մաշկ
47,Blut::N,цусн,արյուն
48,Ader::N,судцн,երակ
49,Sehne::N,шүрүсн,ջիղ
50,Sehne::N,шүрүсн,ձգտան
51,Knochen::N,ясн,ոսկոր
52,Gehirn::N,экн,խելք
53,Herz::N,зүркн,սիրտ
54,Magen::N,гесн,ստամոքս
55,Leber::N,элкн,լյարդ
56,Atem::N,әмсхл,շունչ
57,Hunger::N,харһнлһн,քաղց
58,Träne::N,нульмсн,արտասուք
59,Geschmack::N,амтн,համ
60,Geschmack::N,амтн,բուրմունք
61,Geruch::N,үнр,հոտ
62,Geruch::N,үнр,բուրում
63,Schlaf::N,нөр,քուն
64,Traum::N,зүүдн,երազ
65,Himmel::N,теңгр,երկինք
66,Sonne::N,нарн,արեւ
67,Mond::N,сар,լուսին
68,Stern::N,одн,աստղ
69,Luft::N,аһар,օդ
70,Wind::N,салькн,քամի
71,Welle::N,дольган,ալիք
72,Wasser::N,усн,ջուր
73,Stein::N,чолун,քար
74,Boden::N,Һазр,գետին
75,Erde::N,Һазр,հող
76,Staub::N,тоосн,փոշի
77,Rauch::N,утан,ծուխ
78,Funke::N,очн,կայծ
79,Feuer::N,һал,կրակ
80,Feuer::N,һал,հրդեհ
81,Licht::N,герл,լույս
82,Schatten::N,сүүдр,ստվեր
83,Wetter::N,теңгр,եղանակ
84,Nebel::N,будн,մեգ
85,Nebel::N,будн,մառախուղ
86,Wolke::N,үүлн,ամպ
87,Regen::N,хур,անձրև
88,Schnee::N,цасн,ձյուն
89,Eis::N,мөсн,սառույց
90,Frost::N,киитн,սառնամանիք
91,Kälte::N,киитн,դող
92,Hitze::N,халун,շոգ
93,Raureif::N,цаң,ցօղեղեամ
94,Raureif::N,кирү,ցօղեղեամ
95,Regenbogen::N,солңһ,ծիածան
96,Donner::N,оһтрһун дун,որոտ
97,Strömung::N,урсхл,հոսանք
98,Tropfen::N,дусал,կաթիլ
99,Schaum::N,көөсн,փրփուր
100,Schmutz::N,кир,կեղտ
101,See::N,нур,լիճ
102,Sumpf::N,унул,ճահիճ
103,Moor::N,улм,ճահիճ
104,Wiese::N,хадлһн,մարգագետին
105,Wald::N,ө-модн,անտառ
106,Hügel::N,толһа,բլուր
107,Anhöhe::N,хамр,բարձունք
108,Berg::N,уул,լեռ
109,Gipfel::N,ора,գագաթ
110,Gipfel::N,ора,կատար
111,Höhle::N,хадин көндә,քարայր
112,Abhang::N,ташу,լանջ
113,Abhang::N,ташу,զառիվայր
114,Quelle::N,булг,աղբյուր
115,Bach::N,һооҗур,վտակ
116,Fluss::N,һол,գետ
117,Ufer::N,көвә,ծովափ
118,Küste::N,көвә,ափ
119,Küste::N,көвә,ծովափ
120,Küste::N,теңгсин көвә,ափ
121,Küste::N,теңгсин көвә,ծովափ
122,Festland::N,хүүрә һазр,ցամաք
123,Meer::N,теңгс,ծով
124,Bucht::N,цекә,հաչիւն
125,Bucht::N,теңгсин цекә,հաչիւն
126,Insel::N,арл,վղզի
127,Blume::N,цецг,ծաղիկ
128,Gras::N,ноһан,խոտ
129,Wurzel::N,уңг,արմատ
130,Baum::N,модн,ծառ
131,Stamm::N,шилв,իրան
132,Stamm::N,һол модн,իրան
133,Rinde::N,көрсн,կեղեւ
134,Rinde::N,көрсн,հաչոց
135,Ast::N,ац,ճյուղ
136,Zweig::N,ац,ճյուղ
137,Blatt::N,хамтхасн,տերեւ
138,Birke::N,хусм модн,ցարասի
139,Kiefer[Baum]::N,шар харһа,սոճի
140,Weide[Baum]::N,удн,ուռենի
141,Tanne::N,җөөлн цаһан модн,եղեւին
142,Horn::N,өвр,
143,Feder::N,өрвлг,փետուր
144,Fell::N,арсн,մորթի
145,Flügel::N,җивр,թեւ
146,Klaue::N,хумсн,չանչ
147,Kralle::N,тавг,ճանկ
148,Schwanz::N,сүл,պոչ
149,Ei::N,өндгн,ձու
150,Nest::N,үр,բույն
151,Bau::N,нүкн,որջ
152,Bau::N,нүкн,բայոց
153,Tier::N,мал,կենդանի
154,Herde::N,сүрг мал,հոտ
155,Kuh::N,үкр,կով
156,Bulle::N,бух,ցուլ
157,Pferd::N,мөрн,ձի
158,Schaf::N,хөн,ոչխար
159,Schwein::N,һаха,խոզ
160,Hund::N,ноха,շուն
161,Katze::N,мис,կատու
162,Bär::N,аю,արջ
163,Eichhörnchen::N,кермн,սկյուռ
164,Elch::N,хандһа,հիւսիսային եղջերու
165,Fuchs::N,арат,աղվես
166,Hase::N,туула,նապաստակ
167,Maus::N,хулһн,մուկ
168,Wolf::N,чон,գայլ
169,Vogel::N,шовун,թռչուն
170,Schwarm::N,зел,երամ
171,Huhn::N,така,հավ
172,Hahn::N,эр така,աքաղաղ
173,Gans::N,һалун,սագ
174,Adler::N,һәрд,արծիվ
175,Ente::N,нуһсн,բադ
176,Eule::N,һурвлһ,բու
177,Kranich::N,тоһрун,կռունկ
178,Krähe::N,шаазһа,ագռավ
179,Kuckuck::N,эргин хуцдг,կուկու
180,Schwan::N,хун,կարապ
181,Fisch::N,заһсн,ձուկ
182,Barsch::N,шүрг,պերկես
183,Hecht::N,цурх,գայլաձուկ
184,Schlange[Tier]::N,моһа,օձ
185,Wurm::N,өтн,որդ
186,Wurm::N,өтн,ճիճու
187,Spinne::N,аралҗн,սարդ
188,Ameise::N,шорһлҗн,միջյուն
189,Laus::N,бөөсн,ոջիլ
190,Mücke::N,бөкүн,մժղուկ
191,Fliege::N,батхн,ճանճ
192,Schmetterling::N,эрвәкә,թիթեռ
193,Beere::N,бөөлҗрһн,հատապտուղ
194,Apfel::N,альмн,խնձոր
195,Pilz::N,теңгрин ки,սունկ
196,Zwiebel::N,мәңгрснә толһа,սոխ
197,Saat::N,буудян экн,սերմ
198,Korn::N,экн,հատիկ
199,Heu::N,өвсн,խոտ
200,Schale::N,хальсн,կեղեւ
201,Grube::N,нүкн,փոս
202,Falle::N,урх,ծուղակ
203,Falle::N,хавх,ծուղակ
204,Schlinge::N,бүтү,խեղդան
205,Spur::N,мөр,հետք
206,Asche::N,үмсн,մոխիր
207,Dreck::N,бальчг,աղտ
208,Eisen::N,төмр,երկաթ
209,Gold::N,алтн,ոսկի
210,Silber::N,мөңгн,արծաթ
211,Silber::N,цаһан мөңгн,արծաթ
212,Kohle::N,нүүрсн,քարածուխ
213,Glas::N,шил,ապակի
214,Lehm::N,шавр,կավ
215,Sand::N,элсн,ավազ
216,Mensch::N,күн,մարդ
217,Mensch::N,күмн,մարդ
218,Mann::N,эр,մարդ
219,Mann::N,эр,տղամարդ
220,Frau::N,күүкд күн,կին
221,Kind::N,үрн,զավակ
222,Junge::N,көвүн,տղա
223,Mädchen::N,бичкн күүкн,աղջիկ
224,Familie::N,бүл,ընտանիք
225,Großvater::N,өвк эцк,պապ
226,Großvater::N,наһц эцк,պապ
227,Großmutter::N,эмг эк,տատ
228,Großmutter::N,наһц эк,տատ
229,Eltern::N,эк эцк хойр,ծնողներ
230,Vater::N,эцк,հայր
231,Mutter::N,эк,մայր
232,Sohn::N,көвүн,որդի
233,Tochter::N,күүкн,աղջիկ
234,Tochter::N,күүкн,դուստր
235,Bruder::N,дү көвүн,եղբայր
236,Schwester::N,эгч,քույր
237,Schwester::N,дү күүкн,քույր
238,Onkel::N,авһ,քեռի
239,Onkel::N,авһ,հորեղբայր
240,Onkel::N,наһцх,քեռի
241,Onkel::N,наһцх,հորեղբայր
242,Tante::N,наһц эгч,մորաքույր
243,Ehemann::N,залу,մարդ
244,Ehemann::N,залу,ամուսին
245,Ehefrau::N,гергн,կին ամուսին
246,Freude::N,байр,ուրախություն
247,Gelächter::N,инәдн,ծիծաղ
248,Glück::N,җирһл,երջանկություն
249,Glück::N,сәәхн җирһл,երջանկություն
250,Kummer::N,зовлң,վիշտ
251,Wunsch::N,дурн,ցանկություն
252,Lust::N,җилвтлһн,փափագ
