,Concept_ID,fi,myv
0,Auge::N,silmä,сельме
1,Ohr::N,korva,пиле
2,Nase::N,nenä,судо
3,Mund::N,suu,курго
4,Zahn::N,hammas,пей
5,Zunge::N,kieli,кель
6,Lippe::N,huuli,турва
7,Wange::N,poski,чамабока
8,Wange::N,poski,чамаумарь
9,Gesicht::N,naama,чама
10,Gesicht::N,kasvot,чама
11,Stirn::N,otsa,коня
12,Haar::N,hius,черь
13,Haar::N,tukka,черь
14,Schnurrbart::N,viikset,ус
15,Schnurrbart::N,viikset,муюк
16,Bart::N,parta,сакал
17,Kinn::N,leuka,уло
18,Kiefer[Anatomie]::N,leukaluu,пейпакар
19,Kiefer[Anatomie]::N,leukaluu,пейловажа
20,Kehle::N,kurkku,кирьгапарь
21,Hals::N,kaula,кирьга
22,Genick::N,niska,човонь
23,Kopf::N,pää,пря
24,Rücken::N,selkä,копорь
25,Bauch::N,maha,пеке
26,Bauch::N,vatsa,пеке
27,Nabel::N,napa,почо
28,Busen::N,rinta,поте
29,Brust::N,rinta,меште
30,Schulter::N,olka,лавтов
31,Schulter::N,hartia,лавтов
32,Schulter::N,olkapää,лавтов
33,Arm::N,käsivarsi,кедь
34,Ellenbogen::N,kyynärpää,кенерепакарь
35,Hand::N,käsi,кедь
36,Handfläche::N,kämmen,кедькуншка
37,Handfläche::N,kämmen,кедьлапушка
38,Finger::N,sormi,сур
39,Fingernagel::N,kynsi,кенже
40,Nagel[Anatomie]::N,kynsi,кенже
41,Zeh::N,varvas,пильге сур
42,Fuß::N,jalka,пильге
43,Ferse::N,kantapää,кочкаря
44,Knie::N,polvi,эле
45,Knie::N,polvi,эзне
46,Knie::N,polvi,кумажа
47,Oberschenkel::N,reisi,качо
48,Bein::N,jalka,пильге
49,Körper::N,keho,рунго
50,Körper::N,ruumis,рунго
51,Haut::N,iho,киське
52,Blut::N,veri,верь
53,Ader::N,suoni,сан
54,Sehne::N,jänne,коське сан
55,Knochen::N,luu,пакарь
56,Gehirn::N,aivot,удем
57,Herz::N,sydän,седей
58,Magen::N,maha,пеке
59,Magen::N,vatsa,пеке
60,Leber::N,maksa,максо
61,Atem::N,henki,лексема
62,Atem::N,henki,оймень таргсема
63,Atem::N,hengitys,лексема
64,Atem::N,hengitys,оймень таргсема
65,Hunger::N,nälkä,вачочи
66,Träne::N,kyynel,селведь
67,Geschmack::N,maku,тансть
68,Geruch::N,haju,чине
69,Schlaf::N,uni,удома
70,Traum::N,uni,он
71,Himmel::N,taivas,менель
72,Sonne::N,aurinko,чи
73,Mond::N,kuu,ков
74,Stern::N,tähti,теште
75,Luft::N,ilma,кошт
76,Wind::N,tuuli,варма
77,Welle::N,aalto,толкун
78,Wasser::N,vesi,ведь
79,Stein::N,kivi,кев
80,Boden::N,maa,мода
81,Boden::N,maaperä,мода
82,Erde::N,maa,мастор
83,Staub::N,pöly,пуль
84,Rauch::N,savu,качамо
85,Funke::N,kipinä,сятко
86,Feuer::N,tuli,тол
87,Licht::N,valo,валдо
88,Schatten::N,varjo,сулей
89,Schatten::N,varjo,сулейкс
90,Wetter::N,sää,ушо
91,Nebel::N,sumu,сув
92,Wolke::N,pilvi,пель
93,Regen::N,sade,пиземс
94,Schnee::N,lumi,лов
95,Eis::N,jää,эй
96,Frost::N,halla,кельме
97,Frost::N,pakkanen,кельме
98,Kälte::N,vilu,якшамо
99,Kälte::N,kylmyys,якшамо
100,Hitze::N,helle,пси
101,Hitze::N,kuumuus,пси
102,Raureif::N,huurre,лекш
103,Regenbogen::N,sateenkaari,пурьгинечирьке
104,Regenbogen::N,sateenkaari,пурьгинеёнкс
105,Donner::N,jyrinä,пурьгине
106,Strömung::N,virtaus,чудема
107,Strömung::N,virtaus,чудевкс
108,Tropfen::N,tippa,петнявкс
109,Tropfen::N,pisara,петнявкс
110,Schaum::N,vaahto,чов
111,Schmutz::N,loka,рудаз
112,See::N,järvi,эрьке
113,Sumpf::N,suo,чей
114,Moor::N,räme,чей
115,Wiese::N,niitty,луга
116,Wald::N,metsä,вирь
117,Hügel::N,mäki,губорь
118,Hügel::N,mäki,пандыне
119,Hügel::N,kumpu,губорь
120,Hügel::N,kumpu,пандыне
121,Hügel::N,kukkula,губорь
122,Hügel::N,kukkula,пандыне
123,Anhöhe::N,mäki,губорь
124,Anhöhe::N,mäki,пандыне
125,Anhöhe::N,kumpare,губорь
126,Anhöhe::N,kumpare,пандыне
127,Berg::N,mäki,пандо
128,Berg::N,vuori,пандо
129,Gipfel::N,laki,пря
130,Gipfel::N,huippu,пря
131,Höhle::N,luola,пещера
132,Abhang::N,rinne,пандочама
133,Quelle::N,lähde,ушодкс
134,Bach::N,puro,чудикерькс
135,Fluss::N,joki,лей
136,Ufer::N,ranta,чире
137,Küste::N,rannikko,лейчире
138,Festland::N,manner,мода
139,Meer::N,meri,моря
140,Bucht::N,lahti,усия
141,Insel::N,saari,усия
142,Blume::N,kukka,цеця
143,Gras::N,ruoho,тикше
144,Wurzel::N,juuri,юр
145,Wurzel::N,juuri,ундокс
146,Baum::N,puu,чувто
