,Concept_ID,ml,he
0,Auge::N,കണ്ണ്,עין
1,Ohr::N,ചെവി,אזן
2,Nase::N,മൂക്ക്,אף
3,Nase::N,മൂക്ക്,חטם
4,Mund::N,വായ,פה
5,Zahn::N,പല്ല്,שן
6,Zunge::N,നാക്ക്,לשון
7,Lippe::N,ചുണ്ട്,שפה
8,Wange::N,കവിൾത്തടം,לחי
9,Gesicht::N,മുഖം,פנים
10,Stirn::N,നെറ്റി,מצח
11,Haar::N,തലമുടി,שערה
12,Schnurrbart::N,മീശ,שפם
13,Bart::N,താടിരോമം,זקן
14,Kinn::N,താടി,סנטר
15,Kiefer[Anatomie]::N,താടിയെല്ല്,לסת
16,Kehle::N,കണ്ഠനാളം,גרון
17,Hals::N,കഴുത്ത്,צואר
18,Genick::N,പിടലി,ערף
19,Kopf::N,തല,ראש
20,Rücken::N,മുതുക്,גב
21,Bauch::N,നയറ്,בטן
22,Nabel::N,നാഭി,טבור
23,Busen::N,സ്തനം,שד
24,Brust::N,സ്തനം,חזה
25,Schulter::N,തോൾ,כתף
26,Arm::N,കൈ,זרוע
27,Ellenbogen::N,കൈമുട്ട്,מרפק
28,Hand::N,കൈ,יד
29,Handfläche::N,ഉള്ളം കൈ,כף יד
30,Finger::N,വിരൽ,אצבע
31,Fingernagel::N,നഖം,צפרן
32,Nagel[Anatomie]::N,നഖം,צפרן
33,Zeh::N,കാൽവിരൽ,אצבע
34,Fuß::N,കാൽപ്പാദം,רגל
35,Ferse::N,ഉപ്പൂറ്റി,עקב
36,Knie::N,കാൽമുട്ട്,ברך
37,Oberschenkel::N,തുട,ירך
38,Bein::N,കാൽ,רגל
39,Körper::N,ശരീരം,גוף
40,Haut::N,ചർമ്മം,עור
41,Blut::N,രക്തം,דם
42,Ader::N,ഞരമ്പ്,וריד
43,Sehne::N,സ്നായു,גיד
44,Knochen::N,അസ്ഥി,עצם
45,Gehirn::N,തലച്ചോറ്,מוח
46,Herz::N,ഹൃദയം,לב
47,Magen::N,വയർ,קבה
48,Leber::N,കരൾ,כבד
49,Atem::N,ശ്വാസം,נשימה
50,Hunger::N,വിശപ്പ്,רעב
51,Träne::N,കണ്ണീർ,דמעה
52,Geschmack::N,രുചി,טעם
53,Geruch::N,ഗന്ധം,ריח
54,Schlaf::N,ഉറകും,שנה
55,Traum::N,സ്വപ്നം,חלום
56,Himmel::N,ആകാശം,שמים
57,Sonne::N,സൂര്യൻ,שמש
58,Mond::N,ചന്ദ്രൻ,ירח
59,Stern::N,നക്ഷത്രം,כוכב
60,Luft::N,കാറ്റ്,אויר
61,Wind::N,കാറ്റ്,רוח
62,Welle::N,തിരമാല,גל
63,Wasser::N,വെള്ളം,מים
64,Stein::N,ശില,אבן
65,Stein::N,കല്ല്,אבן
66,Boden::N,തറ,קרקע
67,Boden::N,നിലം,קרקע
68,Erde::N,മണ്ണ്,אדמה
69,Staub::N,പൊടി,אבק
70,Rauch::N,പുക,עשן
71,Funke::N,തീപ്പൊരി,ניצוץ
72,Feuer::N,തീ,אש
73,Licht::N,വിളക്ക്,אור
74,Licht::N,സൂര്യപ്രകാശം,אור
75,Schatten::N,തണൽ,צל
76,Wetter::N,കാലാവസ്ഥ,מזג אויר
77,Nebel::N,മൂടൽമഞ്ഞ്,ערפל
78,Wolke::N,മേഘം,ענן
79,Regen::N,മഴ,גשם
80,Schnee::N,മഞ്ഞ്,שלג
81,Eis::N,ഐസ്,קרח
82,Frost::N,മൂടൽമഞ്ഞ്,צנה
83,Kälte::N,തണുപ്പ്,קר
84,Hitze::N,ചൂട്,חם
85,Raureif::N,കോടമഞ്ഞ്,כפור
86,Regenbogen::N,മഴവില്ല്,קשת
87,Donner::N,ഇടി,רעם
88,Strömung::N,പ്രവാഹം,זרימה
89,Tropfen::N,തുള്ളി,טפה
90,Schaum::N,നുര,קצף
91,Schmutz::N,അഴുക്ക്,לכלוך
92,See::N,തടാകം,אגם
93,Sumpf::N,ചതുപ്പുനിലം,בצה
94,Moor::N,പാഴ്നിലം,בצה
95,Wiese::N,പുൽത്തകിടി,מרעה
96,Wald::N,വനം,יער
97,Wald::N,കാട്,יער
98,Hügel::N,കുന്ന്,תל
99,Anhöhe::N,ഉയർന്ന ഭൂമി,מעלה
100,Berg::N,പർവ്വതം,הר
101,Gipfel::N,ഉച്ചകോടി,פסגה
102,Höhle::N,ഗുഹ,מערה
103,Abhang::N,ചരിവ്,מדרון
104,Abhang::N,ചരിവ്,שפוע
105,Quelle::N,ഉറവിടം,מעין
106,Bach::N,അരുവി,נחל
107,Fluss::N,നദി,נהר
108,Ufer::N,തീരം,גדה
109,Küste::N,കടൽത്തീരം,חוף
110,Festland::N,കര,יבשה
111,Meer::N,കടൽ,ים
112,Bucht::N,ഉൾക്കടല്,מפרץ
113,Insel::N,ദ്വീപ്,אי
114,Blume::N,പൂവ്,פרח
115,Gras::N,പുല്ല്,דשא
116,Wurzel::N,വേര്,שרש
117,Baum::N,മരം,עץ
118,Stamm::N,തായ്ത്തടി,גזע
119,Rinde::N,പട്ട,קלפת עץ
120,Ast::N,ശാഖ,ענף
121,Zweig::N,ശാഖ,ענף
122,Blatt::N,ഇല,עלה
123,Birke::N,പൂവരശ്,שדר
124,Kiefer[Baum]::N,പൈൻമരം,ארן
125,Weide[Baum]::N,വില്ലോ,ערבה
126,Tanne::N,ദേവദാരു,אשוח
127,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,קרן
128,Feder::N,തൂവൽ,נוצה
129,Fell::N,മൃദുരോമം,פרוה
130,Flügel::N,ചിറക്,כנף
131,Klaue::N,നഖം,טלף
132,Kralle::N,നഖം,טפר
133,Schwanz::N,വാൽ,זנב
134,Ei::N,മുട്ട,ביצה
135,Nest::N,കൂട്,קן
136,Bau::N,മാളം,מחלה
137,Tier::N,മൃഗം,חיה
138,Herde::N,കൂട്ടം,עדר
139,Kuh::N,പശു,פרה
140,Bulle::N,കാള,פר
141,Pferd::N,കുതിര,סוס
142,Schaf::N,ആട്,כבשה
143,Schwein::N,പന്നി,חזיר
144,Hund::N,നായ്,כלב
145,Katze::N,പൂച്ച,חתול
146,Bär::N,കരടി,דב
147,Eichhörnchen::N,അണ്ണാൻ,סנאי
148,Elch::N,കടമാന്,דישון
149,Fuchs::N,കുറുക്കൻ,שועל
150,Hase::N,മുയൽ,ארנב
151,Maus::N,ചുണ്ടലി,עכבר
152,Wolf::N,ചെന്നായ,זאב
153,Vogel::N,പക്ഷി,צפור
154,Schwarm::N,കൂട്ടം,נחיל
155,Schwarm::N,കൂട്ടം,להקה
156,Huhn::N,കോഴി,תרנגלת
157,Hahn::N,പൂവൻകോഴി,תרנגול
158,Gans::N,അരയന്നം,אוז
159,Adler::N,കഴുകൻ,עיט
160,Ente::N,താറാവ്,ברוז
161,Eule::N,മൂങ്ങ,ינשוף
162,Kranich::N,കൊക്ക്,עגור
163,Kranich::N,കൊക്ക്,כרוכיה
164,Krähe::N,കാക്ക,עורב
165,Kuckuck::N,കുയിൽ,קוקיה
166,Schwan::N,അരയന്നം,ברבור
167,Fisch::N,മത്സ്യം,דג
168,Barsch::N,ഒരിനം മത്സ്യം,אוקונוס
169,Hecht::N,ഒരു മത്സ്യം,זאב הים
170,Schlange[Tier]::N,പാമ്പ്,נחש
171,Wurm::N,വിര,תולעת
172,Spinne::N,ചിലന്തി,עכביש
173,Ameise::N,ഉറുമ്പ്,נמלה
174,Laus::N,പേന്,כנה
175,Mücke::N,മശകം,יתוש
176,Fliege::N,ഈച്ച,זבוב
177,Schmetterling::N,ചിത്രശലഭം,פרפר
178,Beere::N,ബെറി,ענבה
179,Apfel::N,ആപ്പിൾ,תפוח
180,Pilz::N,കൂൺ,פטריה
181,Zwiebel::N,സവാള,בצל
182,Saat::N,വിത്ത്,זרעים
183,Korn::N,ധാന്യം,גרעין
184,Heu::N,വയ്ക്കോൽ,חציר
185,Schale::N,തൊലി,קלפה
186,Grube::N,കുഴി,בור
187,Grube::N,കുഴി,שוחה
188,Falle::N,കെണി,מלכדת
189,Schlinge::N,കുടുക്ക്,לולאה
190,Spur::N,ചുവട്,עקבה
191,Asche::N,ചാരം,אפר
192,Dreck::N,അഴുക്ക്,זהמה
193,Eisen::N,ഇരുമ്പ്,ברזל
194,Gold::N,സ്വർണ്ണം,זהב
195,Silber::N,വെള്ളി,כסף
196,Kohle::N,കൽക്കരി,פחם
197,Glas::N,ഗ്ലാസ്,זכוכית
198,Lehm::N,കളിമണ്ണ്,חרסית
199,Sand::N,മണൽ,חול
200,Mensch::N,മനുഷ്യർ,אדם
201,Mann::N,പുരുഷൻ,איש
202,Mann::N,പുരുഷൻ,גבר
203,Frau::N,സ്ത്രീ,אשה
204,Frau::N,സ്ത്രീ,גברת
205,Kind::N,കുഞ്ഞ്,ילד
206,Junge::N,ആൺകുട്ടി,ילד
207,Mädchen::N,പെൺകുട്ടി,נערה
208,Familie::N,കുടുംബം,משפחה
209,Großvater::N,അപ്പൂപ്പൻ,סבא
