,Concept_ID,hu,it
0,Auge::N,szem,occhio
1,Ohr::N,fül,orecchio
2,Nase::N,orr,naso
3,Mund::N,száj,bocca
4,Zahn::N,fog,dente
5,Zunge::N,nyelv,lingua
6,Lippe::N,ajak,labbro
7,Wange::N,orca,guancia
8,Gesicht::N,arc,viso
9,Gesicht::N,arc,faccia
10,Stirn::N,homlok,fronte
11,Haar::N,haj,capello
12,Schnurrbart::N,bajusz,baffi
13,Schnurrbart::N,bajusz,mustacchi
14,Bart::N,szakáll,barba
15,Kinn::N,áll,mento
16,Kiefer[Anatomie]::N,állkapocs,mascella
17,Kehle::N,gége,gola
18,Kehle::N,torok,gola
19,Hals::N,nyak,collo
20,Genick::N,tarkó,nuca
21,Kopf::N,fő,capo
22,Kopf::N,fő,testa
23,Kopf::N,fej,capo
24,Kopf::N,fej,testa
25,Rücken::N,hát,dorso
26,Rücken::N,hát,schiena
27,Bauch::N,has,ventre
28,Nabel::N,köldök,ombelico
29,Busen::N,mell,seno
30,Busen::N,kebel,seno
31,Brust::N,mell,petto
32,Schulter::N,váll,spalla
33,Arm::N,kar,braccio
34,Ellenbogen::N,könyök,gomito
35,Hand::N,kéz,mano
36,Handfläche::N,tenyér,palma
37,Finger::N,ujj,dito
38,Fingernagel::N,köröm,unghia
39,Nagel[Anatomie]::N,köröm,unghia
40,Zeh::N,lábujj,dito del piede
41,Fuß::N,láb,piede
42,Ferse::N,sarok,tallone
43,Ferse::N,sarok,calcagno
44,Knie::N,térd,ginocchio
45,Oberschenkel::N,comb,fèmore
46,Bein::N,láb,gamba
47,Bein::N,lábszár,gamba
48,Körper::N,test,corpo
49,Haut::N,bőr,pelle
50,Blut::N,vér,sangue
51,Ader::N,ér,vena
52,Sehne::N,ín,tèndine
53,Knochen::N,csont,osso
54,Gehirn::N,agy,cervello
55,Gehirn::N,agyvelő,cervello
56,Herz::N,szív,cuore
57,Magen::N,gyomor,stòmaco
58,Leber::N,máj,fegato
59,Atem::N,lehelet,fiato
60,Atem::N,lehelet,respiro
61,Atem::N,lélegzet,fiato
62,Atem::N,lélegzet,respiro
63,Hunger::N,éhség,fame
64,Träne::N,könny,làcrima
65,Geschmack::N,íz,gusto
66,Geschmack::N,íz,sapore
67,Geruch::N,szag,odore
68,Schlaf::N,álom,sonno
69,Schlaf::N,alvás,sonno
70,Traum::N,álom,sogno
71,Himmel::N,ég,cielo
72,Himmel::N,menny,cielo
73,Sonne::N,nap,sole
74,Mond::N,hold,luna
75,Stern::N,csillag,stella
76,Luft::N,levegő,aria
77,Wind::N,szél,vento
78,Welle::N,hullám,onda
79,Wasser::N,víz,acqua
80,Stein::N,kő,sasso
81,Stein::N,kő,pietra
82,Boden::N,föld,suolo
83,Boden::N,föld,terreno
84,Boden::N,talaj,suolo
85,Boden::N,talaj,terreno
86,Erde::N,föld,terra
87,Staub::N,por,polvere
88,Rauch::N,füst,fumo
89,Funke::N,szikra,scintilla
90,Feuer::N,tűz,fuoco
91,Licht::N,fény,luce
92,Schatten::N,árnyék,ombra
93,Wetter::N,idő,tempo
94,Wetter::N,időjárás,tempo
95,Nebel::N,köd,nebbia
96,Wolke::N,felhő,nube
97,Wolke::N,felhő,nùvola
98,Regen::N,eső,pioggia
99,Schnee::N,hó,neve
100,Eis::N,jég,ghiaccio
101,Frost::N,fagy,gelo
102,Kälte::N,hideg,freddo
103,Hitze::N,hő,caldo
104,Hitze::N,hő,calura
