,Concept_ID,de,mn
0,Auge::N,Auge,нүд
1,Ohr::N,Ohr,чих
2,Nase::N,Nase,хамар
3,Mund::N,Mund,ам
4,Zahn::N,Zahn,шүд
5,Zunge::N,Zunge,хэл
6,Lippe::N,Lippe,уруул
7,Wange::N,Wange,хацар
8,Gesicht::N,Gesicht,царай
9,Gesicht::N,Gesicht,нүүр
10,Stirn::N,Stirn,дух
11,Haar::N,Haar,үс
12,Schnurrbart::N,Schnurrbart,дээд сахал
13,Schnurrbart::N,Schnurrbart,живэр сахал
14,Bart::N,Bart,сахал
15,Kinn::N,Kinn,эрүү
16,Kiefer[Anatomie]::N,Kiefer,эрүү
17,Kehle::N,Kehle,хоолой
18,Hals::N,Hals,хүзүү
19,Genick::N,Genick,шил
20,Genick::N,Genick,хүзүү
21,Kopf::N,Kopf,толгой
22,Rücken::N,Rücken,ар
23,Rücken::N,Rücken,нуруу
24,Bauch::N,Bauch,хэвлий
25,Bauch::N,Bauch,гэдэс
26,Nabel::N,Nabel,хүйс
27,Busen::N,Busen,хөх
28,Brust::N,Brust,цээж
29,Schulter::N,Schulter,мөр
30,Schulter::N,Schulter,бугалга
31,Arm::N,Arm,гар
32,Ellenbogen::N,Ellenbogen,тохой
33,Hand::N,Hand,гар
34,Hand::N,Hand,алга
35,Handfläche::N,Handfläche,алга
36,Finger::N,Finger,хуруу
37,Fingernagel::N,Fingernagel,хурууны хумс
38,Nagel[Anatomie]::N,Nagel,хумс
39,Zeh::N,Zeh,хуруу
40,Fuß::N,Fuß,хөл
41,Ferse::N,Ferse,өсгий
42,Knie::N,Knie,өвдөг
43,Oberschenkel::N,Oberschenkel,гуя
44,Bein::N,Bein,хөл
45,Körper::N,Körper,бие
46,Haut::N,Haut,арьс
47,Blut::N,Blut,цус
48,Ader::N,Ader,судас
49,Sehne::N,Sehne,бүлх
50,Sehne::N,Sehne,шандас
51,Knochen::N,Knochen,яс
52,Gehirn::N,Gehirn,тархи
53,Herz::N,Herz,зүрх
54,Magen::N,Magen,ходоод
55,Leber::N,Leber,элэг
56,Atem::N,Atem,амьсгаа
57,Hunger::N,Hunger,өлсгөлөн
58,Träne::N,Träne,нулимс
59,Geschmack::N,Geschmack,амт
60,Geruch::N,Geruch,үнэр
61,Schlaf::N,Schlaf,нойр
62,Traum::N,Traum,зүүд
63,Himmel::N,Himmel,тэнгэр
64,Himmel::N,Himmel,огторгуй
65,Sonne::N,Sonne,нар
66,Mond::N,Mond,сар
67,Stern::N,Stern,од
68,Luft::N,Luft,агаар
69,Wind::N,Wind,салхи
70,Welle::N,Welle,долгио
71,Welle::N,Welle,давалгаа
72,Wasser::N,Wasser,ус
73,Stein::N,Stein,чулуу
74,Boden::N,Boden,хөрс
