,Concept_ID,sah,mrj
0,Auge::N,харах,сӹнзӓ
1,Ohr::N,кулгаах,пӹлӹш
2,Nase::N,мурун,нер
3,Mund::N,айах,ышма
4,Zahn::N,тиис,пӱ
5,Zunge::N,тыл,йӹлмӹ
6,Lippe::N,уос,тӹрвӹ
7,Wange::N,иэдэс,шӹргӹ
8,Gesicht::N,сирэй,лицӓ
9,Stirn::N,сүүс,лепкӓ
10,Haar::N,баттах,ӱп
11,Schnurrbart::N,уос бытыга,öрш
12,Bart::N,сэҥийэ бытыга,пандаш
13,Kinn::N,сэҥийэ,онгылаш
14,Kiefer[Anatomie]::N,сыҥаах,пӱ арата
15,Kehle::N,тамах,логер
16,Kehle::N,күөмэй,логер
17,Hals::N,моой,шӱ
18,Genick::N,кэтэх,ланга
19,Kopf::N,бас,вуй
20,Rücken::N,көҕүс,туп
21,Bauch::N,ис,мӹшкӹр
22,Nabel::N,киин,кӹлӹмдӹ
23,Busen::N,эмиий,цӹзӹ
24,Brust::N,түөс,мел
25,Schulter::N,сарын,ӹнгӹжӓ
26,Arm::N,илии,кид
27,Ellenbogen::N,тоҕонох,кӹнервуй
28,Hand::N,илии,лапа
29,Handfläche::N,ытыс,кид лапа
30,Finger::N,тарбах,парня
31,Fingernagel::N,тыҥырах,кӹч
32,Nagel[Anatomie]::N,тыҥырах,кӹч
33,Zeh::N,тарбах,парня
34,Fuß::N,уллуҥах,ял лапа
35,Ferse::N,тилэх,ялгавал
36,Ferse::N,тилэх,ял кавал
37,Knie::N,тобук,пылвуй
38,Knie::N,дьилбэк,пылвуй
39,Oberschenkel::N,уллук,ӓрдӹ
40,Oberschenkel::N,өттүк,ӓрдӹ
41,Bein::N,атах,ял
42,Körper::N,бэйэ,монгыр
43,Haut::N,тирии,кавашты
44,Blut::N,хаан,вӹр
45,Ader::N,вена,вӹршӓр
46,Ader::N,күөх_тымыр,вӹршӓр
47,Sehne::N,иҥиир,кукшышӱн
48,Knochen::N,уҥуох,лу
49,Knochen::N,уҥгуох,лу
50,Gehirn::N,мэйии,вим
51,Herz::N,сүрэх,шӱм
52,Magen::N,куртах,шӱм
53,Leber::N,быар,мокш
54,Atem::N,тыын,шӱлӹш
55,Hunger::N,аас,шужымаш
56,Träne::N,харах уута,сӹнзӓвӹд
57,Geschmack::N,амтан,тот
58,Geruch::N,сыт,пыш
59,Schlaf::N,утуйуу,ом
60,Traum::N,түүл,ом
