,Concept_ID,hi,ko
0,Auge::N,आँख,눈
1,Auge::N,चक्षु,눈
2,Ohr::N,कान,귀
3,Ohr::N,कर्ण,귀
4,Nase::N,नाक,코
5,Nase::N,नासा,코
6,Mund::N,मुख,입
7,Mund::N,मुँह,입
8,Zahn::N,दंत,이
9,Zahn::N,दाँत,이
10,Zunge::N,जीभ,혀
11,Zunge::N,ज़बान,혀
12,Zunge::N,जिह्वा,혀
13,Lippe::N,ओंठ,입술
14,Lippe::N,होंठ,입술
15,Wange::N,गाल,뺨
16,Wange::N,कपोल,뺨
17,Gesicht::N,मुँह,얼굴
18,Gesicht::N,चेहरा,얼굴
19,Stirn::N,माथा,이마
20,Stirn::N,मस्तक,이마
21,Haar::N,बाल,털
22,Schnurrbart::N,मूँछें,윗수몀
23,Schnurrbart::N,मूँछें,코밑수염
24,Bart::N,दाढ़ी,수엄
25,Kinn::N,चिबुक,아래턱
26,Kiefer[Anatomie]::N,जबड़ा,턱
27,Kehle::N,गला,인후
28,Hals::N,गला,목
29,Hals::N,गरदन,목
30,Genick::N,गरदन,먹덜이
31,Genick::N,ग्रीवा,먹덜이
32,Kopf::N,सिर,머리
33,Kopf::N,शीर्ष,머리
34,Rücken::N,पीठ,든
35,Bauch::N,उदर,배
36,Nabel::N,नाभि,배꼽
37,Nabel::N,ढोंढी,배꼽
38,Busen::N,कुच,가슴속
39,Busen::N,स्तन,가슴속
40,Brust::N,वक्ष,가슴
41,Schulter::N,कंधा,어깨
42,Schulter::N,स्कंध,어깨
43,Arm::N,बाँह,팔
44,Arm::N,बाज़ू,팔
45,Ellenbogen::N,कुहनी,팔쿰치
46,Hand::N,हाथ,손
47,Hand::N,हस्त,손
48,Handfläche::N,हथेली,손바닥
49,Finger::N,उँगली,속가락
50,Finger::N,अँगुली,속가락
51,Fingernagel::N,नख,손톱
52,Fingernagel::N,नाख़ून,손톱
53,Nagel[Anatomie]::N,नख,손톱
54,Nagel[Anatomie]::N,नाख़ून,손톱
55,Zeh::N,उँगली,발가락
56,Zeh::N,पाँव की उँगली,발가락
57,Fuß::N,चरण,발
58,Fuß::N,पाँव,발
59,Ferse::N,एड़ी,발꿈치
60,Knie::N,जानु,무릎
61,Knie::N,घुटना,무릎
62,Oberschenkel::N,उरु,허벅다리
63,Bein::N,टाँग,다리
64,Körper::N,तन,구간
65,Körper::N,देह,구간
66,Körper::N,शरीर,구간
67,Haut::N,चर्म,살갗
68,Haut::N,त्वचा,살갗
69,Blut::N,लहू,피
70,Blut::N,ख़ून,피
71,Ader::N,रग,정맥
72,Ader::N,शिरा,정맥
73,Sehne::N,कंडरा,현
74,Sehne::N,स्नायु,현
75,Knochen::N,अस्थि,뼈
76,Gehirn::N,दिमाग़,뇌
77,Gehirn::N,दिमाग़,뇌수
78,Gehirn::N,मस्तिष्क,뇌
79,Gehirn::N,मस्तिष्क,뇌수
80,Herz::N,दिल,염통
81,Herz::N,हृदय,염통
82,Magen::N,मेदा,위
83,Magen::N,अमाशय,위
84,Leber::N,जिगर,간
85,Leber::N,यकृत्,간
86,Atem::N,दम,기식
87,Atem::N,साँस,기식
88,Atem::N,श्वास,기식
89,Hunger::N,भूख,공복
90,Hunger::N,क्षुधा,공복
91,Träne::N,आँसू,눈물
92,Träne::N,अश्रु,눈물
93,Geschmack::N,स्वाद,기호
94,Geschmack::N,ज़ायक़ा,기호
95,Geruch::N,बू,냄새
96,Geruch::N,गंध,냄새
97,Schlaf::N,नींद,수면
98,Schlaf::N,निद्रा,수면
99,Traum::N,सपना,쿰
100,Traum::N,स्वप्न,쿰
101,Himmel::N,आकाश,하늘
102,Himmel::N,आसमान,하늘
103,Sonne::N,रवि,해
104,Sonne::N,सूरज,해
105,Sonne::N,सूर्य,해
106,Mond::N,चाँद,달
107,Mond::N,चंद्र,달
