,Concept_ID,te,is
0,Auge::N,కన్ను,auga
1,Ohr::N,చెవి,eyra
2,Nase::N,ముక్కు,nef
3,Mund::N,నోరు,munnur
4,Zahn::N,పల్లు,tönn
5,Zunge::N,నాలుక,tunga
6,Lippe::N,పెదవి,vör
7,Wange::N,చెంప,kinn
8,Wange::N,చెంప,vangi
9,Gesicht::N,ముఖము,andlit
10,Stirn::N,నుదురు,enni
11,Haar::N,వెండ్రుక,hár
12,Schnurrbart::N,మీసము,yfirskegg
13,Bart::N,గడ్డము,skegg
14,Kinn::N,గడ్డము,haka
15,Kiefer[Anatomie]::N,దౌడ,kjálki
16,Kiefer[Anatomie]::N,దౌడ,skoltur
17,Kehle::N,గొంతు,kverk
18,Hals::N,మెడ,háls
19,Genick::N,మూపు,hnakki
20,Kopf::N,తల,höfuð
21,Rücken::N,వెన్ను,hryggur
22,Bauch::N,కడుపు,kviður
23,Nabel::N,బొడ్డు,nafli
24,Busen::N,స్తనము,barmur
25,Brust::N,ఱొమ్ము,brjóst
26,Schulter::N,భుజము,öxl
27,Arm::N,చేయి,armur
28,Ellenbogen::N,మోచేయి,olnbogi
29,Hand::N,చేయి,hönd
30,Handfläche::N,అరచేయు,lófi
31,Finger::N,చేతిప్రేలు,fingur
32,Fingernagel::N,గోరు,fingurnögl
33,Nagel[Anatomie]::N,గోరు,nögl
34,Zeh::N,కాలిప్రేలు,tá
35,Fuß::N,అడుగు,fótur
36,Ferse::N,మడమ,hæll
37,Knie::N,మోకాలు,kné
38,Oberschenkel::N,తొడ,læri
39,Bein::N,కాలు,fótleggur
40,Körper::N,కాయము,búkur
41,Körper::N,కాయము,líkami
42,Haut::N,చర్మము,húð
43,Haut::N,చర్మము,skinn
44,Blut::N,రక్తము,blóð
45,Ader::N,సిర,æð
46,Sehne::N,స్నాయువు,sin
47,Knochen::N,ఎముక,bein
48,Gehirn::N,మెదడు,heili
49,Herz::N,హృదయము,hjarta
50,Magen::N,కడుపు,magi
51,Leber::N,కాలేయము,lifur
52,Atem::N,ఉపిరి,andi
53,Atem::N,ఉపిరి,andardráttur
54,Hunger::N,ఆకలి,hungur
55,Träne::N,కన్నీటిచుక్క,tár
56,Geschmack::N,రుచి,smekkur
57,Geruch::N,వాసన,lykt
58,Schlaf::N,నిద్ర,svefn
59,Traum::N,కల,draumur
60,Himmel::N,ఆకాశము,himinn
61,Sonne::N,సూర్యుడు,sól
62,Mond::N,చంద్రుడు,tungl
63,Stern::N,నక్షత్రము,stjarna
64,Luft::N,గాలి,loft
65,Wind::N,వీచుచున్నగాలి,vindur
66,Welle::N,అల,alda
67,Welle::N,అల,bylgja
68,Wasser::N,నీరు,vatn
69,Stein::N,ఱాయి,steinn
70,Boden::N,నేల,botn
71,Erde::N,మన్ను,jörð
72,Staub::N,దుమ్ము,ryk
73,Staub::N,దుమ్ము,duft
74,Rauch::N,పొగ,reykur
75,Funke::N,అగ్నికణము,neisti
76,Feuer::N,అగ్ని,eldur
77,Licht::N,కాంతి,ljós
78,Schatten::N,నీడ,skuggi
79,Wetter::N,వాతావరణ స్థితి,veður
80,Nebel::N,పొగమంచు,þoka
81,Wolke::N,మేఘము,ský
82,Regen::N,వాన,regn
83,Schnee::N,హిమము,snjór
84,Eis::N,మంచుగడ్డ,ís
85,Frost::N,పేరిన మంచు,frost
86,Kälte::N,చలి,kuldi
87,Hitze::N,వేడిమి,hiti
88,Raureif::N,మంచు,hrím
89,Regenbogen::N,ఇంద్రధనుస్సు,regnbogi
90,Donner::N,ఉరుము,þruma
91,Strömung::N,ప్రవాహము,straumur
92,Tropfen::N,చుక్క,dropi
93,Schaum::N,నురుగు,froða
94,Schmutz::N,మైల,óhreinindi
95,See::N,సరస్సు,stöðuvatn
96,Sumpf::N,చిత్తడినేల,fen
97,Moor::N,చిత్తడినేల,mýri
98,Wiese::N,పచ్చిక బయలు,engi
99,Wald::N,అడవి,skógur
100,Hügel::N,చివ్నకొండ,hæð
101,Hügel::N,చివ్నకొండ,hóll
102,Anhöhe::N,కొండ,hæð
103,Anhöhe::N,కొండ,hóll
104,Berg::N,పర్వతము,fell
105,Berg::N,పర్వతము,fjall
106,Gipfel::N,శిఖరము,tindur
107,Höhle::N,గుహ,hellir
108,Abhang::N,ఏటవాలు,hlíð
109,Abhang::N,ఏటవాలు,brekka
110,Quelle::N,మూలము,lind
111,Quelle::N,మూలము,uppspretta
112,Bach::N,కాలువ,lækur
113,Fluss::N,నది,á
114,Fluss::N,నది,fljót
115,Ufer::N,తీరము,árbakki
116,Ufer::N,తీరము,sjávarbakki
117,Küste::N,తీరము,strönd
118,Festland::N,భూమి,meginland
119,Meer::N,సముద్రము,haf
120,Meer::N,సముద్రము,sjór
121,Bucht::N,మరుగు,vík
122,Insel::N,దీవి,eyja
123,Blume::N,పుష్పము,blóm
124,Gras::N,పచ్చగడ్డి,gras
125,Wurzel::N,వేరు,rót
126,Baum::N,చెట్టు,tré
127,Stamm::N,చెట్టుబోదె,stofn
128,Rinde::N,చెట్టుపట్ట,börkur
129,Ast::N,కొమ్మ,grein
130,Zweig::N,చివుకు,angi
131,Zweig::N,చివుకు,kvistur
132,Blatt::N,ఆకు,blað
133,Birke::N,తరహా చెట్టు,birki
134,Kiefer[Baum]::N,దేవదారు చెట్టు,fura
135,Weide[Baum]::N,జాతిచెట్టు,víðir
136,Tanne::N,దేవదారుచెట్టు,greni
137,Horn::N,కొమ్ము,horn
138,Feder::N,ఈక,fjöður
139,Fell::N,తోలు,skinn
140,Flügel::N,ఱెక్క,vængur
141,Klaue::N,వంకరగోరు,kló
142,Kralle::N,వంకరగోరు,kló
143,Schwanz::N,తోక,rófa
144,Schwanz::N,తోక,skott
145,Ei::N,గ్రుడ్డు,egg
146,Nest::N,పక్షిగూడు,hreiður
147,Bau::N,గుహ,greni
148,Bau::N,గుహ,bæli
149,Tier::N,జంతువు,dýr
150,Herde::N,మంద,hjörð
151,Kuh::N,ఆవు,kýr
152,Bulle::N,గిత్త,boli
153,Pferd::N,గుఱ్ఱము,hestur
154,Schaf::N,గొఱ్ఱె,kind
155,Schwein::N,పంది,svín
156,Hund::N,కుక్క,hundur
157,Katze::N,పిల్లి,köttur
158,Bär::N,ఎలుగుబంటి,björn
159,Eichhörnchen::N,ఉడుత,íkorni
160,Elch::N,కణంజు,elgur
161,Fuchs::N,గుంటనక్క,refur
162,Hase::N,కుందేలు,héri
163,Maus::N,చిట్టెలుక,mús
164,Wolf::N,తోడేలు,úlfur
165,Vogel::N,పక్షి,fugl
166,Schwarm::N,గుంపు,sægur
167,Huhn::N,కోడిపిల్ల,hæna
168,Hahn::N,కోడివుంజు,hani
169,Gans::N,ఆడుబాతు,gæs
170,Adler::N,గ్రద్ద,örn
171,Ente::N,పాట్టిబాతు,önd
172,Eule::N,గ్రుడ్లగూబ,uggla
173,Kranich::N,కొంగ,trana
174,Krähe::N,కాకి,kráka
175,Kuckuck::N,కోయల,gaukur
176,Schwan::N,హంస,svanur
177,Fisch::N,చేప,fiskur
178,Barsch::N,ఒకచేఁప,aborri
179,Hecht::N,గండుమీను,gedda
180,Schlange[Tier]::N,పాము,naðra
181,Wurm::N,పురుగు,ormur
182,Spinne::N,సాలె పురుగు,kónguló
183,Ameise::N,చీమ,maur
184,Laus::N,పేను,lús
185,Mücke::N,చీకటీగ,mý
186,Mücke::N,చీకటీగ,mýfluga
187,Fliege::N,ఈగ,fluga
188,Schmetterling::N,సీతాకోకచిలుక,fiðrildi
189,Beere::N,కాయ,ber
190,Apfel::N,ఆపిల్ పండు,epli
191,Pilz::N,కుక్కగొడుగు,sveppur
192,Zwiebel::N,నీరుల్లి,laukur
193,Saat::N,విత్తనము,fræ
194,Saat::N,విత్తనము,útsæði
195,Korn::N,గింజ,korn
196,Heu::N,ఎండుగడ్డి,hey
197,Schale::N,పొట్టు,hýði
198,Grube::N,గొయ్యి,gryfja
199,Falle::N,బోను,gildra
200,Schlinge::N,ఉరి,snara
201,Spur::N,జాడ,spor
202,Asche::N,బూడిద,aska
203,Dreck::N,ముఱికి,óþverri
204,Eisen::N,ఇనుము,járn
205,Gold::N,బంగారము,gull
206,Silber::N,వెండి,silfur
207,Kohle::N,నేలబొగ్గు,kol
208,Glas::N,గాజు,gler
209,Lehm::N,బంకమన్ను,leir
210,Sand::N,ఇసుక,sandur
211,Mensch::N,నరుడు,maður
212,Mensch::N,నరుడు,manneskja
213,Mann::N,పురుమడు,maður
214,Mann::N,పురుమడు,karlmaður
215,Frau::N,ఆడుది,kona
216,Kind::N,బిడ్డ,barn
217,Kind::N,బిడ్డ,krakki
218,Junge::N,బాలుడు,drengur
219,Mädchen::N,బాలిక,stelpa
220,Familie::N,కుటుంబము,fjölskylda
221,Großvater::N,తాత,afi
222,Großmutter::N,అయ్యమ్మ,amma
223,Eltern::N,తల్లితండ్రులు,foreldrar
224,Vater::N,తండ్రి,faðir
225,Mutter::N,తల్లి,móðir
226,Sohn::N,కొడుకు,sonur
227,Tochter::N,కూతురు,dóttir
228,Bruder::N,పోదరుడు,bróðir
229,Schwester::N,సోదరి,systir
230,Onkel::N,మేనమామ,föðurbróðir
231,Tante::N,మేనత్త,frænka
232,Tante::N,మేనత్త,móðursystir
233,Tante::N,పినతల్లి,frænka
234,Tante::N,పినతల్లి,móðursystir
235,Ehemann::N,భర్త,eiginmaður
236,Ehefrau::N,భార్య,eiginkona
237,Freude::N,సంతోషము,gleði
238,Gelächter::N,నవ్వు,hlátur
239,Glück::N,సంతోషము,gæfa
240,Kummer::N,దుఃఖము,sorg
241,Wunsch::N,కోరిక,ósk
242,Lust::N,కోరిక,fýsn
243,Lust::N,కోరిక,löngun
244,Geist::N,ఆత్మ,andi
245,Gedanke::N,ఆలోచన,hugsun
246,Gedächtnis::N,జ్ఞాపకము,minni
247,Verstand::N,మనస్సు,vit
248,Sinn::N,అర్థము,merking
249,Grund::N,కారణము,ástæða
250,Wahrheit::N,సత్యము,sannleikur
251,Gespräch::N,పంభాషణ,samtal
252,Märchen::N,అద్భుతకథ,ævintýri
253,Erzählung::N,కథ,saga
254,Nachricht::N,వార్త,frétt
255,Neuigkeit::N,వార్త,frétt
256,Name::N,పేరు,nafn
257,Rätsel::N,చిక్కు,gáta
258,Rede::N,ఉపన్యాసము,ræða
259,Sprache::N,భాష,mál
260,Sprache::N,భాష,tungumál
261,Stimme::N,కంరథ్సని,rödd
262,Wort::N,మాట,orð
263,Zeichen::N,గుర్తు,tákn
264,Zeichen::N,గుర్తు,merki
265,Ruf::N,పిలువు,kall
266,Lärm::N,సందడి,hávaði
267,Laut::N,ధ్వని,hljóð
268,Ton::N,స్వరము,tónn
269,Lied::N,పాట,ljóð
270,Lied::N,పాట,söngur
271,Ruhe::N,గాలిలేమి,ró
272,Ruhe::N,గాలిలేమి,kyrrð
273,Leute::N,జనులు,fólk
274,Volk::N,జాతి,þjóð
275,Arbeit::N,పని,vinna
276,Gast::N,అతిధి,gestur
277,Geschenk::N,దానము,gjöf
278,Spiel::N,ఆట,leikur
279,Gesellschaft::N,జట్టు,selskapur
